<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMC,D,19970908,000000,47.697,47.697,47.697,47.697,173241,0
AMC,D,19970909,000000,49.186,49.186,49.186,49.186,104419,0
AMC,D,19970910,000000,50.676,50.676,50.676,50.676,50989,0
AMC,D,19970911,000000,49.561,49.561,49.561,49.561,70390,0
AMC,D,19970912,000000,48.815,48.815,48.815,48.815,44941,0
AMC,D,19970915,000000,48.815,48.815,48.815,48.815,169668,0
AMC,D,19970916,000000,51.05,51.05,51.05,51.05,42787,0
AMC,D,19970917,000000,51.05,51.05,51.05,51.05,59242,0
AMC,D,19970918,000000,51.424,51.424,51.424,51.424,60158,0
AMC,D,19970919,000000,51.424,51.424,51.424,51.424,191084,0
AMC,D,19970922,000000,52.169,52.169,52.169,52.169,47644,0
AMC,D,19970923,000000,52.169,52.169,52.169,52.169,18067,0
AMC,D,19970924,000000,50.676,50.676,50.676,50.676,15104,0
AMC,D,19970925,000000,50.676,50.676,50.676,50.676,49625,0
AMC,D,19970926,000000,51.05,51.05,51.05,51.05,111797,0
AMC,D,19970929,000000,50.676,50.676,50.676,50.676,10240,0
AMC,D,19970930,000000,51.424,51.424,51.424,51.424,38089,0
AMC,D,19971001,000000,51.424,51.424,51.424,51.424,26173,0
AMC,D,19971002,000000,52.169,52.169,52.169,52.169,12874,0
AMC,D,19971003,000000,49.561,49.561,49.561,49.561,7033,0
AMC,D,19971006,000000,49.932,49.932,49.932,49.932,35658,0
AMC,D,19971007,000000,50.676,50.676,50.676,50.676,36819,0
AMC,D,19971008,000000,51.795,51.795,51.795,51.795,32047,0
AMC,D,19971009,000000,52.169,52.169,52.169,52.169,62398,0
AMC,D,19971010,000000,52.54,52.54,52.54,52.54,67366,0
AMC,D,19971013,000000,54.031,54.031,54.031,54.031,37369,0
AMC,D,19971014,000000,56.64,56.64,56.64,56.64,40605,0
AMC,D,19971015,000000,57.386,57.386,57.386,57.386,35581,0
AMC,D,19971016,000000,57.386,57.386,57.386,57.386,82686,0
AMC,D,19971017,000000,56.267,56.267,56.267,56.267,26958,0
AMC,D,19971020,000000,56.64,56.64,56.64,56.64,85666,0
AMC,D,19971021,000000,56.64,56.64,56.64,56.64,67873,0
AMC,D,19971022,000000,57.386,57.386,57.386,57.386,31689,0
AMC,D,19971023,000000,56.64,56.64,56.64,56.64,11448,0
AMC,D,19971024,000000,54.403,54.403,54.403,54.403,15782,0
AMC,D,19971027,000000,51.795,51.795,51.795,51.795,16927,0
AMC,D,19971028,000000,46.953,46.953,46.953,46.953,0,0
AMC,D,19971029,000000,51.424,51.424,51.424,51.424,63316,0
AMC,D,19971030,000000,49.932,49.932,49.932,49.932,58647,0
AMC,D,19971031,000000,48.815,48.815,48.815,48.815,14485,0
AMC,D,19971103,000000,50.305,50.305,50.305,50.305,6668,0
AMC,D,19971104,000000,51.424,51.424,51.424,51.424,22731,0
AMC,D,19971105,000000,52.169,52.169,52.169,52.169,12934,0
AMC,D,19971106,000000,51.05,51.05,51.05,51.05,10471,0
AMC,D,19971107,000000,51.424,51.424,51.424,51.424,30050,0
AMC,D,19971112,000000,50.676,50.676,50.676,50.676,91257,0
AMC,D,19971113,000000,49.932,49.932,49.932,49.932,25929,0
AMC,D,19971114,000000,49.186,49.186,49.186,49.186,20927,0
AMC,D,19971117,000000,50.305,50.305,50.305,50.305,24948,0
AMC,D,19971118,000000,51.05,51.05,51.05,51.05,32700,0
AMC,D,19971119,000000,50.676,50.676,50.676,50.676,69413,0
AMC,D,19971120,000000,50.676,50.676,50.676,50.676,32575,0
AMC,D,19971121,000000,50.305,50.305,50.305,50.305,31495,0
AMC,D,19971124,000000,49.186,49.186,49.186,49.186,11770,0
AMC,D,19971125,000000,47.697,47.697,47.697,47.697,17895,0
AMC,D,19971126,000000,48.068,48.068,48.068,48.068,7574,0
AMC,D,19971127,000000,46.953,46.953,46.953,46.953,6998,0
AMC,D,19971128,000000,46.206,46.206,46.206,46.206,5902,0
AMC,D,19971201,000000,47.323,47.323,47.323,47.323,3046,0
AMC,D,19971202,000000,47.323,47.323,47.323,47.323,48964,0
AMC,D,19971203,000000,47.323,47.323,47.323,47.323,12397,0
AMC,D,19971204,000000,45.835,45.835,45.835,45.835,29156,0
AMC,D,19971205,000000,46.953,46.953,46.953,46.953,22507,0
AMC,D,19971208,000000,46.579,46.579,46.579,46.579,25388,0
AMC,D,19971209,000000,46.206,46.206,46.206,46.206,22243,0
AMC,D,19971210,000000,45.835,45.835,45.835,45.835,4446,0
AMC,D,19971211,000000,45.088,45.088,45.088,45.088,34226,0
AMC,D,19971212,000000,45.088,45.088,45.088,45.088,13829,0
AMC,D,19971215,000000,46.206,46.206,46.206,46.206,19130,0
AMC,D,19971216,000000,46.579,46.579,46.579,46.579,29141,0
AMC,D,19971217,000000,45.835,45.835,45.835,45.835,40220,0
AMC,D,19971218,000000,45.835,45.835,45.835,45.835,47634,0
AMC,D,19971219,000000,44.344,44.344,44.344,44.344,35278,0
AMC,D,19971222,000000,42.481,42.481,42.481,42.481,8051,0
AMC,D,19971223,000000,42.481,42.481,42.481,42.481,11140,0
AMC,D,19971229,000000,41.736,41.736,41.736,41.736,3457,0
AMC,D,19971230,000000,42.852,42.852,42.852,42.852,34529,0
AMC,D,19971231,000000,44.715,44.715,44.715,44.715,3925,0
AMC,D,19980105,000000,46.953,46.953,46.953,46.953,10588,0
AMC,D,19980106,000000,46.953,46.953,46.953,46.953,28007,0
AMC,D,19980107,000000,46.953,46.953,46.953,46.953,34760,0
AMC,D,19980108,000000,46.579,46.579,46.579,46.579,35777,0
AMC,D,19980109,000000,45.459,45.459,45.459,45.459,2282,0
AMC,D,19980112,000000,42.107,42.107,42.107,42.107,11108,0
AMC,D,19980113,000000,43.97,43.97,43.97,43.97,7613,0
AMC,D,19980114,000000,43.596,43.596,43.596,43.596,16394,0
AMC,D,19980115,000000,43.226,43.226,43.226,43.226,3091,0
AMC,D,19980116,000000,43.226,43.596,42.481,42.481,16835,0
AMC,D,19980119,000000,42.852,42.852,42.481,42.481,6538,0
AMC,D,19980120,000000,43.596,43.596,42.481,42.481,13970,0
AMC,D,19980121,000000,42.481,42.481,42.481,42.481,3055,0
AMC,D,19980122,000000,41.736,42.107,41.736,42.107,3901,0
AMC,D,19980123,000000,40.988,42.481,40.988,42.481,11759,0
AMC,D,19980126,000000,42.852,42.852,41.362,41.362,3018,0
AMC,D,19980127,000000,42.852,42.852,42.852,42.852,4371,0
AMC,D,19980128,000000,43.226,44.715,43.226,44.715,12376,0
AMC,D,19980129,000000,42.852,43.97,42.481,43.226,9117,0
AMC,D,19980130,000000,43.596,43.596,43.596,43.596,13052,0
AMC,D,19980202,000000,44.715,46.579,44.715,46.206,7222,0
AMC,D,19980203,000000,46.953,46.953,46.206,46.206,24692,0
AMC,D,19980204,000000,46.953,46.953,46.206,46.206,15535,0
AMC,D,19980205,000000,46.206,48.068,46.206,48.068,3218,0
AMC,D,19980206,000000,48.068,49.932,48.068,49.186,39983,0
AMC,D,19980209,000000,49.561,49.932,49.561,49.932,7462,0
AMC,D,19980210,000000,49.561,49.932,49.561,49.561,20579,0
AMC,D,19980211,000000,49.932,50.305,49.561,49.561,10772,0
AMC,D,19980212,000000,49.932,49.932,47.697,47.697,6264,0
AMC,D,19980213,000000,48.068,48.068,48.068,48.068,8833,0
AMC,D,19980216,000000,48.442,48.442,48.068,48.068,3983,0
AMC,D,19980217,000000,48.442,48.442,48.442,48.442,9103,0
AMC,D,19980218,000000,48.068,48.442,48.068,48.442,10358,0
AMC,D,19980219,000000,48.815,49.561,48.442,49.561,17299,0
AMC,D,19980220,000000,48.068,48.068,43.596,46.953,15750,0
AMC,D,19980223,000000,45.459,46.953,45.459,46.953,31990,0
AMC,D,19980224,000000,44.715,44.715,43.596,43.596,22943,0
AMC,D,19980225,000000,45.459,45.459,44.715,44.715,27252,0
AMC,D,19980226,000000,46.206,46.206,45.088,45.088,28141,0
AMC,D,19980227,000000,46.579,46.579,45.835,46.206,26882,0
AMC,D,19980302,000000,46.953,48.815,46.579,48.068,41804,0
AMC,D,19980303,000000,46.953,46.953,45.459,45.459,38432,0
AMC,D,19980304,000000,46.206,46.206,44.715,44.715,20386,0
AMC,D,19980305,000000,46.206,46.206,45.835,45.835,36292,0
AMC,D,19980306,000000,45.459,46.579,45.459,46.206,29538,0
AMC,D,19980309,000000,46.953,48.815,46.953,48.068,27143,0
AMC,D,19980310,000000,47.697,50.676,47.697,50.305,42337,0
AMC,D,19980311,000000,52.169,52.914,50.676,51.795,80666,0
AMC,D,19980312,000000,51.795,53.658,51.795,53.658,45697,0
AMC,D,19980313,000000,55.149,55.149,53.658,54.403,49966,0
AMC,D,19980316,000000,55.149,55.149,53.658,54.031,33820,0
AMC,D,19980317,000000,55.149,55.149,52.169,52.169,15713,0
AMC,D,19980318,000000,54.031,54.031,52.914,53.285,27382,0
AMC,D,19980319,000000,52.914,52.914,51.424,51.424,12870,0
AMC,D,19980320,000000,52.169,52.169,51.05,51.424,38112,0
AMC,D,19980323,000000,51.05,51.05,49.932,49.932,9591,0
AMC,D,19980324,000000,49.932,49.932,49.186,49.186,20568,0
AMC,D,19980325,000000,49.186,49.932,49.186,49.186,24477,0
AMC,D,19980326,000000,48.815,48.815,48.068,48.442,24093,0
AMC,D,19980327,000000,48.068,48.068,47.323,47.697,18815,0
AMC,D,19980330,000000,47.697,47.697,47.697,47.697,19104,0
AMC,D,19980331,000000,48.068,48.442,48.068,48.068,24634,0
AMC,D,19980401,000000,49.186,49.186,48.442,48.442,16083,0
AMC,D,19980402,000000,48.068,48.442,48.068,48.442,4537,0
AMC,D,19980406,000000,48.442,48.815,47.697,48.815,20420,0
AMC,D,19980407,000000,48.442,48.442,47.323,47.323,9912,0
AMC,D,19980408,000000,48.068,48.068,46.953,46.953,9725,0
AMC,D,19980409,000000,46.206,46.579,46.206,46.579,10234,0
AMC,D,19980414,000000,46.206,46.579,46.206,46.579,5455,0
AMC,D,19980415,000000,46.206,46.206,45.459,46.206,9282,0
AMC,D,19980416,000000,45.835,47.697,45.459,45.459,3183,0
AMC,D,19980417,000000,49.186,49.186,46.579,46.579,8737,0
AMC,D,19980420,000000,46.206,46.206,45.459,45.835,11973,0
AMC,D,19980421,000000,45.459,45.459,44.715,44.715,2033,0
AMC,D,19980422,000000,45.459,45.835,45.459,45.835,10733,0
AMC,D,19980423,000000,45.459,45.835,45.459,45.835,18089,0
AMC,D,19980424,000000,46.206,47.323,46.206,46.953,9313,0
AMC,D,19980427,000000,46.953,46.953,46.206,46.206,28784,0
AMC,D,19980428,000000,46.953,46.953,46.953,46.953,13715,0
AMC,D,19980429,000000,45.459,45.459,45.088,45.088,6416,0
AMC,D,19980430,000000,45.459,45.459,44.715,45.088,2259,0
AMC,D,19980504,000000,45.459,45.459,44.715,45.088,16608,0
AMC,D,19980505,000000,45.459,45.459,45.088,45.088,18754,0
AMC,D,19980506,000000,45.459,45.459,44.715,44.715,2376,0
AMC,D,19980507,000000,46.206,46.206,46.206,46.206,34405,0
AMC,D,19980508,000000,45.459,46.206,45.459,45.835,70707,0
AMC,D,19980511,000000,46.953,46.953,45.459,45.459,22986,0
AMC,D,19980512,000000,45.088,45.088,43.97,43.97,6752,0
AMC,D,19980513,000000,43.596,43.596,42.481,42.481,6912,0
AMC,D,19980514,000000,42.107,42.107,40.988,41.736,7252,0
AMC,D,19980515,000000,40.988,41.362,39.872,40.988,9038,0
AMC,D,19980518,000000,38.754,38.754,37.636,37.636,6417,0
AMC,D,19980519,000000,36.593,36.593,36.145,36.145,3304,0
AMC,D,19980520,000000,35.325,35.325,33.164,33.76,3539,0
AMC,D,19980521,000000,38.754,38.754,37.264,37.264,45638,0
AMC,D,19980522,000000,38.009,38.009,36.518,36.518,18660,0
AMC,D,19980525,000000,34.655,35.028,33.835,33.909,4437,0
AMC,D,19980526,000000,33.537,33.537,32.792,32.941,4219,0
AMC,D,19980527,000000,30.184,30.184,28.172,28.172,7591,0
AMC,D,19980528,000000,28.32,28.394,27.946,27.946,25694,0
AMC,D,19980529,000000,26.829,26.829,26.084,26.382,15998,0
AMC,D,19980601,000000,25.711,25.711,25.264,25.338,23445,0
AMC,D,19980602,000000,24.221,24.519,23.848,24.296,31772,0
AMC,D,19980603,000000,24.594,26.457,24.594,26.009,51726,0
AMC,D,19980604,000000,25.711,27.202,25.711,26.68,83874,0
AMC,D,19980605,000000,28.244,30.257,28.244,30.257,26768,0
AMC,D,19980608,000000,31.002,32.046,30.704,31.152,30953,0
AMC,D,19980609,000000,31.375,31.673,30.927,31.078,49162,0
AMC,D,19980610,000000,30.555,31.599,30.109,31.375,94252,0
AMC,D,19980615,000000,29.065,29.065,27.575,27.873,25012,0
AMC,D,19980616,000000,28.32,30.035,28.32,30.035,39977,0
AMC,D,19980617,000000,30.184,30.184,29.811,29.959,67383,0
AMC,D,19980618,000000,31.3,31.3,30.407,30.63,17142,0
AMC,D,19980619,000000,28.99,29.587,28.172,29.587,16264,0
AMC,D,19980622,000000,28.32,28.692,28.32,28.469,7830,0
AMC,D,19980623,000000,28.32,28.32,28.32,28.32,7290,0
AMC,D,19980624,000000,27.575,27.575,26.829,26.829,6591,0
AMC,D,19980625,000000,26.829,27.649,26.829,27.649,16468,0
AMC,D,19980626,000000,26.457,26.829,26.457,26.457,16216,0
AMC,D,19980629,000000,25.711,26.084,25.711,25.786,13992,0
AMC,D,19980630,000000,25.786,26.68,25.786,26.531,9746,0
AMC,D,19980701,000000,26.084,26.68,26.084,26.606,24424,0
AMC,D,19980702,000000,26.829,27.276,26.829,27.276,28426,0
AMC,D,19980703,000000,27.426,27.946,27.202,27.946,20925,0
AMC,D,19980706,000000,27.873,27.873,27.351,27.798,12839,0
AMC,D,19980707,000000,28.172,28.469,27.798,28.469,27897,0
AMC,D,19980708,000000,28.394,28.394,28.32,28.394,21842,0
AMC,D,19980709,000000,28.768,28.768,28.768,28.768,20630,0
AMC,D,19980710,000000,28.99,29.065,28.99,29.065,27848,0
AMC,D,19980713,000000,29.065,29.885,29.065,29.811,42063,0
AMC,D,19980714,000000,29.065,29.065,28.768,28.99,33886,0
AMC,D,19980715,000000,26.158,27.575,26.158,27.575,15748,0
AMC,D,19980716,000000,27.202,27.426,26.979,27.426,14103,0
AMC,D,19980717,000000,26.457,26.531,26.308,26.531,25391,0
AMC,D,19980720,000000,26.084,26.754,26.084,26.754,13627,0
AMC,D,19980721,000000,26.084,26.084,23.475,24.967,13962,0
AMC,D,19980722,000000,25.116,25.116,24.594,24.594,8088,0
AMC,D,19980723,000000,24.594,25.563,24.594,25.487,13661,0
AMC,D,19980724,000000,24.668,24.967,24.444,24.594,12154,0
AMC,D,19980727,000000,23.848,23.848,22.656,22.955,5412,0
AMC,D,19980728,000000,22.955,22.955,22.358,22.358,14695,0
AMC,D,19980729,000000,22.358,22.358,22.358,22.358,12090,0
AMC,D,19980730,000000,21.688,22.58,21.688,21.837,22166,0
AMC,D,19980731,000000,22.358,22.358,21.985,21.985,8899,0
AMC,D,19980803,000000,21.463,21.463,20.868,20.868,3569,0
AMC,D,19980804,000000,20.496,21.091,20.496,21.091,7579,0
AMC,D,19980805,000000,19.751,19.751,19.377,19.6,9656,0
AMC,D,19980806,000000,19.377,20.496,19.003,19.003,9280,0
AMC,D,19980807,000000,19.003,19.751,19.003,19.003,4020,0
AMC,D,19980810,000000,18.706,18.706,17.661,17.887,6819,0
AMC,D,19980811,000000,17.514,17.514,16.172,16.172,6121,0
AMC,D,19980812,000000,16.395,16.769,16.246,16.619,24931,0
AMC,D,19980813,000000,14.756,14.904,14.161,14.233,14156,0
AMC,D,19980814,000000,14.98,15.279,14.98,15.204,68777,0
AMC,D,19980817,000000,14.681,14.681,14.161,14.458,21672,0
AMC,D,19980818,000000,14.681,14.904,14.681,14.756,50493,0
AMC,D,19980819,000000,16.098,16.917,15.948,16.694,139404,0
AMC,D,19980820,000000,16.917,17.142,16.843,16.917,292535,0
AMC,D,19980821,000000,16.843,16.843,16.024,16.395,49187,0
AMC,D,19980824,000000,16.991,16.991,16.321,16.619,79156,0
AMC,D,19980825,000000,17.142,17.364,16.991,17.142,99261,0
AMC,D,19980826,000000,17.067,17.067,15.575,16.098,129177,0
AMC,D,19980827,000000,15.427,15.427,14.161,14.161,38407,0
AMC,D,19980828,000000,13.936,14.756,13.266,14.383,38252,0
AMC,D,19980831,000000,14.233,14.233,13.861,14.012,48406,0
AMC,D,19980901,000000,12.819,13.489,12.819,12.968,45065,0
AMC,D,19980902,000000,14.085,14.532,14.085,14.161,46773,0
AMC,D,19980903,000000,14.012,14.012,13.116,13.116,47455,0
AMC,D,19980904,000000,13.415,14.161,13.415,14.085,21063,0
AMC,D,19980907,000000,14.756,15.651,14.756,14.904,33629,0
AMC,D,19980908,000000,15.575,16.395,15.352,16.321,78448,0
AMC,D,19980909,000000,15.724,16.024,15.651,15.651,81140,0
AMC,D,19980910,000000,15.129,15.427,14.904,15.129,24328,0
AMC,D,19980911,000000,15.501,16.098,15.279,16.098,47240,0
AMC,D,19980914,000000,16.246,17.067,16.246,16.917,29333,0
AMC,D,19980915,000000,16.843,16.843,16.246,16.246,36183,0
AMC,D,19980916,000000,17.29,17.514,17.142,17.29,33822,0
AMC,D,19980917,000000,16.395,16.395,15.651,15.799,28692,0
AMC,D,19980918,000000,15.575,16.172,15.575,16.172,14443,0
AMC,D,19980921,000000,15.501,15.501,14.607,14.98,36500,0
AMC,D,19980922,000000,16.991,17.142,16.917,16.917,18023,0
AMC,D,19980923,000000,15.352,15.948,15.352,15.874,196146,0
AMC,D,19980924,000000,16.843,16.991,16.544,16.619,53682,0
AMC,D,19980925,000000,15.874,15.874,15.799,15.874,50044,0
AMC,D,19980928,000000,16.395,16.395,15.799,16.172,19812,0
AMC,D,19980929,000000,16.321,16.321,15.874,16.172,16392,0
AMC,D,19980930,000000,15.501,15.501,15.129,15.279,23992,0
AMC,D,19981001,000000,14.012,14.012,13.861,14.012,40992,0
AMC,D,19981002,000000,13.713,14.161,13.713,14.161,19931,0
AMC,D,19981005,000000,13.415,13.415,12.893,12.893,33544,0
AMC,D,19981006,000000,12.148,12.445,12.073,12.297,21033,0
AMC,D,19981007,000000,12.445,12.445,11.924,12.073,18001,0
AMC,D,19981008,000000,12.893,12.893,11.851,11.998,35819,0
AMC,D,19981009,000000,12.297,12.521,12.297,12.521,8180,0
