<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APL,D,19971014,000000,6.5,6.5,6.5,6.5,180148,0
APL,D,19971015,000000,7.05,7.05,7.05,7.05,417464,0
APL,D,19971016,000000,6.35,6.35,6.35,6.35,178863,0
APL,D,19971017,000000,5.75,5.75,5.75,5.75,170508,0
APL,D,19971020,000000,5.2,5.2,5.2,5.2,0,0
APL,D,19971021,000000,4.7,4.7,4.7,4.7,73966,0
APL,D,19971022,000000,4.7,4.7,4.7,4.7,382557,0
APL,D,19971023,000000,5.05,5.05,5.05,5.05,451474,0
APL,D,19971024,000000,4.55,4.55,4.55,4.55,307319,0
APL,D,19971027,000000,4.15,4.15,4.15,4.15,153321,0
APL,D,19971028,000000,3.75,3.75,3.75,3.75,0,0
APL,D,19971029,000000,4.1,4.1,4.1,4.1,0,0
APL,D,19971030,000000,3.95,3.95,3.95,3.95,146367,0
APL,D,19971031,000000,4.2,4.2,4.2,4.2,60746,0
APL,D,19971103,000000,4.6,4.6,4.6,4.6,137439,0
APL,D,19971104,000000,4.55,4.55,4.55,4.55,101375,0
APL,D,19971105,000000,4.6,4.6,4.6,4.6,58124,0
APL,D,19971106,000000,4.6,4.6,4.6,4.6,26241,0
APL,D,19971107,000000,4.5,4.5,4.5,4.5,81326,0
APL,D,19971112,000000,4.5,4.5,4.5,4.5,52965,0
APL,D,19971113,000000,4.5,4.5,4.5,4.5,123954,0
APL,D,19971114,000000,4.9,4.9,4.9,4.9,105519,0
APL,D,19971117,000000,5.1,5.1,5.1,5.1,114437,0
APL,D,19971118,000000,5.2,5.2,5.2,5.2,110779,0
APL,D,19971119,000000,4.7,4.7,4.7,4.7,120904,0
APL,D,19971120,000000,4.85,4.85,4.85,4.85,75838,0
APL,D,19971121,000000,4.9,4.9,4.9,4.9,88540,0
APL,D,19971124,000000,4.7,4.7,4.7,4.7,118750,0
APL,D,19971125,000000,4.7,4.7,4.7,4.7,79525,0
APL,D,19971126,000000,4.9,4.9,4.9,4.9,46790,0
