<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APN,D,20090525,000000,5.9902,5.9902,5.4721,5.5557,263850,0
APN,D,20090526,000000,5.7645,5.7645,5.2047,5.3301,51527,0
APN,D,20090527,000000,5.3384,5.3384,4.9291,5.0126,41938,0
APN,D,20090528,000000,5.021,5.021,4.8371,4.8873,21989,0
APN,D,20090529,000000,4.8455,5.1797,4.7201,5.0378,38848,0
APN,D,20090601,000000,5.2132,5.2132,5.0126,5.1129,9475,0
APN,D,20090602,000000,5.0126,5.1714,4.9457,5.1546,26570,0
APN,D,20090603,000000,5.1379,5.1379,5.0126,5.0878,4077,0
APN,D,20090604,000000,5.0878,5.2047,5.0627,5.0627,7477,0
APN,D,20090605,000000,5.0627,5.1129,5.0378,5.1129,1588,0
APN,D,20090608,000000,5.1045,5.1379,5.0126,5.1129,6898,0
APN,D,20090609,000000,5.1129,5.1129,5.0293,5.0961,2189,0
APN,D,20090610,000000,5.0961,5.1964,5.0961,5.1379,8305,0
APN,D,20090612,000000,5.1294,5.1881,5.1212,5.1212,2847,0
APN,D,20090615,000000,5.0794,5.2215,5.0794,5.2215,1152,0
APN,D,20090616,000000,5.0794,5.1797,5.0545,5.1797,2106,0
APN,D,20090617,000000,5.163,5.1881,5.1379,5.1379,8177,0
APN,D,20090618,000000,5.0794,5.1546,5.0794,5.1546,350,0
APN,D,20090619,000000,5.0794,5.1797,5.0711,5.0961,3543,0
APN,D,20090622,000000,5.046,5.1379,4.9457,5.0126,12009,0
APN,D,20090623,000000,5.0126,5.0711,4.9457,5.0711,428,0
APN,D,20090624,000000,5.1379,5.1379,5.1294,5.1379,4789,0
APN,D,20090625,000000,5.1546,5.1546,5.0126,5.0126,2247,0
APN,D,20090626,000000,5.1129,5.1129,5.0126,5.0126,210,0
APN,D,20090629,000000,5.0711,5.0711,5.0711,5.0711,241,0
APN,D,20090630,000000,5.0293,5.0293,5.0293,5.0293,839,0
APN,D,20090701,000000,4.9542,5.0627,4.8623,5.0126,5035,0
APN,D,20090702,000000,5.0627,5.0961,4.9291,4.9291,12788,0
APN,D,20090703,000000,4.996,4.996,4.996,4.996,358,0
APN,D,20090706,000000,5.0126,5.0126,5.0126,5.0126,1795,0
APN,D,20090707,000000,4.9709,5.0126,4.9709,5.0126,789,0
APN,D,20090709,000000,4.9124,5.0043,4.8455,4.8455,10478,0
APN,D,20090710,000000,4.8455,5.0043,4.8455,5.0043,2733,0
APN,D,20090713,000000,5.0043,5.0043,4.8455,5.0043,1514,0
APN,D,20090715,000000,5.0043,5.0043,4.7788,4.9291,2134,0
APN,D,20090716,000000,4.9626,4.9626,4.8873,4.9626,4164,0
APN,D,20090717,000000,4.8957,5.0043,4.8957,5.0043,499,0
APN,D,20090720,000000,4.8539,4.8539,4.8539,4.8539,1564,0
APN,D,20090721,000000,4.9124,5.0043,4.9124,4.9206,3020,0
APN,D,20090722,000000,4.9206,5.0878,4.9206,5.0878,499,0
APN,D,20090723,000000,5.0545,5.0711,5.0545,5.0545,2394,0
APN,D,20090724,000000,5.0878,5.1461,5.0545,5.0545,4388,0
APN,D,20090727,000000,5.0878,5.0878,4.9793,4.9793,2186,0
APN,D,20090728,000000,4.9793,5.021,4.9793,5.021,224,0
APN,D,20090729,000000,4.9793,5.0126,4.9709,4.9793,2007,0
APN,D,20090730,000000,5.046,5.0794,4.9793,4.9877,7970,0
APN,D,20090731,000000,5.0545,5.0545,4.996,5.0126,3621,0
APN,D,20090803,000000,5.0126,5.0545,4.996,5.046,1365,0
