<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APR,D,20160606,000000,2.3993,2.3993,2.3595,2.3694,10135,0
APR,D,20160607,000000,2.4192,2.4889,2.3694,2.3893,3109,0
APR,D,20160608,000000,2.4889,2.4889,2.3993,2.4789,919,0
APR,D,20160609,000000,2.5785,2.5884,2.4192,2.4192,36605,0
APR,D,20160610,000000,2.4889,2.4889,2.4092,2.4391,6303,0
APR,D,20160613,000000,2.4391,2.6482,2.4391,2.5188,22759,0
APR,D,20160614,000000,2.5387,2.5785,2.5287,2.5785,7238,0
APR,D,20160615,000000,2.7876,2.7876,2.6084,2.6283,13770,0
APR,D,20160616,000000,2.8772,2.8772,2.698,2.698,15446,0
APR,D,20160617,000000,2.698,2.7577,2.6283,2.7577,4485,0
APR,D,20160620,000000,2.9767,3.136,2.8075,2.8174,26382,0
APR,D,20160621,000000,2.9767,2.9767,2.8075,2.9269,8937,0
APR,D,20160622,000000,2.9269,3.1858,2.8871,3.126,142543,0
APR,D,20160623,000000,3.1659,3.365,2.9767,3.0364,244156,0
APR,D,20160624,000000,2.7876,2.917,2.688,2.8772,130970,0
APR,D,20160627,000000,2.9668,2.9767,2.8772,2.9668,75757,0
APR,D,20160628,000000,2.9668,2.9767,2.8373,2.8971,63277,0
APR,D,20160629,000000,3.1758,3.1758,2.9369,3.0962,64384,0
APR,D,20160630,000000,3.1559,3.1559,3.0464,3.0962,13472,0
APR,D,20160701,000000,3.136,3.136,2.9966,3.0763,6485,0
APR,D,20160704,000000,3.0165,3.0763,2.8871,2.9468,15081,0
APR,D,20160705,000000,2.9867,2.9867,2.8971,2.9369,4183,0
APR,D,20160706,000000,2.9767,2.9767,2.8373,2.8772,9638,0
APR,D,20160707,000000,2.917,2.917,2.7975,2.8672,10660,0
APR,D,20160708,000000,2.8672,2.9867,2.8373,2.9568,26992,0
APR,D,20160711,000000,2.9568,3.126,2.9568,3.1161,594534,0
APR,D,20160712,000000,3.1061,3.1858,3.0862,3.146,243921,0
APR,D,20160713,000000,3.1659,3.2853,3.1061,3.2853,320031,0
APR,D,20160714,000000,3.2853,3.5143,3.2853,3.4645,450254,0
APR,D,20160715,000000,3.4745,3.4844,3.365,3.3948,106907,0
APR,D,20160718,000000,3.3948,3.4446,3.355,3.4347,87269,0
APR,D,20160719,000000,3.4446,3.4446,3.365,3.365,84830,0
APR,D,20160720,000000,3.365,3.4247,3.3052,3.4247,292001,0
APR,D,20160721,000000,3.3849,3.4148,3.2853,3.355,119304,0
APR,D,20160722,000000,3.355,3.4247,3.3351,3.4148,64411,0
APR,D,20160725,000000,3.3948,3.4048,3.3351,3.4048,80376,0
APR,D,20160726,000000,3.4048,3.4048,3.3351,3.3849,25986,0
APR,D,20160727,000000,3.3849,3.3849,3.3351,3.3749,244532,0
APR,D,20160728,000000,3.3351,3.3849,3.3351,3.3849,101331,0
APR,D,20160729,000000,3.3849,3.5044,3.3451,3.4844,501614,0
APR,D,20160801,000000,3.4645,3.5641,3.4645,3.5243,22904,0
APR,D,20160802,000000,3.5342,3.5541,3.4844,3.5243,49093,0
APR,D,20160803,000000,3.5044,3.5243,3.4844,3.4944,45157,0
APR,D,20160804,000000,3.5342,3.5541,3.4944,3.5541,23874,0
APR,D,20160805,000000,3.5342,3.7831,3.5342,3.7732,158812,0
APR,D,20160808,000000,3.8329,3.8329,3.7134,3.7333,42045,0
APR,D,20160809,000000,3.7333,3.7632,3.5442,3.7035,88601,0
APR,D,20160810,000000,3.7035,3.7333,3.6736,3.7234,58003,0
APR,D,20160811,000000,3.7532,3.7532,3.7134,3.7234,30744,0
APR,D,20160812,000000,3.7333,3.7333,3.6836,3.7134,104850,0
APR,D,20160816,000000,3.7433,3.7433,3.6836,3.6836,71503,0
APR,D,20160817,000000,3.7333,3.7333,3.5541,3.6139,116607,0
APR,D,20160818,000000,3.6437,3.6736,3.594,3.6139,163729,0
APR,D,20160819,000000,3.6139,3.6736,3.594,3.6139,17705,0
APR,D,20160822,000000,3.6139,3.6238,3.6039,3.6039,24116,0
APR,D,20160823,000000,3.6238,3.6338,3.584,3.6039,51695,0
APR,D,20160824,000000,3.6338,3.6338,3.574,3.6238,14251,0
APR,D,20160825,000000,3.6238,3.6238,3.4645,3.574,42084,0
APR,D,20160826,000000,3.584,3.6039,3.4844,3.574,28825,0
APR,D,20160829,000000,3.5541,3.584,3.4944,3.5442,86942,0
APR,D,20160830,000000,3.5541,3.5541,3.4944,3.5342,22631,0
APR,D,20160831,000000,3.584,3.584,3.5044,3.5541,56054,0
