<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARH,D,20160322,000000,11.24,11.24,10.582,10.964,8619,0
ARH,D,20160323,000000,11.035,11.035,10.009,10.823,9303,0
ARH,D,20160324,000000,10.787,10.893,10.787,10.893,2457,0
ARH,D,20160329,000000,10.681,10.688,10.61,10.688,2616,0
ARH,D,20160330,000000,10.688,10.964,10.688,10.957,4920,0
ARH,D,20160331,000000,10.618,10.915,10.618,10.915,29,0
ARH,D,20160401,000000,10.859,10.859,10.859,10.859,149,0
ARH,D,20160404,000000,10.859,10.859,10.859,10.859,233,0
ARH,D,20160405,000000,10.859,10.859,10.787,10.787,1566,0
ARH,D,20160406,000000,10.859,10.859,10.681,10.681,996,0
ARH,D,20160407,000000,10.787,10.787,10.645,10.645,168,0
ARH,D,20160408,000000,10.645,10.964,10.645,10.653,3317,0
ARH,D,20160411,000000,10.951,10.951,10.951,10.951,1,0
ARH,D,20160412,000000,10.653,10.872,10.645,10.872,474,0
ARH,D,20160413,000000,10.851,10.851,10.653,10.851,372,0
ARH,D,20160414,000000,10.753,10.823,10.753,10.823,1138,0
ARH,D,20160415,000000,10.61,10.795,10.54,10.795,2517,0
ARH,D,20160418,000000,10.618,10.618,10.604,10.604,1194,0
ARH,D,20160419,000000,10.554,10.554,10.527,10.527,1156,0
ARH,D,20160420,000000,10.505,10.505,10.044,10.059,2248,0
ARH,D,20160421,000000,10.257,10.328,10.257,10.257,979,0
ARH,D,20160422,000000,10.257,10.54,10.257,10.54,156,0
ARH,D,20160425,000000,10.328,10.328,10.053,10.053,1428,0
ARH,D,20160426,000000,10.292,10.753,10.292,10.753,4121,0
ARH,D,20160427,000000,10.753,11.106,10.753,10.759,11225,0
ARH,D,20160428,000000,10.766,10.766,10.766,10.766,417,0
ARH,D,20160502,000000,10.823,10.823,10.823,10.823,135,0
ARH,D,20160504,000000,10.363,10.568,10.349,10.349,1648,0
ARH,D,20160506,000000,10.468,10.957,10.468,10.54,1414,0
ARH,D,20160509,000000,10.61,10.61,10.61,10.61,15,0
ARH,D,20160510,000000,10.61,10.66,10.61,10.66,1020,0
ARH,D,20160511,000000,10.624,11.028,10.624,10.964,3954,0
