<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARR,D,20061215,000000,20.706,22.497,16.918,20.248,376476,0
ARR,D,20061218,000000,21.147,22.318,19.438,19.978,56991,0
ARR,D,20061219,000000,19.707,19.707,17.179,17.188,37521,0
ARR,D,20061220,000000,17.881,18.35,17.017,17.521,17186,0
ARR,D,20061221,000000,17.107,18.268,17.099,17.548,12615,0
ARR,D,20061222,000000,17.719,17.719,17.107,17.152,11876,0
ARR,D,20061227,000000,17.521,17.953,17.188,17.314,5341,0
ARR,D,20061228,000000,17.232,17.359,16.559,17.099,3027,0
ARR,D,20061229,000000,17.458,17.773,17.017,17.773,3638,0
ARR,D,20070102,000000,17.791,18.035,17.278,17.819,4089,0
ARR,D,20070103,000000,17.863,17.863,16.828,17.404,7378,0
ARR,D,20070104,000000,17.377,17.377,16.738,17.089,5552,0
ARR,D,20070105,000000,16.918,17.099,16.918,17.099,4995,0
ARR,D,20070108,000000,17.252,17.782,17.116,17.287,9467,0
ARR,D,20070109,000000,17.332,17.414,17.152,17.323,4192,0
ARR,D,20070110,000000,17.539,17.863,17.359,17.71,2499,0
ARR,D,20070111,000000,17.773,18.089,17.404,18.089,11461,0
ARR,D,20070112,000000,18.142,19.798,18.142,19.096,6578,0
ARR,D,20070115,000000,19.348,20.068,19.078,19.843,45937,0
ARR,D,20070116,000000,19.789,19.843,19.357,19.798,18096,0
ARR,D,20070117,000000,20.022,21.508,19.617,21.238,63342,0
ARR,D,20070118,000000,22.857,23.307,22.137,22.849,68213,0
ARR,D,20070119,000000,23.217,23.307,21.687,22.137,19041,0
ARR,D,20070122,000000,21.624,21.624,21.058,21.058,6870,0
ARR,D,20070123,000000,20.877,20.904,20.517,20.877,3229,0
ARR,D,20070124,000000,20.698,21.058,20.517,20.958,9331,0
ARR,D,20070125,000000,22.497,24.703,22.147,23.856,114263,0
ARR,D,20070126,000000,24.298,25.161,22.974,24.567,33892,0
ARR,D,20070129,000000,24.567,24.567,23.488,23.847,4902,0
ARR,D,20070130,000000,23.578,23.847,22.947,23.65,8535,0
ARR,D,20070131,000000,22.678,23.173,22.678,23.127,2061,0
ARR,D,20070201,000000,23.127,23.568,22.768,23.532,8987,0
ARR,D,20070202,000000,22.686,23.398,22.588,22.768,6910,0
ARR,D,20070205,000000,22.497,23.038,22.497,22.947,7876,0
ARR,D,20070206,000000,22.768,23.217,22.588,23.217,5884,0
ARR,D,20070207,000000,23.217,23.398,22.768,22.857,8142,0
ARR,D,20070208,000000,22.678,22.678,21.597,21.624,13773,0
ARR,D,20070209,000000,21.444,21.643,21.444,21.454,5447,0
ARR,D,20070212,000000,21.418,21.418,20.347,21.049,15144,0
ARR,D,20070213,000000,21.147,21.193,20.698,21.139,6440,0
ARR,D,20070214,000000,21.147,21.147,20.517,20.526,3793,0
ARR,D,20070215,000000,21.238,21.778,20.924,21.085,11584,0
ARR,D,20070216,000000,21.426,22.947,21.426,22.497,22626,0
ARR,D,20070219,000000,22.497,23.038,21.859,23.028,10492,0
