<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASB,D,20071030,000000,3.9222,4.1715,3.7407,3.905,230787,0
ASB,D,20071031,000000,3.8993,3.8993,3.769,3.769,38896,0
ASB,D,20071102,000000,3.7973,3.8822,3.769,3.8256,43545,0
ASB,D,20071105,000000,3.8993,3.8993,3.769,3.769,33932,0
ASB,D,20071106,000000,3.8256,3.8256,3.7973,3.8256,23349,0
ASB,D,20071107,000000,3.8256,3.8313,3.6273,3.6273,77820,0
ASB,D,20071108,000000,3.6558,3.7349,3.293,3.7349,58180,0
ASB,D,20071109,000000,3.4856,3.7407,3.4856,3.7349,25289,0
ASB,D,20071112,000000,3.905,3.905,3.514,3.684,19972,0
ASB,D,20071113,000000,3.7407,3.7577,3.684,3.684,92412,0
ASB,D,20071114,000000,3.9107,3.9107,3.684,3.82,604,0
ASB,D,20071115,000000,3.684,3.7577,3.4119,3.7577,10161,0
ASB,D,20071116,000000,3.6782,3.684,3.6782,3.684,2308,0
ASB,D,20071119,000000,3.7407,3.7577,3.7407,3.7577,174,0
ASB,D,20071120,000000,3.7407,3.7407,3.5366,3.5366,834,0
ASB,D,20071121,000000,3.3609,3.3609,3.1172,3.1172,2542,0
ASB,D,20071122,000000,3.1172,3.1172,3.1172,3.1172,1235,0
ASB,D,20071123,000000,2.8395,3.5083,2.8395,3.5083,796,0
ASB,D,20071126,000000,3.7349,3.7577,3.4006,3.4006,10464,0
ASB,D,20071127,000000,3.4006,3.5648,3.4006,3.4856,1505,0
ASB,D,20071128,000000,3.2873,3.684,3.2873,3.684,21496,0
ASB,D,20071130,000000,3.3723,3.7973,3.3723,3.7973,153401,0
ASB,D,20071203,000000,3.7973,3.9107,3.684,3.9107,57663,0
ASB,D,20071205,000000,3.7917,3.854,3.6046,3.7973,14011,0
ASB,D,20071206,000000,3.7973,3.905,3.7973,3.905,16004,0
ASB,D,20071210,000000,3.6782,3.7917,3.6782,3.6897,1815,0
ASB,D,20071211,000000,3.684,4.109,3.684,4.109,133114,0
ASB,D,20071212,000000,4.1204,4.1204,3.9786,4.0807,11605,0
ASB,D,20071213,000000,3.9786,4.0751,3.9786,4.0751,1498,0
ASB,D,20071214,000000,3.9222,4.0807,3.684,4.0807,179977,0
ASB,D,20071217,000000,4.0751,4.0751,4.007,4.007,1156,0
ASB,D,20071218,000000,3.9674,3.9674,3.9674,3.9674,353,0
ASB,D,20071219,000000,4.0807,4.0807,4.0807,4.0807,3528,0
ASB,D,20071220,000000,4.0807,4.4775,4.0807,4.4775,38914,0
ASB,D,20071221,000000,4.4775,4.8175,4.4775,4.6475,16493,0
ASB,D,20071227,000000,4.6532,5.0442,4.6475,4.8175,10234,0
ASB,D,20071228,000000,5.0159,5.1009,4.8458,4.9874,35215,0
ASB,D,20080102,000000,5.1859,5.1859,4.9874,5.1009,11828,0
ASB,D,20080103,000000,5.0442,5.1009,4.8175,4.8175,10207,0
ASB,D,20080104,000000,4.8175,4.8175,4.8175,4.8175,3297,0
ASB,D,20080107,000000,4.7155,4.7155,4.3584,4.5341,8385,0
ASB,D,20080108,000000,4.364,4.3697,4.364,4.3697,2961,0
ASB,D,20080109,000000,4.1374,4.3075,4.0241,4.3075,11276,0
ASB,D,20080110,000000,4.1374,4.1884,4.0241,4.1884,4064,0
ASB,D,20080111,000000,4.1374,4.1374,3.9729,4.109,5898,0
ASB,D,20080114,000000,4.1261,4.1261,3.7407,3.9674,10810,0
ASB,D,20080115,000000,3.9674,4.2507,3.9674,4.0807,5339,0
ASB,D,20080116,000000,3.854,3.9674,3.514,3.854,14609,0
ASB,D,20080117,000000,3.7407,4.1374,3.7407,3.7973,67052,0
ASB,D,20080118,000000,3.9674,3.9674,3.854,3.8654,4056,0
ASB,D,20080121,000000,3.9674,3.9674,3.4912,3.769,5605,0
ASB,D,20080122,000000,3.8822,3.8822,3.684,3.684,1060,0
ASB,D,20080123,000000,3.8654,3.8822,3.684,3.684,32022,0
ASB,D,20080124,000000,3.7407,4.0523,3.684,4.0523,3133,0
ASB,D,20080125,000000,4.4775,4.4775,3.9958,4.0523,10040,0
ASB,D,20080128,000000,4.0807,4.0807,3.7407,3.7803,1586,0
ASB,D,20080129,000000,3.837,4.2395,3.7973,3.7973,2688,0
