<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASM,D,20130318,000000,2.1078,2.1078,1.7911,1.9791,1529,0
ASM,D,20130319,000000,1.6823,1.6823,1.5635,1.5635,1221,0
ASM,D,20130320,000000,1.237,1.237,1.237,1.237,218,0
ASM,D,20130321,000000,1.5635,1.5635,1.5635,1.5635,77,0
ASM,D,20130326,000000,1.0786,1.0786,1.0786,1.0786,446,0
ASM,D,20130327,000000,1.0786,1.0786,1.0786,1.0786,202,0
ASM,D,20130328,000000,0.9896,0.9896,0.9797,0.9797,233,0
ASM,D,20130408,000000,0.9797,0.9797,0.9797,0.9797,1498,0
ASM,D,20130606,000000,0.8906,1.0588,0.8906,1.0588,3032,0
ASM,D,20130611,000000,1.138,1.138,1.138,1.138,506,0
ASM,D,20130619,000000,1.1578,1.1578,1.1578,1.1578,102,0
ASM,D,20130710,000000,1.2864,1.2864,1.2864,1.2864,10,0
ASM,D,20130819,000000,1.2864,1.2864,1.2864,1.2864,1,0
ASM,D,20130902,000000,1.1875,1.1875,1.1875,1.1875,615,0
ASM,D,20130917,000000,1.2864,1.2864,1.2864,1.2864,1171,0
ASM,D,20130918,000000,1.5833,1.5833,1.5833,1.5833,960,0
ASM,D,20130919,000000,2.1078,2.1078,2.1078,2.1078,1012,0
ASM,D,20130920,000000,2.1078,2.1078,2.1078,2.1078,303,0
ASM,D,20130925,000000,1.9791,1.9791,1.9791,1.9791,303,0
ASM,D,20131014,000000,2.0484,2.0484,2.0484,2.0484,1465,0
ASM,D,20140107,000000,1.989,1.989,1.989,1.989,1,0
ASM,D,20140108,000000,2.0682,2.0682,2.0682,2.0682,1,0
ASM,D,20140930,000000,2.0781,2.0781,2.0781,2.0781,808,0
ASM,D,20141001,000000,2.4739,2.4739,2.4739,2.4739,808,0
ASM,D,20141010,000000,2.1276,2.1276,2.1276,2.1276,25,0
ASM,D,20141013,000000,2.1276,2.1276,2.1276,2.1276,783,0
ASM,D,20141016,000000,1.9791,1.9791,1.9791,1.9791,1,0
ASM,D,20141027,000000,1.9791,1.9791,1.9791,1.9791,807,0
ASM,D,20141223,000000,2.1276,2.1276,2.1276,2.1276,35,0
ASM,D,20150107,000000,1.9989,1.9989,1.9989,1.9989,35,0
ASM,D,20150128,000000,2.1474,2.1474,2.1474,2.1474,10,0
ASM,D,20150204,000000,1.9989,1.9989,1.9989,1.9989,10,0
ASM,D,20150330,000000,2.1474,2.1474,2.1474,2.1474,10,0
ASM,D,20150427,000000,2.177,2.177,2.177,2.177,10,0
ASM,D,20150430,000000,2.0286,2.0286,2.0286,2.0286,8,0
ASM,D,20150507,000000,2.0286,2.0286,2.0286,2.0286,2,0
ASM,D,20150826,000000,2.0286,2.0286,2.0286,2.0286,101,0
ASM,D,20151005,000000,2.0781,2.0781,2.0781,2.0781,475,0
ASM,D,20151006,000000,2.1375,2.1375,2.1375,2.1375,248,0
ASM,D,20151007,000000,2.1671,2.1869,2.1671,2.1869,1364,0
ASM,D,20151008,000000,2.2067,2.2166,2.2067,2.2166,1377,0
ASM,D,20151009,000000,2.2364,2.2562,2.2364,2.2562,2807,0
ASM,D,20151012,000000,2.2562,2.2562,2.2364,2.2364,638,0
ASM,D,20151013,000000,2.2364,2.2364,2.2364,2.2364,1011,0
ASM,D,20151014,000000,2.2364,2.2364,2.2166,2.2166,617,0
ASM,D,20151015,000000,2.2463,2.276,2.2463,2.276,1425,0
ASM,D,20151016,000000,2.2562,2.276,2.2562,2.276,1517,0
ASM,D,20151019,000000,2.2364,2.2562,2.2364,2.2562,1465,0
ASM,D,20151021,000000,2.2364,2.2364,2.2364,2.2364,404,0
ASM,D,20151022,000000,2.2364,2.2562,2.2166,2.2364,2073,0
ASM,D,20151023,000000,2.2562,2.2562,2.2562,2.2562,2319,0
ASM,D,20151026,000000,2.2364,2.2364,2.2364,2.2364,992,0
ASM,D,20151028,000000,2.2463,2.2463,2.2463,2.2463,1011,0
ASM,D,20151029,000000,2.2364,2.2364,2.2364,2.2364,1011,0
ASM,D,20151030,000000,2.2364,2.2562,2.2364,2.2562,1599,0
ASM,D,20151103,000000,2.2958,2.2958,2.276,2.276,2325,0
ASM,D,20151104,000000,2.276,2.276,2.276,2.276,1926,0
ASM,D,20151105,000000,2.276,2.2958,2.276,2.2958,2022,0
ASM,D,20151106,000000,2.3057,2.4739,2.3057,2.375,1023,0
ASM,D,20151109,000000,2.3255,2.3255,2.3057,2.3255,1698,0
