<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATL,D,20060224,000000,17.937,18.012,17.88,18.012,6691216,0
ATL,D,20060227,000000,17.88,17.984,17.88,17.899,130707,0
ATL,D,20060228,000000,18.003,18.088,18.003,18.022,19839,0
ATL,D,20060301,000000,18.097,18.097,18.097,18.097,5228928,0
ATL,D,20060302,000000,17.956,17.956,17.956,17.956,753689,0
ATL,D,20060303,000000,18.21,18.785,18.192,18.258,613327,0
ATL,D,20060306,000000,18.569,18.569,18.38,18.465,49121,0
ATL,D,20060307,000000,18.559,18.559,18.399,18.446,262476,0
ATL,D,20060308,000000,18.455,18.455,18.455,18.455,69385,0
ATL,D,20060310,000000,18.389,18.54,18.389,18.54,18248,0
ATL,D,20060313,000000,18.427,18.427,18.38,18.38,231390,0
ATL,D,20060314,000000,18.569,18.569,18.54,18.54,7427,0
ATL,D,20060315,000000,18.286,18.418,18.286,18.418,4040468,0
ATL,D,20060316,000000,18.361,18.361,18.305,18.333,890550,0
ATL,D,20060317,000000,18.012,18.097,18.012,18.097,403156,0
ATL,D,20060320,000000,18.389,18.389,18.333,18.333,34268,0
ATL,D,20060321,000000,18.314,18.314,18.314,18.314,356262,0
ATL,D,20060322,000000,18.512,18.587,18.512,18.587,95484,0
ATL,D,20060323,000000,18.559,18.823,18.559,18.823,68961,0
ATL,D,20060324,000000,18.54,18.804,18.54,18.729,56760,0
ATL,D,20060327,000000,18.54,18.587,18.484,18.587,124660,0
ATL,D,20060328,000000,18.672,18.785,18.672,18.785,48379,0
ATL,D,20060329,000000,18.701,18.701,18.672,18.672,49864,0
ATL,D,20060330,000000,18.371,18.437,18.286,18.437,18991,0
ATL,D,20060331,000000,18.484,18.578,18.399,18.399,2546,0
ATL,D,20060403,000000,18.493,18.493,18.333,18.333,193090,0
ATL,D,20060404,000000,18.399,18.399,18.126,18.258,79676,0
ATL,D,20060405,000000,18.427,18.437,18.361,18.361,7745,0
ATL,D,20060406,000000,18.54,18.54,18.352,18.352,111717,0
ATL,D,20060407,000000,18.521,18.521,18.465,18.465,275843,0
ATL,D,20060410,000000,18.484,18.484,18.455,18.455,25462,0
ATL,D,20060411,000000,18.342,18.437,18.116,18.295,65141,0
ATL,D,20060412,000000,18.399,18.399,18.144,18.229,30873,0
ATL,D,20060413,000000,18.437,18.437,18.163,18.248,102168,0
ATL,D,20060418,000000,18.116,18.116,17.843,17.928,17081,0
ATL,D,20060419,000000,17.739,17.739,17.626,17.626,432013,0
ATL,D,20060420,000000,17.852,17.852,17.617,17.617,106,0
ATL,D,20060421,000000,17.607,17.607,17.607,17.607,19097,0
ATL,D,20060424,000000,17.437,17.437,17.437,17.437,158186,0
ATL,D,20060425,000000,17.372,17.372,17.372,17.372,51349,0
ATL,D,20060426,000000,17.466,17.466,17.466,17.466,10609,0
ATL,D,20060428,000000,17.381,17.381,17.315,17.315,165294,0
ATL,D,20060502,000000,17.381,17.381,17.013,17.117,172402,0
ATL,D,20060503,000000,17.108,17.117,16.91,17.117,301200,0
ATL,D,20060504,000000,16.947,16.947,16.947,16.947,63868,0
ATL,D,20060505,000000,16.881,16.881,16.881,16.881,424374,0
ATL,D,20060508,000000,16.825,16.825,16.655,16.759,17612,0
ATL,D,20060509,000000,17.032,17.164,16.768,17.164,721436,0
ATL,D,20060510,000000,16.938,16.938,16.891,16.891,19839,0
ATL,D,20060511,000000,17.108,17.108,16.806,16.806,61428,0
ATL,D,20060515,000000,17.296,17.381,17.108,17.258,394668,0
ATL,D,20060516,000000,17.117,17.117,17.051,17.051,254837,0
ATL,D,20060517,000000,17.023,17.032,16.881,16.881,2652,0
ATL,D,20060518,000000,17.569,17.569,17.39,17.39,106,0
ATL,D,20060519,000000,17.06,17.06,17.051,17.051,37769,0
ATL,D,20060522,000000,17.258,17.258,16.787,16.787,38194,0
ATL,D,20060523,000000,16.712,16.834,16.712,16.834,4244,0
ATL,D,20060524,000000,16.551,16.551,15.552,15.826,592002,0
ATL,D,20060525,000000,16.042,16.042,15.402,15.665,156064,0
ATL,D,20060526,000000,15.42,15.741,15.42,15.571,59412,0
ATL,D,20060530,000000,15.439,15.816,15.439,15.816,18779,0
ATL,D,20060531,000000,15.835,15.835,15.552,15.835,58351,0
ATL,D,20060601,000000,15.665,15.703,15.665,15.665,2016,0
ATL,D,20060602,000000,15.392,15.496,15.392,15.496,16657,0
ATL,D,20060607,000000,15.392,15.458,15.392,15.458,1273,0
ATL,D,20060608,000000,15.251,15.251,15.166,15.251,530,0
ATL,D,20060609,000000,15.241,15.241,15.081,15.081,15914,0
ATL,D,20060613,000000,15.138,15.411,15.138,15.222,15596,0
ATL,D,20060614,000000,14.968,14.968,14.412,14.412,85299,0
ATL,D,20060615,000000,14.082,14.299,14.082,14.214,114581,0
ATL,D,20060616,000000,14.101,14.12,14.025,14.12,23871,0
ATL,D,20060619,000000,13.941,13.941,13.818,13.818,140998,0
ATL,D,20060620,000000,13.743,13.743,13.714,13.733,68749,0
ATL,D,20060621,000000,13.479,13.696,13.366,13.696,15702,0
ATL,D,20060627,000000,13.601,13.601,13.545,13.573,465008,0
ATL,D,20060628,000000,13.639,14.299,13.639,14.299,170492,0
ATL,D,20060629,000000,14.27,14.431,14.214,14.431,1133822,0
ATL,D,20060630,000000,14.28,14.506,14.28,14.412,73205,0
ATL,D,20060703,000000,14.61,14.61,14.431,14.431,1076850,0
ATL,D,20060704,000000,14.063,14.063,14.063,14.063,80631,0
ATL,D,20060705,000000,14.186,14.186,14.186,14.186,890443,0
ATL,D,20060707,000000,14.101,14.101,14.101,14.101,424,0
ATL,D,20060710,000000,14.054,14.204,14.054,14.204,128055,0
ATL,D,20060711,000000,14.336,14.336,14.336,14.336,424374,0
ATL,D,20060712,000000,14.167,14.336,14.167,14.336,10609,0
ATL,D,20060713,000000,14.384,14.572,14.384,14.572,114581,0
ATL,D,20060714,000000,14.638,14.977,14.638,14.977,132193,0
ATL,D,20060717,000000,14.544,14.544,13.827,14.157,187255,0
ATL,D,20060720,000000,14.044,14.073,14.044,14.073,16126,0
ATL,D,20060721,000000,14.167,14.506,14.167,14.506,25038,0
ATL,D,20060724,000000,14.61,14.93,14.61,14.93,48379,0
ATL,D,20060725,000000,14.629,14.695,14.61,14.695,355307,0
ATL,D,20060726,000000,14.657,14.657,14.468,14.468,19097,0
ATL,D,20060728,000000,14.629,14.638,14.534,14.544,171553,0
ATL,D,20060731,000000,14.374,14.638,14.374,14.629,110337,0
ATL,D,20060801,000000,14.676,14.732,14.619,14.732,2122,0
ATL,D,20060802,000000,14.572,14.619,14.242,14.544,136118,0
ATL,D,20060804,000000,14.44,14.44,14.44,14.44,2652,0
ATL,D,20060807,000000,14.289,14.289,14.289,14.289,7320,0
ATL,D,20060808,000000,14.242,14.242,13.978,13.978,22067,0
ATL,D,20060810,000000,13.997,13.997,13.941,13.941,19415,0
ATL,D,20060811,000000,14.063,14.195,14.063,14.195,1061,0
ATL,D,20060814,000000,14.148,14.148,14.016,14.016,61216,0
ATL,D,20060815,000000,13.931,14.044,13.771,13.903,214946,0
ATL,D,20060816,000000,14.054,14.054,13.837,13.922,236801,0
ATL,D,20060817,000000,13.856,13.959,13.856,13.941,186406,0
ATL,D,20060818,000000,13.978,14.091,13.978,14.091,182057,0
ATL,D,20060821,000000,14.27,14.27,14.27,14.27,118825,0
ATL,D,20060822,000000,14.336,14.336,14.242,14.242,9548,0
ATL,D,20060823,000000,14.204,14.204,14.091,14.12,130177,0
ATL,D,20060824,000000,14.45,14.45,14.45,14.45,4350,0
ATL,D,20060825,000000,14.289,14.431,14.289,14.431,26523,0
ATL,D,20060831,000000,14.582,14.647,14.582,14.647,203381,0
ATL,D,20060901,000000,14.676,14.676,14.61,14.61,97394,0
ATL,D,20060904,000000,14.685,14.685,14.657,14.657,122008,0
ATL,D,20060907,000000,14.666,14.779,14.666,14.779,1061,0
ATL,D,20060908,000000,14.761,14.761,14.761,14.761,12731,0
ATL,D,20060911,000000,14.827,14.874,14.827,14.874,57291,0
ATL,D,20060912,000000,14.977,14.977,14.977,14.977,110550,0
ATL,D,20060913,000000,15.025,15.109,15.025,15.109,98030,0
ATL,D,20060914,000000,15.119,15.147,15.119,15.147,298123,0
ATL,D,20060915,000000,15.015,15.053,15.015,15.053,13368,0
ATL,D,20060918,000000,14.798,14.977,14.798,14.977,6260,0
ATL,D,20060919,000000,15.222,15.222,14.949,14.987,351170,0
ATL,D,20060920,000000,15.081,15.081,14.921,14.94,325707,0
ATL,D,20060921,000000,15.072,15.175,15.072,15.175,92620,0
ATL,D,20060922,000000,15.345,15.345,15.213,15.213,59625,0
ATL,D,20060925,000000,15.439,15.939,15.439,15.939,361249,0
ATL,D,20060926,000000,16.033,17.042,16.033,16.872,259187,0
ATL,D,20060927,000000,17.089,17.174,16.891,16.919,220569,0
ATL,D,20060928,000000,16.957,16.957,16.957,16.957,1804,0
ATL,D,20060929,000000,16.844,16.985,16.844,16.985,127737,0
ATL,D,20061002,000000,16.834,16.834,16.834,16.834,2865,0
ATL,D,20061003,000000,16.636,16.853,16.58,16.853,375147,0
ATL,D,20061004,000000,16.966,16.966,16.599,16.599,12519,0
ATL,D,20061005,000000,16.929,16.929,16.702,16.702,99728,0
ATL,D,20061006,000000,16.834,16.834,16.731,16.731,11140,0
ATL,D,20061009,000000,16.787,16.787,16.693,16.693,7320,0
ATL,D,20061012,000000,16.674,16.674,16.57,16.57,76812,0
ATL,D,20061013,000000,16.429,16.504,16.429,16.504,257277,0
ATL,D,20061016,000000,16.665,16.665,16.57,16.57,121371,0
ATL,D,20061017,000000,16.495,16.495,16.495,16.495,133678,0
ATL,D,20061018,000000,16.674,16.674,16.627,16.627,1104752,0
ATL,D,20061019,000000,16.504,16.504,16.401,16.42,12731,0
ATL,D,20061020,000000,16.401,16.401,16.401,16.401,215370,0
ATL,D,20061023,000000,16.467,16.467,16.467,16.467,315098,0
ATL,D,20061024,000000,16.485,16.514,16.485,16.514,79146,0
ATL,D,20061025,000000,16.683,16.74,16.674,16.674,28751,0
ATL,D,20061026,000000,16.665,16.665,16.523,16.561,163490,0
ATL,D,20061027,000000,16.495,16.608,16.495,16.608,19097,0
ATL,D,20061030,000000,16.589,16.702,16.429,16.702,154154,0
ATL,D,20061031,000000,16.693,16.693,16.693,16.693,2971,0
ATL,D,20061101,000000,16.57,16.57,16.57,16.57,955,0
ATL,D,20061102,000000,16.542,16.542,16.457,16.457,318,0
ATL,D,20061103,000000,16.551,16.551,16.504,16.504,187998,0
ATL,D,20061106,000000,16.372,16.391,16.269,16.391,528558,0
ATL,D,20061107,000000,16.504,16.759,16.504,16.759,48803,0
ATL,D,20061108,000000,16.627,16.655,16.533,16.533,38406,0
ATL,D,20061109,000000,16.749,17.051,16.749,16.863,650354,0
ATL,D,20061110,000000,16.91,16.966,16.91,16.966,12731,0
ATL,D,20061113,000000,16.731,16.881,16.731,16.881,83496,0
ATL,D,20061114,000000,16.636,16.636,16.608,16.608,31828,0
ATL,D,20061115,000000,16.485,16.485,16.485,16.485,128267,0
ATL,D,20061117,000000,16.391,16.391,16.372,16.372,355095,0
ATL,D,20061120,000000,16.495,16.495,16.495,16.495,8275,0
ATL,D,20061121,000000,16.429,16.476,16.372,16.372,12307,0
ATL,D,20061122,000000,16.372,16.372,16.372,16.372,392865,0
ATL,D,20061124,000000,16.297,16.523,16.278,16.523,79358,0
ATL,D,20061127,000000,16.372,16.372,16.372,16.372,955,0
ATL,D,20061128,000000,16.514,16.514,16.438,16.438,13474,0
ATL,D,20061129,000000,16.42,16.42,16.42,16.42,38194,0
ATL,D,20061130,000000,16.476,16.476,16.401,16.401,47848,0
ATL,D,20061201,000000,16.429,16.429,16.429,16.429,22280,0
ATL,D,20061204,000000,16.514,16.514,16.514,16.514,6366,0
ATL,D,20061206,000000,16.561,16.561,16.42,16.42,5305,0
ATL,D,20061207,000000,16.448,16.448,16.288,16.42,476042,0
ATL,D,20061208,000000,16.316,16.429,16.316,16.429,7214,0
