<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATM,D,20040928,000000,1.2108,1.2108,1.1146,1.1652,3961881,0
ATM,D,20040929,000000,1.1602,1.2006,1.1402,1.1806,503656,0
ATM,D,20040930,000000,1.1756,1.1806,1.1652,1.1806,317743,0
ATM,D,20041001,000000,1.1858,1.1858,1.1704,1.1756,184772,0
ATM,D,20041004,000000,1.1704,1.1756,1.1652,1.1704,345346,0
ATM,D,20041005,000000,1.1551,1.1652,1.1402,1.1652,417424,0
ATM,D,20041006,000000,1.1448,1.1652,1.1448,1.1652,793421,0
ATM,D,20041007,000000,1.1402,1.1551,1.1402,1.1448,79708,0
ATM,D,20041008,000000,1.13,1.13,1.1044,1.1044,68893,0
ATM,D,20041011,000000,1.0743,1.0743,0.9908,0.9908,186390,0
ATM,D,20041012,000000,0.9879,0.9929,0.9628,0.9679,118709,0
ATM,D,20041013,000000,0.9651,0.9929,0.9628,0.9775,94321,0
ATM,D,20041014,000000,0.9879,0.9879,0.9628,0.9732,128890,0
ATM,D,20041015,000000,0.9879,1.059,0.9879,1.0236,220976,0
ATM,D,20041018,000000,1.0236,1.0435,1.0185,1.0333,87847,0
ATM,D,20041019,000000,1.0185,1.059,1.0185,1.0487,72307,0
ATM,D,20041020,000000,1.0288,1.0487,1.0288,1.0487,7685,0
ATM,D,20041021,000000,1.0487,1.0538,1.0288,1.0487,11447,0
ATM,D,20041022,000000,1.0185,1.0487,0.9879,1.0487,136329,0
ATM,D,20041025,000000,1.0435,1.0743,1.0385,1.0641,160401,0
ATM,D,20041026,000000,1.0435,1.0641,1.0435,1.0641,45036,0
ATM,D,20041027,000000,1.0691,1.125,1.0691,1.1198,95796,0
ATM,D,20041028,000000,1.1146,1.1198,1.1146,1.1198,65920,0
ATM,D,20041029,000000,1.13,1.1602,1.13,1.1499,42078,0
ATM,D,20041102,000000,1.1551,1.1551,1.1402,1.1402,131739,0
ATM,D,20041103,000000,1.125,1.1402,1.0942,1.1146,154986,0
ATM,D,20041104,000000,1.1146,1.1146,1.0942,1.0942,10990,0
ATM,D,20041105,000000,1.1044,1.1044,1.0942,1.0942,2955,0
ATM,D,20041108,000000,1.1044,1.1146,1.0845,1.0942,49377,0
ATM,D,20041109,000000,1.0845,1.0891,1.0641,1.0794,48759,0
ATM,D,20041110,000000,1.0845,1.0891,1.0794,1.0891,80800,0
ATM,D,20041112,000000,1.0993,1.0993,1.0891,1.0942,92526,0
ATM,D,20041116,000000,1.0845,1.1044,1.0794,1.0942,74909,0
ATM,D,20041117,000000,1.0691,1.0891,1.0691,1.0891,55972,0
ATM,D,20041118,000000,1.0435,1.0794,1.0435,1.0743,64093,0
ATM,D,20041119,000000,1.0891,1.0891,1.0691,1.0891,55285,0
ATM,D,20041122,000000,1.0891,1.0942,1.0891,1.0891,27924,0
ATM,D,20041123,000000,1.0845,1.0891,1.0435,1.0743,27150,0
ATM,D,20041124,000000,1.0487,1.0641,1.0487,1.0641,29576,0
ATM,D,20041125,000000,1.0691,1.0743,1.0641,1.0743,16564,0
ATM,D,20041129,000000,1.0333,1.0743,1.0333,1.0743,94302,0
ATM,D,20041130,000000,1.0743,1.0794,1.0743,1.0794,34869,0
ATM,D,20041201,000000,1.0538,1.0891,1.0538,1.0845,42888,0
ATM,D,20041202,000000,1.0845,1.0891,1.0845,1.0891,174746,0
ATM,D,20041203,000000,1.0942,1.1551,1.0743,1.1351,436115,0
ATM,D,20041206,000000,1.1146,1.1146,1.1146,1.1146,41322,0
ATM,D,20041207,000000,1.0942,1.0942,1.0942,1.0942,987,0
ATM,D,20041208,000000,1.0641,1.1044,1.0641,1.0845,18428,0
ATM,D,20041209,000000,1.1096,1.1146,1.0891,1.0993,204819,0
ATM,D,20041210,000000,1.0993,1.1044,1.0993,1.1044,28395,0
ATM,D,20041213,000000,1.1044,1.1198,1.1044,1.1146,109881,0
ATM,D,20041214,000000,1.1096,1.1146,1.1096,1.1146,167750,0
ATM,D,20041215,000000,1.1198,1.1198,1.0891,1.0891,18463,0
ATM,D,20041216,000000,1.0993,1.125,1.0993,1.125,744323,0
ATM,D,20041217,000000,1.125,1.125,1.1146,1.1146,11834,0
ATM,D,20041220,000000,1.1146,1.125,1.1096,1.125,211360,0
ATM,D,20041221,000000,1.1096,1.1198,1.1044,1.1146,67874,0
ATM,D,20041222,000000,1.1096,1.1096,1.1096,1.1096,15402,0
ATM,D,20041224,000000,1.1146,1.1146,1.1146,1.1146,14349,0
ATM,D,20041227,000000,1.13,1.1402,1.125,1.1402,130914,0
ATM,D,20041228,000000,1.1448,1.1448,1.1198,1.1448,382009,0
ATM,D,20041229,000000,1.1448,1.1806,1.1448,1.1602,733685,0
ATM,D,20041230,000000,1.1704,1.1704,1.1551,1.1704,202303,0
ATM,D,20041231,000000,1.1652,1.1806,1.1652,1.1806,574943,0
ATM,D,20050103,000000,1.1858,1.196,1.1858,1.1858,11465,0
ATM,D,20050104,000000,1.196,1.312,1.196,1.292,1039681,0
ATM,D,20050105,000000,1.292,1.292,1.2415,1.2563,163477,0
ATM,D,20050106,000000,1.2563,1.312,1.2364,1.2767,192421,0
ATM,D,20050107,000000,1.292,1.3074,1.2767,1.2767,74643,0
ATM,D,20050110,000000,1.292,1.292,1.2518,1.2716,60680,0
ATM,D,20050111,000000,1.2716,1.3171,1.2665,1.3171,349288,0
ATM,D,20050112,000000,1.3171,1.3171,1.3023,1.3171,108054,0
ATM,D,20050113,000000,1.3171,1.3427,1.3171,1.3427,67577,0
ATM,D,20050114,000000,1.3427,1.3677,1.3222,1.3677,122123,0
ATM,D,20050117,000000,1.3479,1.3677,1.3479,1.3677,88289,0
ATM,D,20050118,000000,1.3632,1.3632,1.3074,1.3274,19379,0
ATM,D,20050119,000000,1.2972,1.3171,1.292,1.292,58047,0
ATM,D,20050120,000000,1.292,1.3023,1.2716,1.2767,22683,0
ATM,D,20050121,000000,1.2818,1.287,1.2716,1.287,70811,0
ATM,D,20050124,000000,1.3074,1.3171,1.2716,1.3074,85123,0
ATM,D,20050125,000000,1.3171,1.3325,1.312,1.3325,105961,0
ATM,D,20050126,000000,1.3427,1.3529,1.312,1.3376,43732,0
ATM,D,20050127,000000,1.3325,1.3325,1.312,1.312,151045,0
ATM,D,20050128,000000,1.3274,1.3427,1.3274,1.3427,5060,0
ATM,D,20050131,000000,1.3479,1.3933,1.3427,1.3933,129227,0
ATM,D,20050201,000000,1.3985,1.4843,1.3985,1.4645,125672,0
ATM,D,20050202,000000,1.4843,1.4843,1.4439,1.4593,75559,0
ATM,D,20050203,000000,1.4388,1.4593,1.3933,1.4337,62704,0
ATM,D,20050204,000000,1.4286,1.4286,1.3677,1.3882,155705,0
ATM,D,20050207,000000,1.4035,1.4035,1.3376,1.3632,80695,0
ATM,D,20050208,000000,1.3427,1.4035,1.3427,1.3933,94109,0
ATM,D,20050209,000000,1.3729,1.3985,1.3677,1.3985,39703,0
ATM,D,20050210,000000,1.4286,1.4439,1.4087,1.4189,54210,0
ATM,D,20050211,000000,1.4235,1.4439,1.4189,1.4337,39563,0
ATM,D,20050214,000000,1.4645,1.4946,1.4439,1.4747,370493,0
ATM,D,20050215,000000,1.4946,1.4946,1.449,1.4747,224844,0
ATM,D,20050216,000000,1.4235,1.4792,1.4235,1.4792,157884,0
ATM,D,20050217,000000,1.4792,1.601,1.4694,1.5708,382222,0
ATM,D,20050218,000000,1.5349,1.5401,1.4895,1.5201,123527,0
ATM,D,20050221,000000,1.5303,1.5401,1.4946,1.5201,36084,0
ATM,D,20050222,000000,1.4946,1.5451,1.4946,1.5451,51749,0
ATM,D,20050223,000000,1.51,1.5201,1.4895,1.5201,30877,0
ATM,D,20050224,000000,1.5201,1.5451,1.5201,1.5451,32198,0
ATM,D,20050225,000000,1.5451,1.5708,1.51,1.5708,70811,0
ATM,D,20050228,000000,1.5708,1.5862,1.515,1.5451,45386,0
ATM,D,20050301,000000,1.5657,1.5657,1.5349,1.5349,10216,0
ATM,D,20050302,000000,1.5303,1.5303,1.4694,1.5201,58449,0
ATM,D,20050303,000000,1.4593,1.5502,1.4593,1.4694,144363,0
ATM,D,20050304,000000,1.4997,1.5253,1.4946,1.5201,207368,0
ATM,D,20050307,000000,1.5451,1.5451,1.5201,1.5401,38438,0
ATM,D,20050308,000000,1.5201,1.5201,1.5201,1.5201,48058,0
ATM,D,20050309,000000,1.5451,1.6464,1.5451,1.6316,167681,0
ATM,D,20050310,000000,1.6464,1.6976,1.6214,1.6976,266327,0
