<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATR,D,20081218,000000,7.2355,7.2355,6.3453,6.3453,12355,0
ATR,D,20081219,000000,6.3358,6.904,6.3263,6.904,13146,0
ATR,D,20081222,000000,6.904,6.904,6.5821,6.6578,11895,0
ATR,D,20081223,000000,6.62,6.62,6.62,6.62,217,0
ATR,D,20081229,000000,6.6294,6.7809,6.6294,6.7715,3952,0
ATR,D,20081230,000000,6.7809,6.8852,6.6294,6.7715,7853,0
ATR,D,20081231,000000,6.8661,6.904,6.8094,6.8094,4910,0
ATR,D,20090105,000000,7.4818,7.4818,6.6578,6.8188,2481,0
ATR,D,20090106,000000,6.6673,7.245,6.6294,7.245,14008,0
ATR,D,20090107,000000,7.1029,7.5764,6.9136,6.9136,45995,0
ATR,D,20090108,000000,6.6767,6.7809,6.6578,6.7809,4312,0
ATR,D,20090112,000000,6.7336,7.2166,6.7336,6.8094,1942,0
ATR,D,20090113,000000,6.6483,7.1882,6.6483,7.1882,3462,0
ATR,D,20090114,000000,7.1882,7.3776,6.8661,7.2829,17641,0
ATR,D,20090115,000000,7.0082,7.0082,7.0082,7.0082,684,0
ATR,D,20090116,000000,6.8378,7.1787,6.8378,6.9136,1265,0
ATR,D,20090119,000000,7.3302,7.3302,7.3302,7.3302,1,0
ATR,D,20090120,000000,6.8188,7.0461,6.6862,7.0461,928,0
ATR,D,20090121,000000,7.0555,7.0555,6.7715,6.7715,317,0
ATR,D,20090122,000000,6.724,6.9136,6.724,6.9136,383,0
ATR,D,20090123,000000,7.0366,7.0366,6.6388,7.0082,372,0
ATR,D,20090126,000000,7.0366,7.0366,6.5158,6.6104,3362,0
ATR,D,20090127,000000,6.6104,6.6104,6.4684,6.5725,1207,0
ATR,D,20090128,000000,6.6104,6.6104,6.6104,6.6104,10,0
ATR,D,20090129,000000,6.5346,6.5346,6.5346,6.5346,1116,0
ATR,D,20090130,000000,6.4589,6.4589,6.3832,6.44,2039,0
ATR,D,20090202,000000,6.5346,6.5346,5.5971,5.957,7448,0
ATR,D,20090203,000000,5.9664,5.9664,5.6823,5.6823,1090,0
ATR,D,20090204,000000,5.6823,5.6823,5.3982,5.5119,2845,0
ATR,D,20090205,000000,5.1141,5.5876,4.8299,5.4361,14900,0
ATR,D,20090206,000000,5.4361,6.5252,5.4361,5.8055,4011,0
ATR,D,20090209,000000,5.4929,5.8434,5.4929,5.8434,4023,0
ATR,D,20090210,000000,5.9855,6.1843,5.6823,6.1843,11077,0
ATR,D,20090211,000000,6.3263,6.5252,6.1558,6.1937,7768,0
ATR,D,20090212,000000,6.3453,6.3453,6.3453,6.3453,340,0
ATR,D,20090213,000000,6.3453,6.4116,6.3453,6.4116,462,0
ATR,D,20090216,000000,6.2506,6.3453,5.6823,5.6823,3485,0
ATR,D,20090217,000000,5.4929,5.4929,5.1331,5.1331,5502,0
ATR,D,20090218,000000,5.0099,5.0099,4.9057,5.0004,4991,0
ATR,D,20090219,000000,5.1235,5.1235,5.1047,5.1047,985,0
ATR,D,20090220,000000,5.1047,5.1047,5.1047,5.1047,10,0
ATR,D,20090223,000000,4.8774,5.0857,4.8774,5.0857,1362,0
ATR,D,20090224,000000,5.1047,5.5876,4.6027,5.5876,17403,0
ATR,D,20090225,000000,5.4361,6.0612,5.4361,5.6823,3045,0
ATR,D,20090226,000000,5.7297,5.957,5.7297,5.957,7656,0
ATR,D,20090227,000000,5.6823,5.8717,5.6823,5.8717,1455,0
ATR,D,20090302,000000,5.7486,5.7486,5.7202,5.7202,668,0
ATR,D,20090303,000000,5.4929,5.6065,5.3887,5.474,13125,0
ATR,D,20090304,000000,5.3414,5.6729,5.3414,5.6729,919,0
ATR,D,20090305,000000,5.7108,5.9192,5.5876,5.9192,2171,0
ATR,D,20090306,000000,5.7771,5.9192,5.3982,5.9192,14577,0
ATR,D,20090309,000000,5.5876,5.5876,5.5876,5.5876,1,0
ATR,D,20090310,000000,5.5971,5.5971,5.5971,5.5971,401,0
ATR,D,20090311,000000,5.5971,5.6823,5.5971,5.6823,6,0
ATR,D,20090312,000000,5.5971,5.6823,5.5971,5.6823,654,0
ATR,D,20090313,000000,5.5876,6.4305,5.5876,6.4305,6439,0
ATR,D,20090316,000000,5.7959,6.2032,5.7959,6.0612,2163,0
ATR,D,20090317,000000,6.4305,6.4305,6.2506,6.2506,400,0
