<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATS,D,19970605,000000,75,75,75,75,21907,0
ATS,D,19970606,000000,70,70,70,70,12350,0
ATS,D,19970609,000000,72,72,72,72,9049,0
ATS,D,19970610,000000,70,70,70,70,3006,0
ATS,D,19970611,000000,72,72,72,72,8215,0
ATS,D,19970612,000000,79,79,79,79,17506,0
ATS,D,19970613,000000,79,79,79,79,7368,0
ATS,D,19970616,000000,77,77,77,77,3631,0
ATS,D,19970617,000000,74,74,74,74,7526,0
ATS,D,19970618,000000,70,70,70,70,9164,0
ATS,D,19970619,000000,70,70,70,70,5736,0
ATS,D,19970620,000000,72,72,72,72,2688,0
ATS,D,19970623,000000,65,65,65,65,6508,0
ATS,D,19970624,000000,64.5,64.5,64.5,64.5,8333,0
ATS,D,19970625,000000,65,65,65,65,2915,0
ATS,D,19970626,000000,62,62,62,62,2730,0
ATS,D,19970627,000000,62,62,62,62,3282,0
ATS,D,19970630,000000,63,63,63,63,4852,0
ATS,D,19970701,000000,62,62,62,62,3078,0
ATS,D,19970702,000000,62,62,62,62,2175,0
ATS,D,19970703,000000,61,61,61,61,3735,0
ATS,D,19970704,000000,65,65,65,65,1523,0
ATS,D,19970707,000000,67,67,67,67,4515,0
ATS,D,19970708,000000,67,67,67,67,2112,0
ATS,D,19970709,000000,70,70,70,70,2857,0
ATS,D,19970710,000000,72,72,72,72,3181,0
ATS,D,19970711,000000,68.5,68.5,68.5,68.5,1314,0
ATS,D,19970714,000000,62,62,62,62,6944,0
ATS,D,19970715,000000,63,63,63,63,3079,0
ATS,D,19970716,000000,64.5,64.5,64.5,64.5,4543,0
ATS,D,19970717,000000,63,63,63,63,3784,0
ATS,D,19970718,000000,65,65,65,65,3569,0
ATS,D,19970721,000000,62.5,62.5,62.5,62.5,2048,0
ATS,D,19970722,000000,63.5,63.5,63.5,63.5,1819,0
ATS,D,19970723,000000,63.5,63.5,63.5,63.5,1213,0
ATS,D,19970724,000000,62,62,62,62,1903,0
ATS,D,19970725,000000,61,61,61,61,2172,0
ATS,D,19970728,000000,59,59,59,59,2263,0
ATS,D,19970729,000000,61,61,61,61,2713,0
ATS,D,19970730,000000,63,63,63,63,6087,0
ATS,D,19970731,000000,63.5,63.5,63.5,63.5,2205,0
ATS,D,19970801,000000,62.5,62.5,62.5,62.5,720,0
ATS,D,19970804,000000,63.5,63.5,63.5,63.5,1551,0
ATS,D,19970805,000000,62,62,62,62,782,0
ATS,D,19970806,000000,63.5,63.5,63.5,63.5,2441,0
ATS,D,19970807,000000,63.5,63.5,63.5,63.5,2551,0
ATS,D,19970808,000000,65,65,65,65,4885,0
ATS,D,19970811,000000,65,65,65,65,3146,0
ATS,D,19970812,000000,64,64,64,64,2680,0
ATS,D,19970813,000000,64,64,64,64,3141,0
ATS,D,19970814,000000,63,63,63,63,1532,0
ATS,D,19970818,000000,59,59,59,59,2322,0
ATS,D,19970819,000000,60,60,60,60,2108,0
ATS,D,19970820,000000,62,62,62,62,1734,0
ATS,D,19970821,000000,62.5,62.5,62.5,62.5,1504,0
ATS,D,19970822,000000,61,61,61,61,1934,0
ATS,D,19970825,000000,62,62,62,62,4146,0
ATS,D,19970826,000000,62,62,62,62,9439,0
ATS,D,19970827,000000,63.5,63.5,63.5,63.5,6343,0
ATS,D,19970828,000000,65,65,65,65,10638,0
ATS,D,19970829,000000,68.5,68.5,68.5,68.5,8034,0
ATS,D,19970901,000000,66,66,66,66,6720,0
ATS,D,19970902,000000,65,65,65,65,4172,0
ATS,D,19970903,000000,66,66,66,66,10578,0
ATS,D,19970904,000000,68,68,68,68,14419,0
ATS,D,19970905,000000,67,67,67,67,4246,0
ATS,D,19970908,000000,69,69,69,69,10498,0
ATS,D,19970909,000000,70,70,70,70,7496,0
ATS,D,19970910,000000,70,70,70,70,15365,0
ATS,D,19970911,000000,69,69,69,69,10746,0
ATS,D,19970912,000000,69,69,69,69,1788,0
ATS,D,19970915,000000,68,68,68,68,20040,0
ATS,D,19970916,000000,69,69,69,69,4799,0
ATS,D,19970917,000000,67,67,67,67,2286,0
ATS,D,19970918,000000,67,67,67,67,4846,0
ATS,D,19970919,000000,67,67,67,67,4624,0
ATS,D,19970922,000000,68,68,68,68,2639,0
ATS,D,19970923,000000,67.5,67.5,67.5,67.5,764,0
ATS,D,19970924,000000,65.5,65.5,65.5,65.5,1756,0
ATS,D,19970925,000000,65,65,65,65,775,0
ATS,D,19970926,000000,63.5,63.5,63.5,63.5,2189,0
ATS,D,19970929,000000,63,63,63,63,1014,0
ATS,D,19970930,000000,63,63,63,63,1955,0
ATS,D,19971001,000000,62.5,62.5,62.5,62.5,1936,0
ATS,D,19971002,000000,63,63,63,63,617,0
ATS,D,19971003,000000,61,61,61,61,3261,0
ATS,D,19971006,000000,60.5,60.5,60.5,60.5,2652,0
ATS,D,19971007,000000,61,61,61,61,3415,0
ATS,D,19971008,000000,63,63,63,63,2844,0
ATS,D,19971009,000000,62,62,62,62,3049,0
ATS,D,19971010,000000,61,61,61,61,1018,0
ATS,D,19971013,000000,63.5,63.5,63.5,63.5,2954,0
ATS,D,19971014,000000,63.5,63.5,63.5,63.5,1990,0
ATS,D,19971015,000000,62,62,62,62,5384,0
ATS,D,19971016,000000,62,62,62,62,5189,0
ATS,D,19971017,000000,61,61,61,61,3497,0
ATS,D,19971020,000000,64.5,64.5,64.5,64.5,2148,0
ATS,D,19971021,000000,64.5,64.5,64.5,64.5,2846,0
ATS,D,19971022,000000,63.5,63.5,63.5,63.5,1394,0
ATS,D,19971023,000000,63,63,63,63,1868,0
ATS,D,19971024,000000,61.5,61.5,61.5,61.5,4402,0
ATS,D,19971027,000000,60,60,60,60,3309,0
ATS,D,19971028,000000,54,54,54,54,0,0
ATS,D,19971029,000000,56.5,56.5,56.5,56.5,4188,0
ATS,D,19971030,000000,54.5,54.5,54.5,54.5,2009,0
ATS,D,19971031,000000,52,52,52,52,1976,0
ATS,D,19971103,000000,55,55,55,55,3106,0
ATS,D,19971104,000000,55,55,55,55,2762,0
ATS,D,19971105,000000,56,56,56,56,2219,0
ATS,D,19971106,000000,54,54,54,54,9302,0
ATS,D,19971107,000000,53,53,53,53,1664,0
ATS,D,19971112,000000,52,52,52,52,1100,0
ATS,D,19971113,000000,50.5,50.5,50.5,50.5,1899,0
ATS,D,19971114,000000,51.5,51.5,51.5,51.5,1198,0
ATS,D,19971117,000000,54.5,54.5,54.5,54.5,1467,0
ATS,D,19971118,000000,55,55,55,55,2039,0
ATS,D,19971119,000000,51,51,51,51,594,0
ATS,D,19971120,000000,52,52,52,52,208,0
ATS,D,19971121,000000,54.5,54.5,54.5,54.5,1596,0
ATS,D,19971124,000000,52,52,52,52,1566,0
ATS,D,19971125,000000,54,54,54,54,3068,0
ATS,D,19971126,000000,55,55,55,55,1702,0
ATS,D,19971127,000000,54.5,54.5,54.5,54.5,637,0
ATS,D,19971128,000000,54,54,54,54,354,0
ATS,D,19971201,000000,56,56,56,56,2368,0
ATS,D,19971202,000000,58,58,58,58,2254,0
ATS,D,19971203,000000,56.5,56.5,56.5,56.5,3084,0
