<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBT,D,20190514,000000,22.695,22.9,21.2,21.8,381096,0
BBT,D,20190515,000000,22.1,27.3,22.1,27.3,325168,0
BBT,D,20190516,000000,28.6,29.6,24.5,25,346281,0
BBT,D,20190517,000000,25,26.2,23.23,25.4,147613,0
BBT,D,20190520,000000,25.8,25.8,23.3,23.42,48946,0
BBT,D,20190521,000000,23.5,24.3,22.12,22.9,60635,0
BBT,D,20190522,000000,22.58,22.58,20.055,20.67,164006,0
BBT,D,20190523,000000,20.3,21.63,20.02,21.05,31716,0
BBT,D,20190524,000000,21.2,24.7,21.01,24.7,122717,0
BBT,D,20190527,000000,24.2,24.67,22.705,23.4,71706,0
BBT,D,20190528,000000,23.6,24.5,23.02,23.2,34810,0
BBT,D,20190529,000000,23.48,23.6,21.88,22.6,23061,0
BBT,D,20190530,000000,21.8,23.8,20.6,22.11,99337,0
BBT,D,20190531,000000,22.11,22.59,21.24,21.8,25397,0
BBT,D,20190603,000000,22,22.34,21.4,21.4,10764,0
BBT,D,20190604,000000,21.5,22.29,21.5,21.75,14051,0
BBT,D,20190605,000000,21.7,22.3,21.41,21.8,10342,0
BBT,D,20190606,000000,21.6,21.6,19.5,20.69,71180,0
BBT,D,20190607,000000,20.49,21,20.045,20.3,31019,0
BBT,D,20190610,000000,20.49,20.49,19.5,20,23303,0
BBT,D,20190611,000000,19.4,20,19.01,19.1,20716,0
BBT,D,20190612,000000,19.01,19.59,17.28,17.6,43950,0
BBT,D,20190613,000000,17.6,19,17.4,17.4,22154,0
BBT,D,20190614,000000,17.92,18.4,17.28,18.238,10654,0
BBT,D,20190617,000000,18.5,18.5,17.5,18.1,2768,0
BBT,D,20190618,000000,18.4,18.4,17.2,17.6,8101,0
BBT,D,20190619,000000,17.6,17.6,16.2,16.32,29762,0
BBT,D,20190621,000000,16.4,17.45,16.4,17.006,19784,0
BBT,D,20190624,000000,17,17,16.12,16.58,5940,0
BBT,D,20190625,000000,16.58,17.69,15.11,17.2,34757,0
BBT,D,20190626,000000,16.92,17.44,16.412,17.25,3881,0
BBT,D,20190627,000000,17.55,18.2,17.056,17.25,13642,0
BBT,D,20190628,000000,17.50,17.87,16.90,17.70,8705,0
BBT,D,20190701,000000,18.392,18.99,17.7,18.5,22291,0
BBT,D,20190702,000000,18.45,20.88,18.45,20.2,53786,0
BBT,D,20190703,000000,20.2,20.2,19.322,19.9,16329,0
BBT,D,20190704,000000,19.94,20,18.5,19,20787,0
BBT,D,20190705,000000,18.8,19,18.1,18.45,22144,0
BBT,D,20190708,000000,18.85,19,18.2,18.6,6075,0
BBT,D,20190709,000000,18.8,19.3,18.6,19,4909,0
BBT,D,20190710,000000,19.288,19.4,18.8,19.08,4384,0
BBT,D,20190711,000000,19.294,19.294,18.68,19.248,3009,0
BBT,D,20190712,000000,19.24,19.24,19,19,2142,0
BBT,D,20190715,000000,19.248,20.23,19.2,19.548,16257,0
BBT,D,20190716,000000,19.796,20.5,19.2,19.7,20662,0
BBT,D,20190717,000000,20.19,20.3,19.84,20.005,11558,0
BBT,D,20190718,000000,20.39,20.39,19.7,20.145,5010,0
BBT,D,20190719,000000,20,20.4,19.74,20.27,3891,0
BBT,D,20190722,000000,20.28,20.35,19.512,20,4576,0
BBT,D,20190723,000000,20.21,20.21,19.5,19.8,5605,0
BBT,D,20190724,000000,19.8,19.8,19.5,19.5,3460,0
BBT,D,20190725,000000,19.7,19.7,18.2,18.65,26176,0
BBT,D,20190726,000000,18.65,18.7,18.34,18.666,6890,0
BBT,D,20190729,000000,18.666,18.77,18.3,18.55,6098,0
BBT,D,20190730,000000,18.648,19,18.3,18.5,4900,0
BBT,D,20190731,000000,18.93,18.93,17.9,18.5,10780,0
BBT,D,20190801,000000,18.598,18.598,18.4,18.5,3510,0
BBT,D,20190802,000000,18.6,18.6,18.11,18.5,2030,0
BBT,D,20190805,000000,18.5,18.5,17.5,17.798,6033,0
BBT,D,20190806,000000,17.524,21,17.524,18.46,93099,0
BBT,D,20190807,000000,18.8,20.45,18.79,19.95,31086,0
BBT,D,20190808,000000,20.395,22.3,20.395,21.9,111742,0
BBT,D,20190809,000000,22.22,22.5,21.15,21.885,36372,0
BBT,D,20190812,000000,21.8,21.995,20.595,21.5,22339,0
BBT,D,20190813,000000,21,21.395,20.35,21,16714,0
BBT,D,20190814,000000,21.25,21.25,20,20.7,16042,0
BBT,D,20190816,000000,20.21,21.19,20.21,21.18,17547,0
BBT,D,20190819,000000,21.2,22.19,21.2,21.9,28137,0
BBT,D,20190820,000000,21.9,22.115,21.56,21.99,16214,0
BBT,D,20190821,000000,21.92,21.97,21.06,21.595,10233,0
BBT,D,20190822,000000,21.2,21.495,20.5,21.14,9556,0
BBT,D,20190823,000000,21.14,21.74,20.65,21.34,6585,0
BBT,D,20190826,000000,21.3,23.89,20.9,23.6,72720,0
BBT,D,20190827,000000,23.35,24.39,23,23.4,59639,0
BBT,D,20190828,000000,23.7,23.7,22.64,22.8,17542,0
BBT,D,20190829,000000,22.98,23.695,22.8,23.3,7156,0
BBT,D,20190830,000000,23.5,23.7,22.995,23.47,9288,0
BBT,D,20190902,000000,23.47,23.5,23,23.025,9785,0
BBT,D,20190903,000000,23.19,23.29,21.92,22.84,19649,0
BBT,D,20190904,000000,22.98,23.39,22.4,23.15,6505,0
BBT,D,20190905,000000,23.5,23.8,22.51,22.555,16924,0
BBT,D,20190906,000000,22.82,22.98,22.35,22.47,4077,0
BBT,D,20190909,000000,22.5,22.8,21.34,21.65,17250,0
BBT,D,20190910,000000,21.6,22.17,20.6,21.375,13854,0
BBT,D,20190911,000000,21,21.98,20.73,21.8,10214,0
BBT,D,20190912,000000,21.8,21.98,21.21,21.8,8030,0
BBT,D,20190913,000000,21.9,22.5,21.9,22.29,13114,0
BBT,D,20190916,000000,22.56,22.59,21.52,22,7888,0
BBT,D,20190917,000000,22,22.295,21.005,21.6,8049,0
BBT,D,20190918,000000,21.5,21.5,19.6,20.38,57783,0
BBT,D,20190919,000000,20.3,20.8,19.802,20.7,7024,0
BBT,D,20190920,000000,20.8,20.9,20.2,20.3,4817,0
BBT,D,20190923,000000,20.38,20.75,20.14,20.205,4296,0
BBT,D,20190924,000000,20,20.395,19.1,19.29,18341,0
BBT,D,20190925,000000,19.11,20.69,19.1,20.69,15882,0
BBT,D,20190926,000000,21,21.9,20.7,21.4,17977,0
BBT,D,20190927,000000,19.5,19.96,17.8,17.9,88257,0
BBT,D,20190930,000000,17.5,17.5,14.18,14.45,208984,0
BBT,D,20191001,000000,14.19,14.75,12.92,14.3,135132,0
BBT,D,20191002,000000,14.28,14.85,13.26,13.7,26349,0
BBT,D,20191003,000000,14,14.29,13.202,13.92,21675,0
BBT,D,20191004,000000,14.13,15.38,13.9,14.5,22198,0
BBT,D,20191007,000000,14.3,14.48,13.86,13.86,27153,0
BBT,D,20191008,000000,14.18,14.18,13.5,13.95,13645,0
BBT,D,20191009,000000,13.93,14,12.9,12.9,41230,0
BBT,D,20191010,000000,12.3,12.6,9.99,9.99,117711,0
BBT,D,20191011,000000,9.7,11.25,9.7,10.302,85092,0
BBT,D,20191014,000000,10.49,10.76,10.15,10.388,12126,0
BBT,D,20191015,000000,10.38,10.38,10,10.37,20725,0
BBT,D,20191016,000000,10.16,10.4,10.07,10.07,5770,0
BBT,D,20191017,000000,10.1,10.7,10.1,10.154,9330,0
BBT,D,20191018,000000,10.154,10.296,9.58,9.96,20855,0
BBT,D,20191021,000000,9.72,10.3,9.72,10.22,11868,0
BBT,D,20191022,000000,10.22,10.7,10.1,10.3,10627,0
