<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCM,D,20040302,000000,19.177,19.451,18.523,18.578,174077,0
BCM,D,20040303,000000,18.631,18.687,18.032,18.139,31141,0
BCM,D,20040304,000000,17.816,18.032,17.377,17.816,28401,0
BCM,D,20040305,000000,17.541,18.197,17.426,17.486,16016,0
BCM,D,20040308,000000,17.211,17.377,16.938,16.994,19021,0
BCM,D,20040309,000000,16.662,16.772,16.39,16.39,18089,0
BCM,D,20040310,000000,16.39,16.938,16.39,16.938,5717,0
BCM,D,20040311,000000,16.829,16.829,16.39,16.829,10823,0
BCM,D,20040312,000000,16.662,16.938,16.556,16.772,15443,0
BCM,D,20040315,000000,16.721,16.721,16.504,16.662,4397,0
BCM,D,20040316,000000,16.504,16.662,16.281,16.662,2308,0
BCM,D,20040317,000000,16.662,16.662,16.339,16.39,42363,0
BCM,D,20040318,000000,16.39,16.39,16.008,16.116,10278,0
BCM,D,20040319,000000,16.39,16.612,15.41,15.848,770997,0
BCM,D,20040322,000000,15.792,15.957,15.626,15.734,5721,0
BCM,D,20040323,000000,15.734,16.612,15.626,16.339,25536,0
BCM,D,20040324,000000,16.173,16.173,15.899,16.008,6821,0
BCM,D,20040325,000000,15.957,15.957,15.792,15.848,15117,0
BCM,D,20040326,000000,15.848,15.848,15.575,15.575,22640,0
BCM,D,20040329,000000,15.626,15.848,15.575,15.626,16442,0
BCM,D,20040330,000000,16.008,16.008,15.517,15.517,23158,0
BCM,D,20040331,000000,15.517,15.575,15.459,15.517,8365,0
BCM,D,20040401,000000,15.575,15.575,15.517,15.575,2485,0
BCM,D,20040402,000000,15.683,15.792,15.517,15.683,7503,0
BCM,D,20040405,000000,15.575,15.575,15.193,15.301,29212,0
BCM,D,20040406,000000,15.301,15.301,15.027,15.027,5804,0
BCM,D,20040407,000000,15.027,15.027,14.861,14.92,3479,0
BCM,D,20040408,000000,15.136,15.575,15.078,15.517,21208,0
BCM,D,20040413,000000,15.734,15.734,15.575,15.734,11128,0
BCM,D,20040414,000000,15.848,15.957,15.683,15.683,19695,0
BCM,D,20040415,000000,15.683,15.683,15.459,15.683,1126,0
BCM,D,20040416,000000,15.459,15.683,15.301,15.626,7964,0
BCM,D,20040419,000000,15.301,15.301,15.027,15.027,11194,0
BCM,D,20040420,000000,15.027,15.027,14.48,14.531,14426,0
BCM,D,20040421,000000,14.48,15.027,14.48,14.92,9159,0
BCM,D,20040422,000000,14.644,14.861,14.644,14.861,952,0
BCM,D,20040423,000000,14.971,14.971,14.531,14.696,5250,0
BCM,D,20040426,000000,14.696,14.696,14.644,14.696,1001,0
BCM,D,20040427,000000,14.423,14.754,14.423,14.48,3622,0
BCM,D,20040428,000000,14.423,14.48,14.423,14.423,3262,0
BCM,D,20040429,000000,14.263,14.696,14.206,14.696,3016,0
BCM,D,20040430,000000,14.263,14.861,14.206,14.804,2054,0
BCM,D,20040504,000000,14.804,14.804,14.423,14.696,414,0
BCM,D,20040505,000000,14.754,14.754,14.263,14.644,1341,0
BCM,D,20040506,000000,14.263,14.589,14.263,14.531,5248,0
BCM,D,20040507,000000,14.48,14.48,14.098,14.372,3864,0
BCM,D,20040510,000000,13.658,13.658,13.169,13.608,8743,0
BCM,D,20040511,000000,13.658,13.933,12.023,13.061,15966,0
BCM,D,20040512,000000,13.061,13.608,13.061,13.608,2424,0
BCM,D,20040513,000000,13.061,13.112,12.622,13.002,4749,0
BCM,D,20040514,000000,12.622,13.112,12.622,13.112,1180,0
BCM,D,20040517,000000,12.622,12.787,12.515,12.565,7417,0
BCM,D,20040518,000000,12.515,12.787,12.515,12.679,895,0
BCM,D,20040519,000000,12.679,13.061,12.679,12.729,5947,0
BCM,D,20040520,000000,12.787,12.787,12.457,12.622,2090,0
BCM,D,20040521,000000,12.622,13.334,12.622,13.112,10819,0
BCM,D,20040524,000000,13.112,13.22,13.112,13.22,112,0
BCM,D,20040525,000000,13.112,13.112,12.952,13.112,1175,0
BCM,D,20040526,000000,12.729,12.896,12.729,12.837,1893,0
BCM,D,20040527,000000,12.952,13.061,12.622,13.061,2177,0
BCM,D,20040528,000000,12.952,13.002,12.837,13.002,1777,0
BCM,D,20040531,000000,13.061,13.277,13.061,13.277,541,0
BCM,D,20040601,000000,13.169,13.169,13.169,13.169,413,0
BCM,D,20040602,000000,13.169,13.277,13.061,13.061,2579,0
BCM,D,20040603,000000,12.952,13.112,12.837,13.061,3388,0
BCM,D,20040604,000000,12.837,13.002,12.837,13.002,2187,0
BCM,D,20040607,000000,12.837,12.837,12.565,12.622,2322,0
BCM,D,20040608,000000,12.622,12.729,12.457,12.729,3012,0
BCM,D,20040609,000000,12.457,12.729,12.457,12.729,1192,0
BCM,D,20040611,000000,12.515,12.515,12.515,12.515,2471,0
BCM,D,20040614,000000,12.457,12.457,12.457,12.457,1120,0
BCM,D,20040615,000000,12.565,12.565,12.565,12.565,1,0
BCM,D,20040616,000000,12.515,12.515,12.515,12.515,531,0
BCM,D,20040617,000000,12.515,12.515,12.131,12.298,1054,0
BCM,D,20040618,000000,12.131,12.131,11.749,12.075,6597,0
BCM,D,20040621,000000,11.966,11.966,11.801,11.966,5056,0
BCM,D,20040622,000000,11.858,11.858,11.641,11.641,1474,0
BCM,D,20040623,000000,11.526,11.801,11.202,11.585,5629,0
BCM,D,20040625,000000,11.641,11.966,11.641,11.966,517,0
BCM,D,20040628,000000,11.692,12.347,11.692,12.183,4827,0
BCM,D,20040629,000000,12.298,12.565,12.298,12.565,1100,0
BCM,D,20040630,000000,12.565,12.565,11.801,11.801,2796,0
BCM,D,20040701,000000,11.801,12.457,11.801,12.298,1556,0
BCM,D,20040702,000000,12.298,12.405,11.908,12.298,2737,0
BCM,D,20040705,000000,12.023,12.298,12.023,12.298,125,0
BCM,D,20040706,000000,12.131,12.298,11.966,12.298,552,0
BCM,D,20040707,000000,12.023,12.24,11.908,12.24,934,0
BCM,D,20040708,000000,12.24,12.298,12.24,12.298,547,0
BCM,D,20040709,000000,12.24,13.112,12.24,13.061,17994,0
BCM,D,20040712,000000,13.334,13.334,12.952,13.061,6942,0
BCM,D,20040713,000000,13.061,13.061,12.515,12.515,4897,0
BCM,D,20040714,000000,12.622,12.622,12.24,12.24,1754,0
BCM,D,20040715,000000,12.023,12.515,11.749,11.966,4042,0
