<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BDX,D,19950525,000000,4.1056,4.1056,4.1056,4.1056,773322,0
BDX,D,19950526,000000,4.1056,4.1056,4.1056,4.1056,605629,0
BDX,D,19950529,000000,4.1921,4.1921,4.1921,4.1921,494736,0
BDX,D,19950530,000000,3.7817,3.7817,3.7817,3.7817,377757,0
BDX,D,19950531,000000,3.8249,3.8249,3.8249,3.8249,236748,0
BDX,D,19950601,000000,3.5007,3.5007,3.5007,3.5007,95126,0
BDX,D,19950602,000000,3.5438,3.5438,3.5438,3.5438,148710,0
BDX,D,19950605,000000,3.7599,3.7599,3.7599,3.7599,73271,0
BDX,D,19950606,000000,3.7599,3.7599,3.7599,3.7599,176332,0
BDX,D,19950607,000000,3.8249,3.8249,3.8249,3.8249,185371,0
BDX,D,19950608,000000,3.8249,3.8249,3.8249,3.8249,150468,0
BDX,D,19950609,000000,3.8032,3.8032,3.8032,3.8032,102414,0
BDX,D,19950612,000000,3.6952,3.6952,3.6952,3.6952,96748,0
BDX,D,19950613,000000,3.7166,3.7166,3.7166,3.7166,90132,0
BDX,D,19950614,000000,3.8032,3.8032,3.8032,3.8032,62711,0
BDX,D,19950616,000000,3.7166,3.7166,3.7166,3.7166,62555,0
BDX,D,19950619,000000,3.5871,3.5871,3.5871,3.5871,44466,0
BDX,D,19950620,000000,3.6737,3.6737,3.6737,3.6737,67919,0
BDX,D,19950621,000000,3.6737,3.6737,3.6737,3.6737,81665,0
BDX,D,19950622,000000,3.6737,3.6737,3.6737,3.6737,111613,0
BDX,D,19950623,000000,3.7166,3.7166,3.7166,3.7166,55963,0
BDX,D,19950626,000000,3.8896,3.8896,3.8896,3.8896,255941,0
BDX,D,19950627,000000,4.0192,4.0192,4.0192,4.0192,256892,0
BDX,D,19950628,000000,3.8896,3.8896,3.8896,3.8896,121607,0
BDX,D,19950629,000000,3.976,3.976,3.976,3.976,207620,0
BDX,D,19950630,000000,3.9977,3.9977,3.9977,3.9977,126700,0
BDX,D,19950703,000000,4.1056,4.1056,4.1056,4.1056,282293,0
BDX,D,19950704,000000,4.0624,4.0624,4.0624,4.0624,220558,0
BDX,D,19950705,000000,4.0192,4.0192,4.0192,4.0192,104126,0
BDX,D,19950706,000000,4.0407,4.0407,4.0407,4.0407,83399,0
BDX,D,19950707,000000,3.9977,3.9977,3.9977,3.9977,65415,0
BDX,D,19950710,000000,3.9977,3.9977,3.9977,3.9977,31644,0
BDX,D,19950711,000000,3.976,3.976,3.976,3.976,82999,0
BDX,D,19950712,000000,3.9328,3.9328,3.9328,3.9328,63315,0
BDX,D,19950713,000000,4.0192,4.0192,4.0192,4.0192,151766,0
BDX,D,19950714,000000,4.0624,4.0624,4.0624,4.0624,58831,0
BDX,D,19950717,000000,4.149,4.149,4.149,4.149,379983,0
BDX,D,19950718,000000,4.4083,4.4083,4.4083,4.4083,541493,0
BDX,D,19950719,000000,4.8404,4.8404,4.8404,4.8404,0,0
BDX,D,19950720,000000,5.3157,5.3157,5.3157,5.3157,735455,0
BDX,D,19950721,000000,5.5752,5.5752,5.5752,5.5752,777839,0
BDX,D,19950724,000000,5.6183,5.6183,5.6183,5.6183,769096,0
BDX,D,19950725,000000,6.1802,6.1802,6.1802,6.1802,494729,0
BDX,D,19950726,000000,6.7852,6.7852,6.7852,6.7852,897031,0
BDX,D,19950727,000000,7.3466,7.3466,7.3466,7.3466,627401,0
BDX,D,19950728,000000,6.958,6.958,6.958,6.958,440714,0
BDX,D,19950731,000000,6.2665,6.2665,6.2665,6.2665,439558,0
BDX,D,19950801,000000,6.2665,6.2665,6.2665,6.2665,317480,0
BDX,D,19950802,000000,6.2665,6.2665,6.2665,6.2665,325698,0
BDX,D,19950803,000000,6.1368,6.1368,6.1368,6.1368,390264,0
BDX,D,19950804,000000,6.2665,6.2665,6.2665,6.2665,240086,0
BDX,D,19950807,000000,6.3099,6.3099,6.3099,6.3099,244622,0
BDX,D,19950808,000000,6.1802,6.1802,6.1802,6.1802,172485,0
BDX,D,19950809,000000,6.0937,6.0937,6.0937,6.0937,167141,0
BDX,D,19950810,000000,6.3963,6.3963,6.3963,6.3963,252727,0
BDX,D,19950811,000000,6.7852,6.7852,6.7852,6.7852,344945,0
BDX,D,19950816,000000,6.9149,6.9149,6.9149,6.9149,374339,0
BDX,D,19950817,000000,6.9149,6.9149,6.9149,6.9149,361903,0
BDX,D,19950818,000000,6.6553,6.6553,6.6553,6.6553,262342,0
BDX,D,19950822,000000,7.1311,7.1311,7.1311,7.1311,582675,0
BDX,D,19950823,000000,7.1747,7.1747,7.1747,7.1747,375377,0
BDX,D,19950824,000000,7.3903,7.3903,7.3903,7.3903,397283,0
BDX,D,19950825,000000,8.1247,8.1247,8.1247,8.1247,447021,0
BDX,D,19950828,000000,8.5139,8.5139,8.5139,8.5139,464361,0
BDX,D,19950829,000000,8.4276,8.4276,8.4276,8.4276,441891,0
BDX,D,19950830,000000,8.211,8.211,8.211,8.211,432510,0
BDX,D,19950831,000000,8.1679,8.1679,8.1679,8.1679,405782,0
BDX,D,19950901,000000,8.9455,8.9455,8.9455,8.9455,0,0
BDX,D,19950904,000000,9.81,9.81,9.81,9.81,269156,0
BDX,D,19950905,000000,10.761,10.761,10.761,10.761,992737,0
BDX,D,19950906,000000,10.37,10.37,10.37,10.37,581311,0
BDX,D,19950907,000000,11.022,11.022,11.022,11.022,375940,0
BDX,D,19950908,000000,11.712,11.712,11.712,11.712,681568,0
BDX,D,19950911,000000,12.187,12.187,12.187,12.187,518899,0
BDX,D,19950912,000000,11.41,11.41,11.41,11.41,265086,0
BDX,D,19950913,000000,11.193,11.193,11.193,11.193,387996,0
BDX,D,19950914,000000,11.279,11.279,11.279,11.279,408297,0
BDX,D,19950915,000000,10.718,10.718,10.718,10.718,247436,0
BDX,D,19950918,000000,10.2,10.2,10.2,10.2,383508,0
BDX,D,19950919,000000,9.2051,9.2051,9.2051,9.2051,286029,0
BDX,D,19950920,000000,9.682,9.682,9.682,9.682,347701,0
BDX,D,19950921,000000,9.682,9.682,9.682,9.682,420368,0
BDX,D,19950922,000000,9.379,9.379,9.379,9.379,206915,0
BDX,D,19950925,000000,9.379,9.379,9.379,9.379,163835,0
BDX,D,19950926,000000,9.939,9.939,9.939,9.939,198644,0
BDX,D,19950927,000000,10.416,10.416,10.416,10.416,260624,0
BDX,D,19950928,000000,10.37,10.37,10.37,10.37,427341,0
BDX,D,19950929,000000,10.416,10.416,10.416,10.416,296195,0
BDX,D,19951002,000000,10.805,10.805,10.805,10.805,302377,0
BDX,D,19951003,000000,10.761,10.761,10.761,10.761,291647,0
BDX,D,19951004,000000,9.984,9.984,9.984,9.984,260838,0
BDX,D,19951005,000000,9.984,9.984,9.984,9.984,240906,0
BDX,D,19951006,000000,9.81,9.81,9.81,9.81,223590,0
BDX,D,19951009,000000,8.8592,8.8592,8.8592,8.8592,333931,0
BDX,D,19951010,000000,8.4707,8.4707,8.4707,8.4707,249568,0
BDX,D,19951011,000000,8.3404,8.3404,8.3404,8.3404,227730,0
BDX,D,19951012,000000,8.211,8.211,8.211,8.211,247829,0
BDX,D,19951013,000000,7.9955,7.9955,7.9955,7.9955,193053,0
BDX,D,19951016,000000,8.1679,8.1679,8.1679,8.1679,159029,0
BDX,D,19951017,000000,8.3404,8.3404,8.3404,8.3404,257944,0
BDX,D,19951018,000000,8.3404,8.3404,8.3404,8.3404,259325,0
BDX,D,19951019,000000,7.5202,7.5202,7.5202,7.5202,231388,0
BDX,D,19951020,000000,7.0014,7.0014,7.0014,7.0014,251383,0
BDX,D,19951023,000000,7.2176,7.2176,7.2176,7.2176,179292,0
BDX,D,19951024,000000,7.1747,7.1747,7.1747,7.1747,102871,0
BDX,D,19951025,000000,7.563,7.563,7.563,7.563,78805,0
BDX,D,19951026,000000,7.8229,7.8229,7.8229,7.8229,198725,0
BDX,D,19951027,000000,7.6927,7.6927,7.6927,7.6927,146046,0
BDX,D,19951030,000000,7.6927,7.6927,7.6927,7.6927,107243,0
BDX,D,19951031,000000,7.5202,7.5202,7.5202,7.5202,118822,0
BDX,D,19951102,000000,7.9093,7.9093,7.9093,7.9093,144711,0
BDX,D,19951103,000000,8.6874,8.6874,8.6874,8.6874,329698,0
BDX,D,19951106,000000,9.2481,9.2481,9.2481,9.2481,357784,0
BDX,D,19951107,000000,9.2921,9.2921,9.2921,9.2921,312213,0
BDX,D,19951108,000000,9.638,9.638,9.638,9.638,458680,0
BDX,D,19951109,000000,9.2481,9.2481,9.2481,9.2481,365354,0
BDX,D,19951110,000000,8.816,8.816,8.816,8.816,478937,0
BDX,D,19951113,000000,8.816,8.816,8.816,8.816,189589,0
BDX,D,19951114,000000,9.2481,9.2481,9.2481,9.2481,311724,0
BDX,D,19951115,000000,9.0753,9.0753,9.0753,9.0753,205329,0
BDX,D,19951116,000000,9.2051,9.2051,9.2051,9.2051,218458,0
BDX,D,19951117,000000,9.939,9.939,9.939,9.939,297532,0
BDX,D,19951120,000000,8.9455,8.9455,8.9455,8.9455,200872,0
BDX,D,19951121,000000,9.4221,9.4221,9.4221,9.4221,294118,0
BDX,D,19951122,000000,9.682,9.682,9.682,9.682,401414,0
BDX,D,19951123,000000,9.507,9.507,9.507,9.507,224444,0
BDX,D,19951124,000000,9.4221,9.4221,9.4221,9.4221,304042,0
BDX,D,19951127,000000,9.638,9.638,9.638,9.638,249702,0
BDX,D,19951128,000000,10.589,10.589,10.589,10.589,1241228,0
BDX,D,19951129,000000,10.285,10.285,10.285,10.285,492622,0
BDX,D,19951130,000000,10.243,10.243,10.243,10.243,350500,0
BDX,D,19951201,000000,9.939,9.939,9.939,9.939,321377,0
BDX,D,19951204,000000,9.898,9.898,9.898,9.898,321413,0
BDX,D,19951205,000000,9.638,9.638,9.638,9.638,232581,0
BDX,D,19951206,000000,9.1182,9.1182,9.1182,9.1182,207371,0
BDX,D,19951207,000000,8.816,8.816,8.816,8.816,236433,0
BDX,D,19951208,000000,8.6874,8.6874,8.6874,8.6874,193226,0
BDX,D,19951211,000000,9.0753,9.0753,9.0753,9.0753,150290,0
BDX,D,19951212,000000,8.9455,8.9455,8.9455,8.9455,195897,0
BDX,D,19951213,000000,8.6443,8.6443,8.6443,8.6443,199515,0
BDX,D,19951214,000000,8.3845,8.3845,8.3845,8.3845,125955,0
BDX,D,19951215,000000,8.4276,8.4276,8.4276,8.4276,149154,0
BDX,D,19951218,000000,8.3845,8.3845,8.3845,8.3845,107045,0
BDX,D,19951219,000000,8.1247,8.1247,8.1247,8.1247,80063,0
BDX,D,19951220,000000,7.3466,7.3466,7.3466,7.3466,130460,0
BDX,D,19951221,000000,7.5202,7.5202,7.5202,7.5202,169415,0
BDX,D,19951222,000000,7.779,7.779,7.779,7.779,186135,0
BDX,D,19951227,000000,8.1247,8.1247,8.1247,8.1247,127630,0
BDX,D,19951228,000000,8.1247,8.1247,8.1247,8.1247,183140,0
BDX,D,19951229,000000,8.0384,8.0384,8.0384,8.0384,74394,0
BDX,D,19960102,000000,8.4276,8.4276,8.4276,8.4276,70009,0
BDX,D,19960103,000000,8.7737,8.7737,8.7737,8.7737,113185,0
BDX,D,19960104,000000,8.7306,8.7306,8.7306,8.7306,159851,0
BDX,D,19960105,000000,9.2051,9.2051,9.2051,9.2051,300478,0
BDX,D,19960108,000000,9.2051,9.2051,9.2051,9.2051,210310,0
BDX,D,19960109,000000,9.4221,9.4221,9.4221,9.4221,195776,0
BDX,D,19960110,000000,9.1182,9.1182,9.1182,9.1182,137846,0
BDX,D,19960111,000000,9.2051,9.2051,9.2051,9.2051,314544,0
BDX,D,19960112,000000,8.4276,8.4276,8.4276,8.4276,179236,0
BDX,D,19960115,000000,8.4276,8.4276,8.4276,8.4276,242957,0
BDX,D,19960116,000000,8.4276,8.4276,8.4276,8.4276,168793,0
BDX,D,19960117,000000,8.816,8.816,8.816,8.816,274261,0
BDX,D,19960118,000000,8.7306,8.7306,8.7306,8.7306,153439,0
BDX,D,19960119,000000,8.211,8.211,8.211,8.211,217931,0
BDX,D,19960122,000000,8.5139,8.5139,8.5139,8.5139,156511,0
BDX,D,19960123,000000,8.1247,8.1247,8.1247,8.1247,479759,0
BDX,D,19960124,000000,8.211,8.211,8.211,8.211,388731,0
BDX,D,19960125,000000,8.4276,8.4276,8.4276,8.4276,262891,0
BDX,D,19960126,000000,8.4276,8.4276,8.4276,8.4276,349277,0
BDX,D,19960129,000000,8.6443,8.6443,8.6443,8.6443,315207,0
BDX,D,19960130,000000,8.6443,8.6443,8.6443,8.6443,237461,0
BDX,D,19960131,000000,9.507,9.507,9.507,9.507,576943,0
BDX,D,19960201,000000,9.507,9.507,9.507,9.507,382788,0
BDX,D,19960202,000000,9.768,9.768,9.768,9.768,399757,0
BDX,D,19960205,000000,9.768,9.768,9.768,9.768,502246,0
BDX,D,19960206,000000,9.1621,9.1621,9.1621,9.1621,281654,0
BDX,D,19960207,000000,9.0753,9.0753,9.0753,9.0753,200808,0
BDX,D,19960208,000000,9.0753,9.0753,9.0753,9.0753,228800,0
BDX,D,19960209,000000,9.0753,9.0753,9.0753,9.0753,208578,0
BDX,D,19960212,000000,9.4221,9.4221,9.4221,9.4221,209047,0
BDX,D,19960213,000000,9.0753,9.0753,9.0753,9.0753,269128,0
BDX,D,19960214,000000,8.6874,8.6874,8.6874,8.6874,79664,0
