<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BDZ,D,19981208,000000,15.659,15.659,15.659,15.659,5349,0
BDZ,D,19981209,000000,17.226,17.226,17.226,17.226,8733,0
BDZ,D,19981210,000000,18.919,18.919,18.919,18.919,13664,0
BDZ,D,19981211,000000,17.04,17.04,17.04,17.04,5871,0
BDZ,D,19981214,000000,15.347,15.347,15.347,15.347,10728,0
BDZ,D,19981215,000000,15.971,15.971,15.971,15.971,16227,0
BDZ,D,19981216,000000,16.283,16.283,16.283,16.283,13264,0
BDZ,D,19981217,000000,16.224,16.224,16.224,16.224,11180,0
BDZ,D,19981218,000000,16.283,16.283,16.283,16.283,11216,0
BDZ,D,19981221,000000,14.657,14.657,14.657,14.657,15577,0
BDZ,D,19981222,000000,13.217,13.217,13.217,13.217,24573,0
BDZ,D,19981223,000000,13.217,13.217,13.217,13.217,17708,0
BDZ,D,19981228,000000,13.781,13.781,13.781,13.781,20198,0
BDZ,D,19981229,000000,13.781,13.781,13.781,13.781,27249,0
BDZ,D,19981230,000000,14.909,14.909,14.909,14.909,44984,0
BDZ,D,19981231,000000,16.224,16.224,16.224,16.224,33384,0
BDZ,D,19990104,000000,14.657,14.657,14.657,14.657,3128,0
BDZ,D,19990105,000000,14.404,14.404,14.404,14.404,7078,0
BDZ,D,19990106,000000,14.404,14.404,14.404,14.404,4230,0
BDZ,D,19990107,000000,14.093,14.093,14.093,14.093,5398,0
BDZ,D,19990108,000000,14.404,14.404,14.404,14.404,2132,0
BDZ,D,19990111,000000,14.531,14.531,14.531,14.531,4953,0
BDZ,D,19990112,000000,14.404,14.404,14.404,14.404,470,0
BDZ,D,19990113,000000,13.907,13.907,13.907,13.907,1938,0
BDZ,D,19990114,000000,13.781,13.781,13.781,13.781,1436,0
BDZ,D,19990115,000000,13.469,13.469,13.469,13.469,914,0
BDZ,D,19990118,000000,13.781,13.781,13.781,13.781,1009,0
BDZ,D,19990119,000000,13.595,13.595,13.595,13.595,1216,0
BDZ,D,19990120,000000,13.469,13.469,13.469,13.469,1412,0
BDZ,D,19990121,000000,12.838,12.838,12.838,12.838,1752,0
BDZ,D,19990122,000000,11.59,11.59,11.59,11.59,1636,0
BDZ,D,19990125,000000,11.279,11.279,11.279,11.279,4606,0
BDZ,D,19990126,000000,11.59,11.59,11.59,11.59,1539,0
BDZ,D,19990127,000000,11.902,11.902,11.902,11.902,1959,0
BDZ,D,19990128,000000,11.65,11.65,11.65,11.65,470,0
BDZ,D,19990129,000000,12.778,12.778,12.778,12.778,3958,0
BDZ,D,19990201,000000,12.214,12.214,12.214,12.214,1089,0
BDZ,D,19990202,000000,11.59,11.59,11.59,11.59,2042,0
BDZ,D,19990203,000000,11.59,11.59,11.59,11.59,1196,0
BDZ,D,19990204,000000,12.214,12.214,12.214,12.214,767,0
BDZ,D,19990205,000000,12.526,12.526,12.526,12.526,2700,0
BDZ,D,19990208,000000,12.526,12.526,12.526,12.526,1765,0
BDZ,D,19990209,000000,12.778,12.778,12.778,12.778,1706,0
BDZ,D,19990210,000000,12.155,12.155,12.155,12.155,548,0
BDZ,D,19990211,000000,12.4,12.4,12.4,12.4,270,0
BDZ,D,19990212,000000,12.593,12.593,12.593,12.593,629,0
BDZ,D,19990215,000000,12.4,12.4,12.4,12.4,349,0
BDZ,D,19990216,000000,11.279,11.279,11.279,11.279,930,0
BDZ,D,19990217,000000,12.4,12.4,12.4,12.4,999,0
BDZ,D,19990218,000000,12.088,12.088,12.088,12.088,160,0
BDZ,D,19990219,000000,12.526,12.526,12.526,12.526,204,0
BDZ,D,19990222,000000,11.902,11.902,11.902,11.902,1620,0
BDZ,D,19990223,000000,12.593,12.593,12.593,12.593,5603,0
BDZ,D,19990224,000000,12.593,12.593,12.593,12.593,1799,0
BDZ,D,19990225,000000,12.838,12.838,12.838,12.838,3233,0
BDZ,D,19990226,000000,12.526,12.526,12.526,12.526,3194,0
BDZ,D,19990301,000000,12.526,12.526,12.526,12.526,799,0
BDZ,D,19990302,000000,12.526,12.526,12.526,12.526,2188,0
BDZ,D,19990303,000000,12.214,12.214,12.214,12.214,238,0
BDZ,D,19990304,000000,12.155,12.155,12.155,12.155,1290,0
BDZ,D,19990305,000000,12.526,12.526,12.526,12.526,1458,0
BDZ,D,19990308,000000,12.467,12.467,12.467,12.467,47,0
BDZ,D,19990309,000000,12.214,12.214,12.214,12.214,121,0
BDZ,D,19990310,000000,11.59,11.59,11.59,11.59,200,0
BDZ,D,19990311,000000,12.281,12.281,12.281,12.281,3223,0
BDZ,D,19990312,000000,12.467,12.467,12.467,12.467,1996,0
BDZ,D,19990315,000000,13.031,13.031,13.031,13.031,4807,0
BDZ,D,19990316,000000,13.655,13.655,13.655,13.655,6544,0
BDZ,D,19990317,000000,13.469,13.469,13.469,13.469,1375,0
BDZ,D,19990318,000000,14.033,14.033,14.033,14.033,5610,0
BDZ,D,19990319,000000,13.157,13.157,13.157,13.157,1739,0
BDZ,D,19990322,000000,12.964,12.964,12.964,12.964,901,0
BDZ,D,19990323,000000,12.028,12.028,12.028,12.028,2155,0
BDZ,D,19990324,000000,11.776,11.776,11.776,11.776,2821,0
BDZ,D,19990325,000000,12.028,12.028,12.028,12.028,1354,0
BDZ,D,19990326,000000,12.4,12.4,12.4,12.4,2157,0
BDZ,D,19990329,000000,12.526,12.526,12.526,12.526,359,0
BDZ,D,19990330,000000,11.962,11.962,11.962,11.962,294,0
BDZ,D,19990331,000000,12.028,12.028,12.028,12.028,370,0
BDZ,D,19990401,000000,12.088,12.088,12.088,12.088,541,0
BDZ,D,19990406,000000,12.214,12.214,12.214,12.214,1033,0
BDZ,D,19990407,000000,12.467,12.467,12.467,12.467,958,0
BDZ,D,19990408,000000,12.467,12.467,12.467,12.467,1073,0
BDZ,D,19990409,000000,12.028,12.028,12.028,12.028,47,0
BDZ,D,19990412,000000,12.526,12.526,12.526,12.526,1152,0
BDZ,D,19990413,000000,12.214,12.214,12.214,12.214,159,0
BDZ,D,19990414,000000,12.214,12.214,12.214,12.214,137,0
BDZ,D,19990415,000000,12.281,12.281,12.281,12.281,200,0
BDZ,D,19990416,000000,12.467,12.467,12.467,12.467,652,0
BDZ,D,19990419,000000,12.838,12.838,12.838,12.838,876,0
BDZ,D,19990420,000000,13.031,13.031,13.031,13.031,1469,0
BDZ,D,19990421,000000,12.964,12.964,12.964,12.964,1816,0
BDZ,D,19990422,000000,13.157,13.157,13.157,13.157,2004,0
BDZ,D,19990423,000000,13.469,13.469,13.469,13.469,2210,0
BDZ,D,19990426,000000,13.781,13.781,13.781,13.781,2067,0
BDZ,D,19990427,000000,13.469,13.469,13.469,13.469,1337,0
BDZ,D,19990428,000000,12.964,12.964,12.964,12.964,1191,0
BDZ,D,19990429,000000,12.905,12.905,12.905,12.905,654,0
BDZ,D,19990430,000000,12.964,12.964,12.964,12.964,686,0
BDZ,D,19990504,000000,12.964,12.964,12.964,12.964,494,0
BDZ,D,19990505,000000,12.838,12.838,12.838,12.838,912,0
BDZ,D,19990506,000000,12.652,12.652,12.652,12.652,238,0
BDZ,D,19990507,000000,12.652,12.652,12.652,12.652,1196,0
BDZ,D,19990510,000000,13.157,13.157,13.157,13.157,829,0
BDZ,D,19990511,000000,13.469,13.469,13.469,13.469,1298,0
BDZ,D,19990512,000000,13.402,13.402,13.402,13.402,1257,0
BDZ,D,19990513,000000,12.838,12.838,12.838,12.838,1387,0
BDZ,D,19990514,000000,13.217,13.217,13.217,13.217,320,0
BDZ,D,19990517,000000,13.09,13.09,13.09,13.09,766,0
BDZ,D,19990518,000000,13.157,13.157,13.157,13.157,159,0
BDZ,D,19990519,000000,13.283,13.283,13.283,13.283,748,0
BDZ,D,19990520,000000,13.217,13.217,13.217,13.217,638,0
BDZ,D,19990521,000000,12.593,12.593,12.593,12.593,1036,0
BDZ,D,19990524,000000,12.838,12.838,12.838,12.838,974,0
BDZ,D,19990525,000000,12.838,12.838,12.838,12.838,477,0
BDZ,D,19990526,000000,13.402,13.402,13.402,13.402,1915,0
BDZ,D,19990527,000000,13.402,13.402,13.402,13.402,814,0
BDZ,D,19990528,000000,13.781,13.781,13.781,13.781,666,0
BDZ,D,19990531,000000,13.343,13.343,13.343,13.343,668,0
BDZ,D,19990601,000000,13.157,13.157,13.157,13.157,1277,0
BDZ,D,19990602,000000,13.655,13.655,13.655,13.655,359,0
BDZ,D,19990607,000000,13.655,13.655,13.655,13.655,679,0
BDZ,D,19990608,000000,13.655,13.655,13.655,13.655,914,0
BDZ,D,19990609,000000,13.528,13.528,13.528,13.528,402,0
BDZ,D,19990610,000000,13.781,13.781,13.781,13.781,638,0
BDZ,D,19990611,000000,13.721,13.721,13.721,13.721,398,0
BDZ,D,19990614,000000,13.469,13.469,13.469,13.469,1356,0
BDZ,D,19990615,000000,13.469,13.469,13.469,13.469,186,0
BDZ,D,19990616,000000,13.469,13.469,13.469,13.469,553,0
BDZ,D,19990617,000000,13.469,13.469,13.469,13.469,206,0
BDZ,D,19990618,000000,13.283,13.283,13.283,13.283,118,0
BDZ,D,19990621,000000,13.157,13.157,13.157,13.157,1706,0
BDZ,D,19990622,000000,13.595,13.595,13.595,13.595,2437,0
BDZ,D,19990623,000000,13.781,13.781,13.781,13.781,829,0
BDZ,D,19990624,000000,13.402,13.402,13.402,13.402,320,0
BDZ,D,19990625,000000,13.469,13.469,13.469,13.469,17,0
BDZ,D,19990628,000000,13.721,13.721,13.721,13.721,1460,0
BDZ,D,19990629,000000,13.655,13.655,13.655,13.655,797,0
BDZ,D,19990630,000000,13.721,13.721,13.721,13.721,1238,0
BDZ,D,19990701,000000,13.781,13.781,13.781,13.781,673,0
BDZ,D,19990702,000000,13.595,13.595,13.595,13.595,869,0
BDZ,D,19990705,000000,14.286,14.286,14.286,14.286,1158,0
BDZ,D,19990706,000000,13.907,13.907,13.907,13.907,683,0
BDZ,D,19990707,000000,13.84,13.84,13.84,13.84,60,0
BDZ,D,19990708,000000,14.093,14.093,14.093,14.093,1111,0
BDZ,D,19990709,000000,14.471,14.471,14.471,14.471,1877,0
BDZ,D,19990712,000000,15.036,15.036,15.036,15.036,2172,0
BDZ,D,19990713,000000,15.036,15.036,15.036,15.036,1168,0
BDZ,D,19990714,000000,14.657,14.657,14.657,14.657,527,0
BDZ,D,19990715,000000,14.471,14.471,14.471,14.471,37548,0
BDZ,D,19990716,000000,15.036,15.036,15.036,15.036,1272,0
BDZ,D,19990719,000000,15.036,15.036,15.036,15.036,1892,0
BDZ,D,19990720,000000,14.842,14.842,14.842,14.842,1041,0
BDZ,D,19990721,000000,14.531,14.531,14.531,14.531,32,0
BDZ,D,19990722,000000,14.345,14.345,14.345,14.345,807,0
BDZ,D,19990723,000000,14.093,14.093,14.093,14.093,181,0
BDZ,D,19990726,000000,14.286,14.286,14.286,14.286,61,0
BDZ,D,19990727,000000,13.84,13.84,13.84,13.84,549,0
BDZ,D,19990728,000000,14.159,14.159,14.159,14.159,799,0
BDZ,D,19990729,000000,14.033,14.033,14.033,14.033,431,0
BDZ,D,19990730,000000,13.966,13.966,13.966,13.966,797,0
BDZ,D,19990802,000000,14.159,14.159,14.159,14.159,238,0
BDZ,D,19990803,000000,14.286,14.286,14.286,14.286,797,0
BDZ,D,19990804,000000,14.286,14.286,14.286,14.286,1349,0
BDZ,D,19990805,000000,14.286,14.286,14.286,14.286,1739,0
BDZ,D,19990806,000000,14.286,14.286,14.286,14.286,329,0
BDZ,D,19990809,000000,13.781,13.781,13.781,13.781,846,0
BDZ,D,19990810,000000,13.781,13.781,13.781,13.781,192,0
BDZ,D,19990811,000000,13.283,13.283,13.283,13.283,322,0
BDZ,D,19990812,000000,13.283,13.283,13.283,13.283,501,0
BDZ,D,19990813,000000,13.343,13.343,13.343,13.343,797,0
BDZ,D,19990816,000000,13.469,13.469,13.469,13.469,415,0
BDZ,D,19990817,000000,14.033,14.033,14.033,14.033,748,0
BDZ,D,19990818,000000,15.407,15.407,15.407,15.407,1053,0
BDZ,D,19990819,000000,14.909,14.909,14.909,14.909,1340,0
BDZ,D,19990820,000000,15.036,15.036,15.036,15.036,928,0
BDZ,D,19990823,000000,15.281,15.281,15.281,15.281,1212,0
BDZ,D,19990824,000000,15.036,15.036,15.036,15.036,1058,0
BDZ,D,19990825,000000,14.783,14.783,14.783,14.783,191,0
BDZ,D,19990826,000000,15.162,15.162,15.162,15.162,242,0
BDZ,D,19990827,000000,15.036,15.036,15.036,15.036,398,0
BDZ,D,19990830,000000,15.347,15.347,15.347,15.347,1404,0
BDZ,D,19990831,000000,15.036,15.036,15.036,15.036,238,0
BDZ,D,19990901,000000,15.036,15.036,15.036,15.036,159,0
BDZ,D,19990902,000000,13.528,13.528,13.528,13.528,728,0
BDZ,D,19990903,000000,14.657,14.657,14.657,14.657,679,0
BDZ,D,19990906,000000,14.909,14.909,14.909,14.909,166,0
BDZ,D,19990907,000000,14.909,14.909,14.909,14.909,47,0
BDZ,D,19990908,000000,14.783,14.783,14.783,14.783,32,0
BDZ,D,19990909,000000,14.783,14.783,14.783,14.783,32,0
BDZ,D,19990910,000000,13.528,13.528,13.528,13.528,387,0
BDZ,D,19990913,000000,14.471,14.471,14.471,14.471,32,0
BDZ,D,19990914,000000,14.093,14.093,14.093,14.093,79,0
BDZ,D,19990915,000000,13.781,13.781,13.781,13.781,561,0
BDZ,D,19990916,000000,13.721,13.721,13.721,13.721,47,0
BDZ,D,19990917,000000,13.528,13.528,13.528,13.528,541,0
BDZ,D,19990920,000000,14.345,14.345,14.345,14.345,82,0
BDZ,D,19990921,000000,14.093,14.093,14.093,14.093,516,0
BDZ,D,19990922,000000,13.595,13.595,13.595,13.595,638,0
BDZ,D,19990923,000000,13.343,13.343,13.343,13.343,847,0
BDZ,D,19990924,000000,13.031,13.031,13.031,13.031,370,0
BDZ,D,19990927,000000,12.526,12.526,12.526,12.526,196,0
BDZ,D,19990928,000000,12.593,12.593,12.593,12.593,362,0
BDZ,D,19990929,000000,12.467,12.467,12.467,12.467,320,0
BDZ,D,19990930,000000,11.962,11.962,11.962,11.962,321,0
BDZ,D,19991001,000000,12.028,12.028,12.028,12.028,192,0
BDZ,D,19991004,000000,11.962,11.962,11.962,11.962,2196,0
BDZ,D,19991005,000000,12.34,12.34,12.34,12.34,160,0
BDZ,D,19991006,000000,12.34,12.34,12.34,12.34,310,0
BDZ,D,19991007,000000,13.528,13.528,13.528,13.528,188,0
BDZ,D,19991008,000000,13.469,13.469,13.469,13.469,2275,0
BDZ,D,19991011,000000,13.402,13.402,13.402,13.402,1756,0
BDZ,D,19991012,000000,13.031,13.031,13.031,13.031,384,0
BDZ,D,19991013,000000,12.652,12.652,12.652,12.652,990,0
BDZ,D,19991014,000000,12.496,12.496,12.496,12.496,797,0
BDZ,D,19991015,000000,12.526,12.526,12.526,12.526,320,0
BDZ,D,19991018,000000,11.397,11.397,11.397,11.397,1597,0
BDZ,D,19991019,000000,12.028,12.028,12.028,12.028,2082,0
BDZ,D,19991020,000000,12.214,12.214,12.214,12.214,156,0
BDZ,D,19991021,000000,12.214,12.214,12.214,12.214,204,0
BDZ,D,19991022,000000,12.214,12.214,12.214,12.214,35,0
BDZ,D,19991025,000000,12.214,12.214,12.214,12.214,470,0
BDZ,D,19991026,000000,12.214,12.214,12.214,12.214,192,0
BDZ,D,19991027,000000,11.902,11.902,11.902,11.902,115,0
BDZ,D,19991028,000000,12.214,12.214,12.214,12.214,282,0
BDZ,D,19991029,000000,12.838,12.838,12.838,12.838,590,0
BDZ,D,19991102,000000,13.157,13.157,13.157,13.157,1629,0
BDZ,D,19991103,000000,12.964,12.964,12.964,12.964,558,0
BDZ,D,19991104,000000,12.496,12.496,12.496,12.496,313,0
BDZ,D,19991105,000000,12.496,12.496,12.496,12.496,1958,0
BDZ,D,19991108,000000,13.721,13.721,13.721,13.721,347,0
BDZ,D,19991109,000000,13.031,13.031,13.031,13.031,182,0
BDZ,D,19991110,000000,12.964,12.964,12.964,12.964,79,0
BDZ,D,19991115,000000,11.962,11.962,11.962,11.962,753,0
BDZ,D,19991116,000000,12.964,12.964,12.964,12.964,71,0
BDZ,D,19991117,000000,12.838,12.838,12.838,12.838,141,0
BDZ,D,19991118,000000,12.838,12.838,12.838,12.838,247,0
