<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BFT,D,20110421,000000,98.675,113.79,98.675,108.46,39219,0
BFT,D,20110426,000000,108.19,109.52,106.67,108.46,1519,0
BFT,D,20110427,000000,108.63,108.91,108.19,108.54,1451,0
BFT,D,20110428,000000,109.34,114.67,109.34,113.34,1888,0
BFT,D,20110429,000000,115.56,115.56,113.88,114.67,1907,0
BFT,D,20110502,000000,114.67,114.77,114.58,114.67,436,0
BFT,D,20110504,000000,114.67,115.56,111.13,115.56,16256,0
BFT,D,20110505,000000,115.56,119.74,115.56,119.03,1079,0
BFT,D,20110506,000000,115.56,117.79,114.67,117.79,571,0
BFT,D,20110509,000000,119.83,119.92,115.56,119.92,4053,0
BFT,D,20110510,000000,119.13,119.92,117.79,119.92,288,0
BFT,D,20110511,000000,119.92,119.92,119.13,119.2,1165,0
BFT,D,20110512,000000,119.83,122.67,119.57,122.67,3826,0
BFT,D,20110513,000000,133.25,140.46,128.9,133.34,5941,0
BFT,D,20110516,000000,131.57,140.46,131.57,139.57,1707,0
BFT,D,20110517,000000,141.34,146.15,137.8,137.8,1653,0
BFT,D,20110518,000000,139.57,139.57,125.61,132.46,561,0
BFT,D,20110519,000000,127.13,127.13,124.46,126.41,597,0
BFT,D,20110520,000000,120.11,128.9,120.11,128.9,1185,0
BFT,D,20110523,000000,127.13,128.82,127.13,128.01,253,0
BFT,D,20110525,000000,124.46,124.46,124.46,124.46,10,0
BFT,D,20110526,000000,124.46,126.23,124.46,126.23,814,0
BFT,D,20110530,000000,128.63,136.91,128.63,133.79,124,0
BFT,D,20110601,000000,129.35,135.12,129.35,135.12,93,0
BFT,D,20110602,000000,135.12,136.91,131.57,136.91,137,0
BFT,D,20110603,000000,128.9,139.12,128.9,139.12,267,0
BFT,D,20110606,000000,139.12,139.57,139.12,139.57,41,0
BFT,D,20110607,000000,137.8,137.8,137.8,137.8,79,0
BFT,D,20110608,000000,134.23,137.8,132.46,132.46,208,0
BFT,D,20110610,000000,133.34,133.34,133.34,133.34,45,0
BFT,D,20110614,000000,128.9,128.9,128.9,128.9,2,0
BFT,D,20110616,000000,128.9,133.34,124.54,133.34,226,0
BFT,D,20110620,000000,125.52,132.46,125.52,132.46,112,0
BFT,D,20110621,000000,124.46,131.57,124.46,131.57,56,0
BFT,D,20110622,000000,129.79,129.79,129.79,129.79,3156,0
BFT,D,20110624,000000,132.46,133.34,132.46,133.34,107,0
BFT,D,20110627,000000,134.32,137.7,133.34,133.34,8231,0
BFT,D,20110628,000000,133.34,134.23,133.34,134.23,47,0
BFT,D,20110629,000000,137.7,141.34,134.42,141.34,961,0
BFT,D,20110630,000000,142.23,142.23,137.87,141.34,5705,0
BFT,D,20110701,000000,141.34,141.34,138.23,141.34,3457,0
BFT,D,20110704,000000,141.34,141.34,141.34,141.34,1,0
BFT,D,20110705,000000,138.23,138.23,138.23,138.23,41,0
BFT,D,20110706,000000,138.23,138.23,138.23,138.23,126,0
BFT,D,20110707,000000,142.68,142.68,142.68,142.68,142,0
BFT,D,20110708,000000,142.68,144.9,142.68,144.9,282,0
BFT,D,20110711,000000,144.01,144.01,142.23,142.23,22546,0
BFT,D,20110712,000000,142.23,142.23,142.23,142.23,13285,0
