<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BKM,D,20160429,000000,45.942,49.187,45.923,49.187,41414,0
BKM,D,20160502,000000,49.675,51.102,47.857,49.752,6710,0
BKM,D,20160504,000000,48.058,49.292,47.857,48.718,1635,0
BKM,D,20160505,000000,48.823,49.005,48.077,48.814,5725,0
BKM,D,20160506,000000,48.814,49.771,48.708,49.369,5630,0
BKM,D,20160509,000000,49.292,49.369,48.814,48.814,5549,0
BKM,D,20160510,000000,49.292,49.292,46.995,47.569,3417,0
BKM,D,20160511,000000,48.718,49.005,48.671,49.005,1488,0
BKM,D,20160512,000000,49.292,49.292,48.517,48.517,698,0
BKM,D,20160513,000000,48.814,49.962,48.814,49.962,2238,0
BKM,D,20160516,000000,49.962,49.962,48.919,49.962,373,0
BKM,D,20160517,000000,49.962,49.962,49.579,49.579,229,0
BKM,D,20160518,000000,49.771,49.771,49.579,49.579,224,0
BKM,D,20160519,000000,49.962,50.709,48.958,48.958,102,0
BKM,D,20160520,000000,49.569,49.569,47.904,48.958,78,0
BKM,D,20160523,000000,49.053,49.062,49.053,49.062,53,0
BKM,D,20160524,000000,49.062,49.062,49.062,49.062,45,0
BKM,D,20160525,000000,49.56,49.56,48.575,49.465,804,0
BKM,D,20160527,000000,49.465,49.465,49.465,49.465,31,0
BKM,D,20160530,000000,49.455,49.465,49.455,49.465,42,0
BKM,D,20160531,000000,49.436,49.465,49.187,49.196,3270,0
BKM,D,20160601,000000,49.282,49.282,47.378,48.335,378,0
BKM,D,20160602,000000,48.814,48.814,48.814,48.814,21,0
BKM,D,20160603,000000,48.804,48.804,46.957,48.335,2979,0
BKM,D,20160606,000000,48.814,48.814,47.857,47.857,104,0
BKM,D,20160607,000000,48.671,48.814,46.995,47.857,93,0
BKM,D,20160608,000000,48.814,48.814,47.024,47.866,295,0
BKM,D,20160609,000000,48.335,48.335,47.378,48.335,320,0
BKM,D,20160610,000000,48.804,48.804,47.043,48.795,1242,0
BKM,D,20160613,000000,48.718,50.432,48.718,50.432,2762,0
BKM,D,20160614,000000,49.675,50.249,48.096,49.771,8706,0
BKM,D,20160615,000000,49.388,49.388,48.144,48.431,2455,0
BKM,D,20160616,000000,48.814,48.814,48.804,48.804,15,0
BKM,D,20160617,000000,48.795,48.795,48.517,48.671,3140,0
BKM,D,20160620,000000,48.718,48.718,48.431,48.431,11,0
BKM,D,20160621,000000,48.718,48.718,48.335,48.335,434,0
BKM,D,20160622,000000,48.335,48.575,47.474,47.474,507,0
BKM,D,20160623,000000,47.857,48.526,47.474,48.421,1293,0
BKM,D,20160624,000000,47.492,48.421,45.32,48.325,1851,0
BKM,D,20160627,000000,48.325,48.325,47.857,47.857,562,0
BKM,D,20160628,000000,48.325,48.325,47.282,47.857,1433,0
BKM,D,20160629,000000,48.221,49.474,47.474,49.474,2193,0
BKM,D,20160630,000000,49.474,49.474,47.895,48.239,8513,0
BKM,D,20160701,000000,48.814,48.814,47.091,47.857,133,0
BKM,D,20160704,000000,47.828,48.383,47.828,47.857,161,0
BKM,D,20160705,000000,47.838,47.838,47.838,47.838,1,0
BKM,D,20160706,000000,47.838,47.838,47.838,47.838,31,0
BKM,D,20160707,000000,47.808,47.808,46.9,47.808,115,0
BKM,D,20160708,000000,47.808,47.808,46.134,46.134,2,0
BKM,D,20160711,000000,47.808,48.048,46.287,47.742,781,0
BKM,D,20160712,000000,47.712,47.712,47.712,47.712,5,0
BKM,D,20160713,000000,47.684,47.684,46.421,46.823,240,0
BKM,D,20160714,000000,46.411,46.421,45.464,46.421,461,0
BKM,D,20160715,000000,46.23,46.23,46.153,46.181,75,0
BKM,D,20160718,000000,46.88,47.378,46.517,47.378,60,0
BKM,D,20160719,000000,47.378,47.378,45.942,47.378,973,0
BKM,D,20160720,000000,47.474,47.474,47.474,47.474,5,0
BKM,D,20160721,000000,47.378,47.474,46.909,47.474,45,0
BKM,D,20160722,000000,47.474,47.474,47.474,47.474,3,0
BKM,D,20160725,000000,47.474,47.474,47.474,47.474,1,0
BKM,D,20160726,000000,47.474,47.712,46.517,47.704,2418,0
BKM,D,20160727,000000,47.712,47.712,46.047,47.712,2164,0
BKM,D,20160728,000000,47.712,47.712,46.9,47.704,8380,0
BKM,D,20160729,000000,47.712,47.712,46.527,47.712,5390,0
BKM,D,20160801,000000,47.704,47.712,46.239,47.712,1573,0
BKM,D,20160802,000000,47.712,47.712,47.712,47.712,1,0
BKM,D,20160803,000000,47.378,47.378,47.378,47.378,1,0
BKM,D,20160804,000000,47.378,47.378,47.378,47.378,1,0
BKM,D,20160805,000000,47.378,47.712,47.378,47.712,2091,0
BKM,D,20160808,000000,47.712,47.712,46.517,47.712,13,0
BKM,D,20160809,000000,47.712,47.712,47.712,47.712,5,0
BKM,D,20160810,000000,46.527,47.712,46.421,47.712,3696,0
