<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BML,D,20110729,000000,5.74,5.74,4.75,4.8,4710,0
BML,D,20110801,000000,4.8,5.39,4.61,5.39,4609,0
BML,D,20110802,000000,5.39,5.39,5.2,5.2,309,0
BML,D,20110803,000000,5.2,5.2,4.9,5.19,280,0
BML,D,20110804,000000,5.19,5.25,4.98,5.25,6465,0
BML,D,20110805,000000,5.25,5.25,4.98,4.98,805,0
BML,D,20110808,000000,4.98,5.01,4.9,4.9,14420,0
BML,D,20110809,000000,5,5,4.92,4.92,20752,0
BML,D,20110810,000000,5,5,4.98,4.99,3650,0
BML,D,20110811,000000,4.99,4.99,4.65,4.98,1060,0
BML,D,20110812,000000,4.99,4.99,4.98,4.98,150,0
BML,D,20110816,000000,4.99,5,4.99,4.99,3950,0
BML,D,20110817,000000,4.99,4.99,4.89,4.89,1150,0
BML,D,20110818,000000,4.9,4.9,4.89,4.89,90,0
BML,D,20110819,000000,4.9,4.9,4.9,4.9,50,0
BML,D,20110822,000000,4.9,4.99,4.89,4.99,400,0
BML,D,20110823,000000,4.99,4.99,4.78,4.78,1060,0
BML,D,20110824,000000,4.85,4.85,4.85,4.85,75,0
BML,D,20110825,000000,4.85,4.85,4.85,4.85,100,0
BML,D,20110826,000000,4.88,4.88,4.88,4.88,50,0
BML,D,20110830,000000,4.85,4.85,4.85,4.85,60,0
BML,D,20110831,000000,4.83,4.83,4.83,4.83,50,0
BML,D,20110901,000000,4.83,4.83,4.83,4.83,70,0
BML,D,20110902,000000,4.81,4.81,4.81,4.81,200,0
BML,D,20110905,000000,4.8,4.82,4.8,4.82,100,0
BML,D,20110906,000000,4.8,4.93,4.65,4.93,5165,0
BML,D,20110907,000000,5,5,4.91,4.91,60,0
BML,D,20110908,000000,4.91,4.91,4.91,4.91,50,0
BML,D,20110909,000000,4.91,4.91,4.7,4.91,1385,0
BML,D,20110912,000000,4.85,4.85,4.85,4.85,6,0
BML,D,20110913,000000,4.89,4.89,4.89,4.89,20,0
BML,D,20110914,000000,4.89,4.89,4.89,4.89,40,0
BML,D,20110915,000000,4.89,4.89,4.88,4.88,120,0
BML,D,20110916,000000,4.89,4.89,4.89,4.89,50,0
BML,D,20110919,000000,4.91,4.91,4.91,4.91,100,0
BML,D,20110920,000000,4.91,4.91,4.88,4.88,70,0
BML,D,20110921,000000,4.88,4.88,4.88,4.88,60,0
BML,D,20110922,000000,4.88,4.97,4.88,4.97,830,0
BML,D,20110923,000000,5,5,5,5,20,0
BML,D,20110926,000000,5,5,4.99,4.99,900,0
BML,D,20110927,000000,4.99,4.99,4.98,4.99,210,0
BML,D,20110928,000000,4.99,4.99,4.99,4.99,150,0
BML,D,20110929,000000,4.98,5.01,4.98,4.98,4300,0
BML,D,20110930,000000,4.99,4.99,4.98,4.99,2910,0
BML,D,20111003,000000,5.01,5.01,5.01,5.01,20,0
BML,D,20111004,000000,4.99,4.99,4.9,4.9,260,0
BML,D,20111006,000000,4.9,4.9,4.9,4.9,25,0
BML,D,20111011,000000,4.9,4.9,4.9,4.9,50,0
BML,D,20111012,000000,4.9,4.9,4.82,4.82,80,0
BML,D,20111017,000000,4.7,4.7,4.7,4.7,25,0
BML,D,20111018,000000,4.7,4.7,4.7,4.7,20,0
BML,D,20111019,000000,4.7,4.7,4.7,4.7,25,0
BML,D,20111020,000000,4.7,4.7,4.7,4.7,25,0
BML,D,20111024,000000,4.7,4.7,4.7,4.7,30,0
BML,D,20111025,000000,4.6,4.6,4.6,4.6,50,0
BML,D,20111026,000000,4.6,4.6,4.6,4.6,25,0
BML,D,20111027,000000,4.6,4.6,4.6,4.6,50,0
BML,D,20111028,000000,4.6,4.6,4.6,4.6,50,0
BML,D,20111031,000000,4.6,5.05,4.59,4.91,3543,0
BML,D,20111102,000000,4.9,4.9,4.9,4.9,25,0
BML,D,20111103,000000,4.99,4.99,4.84,4.84,81,0
BML,D,20111104,000000,4.84,4.99,4.84,4.99,3210,0
BML,D,20111107,000000,4.9,4.9,4.9,4.9,65,0
BML,D,20111108,000000,4.9,5.85,4.9,5.85,21819,0
BML,D,20111109,000000,5.85,5.95,5.4,5.95,450,0
BML,D,20111110,000000,5.95,5.95,5.95,5.95,20,0
BML,D,20111114,000000,5.95,5.95,5.9,5.9,30,0
BML,D,20111115,000000,5.9,5.9,5.9,5.9,200,0
BML,D,20111116,000000,5.9,5.9,5.89,5.89,30,0
BML,D,20111117,000000,5.88,5.88,5.88,5.88,40,0
BML,D,20111118,000000,5.88,5.88,5.5,5.74,90,0
BML,D,20111121,000000,5.6,5.6,5.6,5.6,9,0
BML,D,20111122,000000,5.88,5.88,5.88,5.88,20,0
BML,D,20111123,000000,5.88,5.9,5.6,5.6,2242,0
BML,D,20111124,000000,5.6,5.6,5,5.35,1320,0
BML,D,20111128,000000,5.1,5.1,4.91,4.91,1140,0
BML,D,20111129,000000,4.95,4.96,4.95,4.95,225,0
BML,D,20111130,000000,4.95,4.95,4.95,4.95,20,0
BML,D,20111201,000000,4.95,4.95,4.85,4.9,1351,0
BML,D,20111202,000000,5,5,5,5,20,0
BML,D,20111205,000000,5,5,5,5,20,0
BML,D,20111206,000000,5,5,5,5,20,0
BML,D,20111207,000000,5,5.35,5,5,1432,0
BML,D,20111208,000000,5,5,5,5,20,0
BML,D,20111209,000000,5,5.01,5,5,90,0
BML,D,20111212,000000,5,5,5,5,20,0
BML,D,20111213,000000,5,5,5,5,20,0
BML,D,20111214,000000,5,5.01,5,5,420,0
BML,D,20111215,000000,5,5,5,5,20,0
BML,D,20111216,000000,5,5,5,5,30,0
BML,D,20111219,000000,5,5,5,5,40,0
BML,D,20111220,000000,5,5,5,5,30,0
BML,D,20111221,000000,5,5.25,5,5.25,90,0
