<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNP,D,20110527,000000,62.5,63.6,60.65,61.25,581978,0
BNP,D,20110530,000000,61.35,61.35,60.55,60.9,74852,0
BNP,D,20110531,000000,60.85,61,60.6,60.7,60048,0
BNP,D,20110601,000000,60.6,60.6,60.05,60.15,42566,0
BNP,D,20110602,000000,60,60.15,59.9,60.15,67107,0
BNP,D,20110603,000000,60.1,60.45,60,60.45,36239,0
BNP,D,20110606,000000,60.45,60.45,60,60,52013,0
BNP,D,20110607,000000,60,60.2,60,60.2,15324,0
BNP,D,20110608,000000,60.1,60.2,60,60.2,51429,0
BNP,D,20110609,000000,60,60.15,59.95,60,110286,0
BNP,D,20110610,000000,60,60,59.9,59.95,140854,0
BNP,D,20110613,000000,60,60,59.9,60,102035,0
BNP,D,20110614,000000,60,60,59.8,59.95,38276,0
BNP,D,20110615,000000,59.55,59.85,59.5,59.65,30301,0
BNP,D,20110616,000000,59.65,59.65,59.15,59.2,54420,0
BNP,D,20110617,000000,59.1,59.2,58.85,59.05,54277,0
BNP,D,20110620,000000,58.4,59.5,58.4,59.5,59019,0
BNP,D,20110621,000000,59.05,59.4,59,59.1,27833,0
BNP,D,20110622,000000,58.6,59.1,58.6,59,20281,0
BNP,D,20110624,000000,58.35,59.1,58.3,59,20158,0
BNP,D,20110627,000000,58.55,58.6,58.3,58.4,19596,0
BNP,D,20110628,000000,58.1,58.55,58,58.5,22135,0
BNP,D,20110629,000000,58.4,59.1,58.4,58.7,8880,0
BNP,D,20110630,000000,59,59.1,58.65,59.1,6154,0
BNP,D,20110701,000000,59,59.1,58.6,59.05,18115,0
BNP,D,20110704,000000,58.8,59,58.65,59,6536,0
BNP,D,20110705,000000,58.6,59.3,58.6,59.1,42263,0
BNP,D,20110706,000000,58.65,58.9,58.6,58.65,8256,0
BNP,D,20110707,000000,58.6,58.65,58.25,58.45,23946,0
BNP,D,20110708,000000,58.45,58.5,58.25,58.45,12322,0
BNP,D,20110711,000000,58.15,58.4,58.1,58.3,7055,0
BNP,D,20110712,000000,58,58,57.4,57.8,31291,0
BNP,D,20110713,000000,57.4,58,57.35,58,14255,0
BNP,D,20110714,000000,57.35,57.9,57.35,57.75,4706,0
BNP,D,20110715,000000,57.4,57.55,57.35,57.5,6035,0
BNP,D,20110718,000000,57.25,57.45,56.95,57.2,12406,0
BNP,D,20110719,000000,56.6,57,56.15,56.75,10313,0
BNP,D,20110720,000000,56.15,56.9,56.15,56.9,8252,0
BNP,D,20110721,000000,56.8,56.8,56.3,56.5,25558,0
BNP,D,20110722,000000,56.2,56.9,56.1,56.85,6044,0
BNP,D,20110725,000000,56.85,57.35,56.5,57.35,8507,0
BNP,D,20110726,000000,57.3,57.3,56.65,57,3912,0
BNP,D,20110727,000000,56.8,56.8,56.2,56.8,4072,0
BNP,D,20110728,000000,56.05,56.15,55.55,56,5358,0
BNP,D,20110729,000000,55.55,56,55.55,55.6,5110,0
BNP,D,20110801,000000,55.6,56.4,55.5,55.8,6881,0
BNP,D,20110802,000000,55.5,55.7,55,55.05,4778,0
BNP,D,20110803,000000,54.95,54.95,52.25,53.4,12061,0
BNP,D,20110804,000000,52.55,53,51,51.7,18042,0
BNP,D,20110805,000000,49.9,50.95,48.55,50.5,34525,0
BNP,D,20110808,000000,47.9,49,47.25,48.11,44571,0
BNP,D,20110809,000000,46.1,48,42.5,44.82,32821,0
BNP,D,20110810,000000,45,47.9,44.85,46,27767,0
BNP,D,20110811,000000,46,47.1,44.56,46.9,14699,0
BNP,D,20110812,000000,47.5,49,47.03,48.5,6240,0
BNP,D,20110816,000000,49.3,49.49,48.92,49.48,3864,0
BNP,D,20110817,000000,49.1,49.51,48.11,49.5,4350,0
BNP,D,20110818,000000,49,49,47,47.21,11023,0
BNP,D,20110819,000000,45.7,47.2,45.1,47.18,3936,0
BNP,D,20110822,000000,45.5,48.45,45.5,47.88,2619,0
BNP,D,20110823,000000,48,49,47.25,48.6,3743,0
BNP,D,20110824,000000,48.6,48.6,47.4,48.5,1605,0
BNP,D,20110825,000000,47.55,48.68,47.51,47.83,3112,0
BNP,D,20110826,000000,47.5,48,47.01,47.99,1637,0
BNP,D,20110829,000000,47.99,48.49,47.92,48.49,3305,0
BNP,D,20110830,000000,48.5,48.98,47.7,47.84,3591,0
BNP,D,20110831,000000,47.62,48.8,47.56,48.2,4238,0
BNP,D,20110901,000000,48,48.85,47.6,48.49,4323,0
BNP,D,20110902,000000,48.38,48.38,46.5,47.95,2688,0
BNP,D,20110905,000000,46.35,46.8,45.55,45.56,1922,0
BNP,D,20110906,000000,45.12,46.95,45,46.93,3205,0
BNP,D,20110907,000000,46.8,47,45.6,47,6981,0
BNP,D,20110908,000000,46.02,46.47,45.91,46.42,12784,0
BNP,D,20110909,000000,46,46.33,45.01,45.75,71803,0
BNP,D,20110912,000000,45.46,45.46,42.5,44.5,5857,0
BNP,D,20110913,000000,43.71,44.44,43,43.8,4344,0
BNP,D,20110914,000000,43.16,43.7,42.56,43,4374,0
BNP,D,20110915,000000,42.95,44,42.5,43.79,5552,0
BNP,D,20110916,000000,43.82,44,43.5,43.52,2701,0
BNP,D,20110919,000000,43.5,43.5,40.6,42,9498,0
BNP,D,20110920,000000,41.98,42.89,41.28,42.89,3907,0
BNP,D,20110921,000000,42.15,42.5,42.15,42.25,5022,0
BNP,D,20110922,000000,41.99,41.99,40.5,41.2,6238,0
BNP,D,20110923,000000,40.56,40.56,39.07,39.84,6746,0
BNP,D,20110926,000000,39.1,39.84,38.21,39.5,6173,0
BNP,D,20110927,000000,39.61,40.29,39.5,40,3697,0
BNP,D,20110928,000000,40,40,39.12,39.79,1521,0
BNP,D,20110929,000000,39.5,40,39.02,39.89,2563,0
BNP,D,20110930,000000,39.5,39.89,39.5,39.89,2047,0
BNP,D,20111003,000000,39.41,39.45,38.8,39.45,2861,0
BNP,D,20111004,000000,39,39,38,38.47,33799,0
BNP,D,20111005,000000,38.15,38.5,38.05,38.3,2060,0
BNP,D,20111006,000000,38.3,39.1,38.3,38.99,3146,0
BNP,D,20111007,000000,39.5,40.29,39,40.29,4505,0
BNP,D,20111010,000000,40.29,45.99,40.29,45.5,14485,0
BNP,D,20111011,000000,45,46.99,43.61,46.5,9192,0
BNP,D,20111012,000000,45.99,48.44,45,47.1,8725,0
BNP,D,20111013,000000,45.9,46.8,45.9,46.21,2930,0
BNP,D,20111014,000000,46.05,46.21,45.75,46.1,1831,0
BNP,D,20111017,000000,46,46.11,45.15,46,3223,0
BNP,D,20111018,000000,43.51,46,43.5,45.01,2385,0
BNP,D,20111019,000000,44.15,45.01,44.15,44.75,175093,0
BNP,D,20111020,000000,44.5,44.5,43.72,43.75,1013,0
BNP,D,20111021,000000,43,44.74,43,43.8,1430,0
BNP,D,20111024,000000,44.2,44.75,43.55,44.6,1967,0
BNP,D,20111025,000000,44.5,44.5,43.85,44.05,1589,0
BNP,D,20111026,000000,43.8,44.05,43.25,43.5,2016,0
BNP,D,20111027,000000,43.56,44.7,43.56,44.7,3099,0
BNP,D,20111028,000000,44.89,44.89,44.02,44.7,1691,0
BNP,D,20111031,000000,44.1,44.8,43.65,44.75,1907,0
BNP,D,20111102,000000,42.5,44,42,44,6559,0
BNP,D,20111103,000000,42.8,43.8,42.8,43.7,17159,0
BNP,D,20111104,000000,44.01,44.2,43.11,43.12,2708,0
BNP,D,20111107,000000,43.01,43.15,42.8,42.8,1860,0
BNP,D,20111108,000000,42.8,43,42.56,42.9,1936,0
BNP,D,20111109,000000,42.7,42.7,41.8,42,2750,0
BNP,D,20111110,000000,41.1,42.2,41,42,3171,0
BNP,D,20111114,000000,42.1,42.9,41.61,41.7,2744,0
BNP,D,20111115,000000,41.7,41.7,41,41.5,3377,0
BNP,D,20111116,000000,41.02,41.9,41.02,41.7,2558,0
BNP,D,20111117,000000,41.11,41.69,41.11,41.65,1631,0
BNP,D,20111118,000000,41.3,42,41.3,42,1886,0
BNP,D,20111121,000000,42,42,40.8,41.22,2809,0
BNP,D,20111122,000000,40.9,41.2,40.5,40.7,3111,0
BNP,D,20111123,000000,40.5,40.5,40.04,40.2,2749,0
BNP,D,20111124,000000,40.01,40.78,40.01,40.41,3597,0
BNP,D,20111125,000000,40.22,43,40.2,42.5,6217,0
BNP,D,20111128,000000,41.59,44.13,41.59,44.1,6071,0
BNP,D,20111129,000000,44.08,44.2,43.21,44,4458,0
BNP,D,20111130,000000,44,45.76,43.3,45.76,34597,0
BNP,D,20111201,000000,44.5,46.74,44.5,46.05,18551,0
BNP,D,20111202,000000,45.1,48.5,45.1,47.5,10856,0
BNP,D,20111205,000000,47.3,47.49,46.71,47.1,5708,0
BNP,D,20111206,000000,46.6,47.05,46.48,46.5,10928,0
BNP,D,20111207,000000,46,46.5,46,46.5,4215,0
BNP,D,20111208,000000,46.05,46.6,46.05,46.15,4776,0
BNP,D,20111209,000000,45.45,46.6,45.45,46.1,8584,0
BNP,D,20111212,000000,46,46.2,45.65,46.2,11742,0
BNP,D,20111213,000000,45.8,46.99,45.35,46,6079,0
BNP,D,20111214,000000,45.42,46.09,45.42,45.94,6618,0
BNP,D,20111215,000000,46,46.07,45.62,46.05,9748,0
BNP,D,20111216,000000,45.85,46.03,45.85,46,3401,0
BNP,D,20111219,000000,45.6,46.2,45.6,46.01,8642,0
BNP,D,20111220,000000,45.95,47.99,45.95,47.4,23553,0
BNP,D,20111221,000000,47.5,47.5,46.65,47.12,4152,0
BNP,D,20111222,000000,47.09,47.09,46.8,46.8,6958,0
BNP,D,20111223,000000,46.8,47.23,46.8,46.8,7753,0
BNP,D,20111227,000000,46.8,47.1,46.65,46.65,14208,0
BNP,D,20111228,000000,46.65,47.1,46.63,46.98,4288,0
BNP,D,20111229,000000,46.63,47,46.63,46.9,3122,0
BNP,D,20111230,000000,47,47.1,46.75,46.8,5507,0
BNP,D,20120102,000000,46.7,47,46.56,46.9,5131,0
BNP,D,20120103,000000,46.7,47,46.32,47,1797,0
BNP,D,20120104,000000,46.42,46.9,46.42,46.9,2814,0
BNP,D,20120105,000000,46.66,47,46.66,46.9,3628,0
