<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BOS,D,19970203,000000,47.697,47.697,47.697,47.697,118449,0
BOS,D,19970204,000000,45.713,45.713,45.713,45.713,42985,0
BOS,D,19970205,000000,43.23,43.23,43.23,43.23,66588,0
BOS,D,19970206,000000,42.731,42.731,42.731,42.731,28562,0
BOS,D,19970207,000000,44.716,44.716,44.716,44.716,47073,0
BOS,D,19970210,000000,46.511,46.511,46.511,46.511,50142,0
BOS,D,19970211,000000,44.716,44.716,44.716,44.716,37893,0
BOS,D,19970212,000000,44.716,44.716,44.716,44.716,22507,0
BOS,D,19970213,000000,43.728,43.728,43.728,43.728,15551,0
BOS,D,19970214,000000,44.716,44.716,44.716,44.716,44210,0
BOS,D,19970217,000000,44.716,44.716,44.716,44.716,36998,0
BOS,D,19970218,000000,44.716,44.716,44.716,44.716,23692,0
BOS,D,19970219,000000,43.728,43.728,43.728,43.728,16237,0
BOS,D,19970220,000000,42.931,42.931,42.931,42.931,12789,0
BOS,D,19970221,000000,44.217,44.217,44.217,44.217,16383,0
BOS,D,19970224,000000,43.329,43.329,43.329,43.329,9266,0
BOS,D,19970225,000000,43.329,43.329,43.329,43.329,11424,0
BOS,D,19970226,000000,43.728,43.728,43.728,43.728,22447,0
BOS,D,19970227,000000,43.23,43.23,43.23,43.23,35392,0
BOS,D,19970228,000000,42.731,42.731,42.731,42.731,30598,0
BOS,D,19970303,000000,42.232,42.232,42.232,42.232,47485,0
BOS,D,19970304,000000,42.232,42.232,42.232,42.232,35741,0
BOS,D,19970305,000000,42.731,42.731,42.731,42.731,28982,0
BOS,D,19970306,000000,43.728,43.728,43.728,43.728,33459,0
BOS,D,19970307,000000,44.416,44.416,44.416,44.416,24065,0
BOS,D,19970310,000000,43.728,43.728,43.728,43.728,15152,0
BOS,D,19970311,000000,43.828,43.828,43.828,43.828,31615,0
BOS,D,19970312,000000,44.716,44.716,44.716,44.716,25291,0
BOS,D,19970313,000000,43.329,43.329,43.329,43.329,17101,0
