<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BOW,D,20120125,000000,8.5287,14.205,8.5287,9.95,8005,0
BOW,D,20120126,000000,10.282,10.946,9.4766,9.95,21444,0
BOW,D,20120127,000000,10.471,10.471,9.523,9.523,2115,0
BOW,D,20120130,000000,9.713,9.713,9.713,9.713,167,0
BOW,D,20120131,000000,9.553,9.553,9.4578,9.4766,1116,0
BOW,D,20120201,000000,9.4766,9.4766,8.7183,9.4766,2186,0
BOW,D,20120202,000000,9.429,9.429,8.5761,9.3246,1334,0
BOW,D,20120203,000000,9.3719,9.3719,9.0121,9.3623,48,0
BOW,D,20120206,000000,9.3342,9.3342,9.0121,9.3053,49,0
BOW,D,20120207,000000,9.0499,9.0973,8.5761,8.8035,4817,0
BOW,D,20120208,000000,8.7657,8.7657,8.396,8.6709,2200,0
BOW,D,20120209,000000,8.7088,8.7088,8.5287,8.6992,348,0
BOW,D,20120210,000000,8.5287,8.5287,8.5287,8.5287,180,0
BOW,D,20120213,000000,8.5287,8.5287,8.5287,8.5287,74,0
BOW,D,20120214,000000,8.8035,8.8035,8.8035,8.8035,10,0
BOW,D,20120215,000000,8.6614,8.6614,8.1876,8.5287,5263,0
BOW,D,20120216,000000,8.1117,8.4339,7.7801,8.4339,2314,0
BOW,D,20120217,000000,8.5287,8.5287,8.3866,8.3866,158,0
BOW,D,20120220,000000,8.3391,8.3391,8.036,8.036,222,0
BOW,D,20120221,000000,8.1023,8.1023,7.2969,7.7707,1869,0
BOW,D,20120222,000000,7.6759,7.7232,7.6759,7.7232,1288,0
BOW,D,20120223,000000,8.0454,8.0454,7.7232,7.7232,21,0
BOW,D,20120224,000000,7.5811,7.6759,7.3821,7.6759,2412,0
BOW,D,20120227,000000,7.7232,7.7232,7.6664,7.6664,1025,0
BOW,D,20120228,000000,7.657,7.657,7.6379,7.6379,84,0
BOW,D,20120229,000000,7.657,7.657,7.6284,7.6284,12,0
BOW,D,20120301,000000,7.5811,7.5906,7.4389,7.5906,696,0
BOW,D,20120302,000000,7.7707,7.7707,7.7707,7.7707,2,0
BOW,D,20120305,000000,7.7707,7.7707,7.6759,7.6759,181,0
BOW,D,20120306,000000,7.619,7.619,7.619,7.619,52,0
