<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRG,D,20100415,000000,6.1182,6.1182,5.317,5.317,107488,0
BRG,D,20100416,000000,5.5356,5.5356,5.0986,5.0986,98549,0
BRG,D,20100419,000000,5.0986,5.0986,4.8436,4.8871,7857,0
BRG,D,20100420,000000,4.9892,5.1641,4.9892,5.0257,3222,0
BRG,D,20100421,000000,5.0257,5.0694,5.0257,5.0694,2595,0
BRG,D,20100422,000000,5.0257,5.0257,4.9237,5.0184,2540,0
BRG,D,20100423,000000,4.9892,5.0986,4.931,5.0986,12081,0
BRG,D,20100426,000000,5.0547,5.0547,5.0547,5.0547,501,0
BRG,D,20100427,000000,4.9892,4.9892,4.5521,4.8509,55785,0
BRG,D,20100428,000000,4.8509,4.88,4.6688,4.88,2789,0
BRG,D,20100429,000000,4.9748,5.0911,4.9019,4.9892,2148,0
BRG,D,20100430,000000,5.062,5.2368,4.9237,5.062,14538,0
BRG,D,20100504,000000,5.0986,5.0986,5.0986,5.0986,2,0
BRG,D,20100505,000000,4.7709,5.0986,4.7488,5.0547,970,0
BRG,D,20100506,000000,4.7488,5.0257,4.7488,5.0257,1366,0
BRG,D,20100507,000000,4.7342,4.8436,4.6615,4.8436,2094,0
BRG,D,20100510,000000,4.8727,4.8727,4.676,4.676,569,0
BRG,D,20100511,000000,4.9164,4.9164,4.4431,4.6979,37564,0
BRG,D,20100512,000000,4.727,4.727,4.516,4.6543,8564,0
BRG,D,20100513,000000,4.6979,4.727,4.5521,4.6179,5441,0
BRG,D,20100514,000000,4.9675,4.9675,4.6543,4.7342,11053,0
BRG,D,20100517,000000,4.6615,4.7998,4.5887,4.6979,4532,0
BRG,D,20100518,000000,4.7053,4.7053,4.6615,4.6615,436,0
BRG,D,20100519,000000,4.6032,4.7126,4.37,4.5667,9224,0
BRG,D,20100520,000000,4.3774,4.545,4.2973,4.4431,2516,0
BRG,D,20100521,000000,4.3774,4.5521,4.3774,4.5521,719,0
BRG,D,20100524,000000,4.545,4.5521,4.545,4.5521,205,0
BRG,D,20100525,000000,4.516,4.516,4.37,4.37,550,0
BRG,D,20100526,000000,4.2245,4.5741,4.2245,4.5741,2982,0
BRG,D,20100527,000000,4.5741,4.5741,4.5741,4.5741,412,0
BRG,D,20100528,000000,4.4431,4.7709,4.4431,4.7709,12988,0
BRG,D,20100531,000000,4.5887,4.5887,4.4431,4.516,2701,0
BRG,D,20100601,000000,4.6543,4.6543,4.5887,4.5887,195,0
BRG,D,20100602,000000,4.37,4.5086,4.37,4.4066,11250,0
BRG,D,20100604,000000,4.4066,4.4066,4.2973,4.3921,8955,0
BRG,D,20100607,000000,4.239,4.4431,4.239,4.4431,4413,0
BRG,D,20100608,000000,4.4431,4.4431,4.37,4.3774,2130,0
BRG,D,20100609,000000,4.4721,4.4721,4.4721,4.4721,2,0
BRG,D,20100610,000000,4.4721,4.5741,4.3847,4.5521,41456,0
BRG,D,20100611,000000,4.7126,4.8509,4.5959,4.7635,30152,0
BRG,D,20100614,000000,4.7635,4.7635,4.676,4.7197,6068,0
BRG,D,20100615,000000,4.7197,4.7197,4.6032,4.6615,11332,0
BRG,D,20100616,000000,4.6615,4.7342,4.5887,4.5887,5827,0
BRG,D,20100617,000000,4.6249,4.727,4.6249,4.727,506,0
BRG,D,20100618,000000,4.6906,4.6906,4.5959,4.6833,2334,0
BRG,D,20100621,000000,4.6906,4.6979,4.5521,4.5521,2633,0
BRG,D,20100622,000000,4.6469,4.7926,4.6323,4.7342,17868,0
BRG,D,20100623,000000,4.7342,4.7342,4.6615,4.7342,17680,0
BRG,D,20100624,000000,4.7709,4.7709,4.7342,4.7709,18735,0
BRG,D,20100625,000000,4.7342,4.7709,4.7342,4.7709,5893,0
BRG,D,20100628,000000,4.7709,4.7926,4.7415,4.7926,3638,0
BRG,D,20100629,000000,4.7561,4.7561,4.6615,4.6615,1925,0
BRG,D,20100630,000000,4.6945,4.6945,4.5539,4.5539,165,0
