<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BST,D,19970530,000000,16.25,16.25,16.25,16.25,292432,0
BST,D,19970602,000000,14.625,14.625,14.625,14.625,85572,0
BST,D,19970603,000000,14.375,14.375,14.375,14.375,80312,0
BST,D,19970604,000000,13.5,13.5,13.5,13.5,101444,0
BST,D,19970605,000000,12.15,12.15,12.15,12.15,26380,0
BST,D,19970606,000000,11.225,11.225,11.225,11.225,205524,0
BST,D,19970609,000000,11.625,11.625,11.625,11.625,78752,0
BST,D,19970610,000000,11.5,11.5,11.5,11.5,114832,0
BST,D,19970611,000000,11.2,11.2,11.2,11.2,28572,0
BST,D,19970612,000000,11.025,11.025,11.025,11.025,46124,0
BST,D,19970613,000000,11.025,11.025,11.025,11.025,53972,0
BST,D,19970616,000000,11,11,11,11,41276,0
BST,D,19970617,000000,11.05,11.05,11.05,11.05,22516,0
BST,D,19970618,000000,11.25,11.25,11.25,11.25,14780,0
BST,D,19970619,000000,11.225,11.225,11.225,11.225,31448,0
BST,D,19970620,000000,11.275,11.275,11.275,11.275,25852,0
BST,D,19970623,000000,11.125,11.125,11.125,11.125,9976,0
BST,D,19970624,000000,10.75,10.75,10.75,10.75,11580,0
BST,D,19970625,000000,10.5,10.5,10.5,10.5,8096,0
BST,D,19970626,000000,10,10,10,10,20768,0
BST,D,19970627,000000,9.75,9.75,9.75,9.75,10000,0
BST,D,19970630,000000,10,10,10,10,24328,0
BST,D,19970701,000000,9.75,9.75,9.75,9.75,13076,0
BST,D,19970702,000000,9.575,9.575,9.575,9.575,26436,0
BST,D,19970703,000000,9.75,9.75,9.75,9.75,12232,0
BST,D,19970704,000000,8.775,8.775,8.775,8.775,64272,0
BST,D,19970707,000000,9.65,9.65,9.65,9.65,53004,0
BST,D,19970708,000000,9.875,9.875,9.875,9.875,48252,0
BST,D,19970709,000000,10.25,10.25,10.25,10.25,46928,0
BST,D,19970710,000000,10.75,10.75,10.75,10.75,25024,0
BST,D,19970711,000000,10.25,10.25,10.25,10.25,27024,0
BST,D,19970714,000000,9.5,9.5,9.5,9.5,12528,0
BST,D,19970715,000000,9.125,9.125,9.125,9.125,22796,0
BST,D,19970716,000000,9.375,9.375,9.375,9.375,26080,0
BST,D,19970717,000000,9.25,9.25,9.25,9.25,15996,0
BST,D,19970718,000000,9.125,9.125,9.125,9.125,10960,0
BST,D,19970721,000000,8.875,8.875,8.875,8.875,19212,0
BST,D,19970722,000000,9.05,9.05,9.05,9.05,20000,0
BST,D,19970723,000000,8.65,8.65,8.65,8.65,27572,0
BST,D,19970724,000000,8.5,8.5,8.5,8.5,8236,0
BST,D,19970725,000000,8.25,8.25,8.25,8.25,9092,0
BST,D,19970728,000000,7.825,7.825,7.825,7.825,10992,0
BST,D,19970729,000000,7.45,7.45,7.45,7.45,36980,0
BST,D,19970730,000000,7.5,7.5,7.5,7.5,65000,0
BST,D,19970731,000000,7.875,7.875,7.875,7.875,35176,0
BST,D,19970801,000000,7.45,7.45,7.45,7.45,11676,0
BST,D,19970804,000000,7.675,7.675,7.675,7.675,27752,0
BST,D,19970805,000000,7.1,7.1,7.1,7.1,21900,0
BST,D,19970806,000000,6.875,6.875,6.875,6.875,226836,0
BST,D,19970807,000000,7,7,7,7,270216,0
BST,D,19970808,000000,7.575,7.575,7.575,7.575,172936,0
BST,D,19970811,000000,8.325,8.325,8.325,8.325,180240,0
BST,D,19970812,000000,8.175,8.175,8.175,8.175,69916,0
BST,D,19970813,000000,8.5,8.5,8.5,8.5,61116,0
BST,D,19970814,000000,7.75,7.75,7.75,7.75,125420,0
BST,D,19970818,000000,7.1,7.1,7.1,7.1,90000,0
BST,D,19970819,000000,7,7,7,7,157072,0
BST,D,19970820,000000,7,7,7,7,76928,0
BST,D,19970821,000000,7.15,7.15,7.15,7.15,38320,0
BST,D,19970822,000000,6.825,6.825,6.825,6.825,20512,0
BST,D,19970825,000000,6.875,6.875,6.875,6.875,25308,0
BST,D,19970826,000000,6.8,6.8,6.8,6.8,20620,0
BST,D,19970827,000000,6.8,6.8,6.8,6.8,28904,0
BST,D,19970828,000000,6.85,6.85,6.85,6.85,47504,0
BST,D,19970829,000000,6.85,6.85,6.85,6.85,55156,0
BST,D,19970901,000000,6.975,6.975,6.975,6.975,17348,0
BST,D,19970902,000000,7,7,7,7,28484,0
BST,D,19970903,000000,7.025,7.025,7.025,7.025,76588,0
BST,D,19970904,000000,7,7,7,7,23964,0
BST,D,19970905,000000,6.85,6.85,6.85,6.85,10000,0
BST,D,19970908,000000,7.1,7.1,7.1,7.1,21760,0
BST,D,19970909,000000,7.125,7.125,7.125,7.125,96428,0
BST,D,19970910,000000,7.1,7.1,7.1,7.1,49528,0
BST,D,19970911,000000,6.975,6.975,6.975,6.975,42224,0
BST,D,19970912,000000,6.925,6.925,6.925,6.925,29108,0
BST,D,19970915,000000,6.875,6.875,6.875,6.875,43272,0
BST,D,19970916,000000,6.825,6.825,6.825,6.825,49064,0
BST,D,19970917,000000,7,7,7,7,113120,0
BST,D,19970918,000000,7.025,7.025,7.025,7.025,85388,0
BST,D,19970919,000000,7.05,7.05,7.05,7.05,123420,0
BST,D,19970922,000000,6.95,6.95,6.95,6.95,48824,0
BST,D,19970923,000000,6.875,6.875,6.875,6.875,21656,0
BST,D,19970924,000000,6.8,6.8,6.8,6.8,26116,0
BST,D,19970925,000000,6.55,6.55,6.55,6.55,19380,0
BST,D,19970926,000000,6.175,6.175,6.175,6.175,36980,0
BST,D,19970929,000000,6.25,6.25,6.25,6.25,95504,0
