<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAR,D,20040526,000000,21.198,21.97,21.1,21.679,531527,0
CAR,D,20040527,000000,21.872,22.355,21.872,22.163,224826,0
CAR,D,20040528,000000,22.163,22.26,21.872,22.163,53976,0
CAR,D,20040531,000000,22.163,22.26,21.97,22.163,22850,0
CAR,D,20040601,000000,22.163,22.163,21.872,22.163,13616,0
CAR,D,20040602,000000,22.066,22.163,22.066,22.163,19406,0
CAR,D,20040603,000000,22.163,22.163,21.97,21.97,7958,0
CAR,D,20040604,000000,22.163,22.163,21.97,22.163,37066,0
CAR,D,20040607,000000,22.163,22.55,22.163,22.55,53762,0
CAR,D,20040608,000000,22.55,23.409,22.55,23.216,36711,0
CAR,D,20040609,000000,23.311,24.085,23.119,24.085,37131,0
CAR,D,20040611,000000,23.988,26.017,23.988,25.339,50358,0
CAR,D,20040614,000000,25.339,25.339,23.795,24.76,23591,0
CAR,D,20040615,000000,24.568,24.664,24.085,24.276,7699,0
CAR,D,20040616,000000,24.085,24.76,24.085,24.47,9457,0
CAR,D,20040617,000000,24.47,24.664,23.602,23.602,28134,0
CAR,D,20040618,000000,23.891,24.085,23.602,23.602,9630,0
CAR,D,20040621,000000,23.409,24.374,23.409,23.988,19410,0
CAR,D,20040622,000000,24.182,24.276,23.988,23.988,6878,0
CAR,D,20040623,000000,24.374,24.664,24.182,24.182,19874,0
CAR,D,20040624,000000,24.568,24.568,24.182,24.276,7718,0
CAR,D,20040625,000000,24.374,24.664,24.085,24.664,9861,0
CAR,D,20040628,000000,24.858,26.498,24.858,26.305,33909,0
CAR,D,20040629,000000,26.595,26.693,25.823,26.017,7727,0
CAR,D,20040630,000000,26.403,26.403,25.823,25.823,10767,0
CAR,D,20040701,000000,25.823,25.918,25.339,25.725,2202,0
CAR,D,20040702,000000,25.533,25.725,25.147,25.533,12006,0
CAR,D,20040705,000000,25.725,26.017,25.631,25.918,4490,0
CAR,D,20040706,000000,25.725,26.017,25.533,25.918,4334,0
CAR,D,20040707,000000,25.918,26.305,25.631,26.209,7150,0
CAR,D,20040708,000000,26.017,27.455,26.017,27.261,15453,0
CAR,D,20040709,000000,27.455,28.421,27.261,28.421,19199,0
CAR,D,20040712,000000,28.421,29.482,28.421,28.517,49829,0
CAR,D,20040713,000000,28.517,28.904,28.227,28.806,24568,0
CAR,D,20040714,000000,28.421,30.642,28.421,30.351,61082,0
CAR,D,20040715,000000,30.351,31.502,29.772,30.255,45269,0
CAR,D,20040716,000000,30.642,31.212,29.29,30.922,50687,0
CAR,D,20040719,000000,31.307,33.625,31.307,32.37,44925,0
CAR,D,20040720,000000,32.949,32.949,30.739,32.177,61456,0
CAR,D,20040721,000000,32.177,32.274,31.307,31.694,107083,0
CAR,D,20040722,000000,31.789,31.789,31.404,31.694,24766,0
CAR,D,20040723,000000,31.694,33.239,31.404,32.949,25547,0
CAR,D,20040726,000000,33.143,33.239,31.694,31.888,30852,0
CAR,D,20040727,000000,32.177,32.66,30.922,31.599,19759,0
CAR,D,20040728,000000,32.467,32.467,30.449,30.834,18820,0
CAR,D,20040729,000000,30.449,31.116,29.869,30.255,19892,0
CAR,D,20040730,000000,30.255,30.834,30.158,30.834,5472,0
CAR,D,20040802,000000,30.922,31.789,30.922,31.502,14568,0
CAR,D,20040803,000000,31.502,31.789,31.404,31.694,16175,0
CAR,D,20040804,000000,31.599,32.08,31.502,31.984,23670,0
CAR,D,20040805,000000,32.274,32.274,31.599,31.599,9684,0
CAR,D,20040806,000000,31.307,31.694,30.351,30.351,13027,0
CAR,D,20040809,000000,30.351,31.307,28.71,29.386,14017,0
CAR,D,20040810,000000,29.386,30.255,29.096,29.869,18501,0
CAR,D,20040811,000000,29.482,29.869,29.482,29.482,21972,0
CAR,D,20040812,000000,29.386,29.772,29.386,29.482,3456,0
CAR,D,20040813,000000,29.482,29.677,29.386,29.677,2566,0
CAR,D,20040816,000000,29.966,29.966,29.772,29.772,1999,0
CAR,D,20040817,000000,29.677,30.255,29.579,29.869,4095,0
CAR,D,20040818,000000,29.869,30.449,29.869,30.449,4129,0
CAR,D,20040819,000000,30.739,30.739,30.062,30.062,3399,0
CAR,D,20040820,000000,29.772,30.158,29.193,29.579,6461,0
CAR,D,20040823,000000,29.579,30.158,29.482,30.062,18973,0
CAR,D,20040824,000000,30.351,31.789,30.351,31.789,22209,0
CAR,D,20040825,000000,31.789,31.888,31.116,31.502,14432,0
CAR,D,20040826,000000,31.789,31.789,30.922,30.922,10074,0
CAR,D,20040827,000000,31.789,31.789,31.307,31.599,1119,0
CAR,D,20040830,000000,31.599,31.599,30.739,30.739,1705,0
CAR,D,20040831,000000,30.545,30.834,30.545,30.642,17826,0
CAR,D,20040901,000000,30.834,31.307,30.642,31.307,10169,0
CAR,D,20040902,000000,31.212,31.789,30.545,31.599,20047,0
