<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCE,D,19991117,000000,2.57,2.57,1.68,1.71,69880,0
CCE,D,19991118,000000,1.54,1.75,1.54,1.75,31718,0
CCE,D,19991119,000000,1.71,2.26,1.54,2.26,87365,0
CCE,D,19991122,000000,2.73,2.74,2.14,2.14,72450,0
CCE,D,19991123,000000,2.45,2.45,2.06,2.06,31995,0
CCE,D,19991124,000000,2.13,2.26,2.13,2.14,56889,0
CCE,D,19991125,000000,2.23,2.23,2.06,2.06,67424,0
CCE,D,19991126,000000,2.18,2.19,2.11,2.13,23429,0
CCE,D,19991129,000000,2.14,2.14,2.06,2.06,6416,0
CCE,D,19991130,000000,2.06,2.07,2.04,2.07,11375,0
CCE,D,19991201,000000,2.06,2.07,2.06,2.06,9625,0
CCE,D,19991202,000000,2.09,2.09,2.02,2.04,8925,0
CCE,D,19991203,000000,2.02,2.06,1.97,1.99,17791,0
CCE,D,19991206,000000,1.99,1.99,1.82,1.85,19600,0
CCE,D,19991207,000000,1.85,1.85,1.78,1.78,4284,0
CCE,D,19991208,000000,1.77,1.78,1.71,1.75,26250,0
CCE,D,19991209,000000,1.75,1.8,1.75,1.8,7875,0
CCE,D,19991210,000000,1.85,1.92,1.71,1.75,48387,0
CCE,D,19991213,000000,1.78,1.8,1.71,1.8,31208,0
CCE,D,19991214,000000,1.78,1.78,1.71,1.73,20343,0
CCE,D,19991215,000000,1.71,1.75,1.71,1.71,31208,0
CCE,D,19991216,000000,1.73,1.73,1.7,1.7,24704,0
CCE,D,19991217,000000,1.71,1.71,1.66,1.66,4229,0
CCE,D,19991220,000000,1.71,1.78,1.68,1.71,35819,0
CCE,D,19991221,000000,1.71,1.71,1.7,1.71,10791,0
CCE,D,19991222,000000,1.75,1.75,1.65,1.65,9595,0
CCE,D,19991223,000000,1.65,1.77,1.61,1.61,57647,0
CCE,D,19991227,000000,1.66,1.71,1.66,1.68,20329,0
CCE,D,19991228,000000,1.71,1.71,1.7,1.71,20151,0
CCE,D,19991229,000000,1.71,1.71,1.58,1.58,20635,0
CCE,D,20000103,000000,1.7,1.71,1.65,1.66,17091,0
CCE,D,20000104,000000,1.63,1.65,1.58,1.58,22458,0
CCE,D,20000105,000000,1.58,1.59,1.54,1.59,8691,0
CCE,D,20000106,000000,1.61,1.63,1.59,1.61,7583,0
CCE,D,20000107,000000,1.61,1.68,1.61,1.66,34985,0
CCE,D,20000110,000000,1.66,1.71,1.59,1.65,78610,0
CCE,D,20000111,000000,1.54,1.7,1.54,1.66,27512,0
CCE,D,20000112,000000,1.59,1.63,1.59,1.59,22895,0
CCE,D,20000113,000000,1.65,1.65,1.63,1.65,5057,0
CCE,D,20000114,000000,1.61,1.68,1.61,1.68,16482,0
CCE,D,20000117,000000,1.65,1.68,1.65,1.68,10558,0
CCE,D,20000118,000000,1.7,1.7,1.61,1.68,64618,0
CCE,D,20000119,000000,1.61,1.75,1.61,1.75,137025,0
CCE,D,20000120,000000,1.68,1.8,1.68,1.78,233508,0
CCE,D,20000121,000000,1.82,2.19,1.78,2.18,440722,0
CCE,D,20000124,000000,2.23,2.74,2.09,2.26,408505,0
CCE,D,20000125,000000,2.18,2.26,1.92,2.02,98907,0
CCE,D,20000126,000000,2.07,2.37,2.07,2.18,115115,0
CCE,D,20000127,000000,2.13,2.3,1.99,2.16,60214,0
CCE,D,20000128,000000,2.21,2.21,2.07,2.11,43604,0
CCE,D,20000131,000000,2.06,2.06,1.99,2.06,17327,0
CCE,D,20000201,000000,2.16,2.21,2.11,2.14,39550,0
CCE,D,20000202,000000,2.13,2.13,2.06,2.13,10091,0
CCE,D,20000203,000000,2.11,2.28,2.11,2.26,72085,0
CCE,D,20000204,000000,2.33,2.66,2.25,2.26,446707,0
CCE,D,20000207,000000,2.37,2.55,2.26,2.47,115304,0
CCE,D,20000208,000000,2.61,2.74,2.54,2.74,250920,0
CCE,D,20000209,000000,2.64,3.17,2.64,2.86,396165,0
CCE,D,20000210,000000,2.66,2.9,2.57,2.86,197467,0
CCE,D,20000211,000000,3.09,3.19,2.85,2.85,221946,0
CCE,D,20000214,000000,2.78,2.97,2.78,2.97,61512,0
CCE,D,20000215,000000,2.97,2.97,2.74,2.9,49962,0
CCE,D,20000216,000000,2.88,3.02,2.85,2.91,51248,0
CCE,D,20000217,000000,2.95,3,2.88,2.97,94940,0
CCE,D,20000218,000000,2.97,3.02,2.91,2.93,44770,0
CCE,D,20000221,000000,2.81,2.88,2.74,2.81,56408,0
CCE,D,20000222,000000,2.85,2.85,2.06,2.67,34075,0
CCE,D,20000223,000000,2.71,2.76,2.43,2.5,63160,0
CCE,D,20000224,000000,2.55,2.61,2.06,2.4,61675,0
CCE,D,20000225,000000,2.43,2.43,2.16,2.19,57035,0
CCE,D,20000228,000000,2.25,2.37,2.13,2.23,27562,0
CCE,D,20000229,000000,2.26,2.37,2.23,2.28,43633,0
CCE,D,20000301,000000,2.23,2.3,2.21,2.21,20693,0
CCE,D,20000302,000000,2.31,2.33,2.21,2.23,22954,0
CCE,D,20000303,000000,2.35,2.37,2.23,2.25,18281,0
CCE,D,20000306,000000,2.3,2.3,2.21,2.26,20533,0
CCE,D,20000307,000000,2.19,2.26,2.19,2.26,17257,0
CCE,D,20000308,000000,2.16,2.33,2.16,2.33,20708,0
CCE,D,20000309,000000,2.3,2.5,2.3,2.42,64869,0
CCE,D,20000310,000000,2.5,2.71,2.47,2.59,79155,0
CCE,D,20000313,000000,2.64,2.64,2.38,2.38,25229,0
CCE,D,20000314,000000,2.42,2.49,2.38,2.49,28335,0
CCE,D,20000315,000000,2.37,2.47,2.33,2.33,18535,0
CCE,D,20000316,000000,2.4,2.4,2.33,2.37,65479,0
CCE,D,20000317,000000,2.49,2.49,2.35,2.4,54480,0
CCE,D,20000320,000000,2.4,2.4,2.33,2.33,16872,0
CCE,D,20000321,000000,2.37,2.37,2.31,2.31,15802,0
CCE,D,20000322,000000,2.4,2.42,2.19,2.19,40585,0
CCE,D,20000323,000000,2.25,2.25,2.16,2.18,48504,0
CCE,D,20000324,000000,2.26,2.4,2.21,2.26,68075,0
CCE,D,20000327,000000,2.37,2.38,2.26,2.26,51450,0
CCE,D,20000328,000000,2.31,2.33,2.25,2.28,14495,0
CCE,D,20000329,000000,2.3,2.3,2.23,2.23,15604,0
CCE,D,20000330,000000,2.26,2.26,2.13,2.18,16240,0
CCE,D,20000331,000000,2.13,2.23,2.13,2.19,20518,0
CCE,D,20000403,000000,2.3,2.35,2.19,2.21,11958,0
CCE,D,20000404,000000,2.06,2.23,2.06,2.23,18013,0
CCE,D,20000405,000000,2.23,2.23,2.16,2.19,5220,0
CCE,D,20000406,000000,2.16,2.23,2.16,2.19,4754,0
CCE,D,20000407,000000,2.19,2.23,2.16,2.19,5147,0
CCE,D,20000410,000000,2.23,2.23,2.06,2.06,39331,0
CCE,D,20000411,000000,2.07,2.07,1.99,1.99,11048,0
CCE,D,20000412,000000,2.06,2.09,2.02,2.09,24820,0
CCE,D,20000413,000000,2.13,2.16,2.02,2.07,66091,0
CCE,D,20000414,000000,2.06,2.06,2.04,2.04,22312,0
CCE,D,20000417,000000,1.92,1.92,1.75,1.82,26075,0
CCE,D,20000418,000000,1.89,2.01,1.8,1.83,17558,0
CCE,D,20000419,000000,1.85,1.95,1.85,1.95,28729,0
CCE,D,20000420,000000,1.9,2.13,1.9,2.13,48297,0
CCE,D,20000425,000000,2.23,2.25,2.02,2.11,17937,0
CCE,D,20000426,000000,2.21,2.21,2.07,2.07,23858,0
CCE,D,20000427,000000,2.07,2.07,1.95,1.95,26979,0
CCE,D,20000428,000000,2.07,2.13,1.99,2.06,19250,0
CCE,D,20000504,000000,2.02,2.02,1.95,1.95,8604,0
CCE,D,20000505,000000,2.02,2.06,1.95,1.97,9187,0
CCE,D,20000508,000000,1.97,2.02,1.97,2.02,1516,0
CCE,D,20000509,000000,1.99,2.01,1.94,2.01,9210,0
CCE,D,20000510,000000,2.02,2.02,1.95,1.95,5045,0
CCE,D,20000511,000000,1.95,2.07,1.95,2.06,61002,0
CCE,D,20000512,000000,2.06,2.09,1.99,1.99,38205,0
CCE,D,20000515,000000,2.02,2.04,1.99,2.04,12002,0
CCE,D,20000516,000000,1.97,2.04,1.97,1.99,7233,0
CCE,D,20000517,000000,2.02,2.02,1.99,1.99,4025,0
CCE,D,20000518,000000,1.99,2.01,1.95,2.01,5425,0
