<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CEZ,D,19990223,000000,2.5241,2.5241,2.5241,2.5241,2836123,0
CEZ,D,19990224,000000,2.5647,2.5647,2.5647,2.5647,3293080,0
CEZ,D,19990225,000000,2.6254,2.6254,2.6254,2.6254,1680846,0
CEZ,D,19990226,000000,2.6052,2.6052,2.6052,2.6052,1674859,0
CEZ,D,19990301,000000,2.6303,2.6303,2.6303,2.6303,1397923,0
CEZ,D,19990302,000000,2.6607,2.6607,2.6607,2.6607,2794735,0
CEZ,D,19990303,000000,2.6354,2.6354,2.6354,2.6354,1786272,0
CEZ,D,19990304,000000,2.6,2.6,2.6,2.6,1698990,0
CEZ,D,19990305,000000,2.5597,2.5597,2.5597,2.5597,1694550,0
CEZ,D,19990308,000000,2.5597,2.5597,2.5597,2.5597,820824,0
CEZ,D,19990309,000000,2.5443,2.5443,2.5443,2.5443,826086,0
CEZ,D,19990310,000000,2.6,2.6,2.6,2.6,874455,0
CEZ,D,19990311,000000,2.7467,2.7467,2.7467,2.7467,3674615,0
CEZ,D,19990312,000000,2.8175,2.8175,2.8175,2.8175,5216233,0
CEZ,D,19990315,000000,2.9034,2.9034,2.9034,2.9034,3743895,0
CEZ,D,19990316,000000,2.9643,2.9643,2.9643,2.9643,4822600,0
CEZ,D,19990317,000000,2.9238,2.9238,2.9238,2.9238,3435586,0
CEZ,D,19990318,000000,2.772,2.772,2.772,2.772,3020443,0
CEZ,D,19990319,000000,2.8783,2.8783,2.8783,2.8783,2439376,0
CEZ,D,19990322,000000,2.8428,2.8428,2.8428,2.8428,2706904,0
CEZ,D,19990323,000000,2.7771,2.7771,2.7771,2.7771,1723167,0
CEZ,D,19990324,000000,2.6708,2.6708,2.6708,2.6708,1326873,0
CEZ,D,19990325,000000,2.7214,2.7214,2.7214,2.7214,2157213,0
CEZ,D,19990326,000000,2.6404,2.6404,2.6404,2.6404,2502666,0
CEZ,D,19990329,000000,2.5597,2.5597,2.5597,2.5597,416026,0
CEZ,D,19990330,000000,2.772,2.772,2.772,2.772,2235627,0
CEZ,D,19990331,000000,2.8175,2.8175,2.8175,2.8175,2784975,0
CEZ,D,19990401,000000,2.7771,2.7771,2.7771,2.7771,1514155,0
CEZ,D,19990402,000000,2.8074,2.8074,2.8074,2.8074,6619,0
CEZ,D,19990406,000000,2.8529,2.8529,2.8529,2.8529,1554827,0
CEZ,D,19990407,000000,2.8529,2.8529,2.8529,2.8529,1054298,0
CEZ,D,19990408,000000,2.9034,2.9034,2.9034,2.9034,2419802,0
CEZ,D,19990409,000000,2.944,2.944,2.944,2.944,4893734,0
CEZ,D,19990412,000000,2.868,2.868,2.868,2.868,946073,0
CEZ,D,19990413,000000,2.8126,2.8126,2.8126,2.8126,2116585,0
CEZ,D,19990414,000000,2.8228,2.8228,2.8228,2.8228,652198,0
CEZ,D,19990415,000000,2.8175,2.8175,2.8175,2.8175,1710594,0
CEZ,D,19990416,000000,2.7921,2.7921,2.7921,2.7921,1480266,0
CEZ,D,19990419,000000,2.8327,2.8327,2.8327,2.8327,1952883,0
CEZ,D,19990420,000000,2.772,2.772,2.772,2.772,645721,0
CEZ,D,19990421,000000,2.7619,2.7619,2.7619,2.7619,883085,0
CEZ,D,19990422,000000,2.7619,2.7619,2.7619,2.7619,1712470,0
CEZ,D,19990423,000000,2.7517,2.7517,2.7517,2.7517,2157979,0
CEZ,D,19990426,000000,2.7821,2.7821,2.7821,2.7821,2311379,0
CEZ,D,19990427,000000,2.8529,2.8529,2.8529,2.8529,2521239,0
CEZ,D,19990428,000000,2.8579,2.8579,2.8579,2.8579,2343326,0
CEZ,D,19990429,000000,2.848,2.848,2.848,2.848,2196451,0
CEZ,D,19990430,000000,2.8277,2.8277,2.8277,2.8277,3053278,0
CEZ,D,19990503,000000,2.9238,2.9238,2.9238,2.9238,1801148,0
CEZ,D,19990504,000000,2.9793,2.9793,2.9793,2.9793,3530823,0
CEZ,D,19990505,000000,3.0605,3.0605,3.0605,3.0605,2673321,0
CEZ,D,19990506,000000,3.2829,3.2829,3.2829,3.2829,3704130,0
CEZ,D,19990507,000000,3.3791,3.3791,3.3791,3.3791,6126120,0
CEZ,D,19990510,000000,3.4902,3.4902,3.4902,3.4902,4413259,0
CEZ,D,19990511,000000,3.9557,3.9557,3.9557,3.9557,10185303,0
CEZ,D,19990512,000000,4.0063,4.0063,4.0063,4.0063,19876903,0
CEZ,D,19990513,000000,3.8444,3.8444,3.8444,3.8444,12609949,0
CEZ,D,19990514,000000,3.8243,3.8243,3.8243,3.8243,4405309,0
CEZ,D,19990517,000000,3.6725,3.6725,3.6725,3.6725,1556698,0
CEZ,D,19990518,000000,3.6775,3.6775,3.6775,3.6775,2530186,0
CEZ,D,19990519,000000,3.905,3.905,3.905,3.905,4181181,0
CEZ,D,19990520,000000,3.8647,3.8647,3.8647,3.8647,8364709,0
CEZ,D,19990521,000000,4.0416,4.0416,4.0416,4.0416,6305020,0
CEZ,D,19990524,000000,4.1936,4.1936,4.1936,4.1936,4942101,0
CEZ,D,19990525,000000,4.3957,4.3957,4.3957,4.3957,5382427,0
CEZ,D,19990526,000000,4.3453,4.3453,4.3453,4.3453,7848730,0
CEZ,D,19990527,000000,4.0873,4.0873,4.0873,4.0873,4673505,0
CEZ,D,19990528,000000,4.1124,4.1124,4.1124,4.1124,4431945,0
CEZ,D,19990531,000000,4.1682,4.1682,4.1682,4.1682,1810319,0
CEZ,D,19990601,000000,4.1682,4.1682,4.1682,4.1682,1792819,0
CEZ,D,19990602,000000,4.163,4.163,4.163,4.163,877193,0
CEZ,D,19990603,000000,4.1176,4.1176,4.1176,4.1176,1651260,0
CEZ,D,19990604,000000,4.0873,4.0873,4.0873,4.0873,299421,0
CEZ,D,19990607,000000,4.0822,4.0822,4.0822,4.0822,297313,0
CEZ,D,19990608,000000,4.1024,4.1024,4.1024,4.1024,380227,0
CEZ,D,19990609,000000,4.0822,4.0822,4.0822,4.0822,1365808,0
CEZ,D,19990610,000000,3.9709,3.9709,3.9709,3.9709,926126,0
CEZ,D,19990611,000000,3.895,3.895,3.895,3.895,994635,0
CEZ,D,19990614,000000,3.9305,3.9305,3.9305,3.9305,369470,0
CEZ,D,19990615,000000,3.991,3.991,3.991,3.991,2254599,0
CEZ,D,19990616,000000,4.1075,4.1075,4.1075,4.1075,2474761,0
CEZ,D,19990617,000000,4.1327,4.1327,4.1327,4.1327,1338077,0
CEZ,D,19990618,000000,4.0923,4.0923,4.0923,4.0923,870225,0
CEZ,D,19990621,000000,4.1579,4.1579,4.1579,4.1579,1106686,0
CEZ,D,19990622,000000,4.1075,4.1075,4.1075,4.1075,820610,0
CEZ,D,19990623,000000,4.0416,4.0416,4.0416,4.0416,1248301,0
CEZ,D,19990624,000000,4.0518,4.0518,4.0518,4.0518,363201,0
CEZ,D,19990625,000000,4.0771,4.0771,4.0771,4.0771,357922,0
CEZ,D,19990628,000000,4.0822,4.0822,4.0822,4.0822,462598,0
CEZ,D,19990629,000000,4.062,4.062,4.062,4.062,731234,0
CEZ,D,19990630,000000,4.062,4.062,4.062,4.062,463637,0
CEZ,D,19990701,000000,4.0315,4.0315,4.0315,4.0315,996082,0
CEZ,D,19990702,000000,4.0063,4.0063,4.0063,4.0063,1193231,0
CEZ,D,19990707,000000,3.9962,3.9962,3.9962,3.9962,965916,0
CEZ,D,19990708,000000,3.9456,3.9456,3.9456,3.9456,774053,0
CEZ,D,19990709,000000,3.8546,3.8546,3.8546,3.8546,1122735,0
CEZ,D,19990712,000000,3.8747,3.8747,3.8747,3.8747,827903,0
CEZ,D,19990713,000000,3.723,3.723,3.723,3.723,1669710,0
CEZ,D,19990714,000000,3.7533,3.7533,3.7533,3.7533,912647,0
CEZ,D,19990715,000000,3.7634,3.7634,3.7634,3.7634,774055,0
CEZ,D,19990716,000000,3.7078,3.7078,3.7078,3.7078,513053,0
CEZ,D,19990719,000000,3.7937,3.7937,3.7937,3.7937,608063,0
CEZ,D,19990720,000000,3.8647,3.8647,3.8647,3.8647,1079899,0
CEZ,D,19990721,000000,3.8747,3.8747,3.8747,3.8747,380458,0
CEZ,D,19990722,000000,4.0923,4.0923,4.0923,4.0923,2986758,0
CEZ,D,19990723,000000,4.244,4.244,4.244,4.244,3252123,0
CEZ,D,19990726,000000,4.2238,4.2238,4.2238,4.2238,5225704,0
CEZ,D,19990727,000000,4.1884,4.1884,4.1884,4.1884,4760903,0
CEZ,D,19990728,000000,4.163,4.163,4.163,4.163,2002503,0
CEZ,D,19990729,000000,4.1733,4.1733,4.1733,4.1733,1080195,0
CEZ,D,19990730,000000,4.2844,4.2844,4.2844,4.2844,1739122,0
CEZ,D,19990802,000000,4.2946,4.2946,4.2946,4.2946,1897658,0
CEZ,D,19990803,000000,4.6335,4.6335,4.6335,4.6335,3509691,0
CEZ,D,19990804,000000,4.9775,4.9775,4.9775,4.9775,4769948,0
CEZ,D,19990805,000000,4.8763,4.8763,4.8763,4.8763,4406554,0
CEZ,D,19990806,000000,4.7094,4.7094,4.7094,4.7094,4913951,0
CEZ,D,19990809,000000,4.6791,4.6791,4.6791,4.6791,4046707,0
CEZ,D,19990810,000000,4.6285,4.6285,4.6285,4.6285,3365783,0
CEZ,D,19990811,000000,4.6133,4.6133,4.6133,4.6133,548460,0
CEZ,D,19990812,000000,4.5881,4.5881,4.5881,4.5881,1217140,0
CEZ,D,19990813,000000,4.5628,4.5628,4.5628,4.5628,443733,0
CEZ,D,19990816,000000,4.3908,4.3908,4.3908,4.3908,3741840,0
CEZ,D,19990817,000000,4.3957,4.3957,4.3957,4.3957,411936,0
