<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CFI,D,20091222,000000,4.18,4.38,4.1,4.24,46320,0
CFI,D,20091223,000000,4.1,4.1,3.8,3.8,13680,0
CFI,D,20091228,000000,3.6,3.6,3.26,3.32,15960,0
CFI,D,20091229,000000,3.4,3.54,3.4,3.48,10280,0
CFI,D,20091230,000000,3.54,3.86,3.5,3.86,2720,0
CFI,D,20091231,000000,3.8,4,3.74,4,2280,0
CFI,D,20100104,000000,4.06,4.1,3.68,3.98,4080,0
CFI,D,20100105,000000,3.96,3.96,3.66,3.66,1560,0
CFI,D,20100106,000000,3.92,3.92,3.88,3.9,1280,0
CFI,D,20100107,000000,3.88,3.88,3.56,3.6,2920,0
CFI,D,20100108,000000,3.8,3.84,3.74,3.82,1120,0
CFI,D,20100111,000000,3.8,3.82,3.8,3.82,1440,0
CFI,D,20100112,000000,3.9,3.9,3.64,3.64,1200,0
CFI,D,20100113,000000,3.8,3.8,3.72,3.72,840,0
CFI,D,20100114,000000,3.64,3.7,3.64,3.7,1520,0
CFI,D,20100115,000000,3.66,3.8,3.66,3.8,360,0
CFI,D,20100118,000000,3.94,3.94,3.7,3.7,800,0
CFI,D,20100119,000000,3.66,3.66,3.66,3.66,680,0
CFI,D,20100121,000000,3.6,3.6,3.5,3.5,2000,0
CFI,D,20100122,000000,3.66,3.68,3.66,3.66,3040,0
CFI,D,20100125,000000,3.46,3.6,3.44,3.6,760,0
CFI,D,20100126,000000,3.6,3.7,3.5,3.7,12800,0
CFI,D,20100127,000000,3.58,3.78,3.58,3.7,3040,0
CFI,D,20100128,000000,3.48,3.5,3.48,3.5,400,0
CFI,D,20100129,000000,3.52,3.52,3.52,3.52,120,0
CFI,D,20100201,000000,3.52,3.78,3.52,3.78,3600,0
CFI,D,20100202,000000,3.78,3.78,3.52,3.52,3000,0
CFI,D,20100204,000000,3.52,3.58,3.52,3.52,920,0
CFI,D,20100205,000000,3.46,3.46,3.36,3.4,4280,0
CFI,D,20100208,000000,3.7,3.7,3.36,3.36,200,0
CFI,D,20100209,000000,3.44,3.44,3.42,3.42,320,0
CFI,D,20100210,000000,3.68,3.68,3.38,3.4,1640,0
CFI,D,20100211,000000,3.38,3.42,3.38,3.42,120,0
CFI,D,20100212,000000,3.38,3.38,3.36,3.36,1600,0
CFI,D,20100215,000000,3.36,3.4,3.16,3.2,11920,0
CFI,D,20100216,000000,3.2,3.4,3.2,3.4,1120,0
CFI,D,20100217,000000,3.38,3.4,3.2,3.2,20680,0
CFI,D,20100218,000000,3.2,3.38,3.2,3.24,2800,0
CFI,D,20100219,000000,3.38,3.5,3.36,3.5,8280,0
CFI,D,20100222,000000,3.6,3.66,3.42,3.42,1440,0
CFI,D,20100223,000000,3.6,4.14,3.6,4.1,27880,0
CFI,D,20100224,000000,4.1,4.1,3.68,3.68,21840,0
CFI,D,20100225,000000,3.68,3.96,3.68,3.86,1840,0
CFI,D,20100301,000000,3.62,3.86,3.62,3.86,160,0
CFI,D,20100302,000000,3.8,3.98,3.8,3.96,15000,0
CFI,D,20100303,000000,3.82,3.96,3.8,3.94,11600,0
CFI,D,20100304,000000,3.96,4.14,3.96,4.14,3520,0
CFI,D,20100305,000000,4.04,4.24,4.02,4.1,7080,0
CFI,D,20100308,000000,4.2,4.2,4.1,4.1,11960,0
CFI,D,20100309,000000,4.1,4.2,4.1,4.1,4000,0
CFI,D,20100310,000000,4.2,4.2,4.1,4.1,3120,0
CFI,D,20100311,000000,4.1,4.1,4.1,4.1,8000,0
CFI,D,20100312,000000,3.84,4.12,3.84,4.1,3320,0
CFI,D,20100315,000000,3.9,4.08,3.84,4,11520,0
CFI,D,20100316,000000,3.98,4.06,3.98,4.06,11800,0
CFI,D,20100317,000000,3.98,4,3.9,3.92,28360,0
CFI,D,20100318,000000,4,4,4,4,120,0
CFI,D,20100319,000000,3.86,3.86,3.82,3.86,15000,0
CFI,D,20100323,000000,3.96,3.96,3.72,3.72,840,0
CFI,D,20100324,000000,3.6,3.68,3.42,3.48,3440,0
CFI,D,20100325,000000,3.8,3.8,3.42,3.56,11880,0
CFI,D,20100326,000000,3.9,4,3.6,3.6,960,0
CFI,D,20100329,000000,3.92,3.92,3.6,3.6,0,0
CFI,D,20100330,000000,3.9,3.92,3.7,3.88,560,0
CFI,D,20100331,000000,3.88,3.88,3.74,3.82,400,0
CFI,D,20100401,000000,3.74,3.74,3.7,3.7,800,0
CFI,D,20100406,000000,3.76,3.9,3.76,3.82,240,0
CFI,D,20100407,000000,3.6,3.6,3.6,3.6,0,0
CFI,D,20100408,000000,3.9,3.9,3.62,3.62,0,0
CFI,D,20100409,000000,3.78,3.78,3.66,3.66,120,0
CFI,D,20100412,000000,3.88,3.88,3.88,3.88,40,0
CFI,D,20100413,000000,3.9,3.9,3.86,3.88,2840,0
CFI,D,20100414,000000,3.92,3.92,3.7,3.9,1080,0
CFI,D,20100415,000000,3.9,3.96,3.9,3.96,5000,0
CFI,D,20100416,000000,3.8,3.8,3.8,3.8,200,0
CFI,D,20100419,000000,3.7,3.94,3.7,3.92,600,0
CFI,D,20100420,000000,3.7,3.9,3.7,3.7,240,0
CFI,D,20100421,000000,3.9,3.9,3.72,3.72,1200,0
CFI,D,20100422,000000,3.7,3.8,3.7,3.7,2360,0
CFI,D,20100423,000000,3.7,3.7,3.4,3.62,1160,0
CFI,D,20100426,000000,3.64,3.7,3.6,3.7,3720,0
CFI,D,20100427,000000,3.8,3.8,3.48,3.6,3720,0
CFI,D,20100428,000000,3.5,3.5,3.5,3.5,120,0
CFI,D,20100429,000000,3.6,3.6,3.56,3.56,1440,0
CFI,D,20100504,000000,3.56,3.56,3.24,3.32,2400,0
CFI,D,20100505,000000,3.78,3.78,3.36,3.78,400,0
CFI,D,20100506,000000,3.78,3.78,3.78,3.78,0,0
CFI,D,20100507,000000,3.68,3.68,3.44,3.44,360,0
CFI,D,20100510,000000,3.76,3.76,3.76,3.76,120,0
CFI,D,20100511,000000,3.74,3.74,3.74,3.74,40,0
CFI,D,20100512,000000,3.58,3.6,3.58,3.6,80,0
CFI,D,20100514,000000,3.4,3.4,3.4,3.4,360,0
CFI,D,20100517,000000,3.76,3.76,3.76,3.76,80,0
CFI,D,20100518,000000,3.6,3.74,3.4,3.74,6400,0
CFI,D,20100519,000000,3.6,3.6,3.6,3.6,40,0
CFI,D,20100524,000000,3.42,3.58,3.32,3.32,400,0
CFI,D,20100525,000000,3.72,3.72,3.36,3.44,11640,0
CFI,D,20100526,000000,3.44,3.48,3.2,3.48,6520,0
CFI,D,20100527,000000,3.24,3.56,3.24,3.52,1440,0
CFI,D,20100528,000000,3.5,3.5,3.5,3.5,40,0
CFI,D,20100531,000000,3.26,3.5,3.26,3.32,880,0
CFI,D,20100601,000000,3.4,3.52,3.4,3.4,2200,0
CFI,D,20100602,000000,3.5,3.5,3.5,3.5,920,0
CFI,D,20100604,000000,3.36,3.36,3.36,3.36,120,0
CFI,D,20100607,000000,3.58,3.58,3.54,3.54,240,0
CFI,D,20100609,000000,3.4,3.4,3.4,3.4,160,0
CFI,D,20100610,000000,3.52,3.52,3.4,3.4,280,0
CFI,D,20100611,000000,3.56,3.56,3.56,3.56,120,0
CFI,D,20100614,000000,3.56,3.56,3.56,3.56,240,0
CFI,D,20100615,000000,3.46,3.46,3.46,3.46,240,0
CFI,D,20100616,000000,3.58,3.58,3.58,3.58,160,0
CFI,D,20100617,000000,3.58,3.58,3.48,3.48,400,0
CFI,D,20100618,000000,3.48,3.48,3.48,3.48,1400,0
CFI,D,20100621,000000,3.46,3.46,3.46,3.46,80,0
CFI,D,20100622,000000,3.46,3.46,3.44,3.44,160,0
CFI,D,20100623,000000,3.52,3.52,3.52,3.52,120,0
CFI,D,20100624,000000,3.48,3.5,3.48,3.5,2880,0
CFI,D,20100625,000000,3.54,3.54,3.54,3.54,2120,0
CFI,D,20100628,000000,3.4,3.54,3.4,3.54,1320,0
CFI,D,20100629,000000,3.54,3.54,3.54,3.54,160,0
CFI,D,20100702,000000,3.38,3.4,3.38,3.4,760,0
CFI,D,20100705,000000,3.54,3.54,3.42,3.42,840,0
CFI,D,20100706,000000,3.42,3.54,3.42,3.54,360,0
CFI,D,20100707,000000,3.4,3.4,3.4,3.4,0,0
CFI,D,20100709,000000,3.42,3.42,3.4,3.42,920,0
CFI,D,20100712,000000,3.44,3.44,3.44,3.44,40,0
CFI,D,20100714,000000,3.48,3.48,3.48,3.48,840,0
CFI,D,20100716,000000,3.48,3.48,3.36,3.48,6960,0
CFI,D,20100719,000000,3.36,3.5,3.36,3.5,360,0
CFI,D,20100720,000000,3.54,3.54,3.5,3.5,320,0
CFI,D,20100722,000000,3.48,3.48,3.46,3.46,640,0
CFI,D,20100723,000000,3.4,3.4,3.4,3.4,840,0
CFI,D,20100726,000000,3.38,3.38,3.34,3.34,2280,0
CFI,D,20100728,000000,3.36,3.44,3.36,3.44,1840,0
CFI,D,20100729,000000,3.4,3.42,3.4,3.42,520,0
CFI,D,20100730,000000,3.46,3.46,3.46,3.46,560,0
CFI,D,20100809,000000,3.42,3.42,3.18,3.38,2440,0
CFI,D,20100810,000000,3.38,3.38,3.38,3.38,0,0
CFI,D,20100811,000000,3.22,3.22,3.1,3.1,12440,0
CFI,D,20100812,000000,3.1,3.36,3.08,3.36,2560,0
CFI,D,20100813,000000,3.22,3.3,3.22,3.3,2160,0
CFI,D,20100817,000000,3.34,3.34,3.3,3.3,720,0
