<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CIE,D,20050210,000000,18.804,19.056,17.783,17.85,2200218,0
CIE,D,20050211,000000,18.042,18.042,17.723,17.975,231380,0
CIE,D,20050214,000000,17.908,18.226,17.85,18.101,167582,0
CIE,D,20050215,000000,18.168,18.226,18.101,18.168,57868,0
CIE,D,20050216,000000,18.168,18.419,18.101,18.36,274010,0
CIE,D,20050217,000000,18.36,18.36,18.101,18.293,127291,0
CIE,D,20050218,000000,18.168,18.293,17.908,18.293,107620,0
CIE,D,20050221,000000,17.975,18.419,17.783,18.293,193778,0
CIE,D,20050222,000000,18.226,18.546,18.042,18.486,145058,0
CIE,D,20050223,000000,18.293,18.93,18.293,18.93,197022,0
CIE,D,20050224,000000,18.989,19.818,18.989,19.751,547250,0
CIE,D,20050225,000000,20.01,20.196,19.692,19.885,387702,0
CIE,D,20050228,000000,20.07,20.196,19.692,19.692,153420,0
CIE,D,20050301,000000,19.374,19.751,19.248,19.692,72927,0
CIE,D,20050302,000000,19.692,19.751,19.567,19.692,307911,0
CIE,D,20050303,000000,19.625,19.885,19.625,19.692,46841,0
CIE,D,20050304,000000,19.692,19.692,19.182,19.374,32889,0
CIE,D,20050307,000000,19.248,19.433,18.804,19.182,58396,0
CIE,D,20050308,000000,19.056,19.182,18.804,19.182,80591,0
CIE,D,20050309,000000,19.182,19.182,18.93,18.989,59329,0
CIE,D,20050310,000000,18.989,18.989,18.546,18.737,90940,0
CIE,D,20050311,000000,18.804,18.804,18.36,18.546,83659,0
CIE,D,20050314,000000,18.546,18.671,18.293,18.486,34902,0
CIE,D,20050315,000000,18.419,18.611,18.226,18.611,18088,0
CIE,D,20050316,000000,18.546,18.864,18.36,18.611,63313,0
CIE,D,20050317,000000,18.419,18.546,18.293,18.419,30295,0
CIE,D,20050318,000000,18.419,18.546,18.419,18.419,48112,0
CIE,D,20050321,000000,18.419,18.611,18.419,18.419,28042,0
CIE,D,20050322,000000,18.419,18.419,18.226,18.293,49777,0
CIE,D,20050323,000000,18.226,18.293,18.101,18.168,80851,0
CIE,D,20050324,000000,18.101,18.168,17.975,18.168,161692,0
CIE,D,20050329,000000,18.101,18.101,17.85,17.975,5139,0
CIE,D,20050330,000000,17.975,18.36,17.975,18.36,9414,0
CIE,D,20050331,000000,18.419,18.419,18.226,18.293,12823,0
CIE,D,20050401,000000,18.168,18.293,18.042,18.293,76272,0
CIE,D,20050404,000000,18.293,18.293,18.101,18.101,87851,0
CIE,D,20050405,000000,18.042,18.36,18.042,18.36,5952,0
CIE,D,20050406,000000,18.36,18.486,18.168,18.486,5241,0
CIE,D,20050407,000000,18.419,18.546,18.168,18.419,5784,0
CIE,D,20050411,000000,18.101,18.419,18.101,18.293,7015,0
CIE,D,20050412,000000,18.419,18.419,18.101,18.101,15351,0
CIE,D,20050413,000000,18.042,18.419,18.042,18.226,12367,0
CIE,D,20050414,000000,18.101,18.419,18.101,18.419,15523,0
CIE,D,20050415,000000,18.226,18.486,18.168,18.419,13561,0
CIE,D,20050418,000000,18.101,18.36,17.783,18.36,35297,0
CIE,D,20050419,000000,18.101,18.101,17.85,17.908,2282,0
CIE,D,20050420,000000,17.908,18.101,17.531,17.723,17706,0
CIE,D,20050421,000000,17.783,17.783,17.147,17.147,6245,0
CIE,D,20050422,000000,17.213,17.213,16.576,16.836,8464,0
CIE,D,20050425,000000,16.517,16.517,15.815,16.074,61006,0
CIE,D,20050426,000000,16.133,16.199,15.563,15.815,14466,0
CIE,D,20050427,000000,15.881,15.881,15.178,15.178,34178,0
CIE,D,20050428,000000,15.119,15.244,14.482,15.244,41556,0
CIE,D,20050429,000000,15.244,16.007,15.119,15.881,37878,0
CIE,D,20050502,000000,16.199,16.325,16.074,16.325,4266,0
CIE,D,20050504,000000,16.451,16.451,16.074,16.199,7926,0
CIE,D,20050505,000000,16.007,16.133,15.623,16.074,7695,0
CIE,D,20050506,000000,15.689,16.007,15.689,15.881,6347,0
CIE,D,20050509,000000,16.074,16.074,15.881,16.007,20259,0
CIE,D,20050510,000000,16.133,16.133,15.815,15.881,13922,0
CIE,D,20050511,000000,15.756,15.881,15.756,15.881,10947,0
CIE,D,20050512,000000,15.815,15.941,15.756,15.881,9154,0
CIE,D,20050513,000000,15.815,15.881,15.689,15.881,4888,0
CIE,D,20050516,000000,15.881,16.007,15.563,15.815,13429,0
CIE,D,20050517,000000,15.815,15.941,15.815,15.941,15739,0
CIE,D,20050518,000000,15.815,15.881,15.756,15.881,5513,0
CIE,D,20050519,000000,15.881,16.007,15.563,16.007,7752,0
CIE,D,20050520,000000,15.941,16.007,15.881,15.941,34161,0
CIE,D,20050523,000000,15.881,15.941,15.756,15.881,12788,0
CIE,D,20050524,000000,15.881,16.133,15.881,15.881,16449,0
CIE,D,20050525,000000,15.941,16.384,15.941,16.199,38078,0
CIE,D,20050527,000000,16.325,16.451,16.074,16.199,6175,0
CIE,D,20050530,000000,15.881,16.133,15.881,15.941,5829,0
CIE,D,20050531,000000,16.074,16.576,16.074,16.517,17699,0
CIE,D,20050601,000000,16.576,17.021,16.517,16.836,179702,0
CIE,D,20050602,000000,16.895,16.895,16.643,16.769,34145,0
CIE,D,20050603,000000,16.895,16.895,16.769,16.769,17066,0
CIE,D,20050606,000000,16.769,16.836,16.451,16.517,30943,0
