<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLN,D,20161017,000000,18.916,20.358,18.171,19.073,1815147,0
CLN,D,20161018,000000,19.024,19.102,18.299,18.642,228288,0
CLN,D,20161019,000000,18.642,18.681,18.249,18.583,357503,0
CLN,D,20161020,000000,18.543,18.867,18.357,18.749,820084,0
CLN,D,20161021,000000,18.789,19.347,18.789,19.132,158652,0
CLN,D,20161024,000000,19.28,19.917,19.181,19.427,303614,0
CLN,D,20161025,000000,19.82,19.82,19.122,19.201,57273,0
CLN,D,20161026,000000,19.201,19.23,18.986,18.986,28162,0
CLN,D,20161027,000000,19.033,19.23,18.986,18.986,28056,0
CLN,D,20161028,000000,19.043,19.112,18.613,18.739,30061,0
CLN,D,20161031,000000,18.739,18.966,18.593,18.739,32172,0
CLN,D,20161102,000000,18.739,18.739,18.005,18.013,66448,0
CLN,D,20161103,000000,18.141,18.396,17.218,17.366,149418,0
CLN,D,20161104,000000,17.161,18.632,16.915,17.906,108681,0
CLN,D,20161107,000000,18.141,18.622,18.141,18.465,30638,0
CLN,D,20161108,000000,18.465,18.583,17.985,17.985,21944,0
CLN,D,20161109,000000,17.955,18.445,17.671,18.328,70826,0
CLN,D,20161110,000000,18.415,19.063,18.347,18.543,40795,0
CLN,D,20161114,000000,18.289,18.495,17.985,18.445,13015,0
CLN,D,20161115,000000,18.112,18.445,18.112,18.396,3897,0
CLN,D,20161116,000000,18.396,18.936,18.347,18.347,14562,0
CLN,D,20161117,000000,18.289,18.789,18.18,18.445,211049,0
CLN,D,20161118,000000,18.299,18.837,18.072,18.828,191993,0
CLN,D,20161121,000000,18.642,20.358,18.593,19.427,121466,0
CLN,D,20161122,000000,19.564,20.103,19.436,19.995,211324,0
CLN,D,20161123,000000,20.015,20.251,19.77,20.073,89753,0
CLN,D,20161124,000000,20.073,20.457,19.917,20.408,73866,0
CLN,D,20161125,000000,20.476,22.046,20.318,21.506,167273,0
CLN,D,20161128,000000,21.506,22.066,21.506,21.977,120840,0
CLN,D,20161129,000000,22.076,22.37,20.615,20.615,102003,0
CLN,D,20161130,000000,21.134,21.586,20.545,21.094,169347,0
CLN,D,20161201,000000,21.879,21.958,21.242,21.86,14820,0
CLN,D,20161202,000000,21.879,21.929,21.682,21.87,16123,0
CLN,D,20161205,000000,21.879,22.37,21.879,22.31,94224,0
CLN,D,20161206,000000,22.439,23.449,22.38,23.067,53737,0
CLN,D,20161207,000000,23.4,24.724,23.4,24.185,84594,0
CLN,D,20161208,000000,24.529,24.529,23.842,24.136,60123,0
CLN,D,20161209,000000,24.49,24.49,23.548,24.126,43511,0
CLN,D,20161212,000000,24.234,24.49,23.449,23.499,22966,0
CLN,D,20161213,000000,23.891,23.939,23.499,23.842,29163,0
CLN,D,20161214,000000,23.939,24.038,23.566,23.744,15862,0
CLN,D,20161215,000000,23.596,24.234,23.586,24.088,36067,0
CLN,D,20161216,000000,24.098,24.411,23.939,24.224,26850,0
CLN,D,20161219,000000,24.155,24.234,23.754,23.948,22991,0
CLN,D,20161220,000000,23.958,24.038,23.91,23.948,16574,0
CLN,D,20161221,000000,23.988,24.529,23.792,24.283,67326,0
CLN,D,20161222,000000,24.332,24.332,23.645,24.116,39128,0
CLN,D,20161223,000000,24.116,24.529,24.116,24.421,21619,0
CLN,D,20161227,000000,24.43,24.51,24.332,24.48,35862,0
CLN,D,20161228,000000,24.5,24.5,24.145,24.293,34006,0
CLN,D,20161229,000000,24.401,24.421,24.165,24.332,26022,0
CLN,D,20161230,000000,24.332,24.332,24.048,24.048,35242,0
CLN,D,20170102,000000,24.519,25.99,24.008,24.008,19073,0
CLN,D,20170103,000000,24.234,25.108,24.234,25.098,173310,0
CLN,D,20170104,000000,25.088,25.098,24.686,24.939,53647,0
CLN,D,20170105,000000,25.019,25.412,25.019,25.382,27885,0
CLN,D,20170109,000000,25.382,25.412,25.205,25.412,23726,0
CLN,D,20170110,000000,25.313,25.412,25.205,25.215,38551,0
CLN,D,20170111,000000,25.412,25.412,25.264,25.392,18105,0
CLN,D,20170112,000000,25.392,25.392,25.029,25.176,38650,0
CLN,D,20170113,000000,25.039,25.392,24.676,24.959,15381,0
CLN,D,20170116,000000,24.823,24.823,23.822,24.724,62700,0
CLN,D,20170117,000000,24.716,24.716,24.361,24.716,13926,0
CLN,D,20170118,000000,24.706,25.412,24.676,25.304,38066,0
CLN,D,20170119,000000,25.294,26.922,25.069,26.54,50426,0
CLN,D,20170120,000000,26.863,28.356,26.383,27.579,140594,0
CLN,D,20170123,000000,27.717,28.845,27.579,28.442,149904,0
CLN,D,20170124,000000,28.934,31.396,28.649,31.347,225313,0
CLN,D,20170125,000000,31.102,32.024,30.592,30.955,138512,0
CLN,D,20170126,000000,31.376,31.376,29.542,30.415,51374,0
CLN,D,20170127,000000,30.318,30.808,29.257,30.808,32769,0
CLN,D,20170130,000000,30.808,33.261,30.808,32.76,112631,0
CLN,D,20170131,000000,32.868,33.064,32.427,33.064,27737,0
CLN,D,20170201,000000,33.152,33.261,32.377,32.671,37531,0
CLN,D,20170202,000000,32.967,32.995,31.887,32.25,265774,0
CLN,D,20170203,000000,32.181,32.357,30.022,30.268,147600,0
CLN,D,20170206,000000,29.925,30.218,28.748,29.925,89494,0
CLN,D,20170207,000000,29.925,30.218,29.433,29.807,39108,0
CLN,D,20170208,000000,30.022,31.543,30.022,30.856,50584,0
CLN,D,20170209,000000,31.376,31.642,30.081,30.17,52130,0
CLN,D,20170210,000000,30.415,30.415,29.433,29.836,30973,0
CLN,D,20170213,000000,29.836,30.013,28.944,29.63,90529,0
CLN,D,20170214,000000,29.915,30.395,28.964,29.915,21084,0
CLN,D,20170215,000000,29.915,30.896,29.915,30.758,25121,0
CLN,D,20170216,000000,30.896,31.739,30.896,31.671,65290,0
CLN,D,20170217,000000,31.671,31.671,30.415,30.985,22230,0
CLN,D,20170220,000000,31.376,31.475,30.366,30.661,10308,0
CLN,D,20170221,000000,30.661,31.299,29.552,29.915,41169,0
CLN,D,20170222,000000,30.288,30.318,29.542,29.895,31166,0
CLN,D,20170223,000000,29.895,31.19,29.63,31.092,46419,0
CLN,D,20170224,000000,31.062,31.102,30.298,30.415,28071,0
CLN,D,20170227,000000,30.513,31.573,30.513,31.102,29968,0
CLN,D,20170228,000000,31.2,31.593,30.846,31.024,71551,0
CLN,D,20170301,000000,31.396,32.476,30.719,32.476,117306,0
CLN,D,20170302,000000,32.819,33.29,32.72,33.162,48984,0
CLN,D,20170303,000000,33.261,33.261,32.377,33.113,27195,0
CLN,D,20170306,000000,33.162,33.751,32.78,33.652,43605,0
CLN,D,20170307,000000,33.751,33.751,31.69,33.348,59827,0
CLN,D,20170308,000000,32.476,33.348,32.337,33.348,16726,0
CLN,D,20170309,000000,33.162,33.358,32.377,33.113,12593,0
CLN,D,20170310,000000,32.868,33.338,32.397,33.252,20124,0
CLN,D,20170313,000000,33.31,34.242,33.212,34.094,41482,0
CLN,D,20170314,000000,34.183,34.242,33.928,34.242,17059,0
CLN,D,20170315,000000,34.242,35.174,33.635,33.751,67769,0
CLN,D,20170316,000000,34.133,34.762,33.849,33.898,31762,0
CLN,D,20170317,000000,34.173,34.419,33.751,34.143,24280,0
CLN,D,20170320,000000,34.183,35.664,33.751,35.577,105911,0
CLN,D,20170321,000000,35.577,37.165,35.577,35.911,102831,0
CLN,D,20170322,000000,35.763,35.811,34.624,35.605,41148,0
CLN,D,20170323,000000,35.39,37.969,35.32,37.283,62368,0
CLN,D,20170324,000000,37.94,38.107,36.988,37.381,36052,0
CLN,D,20170327,000000,37.283,37.283,35.881,36.968,22575,0
CLN,D,20170328,000000,37.185,38.911,36.891,38.657,45768,0
CLN,D,20170329,000000,39.148,40.129,38.558,38.587,54529,0
CLN,D,20170330,000000,38.755,38.755,37.205,37.586,31340,0
CLN,D,20170331,000000,37.773,38.362,37.283,37.969,14432,0
CLN,D,20170403,000000,38.362,39.03,37.823,38.264,18684,0
CLN,D,20170404,000000,38.647,38.755,37.773,38.254,34638,0
CLN,D,20170405,000000,38.755,38.843,37.48,38.461,27094,0
CLN,D,20170406,000000,38.215,38.353,37.43,38.069,7650,0
CLN,D,20170407,000000,38.019,38.019,37.44,37.538,14545,0
CLN,D,20170410,000000,37.538,38.147,37.381,37.567,6644,0
CLN,D,20170411,000000,37.577,37.666,36.087,36.155,53577,0
CLN,D,20170412,000000,35.811,36.135,34.85,35.124,48673,0
CLN,D,20170413,000000,35.026,35.124,33.408,33.408,110082,0
CLN,D,20170418,000000,33.505,34.732,33.505,33.839,38657,0
CLN,D,20170419,000000,33.849,35.644,33.839,34.633,43252,0
CLN,D,20170420,000000,34.339,36.106,34.193,36.057,32969,0
CLN,D,20170421,000000,36.204,36.891,34.596,34.782,48583,0
CLN,D,20170424,000000,34.389,34.683,31.495,33.261,74936,0
CLN,D,20170425,000000,32.868,33.252,30.808,31.495,109809,0
CLN,D,20170426,000000,31.249,31.504,28.129,31.504,272812,0
CLN,D,20170427,000000,32.377,33.025,30.513,32.367,61510,0
CLN,D,20170428,000000,32.574,33.81,32.083,32.367,24141,0
CLN,D,20170502,000000,32.967,32.967,31.642,32.27,8058,0
CLN,D,20170504,000000,31.887,31.946,30.906,31.062,46808,0
CLN,D,20170505,000000,31.269,31.877,29.964,31.593,32451,0
CLN,D,20170508,000000,31.593,31.789,30.523,31.299,4500,0
CLN,D,20170509,000000,30.671,31.112,30.415,30.661,45804,0
CLN,D,20170510,000000,30.424,31.102,29.68,30.278,21877,0
CLN,D,20170511,000000,30.318,30.856,30.218,30.228,14393,0
CLN,D,20170512,000000,30.121,30.121,28.551,29.297,64017,0
CLN,D,20170515,000000,29.385,32.231,29.14,31.709,57323,0
CLN,D,20170516,000000,32.221,33.457,31.877,31.877,88478,0
CLN,D,20170517,000000,31.877,31.887,30.513,30.778,12755,0
CLN,D,20170518,000000,31.005,31.005,29.826,30.778,24326,0
CLN,D,20170519,000000,30.856,33.475,30.151,33.475,28622,0
CLN,D,20170522,000000,33.849,34.143,32.671,33.064,31142,0
CLN,D,20170523,000000,33.358,33.358,32.28,32.544,28786,0
CLN,D,20170524,000000,32.544,32.544,30.533,31.887,13598,0
CLN,D,20170525,000000,32.534,32.534,31.897,32.28,5970,0
CLN,D,20170526,000000,32.377,33.348,32.181,33.328,23869,0
CLN,D,20170529,000000,33.064,33.948,32.624,33.358,39495,0
CLN,D,20170530,000000,33.261,33.457,32.347,32.967,11416,0
CLN,D,20170531,000000,33.41,33.528,32.148,33.528,18907,0
CLN,D,20170601,000000,33.478,34.12,33.153,33.488,17155,0
CLN,D,20170602,000000,33.478,35.352,33.478,34.711,21361,0
CLN,D,20170605,000000,35.392,35.796,34.514,35.255,218101,0
CLN,D,20170606,000000,35.491,36.832,35.255,36.782,235644,0
CLN,D,20170607,000000,36.585,36.782,35.993,36.487,78336,0
CLN,D,20170608,000000,36.674,36.674,36.368,36.388,12699,0
CLN,D,20170609,000000,36.487,37.177,36.043,36.437,97950,0
CLN,D,20170612,000000,36.437,36.979,34.12,35.007,91140,0
CLN,D,20170613,000000,34.524,35.993,34.524,35.481,9466,0
CLN,D,20170614,000000,35.481,36.191,35.481,36.191,113573,0
CLN,D,20170616,000000,36.141,36.141,35.165,35.501,4569,0
CLN,D,20170619,000000,35.501,35.747,34.909,35.747,36604,0
CLN,D,20170620,000000,35.796,35.983,35.302,35.796,75483,0
CLN,D,20170621,000000,35.896,35.993,34.938,35.688,9398,0
CLN,D,20170622,000000,35.688,36.161,35.688,35.993,9312,0
CLN,D,20170623,000000,36.003,36.782,35.993,36.634,41097,0
CLN,D,20170626,000000,36.684,36.979,36.289,36.979,20877,0
CLN,D,20170627,000000,36.979,37.423,36.694,37.177,136328,0
CLN,D,20170628,000000,36.969,36.969,36.151,36.428,5277,0
CLN,D,20170629,000000,36.161,36.882,36.151,36.585,8924,0
CLN,D,20170630,000000,36.487,37.315,36.348,37.177,112526,0
CLN,D,20170703,000000,36.842,37.207,36.398,36.398,7411,0
CLN,D,20170704,000000,36.398,36.487,35.322,35.599,27210,0
CLN,D,20170705,000000,35.599,35.599,34.219,34.514,27805,0
CLN,D,20170706,000000,34.89,36.487,34.514,36.211,22797,0
CLN,D,20170707,000000,35.747,36.487,35.747,36.103,64970,0
CLN,D,20170710,000000,36.093,36.733,36.093,36.684,23943,0
CLN,D,20170711,000000,36.684,36.733,34.967,35.658,30378,0
CLN,D,20170712,000000,36.358,36.358,35.017,35.993,5386,0
CLN,D,20170713,000000,36.319,36.487,35.302,36.487,67423,0
CLN,D,20170714,000000,36.743,36.921,35.993,36.832,8779,0
CLN,D,20170717,000000,36.121,36.979,35.698,36.882,16704,0
CLN,D,20170718,000000,36.882,37.749,36.782,36.782,40602,0
CLN,D,20170719,000000,36.782,36.782,36.141,36.782,28770,0
CLN,D,20170720,000000,36.979,37.67,36.979,37.335,112815,0
CLN,D,20170721,000000,37.275,37.275,36.289,36.585,7162,0
CLN,D,20170724,000000,36.181,36.949,35.993,36.378,2052,0
CLN,D,20170725,000000,36.378,36.378,34.564,34.948,28886,0
CLN,D,20170726,000000,34.948,36.073,34.662,35.618,16146,0
CLN,D,20170727,000000,35.51,36.418,35.51,36.191,3202,0
CLN,D,20170728,000000,35.501,36.388,35.302,35.993,5261,0
CLN,D,20170731,000000,35.886,35.993,35.302,35.993,6995,0
CLN,D,20170801,000000,35.599,36.289,35.007,35.993,58447,0
CLN,D,20170802,000000,36.289,36.289,32.739,34.494,61086,0
CLN,D,20170803,000000,34.475,34.475,33.233,34.021,74110,0
CLN,D,20170804,000000,33.923,35.283,33.538,35.245,24561,0
CLN,D,20170807,000000,35.245,35.302,34.761,35.195,2254,0
CLN,D,20170808,000000,34.632,35.007,34.051,34.86,4963,0
CLN,D,20170809,000000,34.8,34.909,33.33,34.021,11815,0
CLN,D,20170810,000000,33.943,35.106,33.578,35.106,103692,0
CLN,D,20170811,000000,35.116,35.302,34.021,34.366,46653,0
CLN,D,20170814,000000,34.031,34.366,33.134,34.189,25765,0
CLN,D,20170816,000000,33.923,34.456,33.528,34.416,10283,0
CLN,D,20170817,000000,34.446,34.691,33.775,34.604,4869,0
CLN,D,20170818,000000,34.504,34.584,33.923,34.564,6890,0
CLN,D,20170821,000000,34.642,35.886,34.642,35.806,92483,0
CLN,D,20170822,000000,35.846,37.473,35.816,37.473,135988,0
CLN,D,20170823,000000,37.453,37.67,36.743,37.374,88829,0
CLN,D,20170824,000000,37.275,37.74,37.256,37.364,18550,0
CLN,D,20170825,000000,37.364,37.66,37.265,37.62,40343,0
CLN,D,20170828,000000,37.67,37.965,37.265,37.374,7519,0
CLN,D,20170829,000000,37.374,37.473,35.501,37.167,12529,0
CLN,D,20170830,000000,37.167,37.473,37.167,37.197,3571,0
CLN,D,20170831,000000,37.374,37.374,36.487,37.137,3314,0
CLN,D,20170901,000000,37.177,37.177,36.112,36.487,14109,0
CLN,D,20170904,000000,36.929,36.929,35.826,35.826,3039,0
CLN,D,20170905,000000,35.717,35.747,35.135,35.312,20546,0
CLN,D,20170906,000000,35.312,36.487,35.312,36.043,8030,0
CLN,D,20170907,000000,36.684,36.684,35.55,35.56,2159,0
CLN,D,20170908,000000,36.388,36.604,35.599,36.487,117516,0
CLN,D,20170911,000000,36.802,36.802,35.993,36.782,1940,0
CLN,D,20170912,000000,36.802,36.802,35.55,35.983,4337,0
CLN,D,20170913,000000,35.983,35.983,35.55,35.55,43074,0
CLN,D,20170914,000000,36.073,36.585,35.609,35.708,29115,0
CLN,D,20170915,000000,35.993,35.993,35.057,35.057,8982,0
CLN,D,20170918,000000,35.057,35.293,34.948,34.987,51226,0
CLN,D,20170919,000000,34.909,35.491,34.909,35.491,909,0
CLN,D,20170920,000000,35.973,36.083,35.235,35.896,6719,0
CLN,D,20170921,000000,34.613,35.392,34.613,35.332,40722,0
CLN,D,20170922,000000,35.442,35.58,35.302,35.51,47971,0
CLN,D,20170925,000000,35.55,36.487,35.55,36.487,72740,0
CLN,D,20170926,000000,36.289,36.378,35.777,36.378,576,0
CLN,D,20170927,000000,36.378,36.378,35.767,36.181,617,0
CLN,D,20170928,000000,36.181,36.181,33.675,34.761,63198,0
CLN,D,20170929,000000,34.416,36.191,34.219,36.191,81447,0
CLN,D,20171002,000000,36.181,36.181,34.239,34.396,25183,0
CLN,D,20171003,000000,34.306,34.524,34.219,34.336,7914,0
CLN,D,20171004,000000,34.179,34.396,33.685,33.685,48290,0
CLN,D,20171005,000000,33.548,33.548,32.098,33.33,21657,0
CLN,D,20171006,000000,33.33,33.33,32.789,33.035,20971,0
CLN,D,20171009,000000,32.809,33.528,31.359,31.408,33250,0
CLN,D,20171010,000000,31.398,32.838,30.975,31.851,53550,0
CLN,D,20171011,000000,32.237,32.247,31.616,32.048,5639,0
CLN,D,20171012,000000,32.374,33.36,32.364,33.36,6567,0
CLN,D,20171013,000000,33.134,33.134,32.048,32.247,6256,0
CLN,D,20171016,000000,32.542,33.233,31.693,32.424,3905,0
CLN,D,20171017,000000,32.256,32.434,31.851,32.404,1580,0
CLN,D,20171018,000000,31.961,32.434,31.556,31.941,3047,0
CLN,D,20171019,000000,32.424,32.424,30.669,30.915,56798,0
CLN,D,20171020,000000,30.915,31.062,30.324,30.807,5983,0
CLN,D,20171023,000000,30.6,32.838,30.6,32.048,88335,0
CLN,D,20171024,000000,32.247,32.809,31.211,32.542,73857,0
CLN,D,20171025,000000,32.344,34.642,32.344,34.416,72533,0
CLN,D,20171026,000000,34.465,34.514,33.035,33.035,4614,0
CLN,D,20171027,000000,33.005,33.628,33.005,33.528,978,0
CLN,D,20171030,000000,33.528,34.306,32.344,32.344,9104,0
CLN,D,20171031,000000,32.542,33.41,31.803,33.41,39889,0
CLN,D,20171102,000000,33.32,33.32,32.552,33.233,370,0
CLN,D,20171103,000000,33.282,33.33,31.961,33.134,4828,0
CLN,D,20171106,000000,33.134,33.311,32.335,32.335,2285,0
CLN,D,20171107,000000,32.532,32.542,31.783,32.029,41991,0
