<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMP,D,20050114,000000,49.206,50.387,39.365,42.317,35426,0
CMP,D,20050117,000000,43.105,44.286,38.971,39.168,10046,0
CMP,D,20050118,000000,38.381,39.365,38.381,39.365,3354,0
CMP,D,20050119,000000,38.479,39.365,38.479,38.873,1133,0
CMP,D,20050120,000000,38.479,39.365,38.381,38.873,1161,0
CMP,D,20050121,000000,38.086,38.873,38.086,38.774,733,0
CMP,D,20050124,000000,38.873,38.873,38.381,38.578,4813,0
CMP,D,20050125,000000,37.495,39.562,37.495,39.562,11,0
CMP,D,20050126,000000,38.578,39.759,38.479,38.873,1991,0
CMP,D,20050127,000000,39.266,39.266,39.266,39.266,11,0
CMP,D,20050128,000000,38.774,38.774,38.381,38.381,2077,0
CMP,D,20050131,000000,38.381,38.381,37.889,37.889,2938,0
CMP,D,20050201,000000,38.381,39.365,38.381,39.365,2337,0
CMP,D,20050202,000000,39.07,43.203,39.07,41.53,7601,0
CMP,D,20050203,000000,42.317,42.317,40.841,40.841,804,0
CMP,D,20050204,000000,41.333,41.333,39.857,39.857,1382,0
CMP,D,20050207,000000,39.857,40.054,39.857,39.955,826,0
CMP,D,20050208,000000,39.955,39.955,39.857,39.955,640,0
CMP,D,20050209,000000,39.955,39.955,39.365,39.365,533,0
CMP,D,20050210,000000,39.365,41.628,39.168,41.628,6303,0
CMP,D,20050211,000000,41.628,42.022,41.235,42.022,52259,0
CMP,D,20050214,000000,42.219,43.203,42.12,43.203,530,0
CMP,D,20050215,000000,43.105,43.105,42.711,42.711,1755,0
CMP,D,20050216,000000,42.809,42.809,42.317,42.514,2206,0
CMP,D,20050217,000000,41.924,42.514,41.53,42.514,3533,0
CMP,D,20050218,000000,42.317,42.711,42.317,42.317,269,0
CMP,D,20050221,000000,42.317,42.711,41.924,42.711,2936,0
CMP,D,20050222,000000,41.235,42.612,41.235,42.317,1589,0
CMP,D,20050223,000000,42.514,43.006,42.514,42.908,805,0
