<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMR,D,19990310,000000,21.756,21.756,21.756,21.756,205957,0
CMR,D,19990311,000000,23.766,23.766,23.766,23.766,104554,0
CMR,D,19990312,000000,26.053,26.053,26.053,26.053,98970,0
CMR,D,19990315,000000,28.612,28.612,28.612,28.612,69065,0
CMR,D,19990316,000000,28.612,28.612,28.612,28.612,162327,0
CMR,D,19990317,000000,28.612,28.612,28.612,28.612,74051,0
CMR,D,19990318,000000,28.795,28.795,28.795,28.795,46576,0
CMR,D,19990319,000000,30.165,30.165,30.165,30.165,23148,0
CMR,D,19990322,000000,27.698,27.698,27.698,27.698,3824,0
CMR,D,19990323,000000,28.247,28.247,28.247,28.247,9408,0
CMR,D,19990324,000000,27.241,27.241,27.241,27.241,12095,0
CMR,D,19990325,000000,27.423,27.423,27.423,27.423,22500,0
CMR,D,19990326,000000,28.612,28.612,28.612,28.612,10158,0
CMR,D,19990329,000000,29.069,29.069,29.069,29.069,19061,0
CMR,D,19990330,000000,28.795,28.795,28.795,28.795,6797,0
CMR,D,19990331,000000,27.698,27.698,27.698,27.698,2520,0
CMR,D,19990401,000000,27.698,27.698,27.698,27.698,6274,0
CMR,D,19990406,000000,27.241,27.241,27.241,27.241,5115,0
CMR,D,19990407,000000,27.698,27.698,27.698,27.698,17841,0
CMR,D,19990408,000000,28.156,28.156,28.156,28.156,6842,0
CMR,D,19990409,000000,28.612,28.612,28.612,28.612,16806,0
CMR,D,19990412,000000,28.795,28.795,28.795,28.795,20328,0
CMR,D,19990413,000000,29.525,29.525,29.525,29.525,21546,0
CMR,D,19990414,000000,29.617,29.617,29.617,29.617,11793,0
CMR,D,19990415,000000,29.71,29.71,29.71,29.71,4949,0
CMR,D,19990416,000000,30.898,30.898,30.898,30.898,16633,0
CMR,D,19990419,000000,33.183,33.183,33.183,33.183,11365,0
CMR,D,19990420,000000,31.995,31.995,31.995,31.995,5125,0
CMR,D,19990421,000000,33.274,33.274,33.274,33.274,19487,0
CMR,D,19990422,000000,34.28,34.28,34.28,34.28,21778,0
CMR,D,19990423,000000,34.556,34.556,34.556,34.556,16274,0
CMR,D,19990426,000000,34.28,34.28,34.28,34.28,3410,0
CMR,D,19990427,000000,33.365,33.365,33.365,33.365,5404,0
CMR,D,19990428,000000,33.365,33.365,33.365,33.365,16084,0
CMR,D,19990429,000000,32.909,32.909,32.909,32.909,22644,0
CMR,D,19990430,000000,33.548,33.548,33.548,33.548,5965,0
CMR,D,19990504,000000,34.097,34.097,34.097,34.097,10671,0
CMR,D,19990505,000000,34.556,34.556,34.556,34.556,18843,0
CMR,D,19990506,000000,35.834,35.834,35.834,35.834,12939,0
CMR,D,19990507,000000,35.468,35.468,35.468,35.468,9664,0
CMR,D,19990510,000000,35.195,35.195,35.195,35.195,2980,0
CMR,D,19990511,000000,34.919,34.919,34.919,34.919,5560,0
CMR,D,19990512,000000,34.736,34.736,34.736,34.736,4970,0
CMR,D,19990513,000000,35.195,35.195,35.195,35.195,9351,0
CMR,D,19990514,000000,35.011,35.011,35.011,35.011,5340,0
CMR,D,19990517,000000,34.28,34.28,34.28,34.28,21717,0
CMR,D,19990518,000000,34.556,34.556,34.556,34.556,6983,0
CMR,D,19990519,000000,34.919,34.919,34.919,34.919,7214,0
CMR,D,19990520,000000,35.195,35.195,35.195,35.195,8807,0
CMR,D,19990521,000000,35.195,35.195,35.195,35.195,9408,0
CMR,D,19990524,000000,34.736,34.736,34.736,34.736,11071,0
CMR,D,19990525,000000,34.28,34.28,34.28,34.28,13645,0
CMR,D,19990526,000000,33.822,33.822,33.822,33.822,12983,0
CMR,D,19990527,000000,33.822,33.822,33.822,33.822,22500,0
CMR,D,19990528,000000,33.274,33.274,33.274,33.274,8672,0
CMR,D,19990531,000000,33.183,33.183,33.183,33.183,3514,0
CMR,D,19990601,000000,33.183,33.183,33.183,33.183,10858,0
CMR,D,19990602,000000,34.097,34.097,34.097,34.097,19573,0
CMR,D,19990607,000000,35.011,35.011,35.011,35.011,8722,0
CMR,D,19990608,000000,35.011,35.011,35.011,35.011,9444,0
CMR,D,19990609,000000,33.822,33.822,33.822,33.822,16160,0
CMR,D,19990610,000000,34.28,34.28,34.28,34.28,5714,0
CMR,D,19990611,000000,34.646,34.646,34.646,34.646,20067,0
CMR,D,19990614,000000,34.736,34.736,34.736,34.736,8901,0
CMR,D,19990615,000000,35.011,35.011,35.011,35.011,7369,0
CMR,D,19990616,000000,34.646,34.646,34.646,34.646,2878,0
CMR,D,19990617,000000,35.011,35.011,35.011,35.011,8171,0
CMR,D,19990618,000000,35.195,35.195,35.195,35.195,5714,0
CMR,D,19990621,000000,35.652,35.652,35.652,35.652,5790,0
CMR,D,19990622,000000,36.565,36.565,36.565,36.565,14987,0
CMR,D,19990623,000000,35.925,35.925,35.925,35.925,17755,0
CMR,D,19990624,000000,35.925,35.925,35.925,35.925,5938,0
CMR,D,19990625,000000,35.925,35.925,35.925,35.925,2495,0
CMR,D,19990628,000000,35.925,35.925,35.925,35.925,6464,0
CMR,D,19990629,000000,36.381,36.381,36.381,36.381,20751,0
CMR,D,19990630,000000,36.565,36.565,36.565,36.565,24198,0
CMR,D,19990701,000000,36.565,36.565,36.565,36.565,12979,0
CMR,D,19990702,000000,37.297,37.297,37.297,37.297,12364,0
CMR,D,19990705,000000,40.037,40.037,40.037,40.037,21709,0
CMR,D,19990706,000000,41.136,41.136,41.136,41.136,17546,0
CMR,D,19990707,000000,41.136,41.136,41.136,41.136,12786,0
CMR,D,19990708,000000,42.325,42.325,42.325,42.325,10906,0
CMR,D,19990709,000000,42.325,42.325,42.325,42.325,6993,0
CMR,D,19990712,000000,42.233,42.233,42.233,42.233,2500,0
CMR,D,19990713,000000,41.867,41.867,41.867,41.867,3056,0
CMR,D,19990714,000000,41.409,41.409,41.409,41.409,5036,0
CMR,D,19990715,000000,41.592,41.592,41.592,41.592,12103,0
