<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNG,D,20040701,000000,3.1863,3.3808,3.1863,3.242,3952498,0
CNG,D,20040702,000000,3.242,3.5195,3.2141,3.464,1104076,0
CNG,D,20040705,000000,3.6029,3.6029,3.3251,3.3251,435877,0
CNG,D,20040706,000000,3.353,3.353,3.242,3.2698,275709,0
CNG,D,20040707,000000,3.242,3.3251,3.242,3.3251,236736,0
CNG,D,20040708,000000,3.353,3.353,3.2974,3.353,118929,0
CNG,D,20040709,000000,3.353,3.5751,3.353,3.5195,447361,0
CNG,D,20040712,000000,3.6307,3.957,3.6029,3.7625,863006,0
CNG,D,20040713,000000,3.8459,3.929,3.6861,3.7625,513877,0
CNG,D,20040714,000000,3.818,3.818,3.7138,3.7902,144013,0
CNG,D,20040715,000000,3.8459,4.068,3.818,4.068,1012486,0
CNG,D,20040716,000000,4.1511,4.2622,4.0402,4.068,684879,0
CNG,D,20040719,000000,4.1511,4.1511,4.0124,4.0956,274468,0
CNG,D,20040720,000000,4.0956,4.0956,3.8736,3.957,303458,0
CNG,D,20040721,000000,3.957,4.0402,3.7902,3.8736,260028,0
CNG,D,20040722,000000,3.8459,3.957,3.7902,3.957,128133,0
CNG,D,20040723,000000,3.957,4.0124,3.8736,3.8736,233117,0
CNG,D,20040726,000000,3.8736,3.9847,3.818,3.818,203403,0
CNG,D,20040727,000000,3.818,3.8459,3.7347,3.818,64070,0
CNG,D,20040728,000000,3.8459,3.9014,3.7347,3.7347,170745,0
CNG,D,20040729,000000,3.7347,3.7347,3.6861,3.7138,46427,0
CNG,D,20040730,000000,3.6861,3.7347,3.5751,3.5751,122874,0
CNG,D,20040802,000000,3.5195,3.5751,3.3251,3.4918,234403,0
CNG,D,20040803,000000,3.4918,3.6583,3.4918,3.6307,61517,0
CNG,D,20040804,000000,3.6307,3.6583,3.5473,3.6307,44222,0
CNG,D,20040805,000000,3.6307,3.7138,3.6029,3.6307,111647,0
CNG,D,20040806,000000,3.6583,3.8459,3.6307,3.7347,178261,0
CNG,D,20040809,000000,3.7347,3.7347,3.5751,3.6583,89698,0
CNG,D,20040810,000000,3.6583,3.818,3.6583,3.7138,159807,0
CNG,D,20040811,000000,3.7138,3.7625,3.5751,3.6307,145467,0
CNG,D,20040812,000000,3.6307,3.6583,3.5473,3.6583,40879,0
CNG,D,20040813,000000,3.7138,3.7138,3.6029,3.6307,44052,0
CNG,D,20040816,000000,3.6583,3.6583,3.5751,3.6029,39280,0
CNG,D,20040817,000000,3.6307,3.6307,3.5195,3.5751,64694,0
CNG,D,20040818,000000,3.5751,3.5751,3.464,3.4918,81747,0
CNG,D,20040819,000000,3.4918,3.5751,3.4918,3.4918,88250,0
CNG,D,20040820,000000,3.5195,3.5473,3.4918,3.4918,55163,0
CNG,D,20040823,000000,3.5195,3.5751,3.5195,3.5195,33488,0
CNG,D,20040824,000000,3.5473,3.7138,3.5195,3.6583,68430,0
CNG,D,20040825,000000,3.7138,3.7138,3.5751,3.6307,161226,0
CNG,D,20040826,000000,3.6307,3.6307,3.5751,3.6307,21702,0
CNG,D,20040827,000000,3.6029,3.6861,3.6029,3.6307,93805,0
CNG,D,20040830,000000,3.7138,3.7138,3.5751,3.6029,66993,0
CNG,D,20040831,000000,3.6583,3.6583,3.5751,3.6029,61971,0
CNG,D,20040901,000000,3.5751,3.5751,3.4918,3.5751,113790,0
CNG,D,20040902,000000,3.5473,3.5473,3.4918,3.5473,87056,0
CNG,D,20040903,000000,3.5195,3.5473,3.5195,3.5195,55812,0
CNG,D,20040906,000000,3.5195,3.5473,3.4918,3.5195,116576,0
CNG,D,20040907,000000,3.5473,3.5473,3.4918,3.4918,96741,0
CNG,D,20040908,000000,3.5195,3.6583,3.4918,3.6029,637646,0
CNG,D,20040909,000000,3.6029,3.6029,3.5473,3.5751,90456,0
CNG,D,20040910,000000,3.5473,3.5751,3.5195,3.5751,52290,0
CNG,D,20040913,000000,3.6029,3.6029,3.5473,3.5473,43500,0
CNG,D,20040914,000000,3.5751,3.5751,3.4918,3.5473,64353,0
CNG,D,20040915,000000,3.5751,3.5751,3.5195,3.5751,30639,0
CNG,D,20040916,000000,3.5473,3.5473,3.4918,3.5473,44022,0
CNG,D,20040917,000000,3.5195,3.6307,3.4918,3.6307,389623,0
CNG,D,20040920,000000,3.7138,3.7347,3.6307,3.7138,327182,0
CNG,D,20040921,000000,3.7347,3.7347,3.6583,3.6861,138300,0
CNG,D,20040922,000000,3.6861,3.6861,3.6583,3.6861,39495,0
CNG,D,20040923,000000,3.6861,3.957,3.6583,3.8459,1214166,0
CNG,D,20040924,000000,3.8459,3.9014,3.7625,3.818,235326,0
CNG,D,20040927,000000,3.8459,3.8736,3.7902,3.818,264327,0
CNG,D,20040928,000000,3.7902,3.8459,3.7347,3.7625,109324,0
CNG,D,20040929,000000,3.7902,3.7902,3.6861,3.7138,83937,0
CNG,D,20040930,000000,3.7138,3.8459,3.6861,3.7902,568011,0
CNG,D,20041001,000000,3.818,3.8459,3.7347,3.7347,252512,0
CNG,D,20041004,000000,3.818,3.9014,3.7347,3.8459,774355,0
CNG,D,20041005,000000,3.8459,3.9014,3.7347,3.818,234183,0
CNG,D,20041006,000000,3.8459,3.8459,3.7347,3.7625,175850,0
CNG,D,20041007,000000,3.818,3.8459,3.7138,3.7138,361834,0
CNG,D,20041008,000000,3.7138,3.7138,3.6029,3.6583,309368,0
CNG,D,20041011,000000,3.6861,3.929,3.6583,3.929,581131,0
CNG,D,20041012,000000,3.929,3.929,3.7902,3.7902,253497,0
CNG,D,20041013,000000,3.8736,3.957,3.818,3.9014,499111,0
CNG,D,20041014,000000,3.929,3.929,3.818,3.8459,181943,0
CNG,D,20041015,000000,3.818,3.8736,3.818,3.8736,148371,0
CNG,D,20041018,000000,3.8736,3.8736,3.818,3.8459,135936,0
CNG,D,20041019,000000,3.818,3.8459,3.7347,3.7902,211627,0
CNG,D,20041020,000000,3.7138,3.7625,3.6861,3.7347,188674,0
CNG,D,20041021,000000,3.7347,3.7625,3.6861,3.7625,51596,0
CNG,D,20041022,000000,3.7625,3.7625,3.6583,3.6583,194912,0
CNG,D,20041025,000000,3.5751,3.7138,3.5751,3.6583,351671,0
CNG,D,20041026,000000,3.6861,3.7347,3.6861,3.7347,78004,0
CNG,D,20041027,000000,3.7347,3.7347,3.6861,3.7347,57048,0
CNG,D,20041028,000000,3.7347,3.8459,3.7347,3.7902,263039,0
CNG,D,20041029,000000,3.818,4.0124,3.7902,3.9847,520003,0
CNG,D,20041102,000000,4.0124,4.0956,3.957,3.957,385732,0
CNG,D,20041103,000000,4.0402,4.068,3.9014,3.957,416902,0
CNG,D,20041104,000000,3.929,4.0956,3.929,4.0124,1597113,0
CNG,D,20041105,000000,4.0402,4.2346,4.0402,4.2068,1127579,0
CNG,D,20041108,000000,4.2622,4.3733,4.068,4.0956,735307,0
CNG,D,20041109,000000,4.179,4.2346,4.0956,4.2346,1212270,0
CNG,D,20041110,000000,4.2346,4.2346,4.0956,4.2068,695389,0
CNG,D,20041112,000000,4.2068,4.2068,4.1511,4.179,244297,0
CNG,D,20041115,000000,4.1234,4.179,4.0956,4.1511,301185,0
CNG,D,20041116,000000,4.1511,4.1511,4.0956,4.1234,243132,0
CNG,D,20041117,000000,4.1511,4.1511,4.0402,4.0956,572392,0
CNG,D,20041118,000000,4.068,4.068,4.0124,4.0124,334101,0
CNG,D,20041119,000000,4.0402,4.1234,4.0402,4.068,359369,0
CNG,D,20041122,000000,4.0956,4.179,4.0956,4.0956,355091,0
CNG,D,20041123,000000,4.1234,4.1234,4.0402,4.068,401607,0
CNG,D,20041124,000000,4.068,4.068,3.9847,4.0124,339093,0
CNG,D,20041125,000000,4.0402,4.068,3.9847,4.068,179997,0
CNG,D,20041126,000000,4.0956,4.1234,4.0124,4.1234,107628,0
CNG,D,20041129,000000,4.1234,4.1234,4.0402,4.0402,299342,0
CNG,D,20041130,000000,4.0124,4.068,3.9847,4.0402,59788,0
CNG,D,20041201,000000,4.0124,4.0402,3.9847,4.0402,108619,0
CNG,D,20041202,000000,4.0402,4.068,3.9847,4.068,561967,0
CNG,D,20041203,000000,4.068,4.0956,4.0402,4.0956,330912,0
CNG,D,20041206,000000,4.0956,4.0956,4.0402,4.068,235852,0
CNG,D,20041207,000000,4.0402,4.068,3.9847,4.0124,119162,0
CNG,D,20041208,000000,4.0124,4.068,3.9847,4.068,142989,0
CNG,D,20041209,000000,4.068,4.068,3.7902,3.9014,789973,0
CNG,D,20041210,000000,3.818,3.8736,3.7625,3.8459,317017,0
CNG,D,20041213,000000,3.8459,3.957,3.8459,3.9014,665620,0
CNG,D,20041214,000000,3.957,3.9847,3.9014,3.929,274939,0
CNG,D,20041215,000000,3.929,3.929,3.8736,3.929,97321,0
CNG,D,20041216,000000,3.9014,3.957,3.9014,3.929,52906,0
CNG,D,20041217,000000,3.929,3.957,3.9014,3.929,158574,0
CNG,D,20041220,000000,3.9847,4.068,3.957,4.068,421827,0
CNG,D,20041221,000000,4.0124,4.068,3.9847,4.068,62068,0
