<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNT,D,19981106,000000,1.5905,1.5905,1.5905,1.5905,161934,0
CNT,D,19981109,000000,1.6677,1.6677,1.6677,1.6677,266897,0
CNT,D,19981110,000000,1.822,1.822,1.822,1.822,143481,0
CNT,D,19981112,000000,1.9996,1.9996,1.9996,1.9996,91633,0
CNT,D,19981113,000000,2.1772,2.1772,2.1772,2.1772,150379,0
CNT,D,19981116,000000,1.9687,1.9687,1.9687,1.9687,39997,0
CNT,D,19981117,000000,1.8066,1.8066,1.8066,1.8066,144960,0
CNT,D,19981118,000000,1.907,1.907,1.907,1.907,37415,0
CNT,D,19981119,000000,1.714,1.714,1.714,1.714,29124,0
CNT,D,19981120,000000,1.6831,1.6831,1.6831,1.6831,162229,0
CNT,D,19981123,000000,1.6831,1.6831,1.6831,1.6831,51647,0
CNT,D,19981124,000000,1.5131,1.5131,1.5131,1.5131,107130,0
CNT,D,19981125,000000,1.4129,1.4129,1.4129,1.4129,111535,0
CNT,D,19981126,000000,1.544,1.544,1.544,1.544,225992,0
CNT,D,19981127,000000,1.6367,1.6367,1.6367,1.6367,65387,0
CNT,D,19981130,000000,1.5905,1.5905,1.5905,1.5905,202298,0
CNT,D,19981201,000000,1.4283,1.4283,1.4283,1.4283,45460,0
CNT,D,19981202,000000,1.4437,1.4437,1.4437,1.4437,20876,0
CNT,D,19981203,000000,1.4361,1.4361,1.4361,1.4361,83714,0
CNT,D,19981204,000000,1.4514,1.4514,1.4514,1.4514,12480,0
CNT,D,19981207,000000,1.4283,1.4283,1.4283,1.4283,36162,0
CNT,D,19981208,000000,1.4283,1.4283,1.4283,1.4283,27896,0
CNT,D,19981209,000000,1.3819,1.3819,1.3819,1.3819,6616,0
CNT,D,19981210,000000,1.4283,1.4283,1.4283,1.4283,12019,0
CNT,D,19981211,000000,1.3819,1.3819,1.3819,1.3819,5839,0
CNT,D,19981214,000000,1.3665,1.3665,1.3665,1.3665,9375,0
CNT,D,19981215,000000,1.4283,1.4283,1.4283,1.4283,20103,0
CNT,D,19981216,000000,1.5749,1.5749,1.5749,1.5749,51856,0
CNT,D,19981217,000000,1.6677,1.6677,1.6677,1.6677,87713,0
CNT,D,19981218,000000,1.6058,1.6058,1.6058,1.6058,51301,0
CNT,D,19981221,000000,1.6677,1.6677,1.6677,1.6677,28488,0
CNT,D,19981222,000000,1.822,1.822,1.822,1.822,100792,0
CNT,D,19981223,000000,1.8915,1.8915,1.8915,1.8915,81635,0
CNT,D,19981228,000000,2.0614,2.0614,2.0614,2.0614,98153,0
CNT,D,19981229,000000,2.0305,2.0305,2.0305,2.0305,67150,0
CNT,D,19981230,000000,2.015,2.015,2.015,2.015,96547,0
