<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
COG,D,19970319,000000,5.1852,5.1852,5.1852,5.1852,90352,0
COG,D,19970320,000000,5.1852,5.1852,5.1852,5.1852,46865,0
COG,D,19970321,000000,5.1852,5.1852,5.1852,5.1852,55350,0
COG,D,19970324,000000,4.9459,4.9459,4.9459,4.9459,27497,0
COG,D,19970325,000000,4.7864,4.7864,4.7864,4.7864,47845,0
COG,D,19970326,000000,4.7864,4.7864,4.7864,4.7864,52336,0
COG,D,19970327,000000,5.265,5.265,5.265,5.265,107407,0
COG,D,19970401,000000,5.7836,5.7836,5.7836,5.7836,142646,0
COG,D,19970402,000000,5.8633,5.8633,5.8633,5.8633,111286,0
COG,D,19970403,000000,6.0628,6.0628,6.0628,6.0628,141272,0
COG,D,19970404,000000,6.2223,6.2223,6.2223,6.2223,228131,0
COG,D,19970407,000000,6.8206,6.8206,6.8206,6.8206,148448,0
COG,D,19970408,000000,7.4986,7.4986,7.4986,7.4986,348329,0
COG,D,19970409,000000,7.7379,7.7379,7.7379,7.7379,181185,0
COG,D,19970410,000000,7.9773,7.9773,7.9773,7.9773,185026,0
COG,D,19970411,000000,7.9773,7.9773,7.9773,7.9773,159829,0
COG,D,19970414,000000,7.1796,7.1796,7.1796,7.1796,50908,0
COG,D,19970415,000000,7.02,7.02,7.02,7.02,216738,0
COG,D,19970416,000000,7.4986,7.4986,7.4986,7.4986,216506,0
COG,D,19970417,000000,6.7807,6.7807,6.7807,6.7807,156989,0
COG,D,19970418,000000,6.7009,6.7009,6.7009,6.7009,147217,0
COG,D,19970421,000000,7.02,7.02,7.02,7.02,112250,0
COG,D,19970422,000000,6.7807,6.7807,6.7807,6.7807,78975,0
COG,D,19970423,000000,6.7009,6.7009,6.7009,6.7009,84840,0
COG,D,19970424,000000,6.5413,6.5413,6.5413,6.5413,95546,0
COG,D,19970425,000000,6.2622,6.2622,6.2622,6.2622,74815,0
COG,D,19970428,000000,5.9431,5.9431,5.9431,5.9431,64108,0
COG,D,19970429,000000,5.983,5.983,5.983,5.983,80563,0
COG,D,19970430,000000,6.3818,6.3818,6.3818,6.3818,53982,0
COG,D,19970505,000000,6.5413,6.5413,6.5413,6.5413,60538,0
COG,D,19970506,000000,6.5413,6.5413,6.5413,6.5413,44869,0
COG,D,19970507,000000,6.1425,6.1425,6.1425,6.1425,17501,0
COG,D,19970508,000000,6.1425,6.1425,6.1425,6.1425,41530,0
COG,D,19970509,000000,6.3021,6.3021,6.3021,6.3021,24992,0
COG,D,19970512,000000,5.7836,5.7836,5.7836,5.7836,63023,0
COG,D,19970513,000000,5.9032,5.9032,5.9032,5.9032,71148,0
COG,D,19970514,000000,5.7437,5.7437,5.7437,5.7437,53536,0
COG,D,19970515,000000,5.7836,5.7836,5.7836,5.7836,39681,0
COG,D,19970516,000000,5.8235,5.8235,5.8235,5.8235,32627,0
COG,D,19970519,000000,5.5841,5.5841,5.5841,5.5841,53187,0
COG,D,19970520,000000,5.6239,5.6239,5.6239,5.6239,49076,0
COG,D,19970521,000000,5.5841,5.5841,5.5841,5.5841,42800,0
COG,D,19970522,000000,5.5841,5.5841,5.5841,5.5841,67823,0
COG,D,19970523,000000,5.5841,5.5841,5.5841,5.5841,25966,0
COG,D,19970526,000000,5.3448,5.3448,5.3448,5.3448,16277,0
COG,D,19970527,000000,5.1055,5.1055,5.1055,5.1055,18821,0
COG,D,19970528,000000,5.265,5.265,5.265,5.265,32099,0
COG,D,19970530,000000,5.1852,5.1852,5.1852,5.1852,6847,0
COG,D,19970602,000000,5.3448,5.3448,5.3448,5.3448,27035,0
COG,D,19970603,000000,5.3049,5.3049,5.3049,5.3049,19226,0
COG,D,19970604,000000,5.1055,5.1055,5.1055,5.1055,14885,0
COG,D,19970605,000000,4.7864,4.7864,4.7864,4.7864,18490,0
COG,D,19970606,000000,5.0257,5.0257,5.0257,5.0257,28155,0
COG,D,19970609,000000,5.1852,5.1852,5.1852,5.1852,22950,0
COG,D,19970610,000000,5.0257,5.0257,5.0257,5.0257,14779,0
COG,D,19970611,000000,5.0257,5.0257,5.0257,5.0257,24374,0
COG,D,19970612,000000,5.1852,5.1852,5.1852,5.1852,26036,0
COG,D,19970613,000000,5.3847,5.3847,5.3847,5.3847,53264,0
COG,D,19970616,000000,5.265,5.265,5.265,5.265,40047,0
COG,D,19970617,000000,5.1055,5.1055,5.1055,5.1055,25183,0
COG,D,19970618,000000,4.9459,4.9459,4.9459,4.9459,25043,0
COG,D,19970619,000000,4.8662,4.8662,4.8662,4.8662,33599,0
COG,D,19970620,000000,5.1852,5.1852,5.1852,5.1852,40403,0
COG,D,19970623,000000,5.1852,5.1852,5.1852,5.1852,22854,0
COG,D,19970624,000000,4.9459,4.9459,4.9459,4.9459,23050,0
COG,D,19970625,000000,4.8263,4.8263,4.8263,4.8263,28076,0
COG,D,19970626,000000,4.7465,4.7465,4.7465,4.7465,47926,0
COG,D,19970627,000000,4.6268,4.6268,4.6268,4.6268,36094,0
COG,D,19970630,000000,4.6268,4.6268,4.6268,4.6268,15491,0
COG,D,19970701,000000,4.547,4.547,4.547,4.547,23217,0
COG,D,19970702,000000,4.547,4.547,4.547,4.547,26993,0
COG,D,19970703,000000,4.6268,4.6268,4.6268,4.6268,25695,0
COG,D,19970704,000000,5.0257,5.0257,5.0257,5.0257,52331,0
COG,D,19970707,000000,4.8662,4.8662,4.8662,4.8662,61034,0
COG,D,19970708,000000,5.0257,5.0257,5.0257,5.0257,70737,0
COG,D,19970709,000000,5.265,5.265,5.265,5.265,115670,0
COG,D,19970710,000000,5.5841,5.5841,5.5841,5.5841,123565,0
COG,D,19970711,000000,5.4245,5.4245,5.4245,5.4245,66089,0
COG,D,19970714,000000,5.1055,5.1055,5.1055,5.1055,25854,0
COG,D,19970715,000000,4.6667,4.6667,4.6667,4.6667,39107,0
COG,D,19970716,000000,4.9459,4.9459,4.9459,4.9459,54389,0
COG,D,19970717,000000,5.0257,5.0257,5.0257,5.0257,28659,0
COG,D,19970718,000000,4.9459,4.9459,4.9459,4.9459,12333,0
COG,D,19970721,000000,4.7066,4.7066,4.7066,4.7066,39200,0
COG,D,19970722,000000,4.7066,4.7066,4.7066,4.7066,18379,0
COG,D,19970723,000000,4.7864,4.7864,4.7864,4.7864,25280,0
COG,D,19970724,000000,4.3077,4.3077,4.3077,4.3077,61981,0
COG,D,19970725,000000,4.228,4.228,4.228,4.228,27673,0
COG,D,19970728,000000,4.3077,4.3077,4.3077,4.3077,30642,0
COG,D,19970729,000000,4.1482,4.1482,4.1482,4.1482,15428,0
COG,D,19970730,000000,4.3476,4.3476,4.3476,4.3476,32661,0
COG,D,19970731,000000,4.4673,4.4673,4.4673,4.4673,18468,0
COG,D,19970801,000000,4.3077,4.3077,4.3077,4.3077,39697,0
COG,D,19970804,000000,4.3875,4.3875,4.3875,4.3875,14018,0
COG,D,19970805,000000,4.3077,4.3077,4.3077,4.3077,16250,0
COG,D,19970806,000000,4.3875,4.3875,4.3875,4.3875,14359,0
COG,D,19970807,000000,4.3077,4.3077,4.3077,4.3077,19615,0
COG,D,19970808,000000,4.4673,4.4673,4.4673,4.4673,50367,0
COG,D,19970811,000000,4.9061,4.9061,4.9061,4.9061,104973,0
COG,D,19970812,000000,4.7864,4.7864,4.7864,4.7864,77813,0
COG,D,19970813,000000,4.7465,4.7465,4.7465,4.7465,39292,0
COG,D,19970814,000000,4.547,4.547,4.547,4.547,32219,0
COG,D,19970818,000000,4.3875,4.3875,4.3875,4.3875,70997,0
COG,D,19970820,000000,4.8263,4.8263,4.8263,4.8263,112820,0
COG,D,19970821,000000,4.7066,4.7066,4.7066,4.7066,28789,0
COG,D,19970822,000000,4.5869,4.5869,4.5869,4.5869,29213,0
COG,D,19970825,000000,4.5869,4.5869,4.5869,4.5869,24382,0
COG,D,19970826,000000,4.3875,4.3875,4.3875,4.3875,42436,0
COG,D,19970827,000000,4.5071,4.5071,4.5071,4.5071,11015,0
COG,D,19970828,000000,4.5869,4.5869,4.5869,4.5869,40234,0
COG,D,19970829,000000,4.547,4.547,4.547,4.547,18970,0
COG,D,19970901,000000,4.4673,4.4673,4.4673,4.4673,11304,0
COG,D,19970902,000000,4.4673,4.4673,4.4673,4.4673,11522,0
COG,D,19970903,000000,4.547,4.547,4.547,4.547,25832,0
COG,D,19970904,000000,4.6268,4.6268,4.6268,4.6268,61885,0
COG,D,19970905,000000,4.7066,4.7066,4.7066,4.7066,43450,0
