<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CPL,D,20111205,000000,12.37,13.5,10.1,11.1,5203,0
CPL,D,20111206,000000,11.1,13.9,10,13.9,2319,0
CPL,D,20111207,000000,13.89,15.7,12.7,13.7,1965,0
CPL,D,20111208,000000,13.75,15.69,12.7,13.7,3481,0
CPL,D,20111209,000000,13.7,13.7,13.19,13.64,440,0
CPL,D,20111212,000000,13.8,13.8,13,13.5,359,0
CPL,D,20111213,000000,13.25,13.25,12.7,13,1123,0
CPL,D,20111214,000000,12.71,12.71,12.4,12.4,295,0
CPL,D,20111215,000000,12.51,12.51,12.51,12.51,700,0
CPL,D,20111216,000000,12.51,12.51,12.51,12.51,20,0
CPL,D,20111219,000000,12.75,12.75,12.75,12.75,20,0
CPL,D,20111220,000000,12.75,12.75,12.7,12.7,10,0
CPL,D,20111221,000000,12.51,12.51,12.51,12.51,25,0
CPL,D,20111222,000000,12.51,15,12.51,15,1875,0
CPL,D,20111223,000000,15.7,15.7,15.7,15.7,10,0
CPL,D,20111227,000000,15.7,15.7,15.7,15.7,10,0
CPL,D,20111228,000000,15.6,15.6,14.5,15.3,40,0
CPL,D,20111229,000000,15.6,15.6,15.6,15.6,10,0
CPL,D,20111230,000000,15.6,15.6,15.6,15.6,20,0
CPL,D,20120102,000000,15.7,15.7,15.7,15.7,10,0
CPL,D,20120103,000000,15.7,16,15.7,16,21,0
CPL,D,20120110,000000,15.2,15.2,15,15,30,0
CPL,D,20120111,000000,14.8,14.8,14.8,14.8,20,0
CPL,D,20120124,000000,15.3,17.6,15.3,17.6,654,0
CPL,D,20120125,000000,18.38,18.4,18.38,18.4,50,0
CPL,D,20120126,000000,18.4,18.4,18.4,18.4,20,0
CPL,D,20120127,000000,18.4,19.1,18.4,19.1,956,0
CPL,D,20120130,000000,19.1,19.1,19.1,19.1,5,0
CPL,D,20120131,000000,19.1,19.1,17.38,17.4,673,0
CPL,D,20120202,000000,17,17,16.8,16.8,15,0
CPL,D,20120203,000000,16.8,20.2,16.8,20.2,794,0
CPL,D,20120206,000000,20.2,20.2,20.16,20.17,193,0
CPL,D,20120207,000000,20.17,20.17,19.2,19.42,385,0
CPL,D,20120208,000000,19.99,19.99,19.99,19.99,2,0
CPL,D,20120209,000000,19.95,19.95,19.5,19.5,260,0
CPL,D,20120210,000000,19.8,19.8,19.8,19.8,2,0
CPL,D,20120213,000000,19.8,19.8,19.8,19.8,151,0
CPL,D,20120214,000000,20.09,20.09,20.09,20.09,10,0
CPL,D,20120215,000000,20.09,20.19,20.08,20.19,270,0
CPL,D,20120216,000000,20.18,22.9,20.18,22.9,3192,0
CPL,D,20120217,000000,23,27.4,23,27.4,1404,0
CPL,D,20120220,000000,31.4,31.4,29.9,30.2,2308,0
CPL,D,20120221,000000,31,31,29,29,590,0
CPL,D,20120222,000000,29,29,29,29,5,0
CPL,D,20120227,000000,27.91,27.91,27.91,27.91,73,0
CPL,D,20120228,000000,27,27,26.7,26.7,105,0
CPL,D,20120229,000000,26,26.7,26,26.7,329,0
CPL,D,20120301,000000,26.7,26.7,26.7,26.7,19,0
CPL,D,20120302,000000,26.7,26.7,26.7,26.7,5,0
CPL,D,20120309,000000,26.88,26.88,26.88,26.88,5,0
CPL,D,20120312,000000,26.88,28.5,26.88,28.5,95,0
CPL,D,20120319,000000,28.13,29,28.13,29,100,0
CPL,D,20120320,000000,29.55,29.55,29,29,14,0
CPL,D,20120328,000000,28.7,28.7,28.7,28.7,10,0
CPL,D,20120329,000000,28.5,28.5,28.1,28.1,100,0
CPL,D,20120330,000000,27.3,27.3,26.95,26.95,100,0
CPL,D,20120402,000000,27.03,27.03,27.03,27.03,7,0
CPL,D,20120412,000000,26.8,26.8,26.8,26.8,10,0
CPL,D,20120413,000000,27,27,27,27,20,0
CPL,D,20120416,000000,27,27.14,27,27.14,40,0
CPL,D,20120417,000000,27,28.4,27,28.4,42,0
CPL,D,20120419,000000,28,28,27.8,27.8,8,0
CPL,D,20120420,000000,28.5,28.77,28,28,40,0
CPL,D,20120424,000000,28.5,28.87,28.5,28.87,20,0
CPL,D,20120425,000000,28.9,29.19,28.9,29.19,20,0
CPL,D,20120426,000000,29.19,29.7,29.19,29.7,29,0
CPL,D,20120504,000000,29.7,29.7,29.7,29.7,5,0
CPL,D,20120507,000000,29.7,29.7,29,29,22,0
CPL,D,20120509,000000,29.55,30.65,29.55,30,178,0
CPL,D,20120511,000000,30.4,30.45,30,30,100,0
CPL,D,20120514,000000,29.5,29.5,29,29,63,0
CPL,D,20120515,000000,28.7,28.7,27.8,27.8,50,0
CPL,D,20120522,000000,27.7,28.87,27.7,28.87,190,0
CPL,D,20120523,000000,29.5,29.5,29,29,40,0
CPL,D,20120525,000000,29,29,29,29,10,0
CPL,D,20120530,000000,29,29,28.7,28.7,90,0
CPL,D,20120611,000000,28.7,28.7,27.91,27.91,110,0
CPL,D,20120621,000000,27.6,27.6,26.6,26.6,117,0
CPL,D,20120622,000000,26,26.19,26,26.19,133,0
CPL,D,20120709,000000,26.5,26.5,26.5,26.5,3,0
CPL,D,20120710,000000,26.9,30.1,26.9,30,710,0
CPL,D,20120711,000000,28,28,27.5,27.8,20,0
CPL,D,20120731,000000,27.5,27.5,27,27,7,0
CPL,D,20120803,000000,27,27,27,27,8,0
CPL,D,20120806,000000,26.7,26.7,25.5,25.5,89,0
CPL,D,20120814,000000,25.4,25.67,25.4,25.67,69,0
CPL,D,20120827,000000,26.5,26.5,26.5,26.5,5,0
CPL,D,20120905,000000,27.2,27.41,27.2,27.41,50,0
CPL,D,20120906,000000,27.5,30.48,27.5,30.48,30,0
CPL,D,20120907,000000,30.45,30.48,30.45,30.48,10,0
CPL,D,20120910,000000,30.48,30.48,30.48,30.48,11,0
CPL,D,20120911,000000,31.8,33,31.8,33,60,0
CPL,D,20120912,000000,33,35.67,33,35.67,30,0
CPL,D,20120913,000000,36,36,36,36,5,0
CPL,D,20120917,000000,35.3,35.3,34.34,34.34,39,0
CPL,D,20120918,000000,33.5,33.5,31.3,31.3,83,0
CPL,D,20120927,000000,31.7,32.57,30.3,30.3,75,0
CPL,D,20120928,000000,30.53,30.53,30.2,30.42,150,0
CPL,D,20121001,000000,30,30,30,30,50,0
CPL,D,20121004,000000,29.4,29.4,28.1,28.1,64,0
CPL,D,20121005,000000,28.48,28.48,26.5,26.66,99,0
CPL,D,20121008,000000,26,26,25.3,25.3,65,0
CPL,D,20121010,000000,25.42,25.42,25.42,25.42,59,0
CPL,D,20121016,000000,24.4,24.4,20,20,294,0
CPL,D,20121017,000000,20.13,20.13,20.13,20.13,75,0
CPL,D,20121019,000000,20.13,20.13,20.13,20.13,19,0
CPL,D,20121106,000000,20.3,20.73,20.3,20.73,103,0
CPL,D,20121107,000000,21,25,21,25,115,0
CPL,D,20121108,000000,24.4,24.4,23.52,23.52,68,0
CPL,D,20121109,000000,23.75,25,22.1,25,208,0
CPL,D,20121122,000000,24,24.2,24,24.2,100,0
CPL,D,20121123,000000,25,25,25,25,1,0
CPL,D,20121126,000000,23.7,25,23.7,25,72,0
CPL,D,20121130,000000,24.07,24.07,24.07,24.07,25,0
CPL,D,20121203,000000,24.35,24.56,23.8,23.8,149,0
CPL,D,20121204,000000,23.3,24.49,22.65,24,252,0
CPL,D,20121205,000000,22,22,21.4,21.87,141,0
CPL,D,20121207,000000,22.2,23,22.2,23,77,0
CPL,D,20121211,000000,22.2,22.2,21.7,21.7,80,0
CPL,D,20121213,000000,21.2,21.2,20.6,20.6,80,0
CPL,D,20121214,000000,20.96,22.14,20.96,22.14,78,0
CPL,D,20121217,000000,22.1,22.1,21.3,21.3,148,0
CPL,D,20121218,000000,20.5,20.5,20,20,83,0
CPL,D,20121220,000000,19.8,19.8,19.05,19.05,254,0
CPL,D,20130104,000000,19,19.35,19,19.35,83,0
