<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CPS,D,20080506,000000,11.499,11.499,10.99,11.217,9547646,0
CPS,D,20080507,000000,11.217,11.3,11.036,11.271,3717837,0
CPS,D,20080508,000000,11.181,11.271,11.117,11.226,551571,0
CPS,D,20080509,000000,11.226,11.226,10.889,10.963,528926,0
CPS,D,20080512,000000,10.99,11.036,10.889,10.972,429592,0
CPS,D,20080513,000000,10.926,11.163,10.908,11.099,772830,0
CPS,D,20080514,000000,11.226,11.518,11.226,11.481,991747,0
CPS,D,20080515,000000,11.427,11.427,11.363,11.418,232574,0
CPS,D,20080516,000000,11.418,11.435,11.372,11.399,424158,0
CPS,D,20080519,000000,11.435,11.435,11.308,11.354,932854,0
CPS,D,20080520,000000,11.354,11.609,11.354,11.526,1323692,0
CPS,D,20080521,000000,11.481,11.599,11.399,11.499,469513,0
CPS,D,20080523,000000,11.518,11.59,11.508,11.563,237871,0
CPS,D,20080526,000000,11.563,11.563,11.491,11.526,136551,0
CPS,D,20080527,000000,11.491,11.554,11.481,11.554,251581,0
CPS,D,20080528,000000,11.563,11.954,11.554,11.88,747088,0
CPS,D,20080529,000000,11.945,12.036,11.863,11.873,477417,0
CPS,D,20080530,000000,11.954,12.263,11.945,12.263,229108,0
CPS,D,20080602,000000,12.282,12.718,12.245,12.591,936481,0
CPS,D,20080603,000000,12.627,13.191,12.609,13.145,785464,0
CPS,D,20080604,000000,13.218,13.228,12.546,12.627,269248,0
CPS,D,20080605,000000,12.381,12.755,12.081,12.454,361555,0
CPS,D,20080606,000000,12.664,12.746,12.381,12.509,136461,0
CPS,D,20080609,000000,12.2,12.381,11.936,12.336,197004,0
CPS,D,20080610,000000,12.117,12.164,11.689,11.963,444310,0
CPS,D,20080611,000000,11.79,11.909,11.663,11.827,338398,0
CPS,D,20080612,000000,11.654,11.991,11.618,11.689,190663,0
CPS,D,20080613,000000,11.689,11.954,11.545,11.88,63687,0
CPS,D,20080616,000000,11.873,12.255,11.863,12.209,113676,0
CPS,D,20080617,000000,12.164,12.418,12.164,12.291,98557,0
CPS,D,20080618,000000,12.245,12.263,11.863,11.954,138485,0
CPS,D,20080619,000000,11.909,11.954,11.545,11.863,531460,0
CPS,D,20080620,000000,11.954,12.036,11.88,11.88,256912,0
CPS,D,20080623,000000,11.945,11.954,11.654,11.689,295694,0
CPS,D,20080624,000000,11.689,11.727,11.108,11.354,308779,0
CPS,D,20080625,000000,11.271,11.354,11.171,11.226,634694,0
CPS,D,20080626,000000,11.144,11.271,11.144,11.181,68459,0
CPS,D,20080627,000000,11.099,11.354,11.008,11.271,193166,0
CPS,D,20080630,000000,11.226,11.435,11.144,11.435,157442,0
CPS,D,20080701,000000,11.508,11.645,11.208,11.208,474009,0
CPS,D,20080702,000000,11.208,11.79,11.208,11.699,201070,0
CPS,D,20080703,000000,11.654,11.654,11.526,11.563,288914,0
CPS,D,20080704,000000,11.526,11.609,11.435,11.435,104815,0
CPS,D,20080707,000000,11.563,11.563,11.435,11.526,109048,0
CPS,D,20080708,000000,11.435,11.554,11.281,11.508,95150,0
CPS,D,20080709,000000,11.435,11.563,11.418,11.526,108193,0
