<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRM,D,20080820,000000,2.2474,3.1534,2.0016,2.2404,68768,0
CRM,D,20080821,000000,2.142,2.2404,1.9314,2.0999,13962,0
CRM,D,20080822,000000,1.9665,1.9665,1.9314,1.9314,245,0
CRM,D,20080825,000000,1.9314,1.9314,1.9314,1.9314,2563,0
CRM,D,20080826,000000,1.7628,1.9735,1.7628,1.9735,2453,0
CRM,D,20080827,000000,1.7839,1.826,1.7839,1.826,2257,0
CRM,D,20080828,000000,1.7839,1.9314,1.7839,1.9314,468,0
CRM,D,20080829,000000,1.812,1.9524,1.7698,1.9524,1595,0
CRM,D,20080901,000000,1.7768,1.7768,1.5872,1.6505,3547,0
CRM,D,20080902,000000,1.9032,1.9032,1.8892,1.8892,16,0
CRM,D,20080904,000000,1.826,1.826,1.7206,1.7277,2936,0
CRM,D,20080905,000000,1.6153,1.8049,1.6153,1.6645,4072,0
CRM,D,20080908,000000,1.6223,1.6223,1.6153,1.6153,2030,0
CRM,D,20080909,000000,1.6153,1.6785,1.6153,1.6785,1582,0
CRM,D,20080910,000000,1.517,1.6785,1.517,1.6785,34,0
CRM,D,20080911,000000,1.6785,1.6785,1.6785,1.6785,214,0
CRM,D,20080912,000000,1.6153,1.6153,1.5451,1.5451,231,0
CRM,D,20080915,000000,1.6294,1.6294,1.6294,1.6294,34,0
CRM,D,20080917,000000,1.6505,1.7136,1.6505,1.7136,626,0
CRM,D,20080919,000000,1.7066,1.7136,1.7066,1.7136,1424,0
CRM,D,20080922,000000,1.51,1.6996,1.4889,1.6996,3510,0
CRM,D,20080924,000000,1.6715,1.6715,1.6434,1.6434,117,0
CRM,D,20081001,000000,1.4889,1.6153,1.4748,1.6153,2864,0
CRM,D,20081006,000000,1.4889,1.4889,1.4889,1.4889,142,0
CRM,D,20081007,000000,1.6083,1.6083,1.6083,1.6083,142,0
CRM,D,20081008,000000,1.6153,1.6153,1.4889,1.6013,1925,0
CRM,D,20081009,000000,1.503,1.6856,1.503,1.6856,465,0
CRM,D,20081010,000000,1.6856,1.7136,1.6856,1.7136,214,0
CRM,D,20081014,000000,1.7066,1.7066,1.7066,1.7066,66,0
CRM,D,20081015,000000,1.6856,1.6856,1.6856,1.6856,24,0
CRM,D,20081016,000000,1.6153,1.6153,1.6153,1.6153,1524,0
CRM,D,20081017,000000,1.6083,1.6083,1.503,1.503,356,0
CRM,D,20081020,000000,1.4889,1.6153,1.4889,1.6153,1890,0
CRM,D,20081021,000000,1.6505,1.6505,1.6505,1.6505,1,0
CRM,D,20081024,000000,1.4046,1.4046,1.2431,1.3625,7135,0
CRM,D,20081027,000000,1.3625,1.51,1.3625,1.51,138,0
CRM,D,20081028,000000,1.3414,1.4608,1.3344,1.4608,1840,0
CRM,D,20081029,000000,1.4468,1.5802,1.2711,1.5802,3253,0
CRM,D,20081031,000000,1.538,1.538,1.538,1.538,307,0
CRM,D,20081103,000000,1.4046,1.6083,1.4046,1.6083,14880,0
CRM,D,20081105,000000,2.0578,2.0578,1.4046,1.4046,71,0
CRM,D,20081106,000000,1.7558,1.7558,1.3414,1.7558,207,0
CRM,D,20081107,000000,1.8471,1.8471,1.1939,1.1939,2197,0
CRM,D,20081110,000000,1.3344,1.4397,1.3344,1.4397,15,0
CRM,D,20081112,000000,1.2642,1.4397,1.2361,1.2361,6685,0
CRM,D,20081113,000000,1.208,1.2642,1.1237,1.2642,3140,0
CRM,D,20081114,000000,1.208,1.208,1.0535,1.1799,17504,0
CRM,D,20081117,000000,1.0816,1.2571,1.0816,1.229,21422,0
CRM,D,20081121,000000,1.201,1.201,1.201,1.201,5696,0
CRM,D,20081124,000000,1.208,1.208,1.208,1.208,1,0
CRM,D,20081126,000000,1.0885,1.208,1.0885,1.1939,239,0
CRM,D,20081128,000000,1.1658,1.201,1.1658,1.201,17089,0
CRM,D,20081201,000000,1.1237,1.3344,1.1237,1.229,1001,0
CRM,D,20081202,000000,1.229,1.229,1.229,1.229,2135,0
CRM,D,20081203,000000,1.3063,1.3063,1.0535,1.229,1929,0
CRM,D,20081208,000000,1.0675,1.1869,1.0605,1.1658,3890,0
CRM,D,20081210,000000,1.0885,1.1588,1.0885,1.1588,388,0
CRM,D,20081212,000000,1.1237,1.1518,1.1237,1.1448,28502,0
CRM,D,20081215,000000,1.1237,1.1728,1.1237,1.1658,7831,0
CRM,D,20081216,000000,1.1237,1.1237,1.1237,1.1237,47,0
CRM,D,20081217,000000,1.1167,1.1167,1.1167,1.1167,14239,0
CRM,D,20081218,000000,1.0535,1.0535,1.0535,1.0535,142,0
