<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CTS,D,20151116,000000,5.6075,5.6883,5.6075,5.6883,355,0
CTS,D,20151120,000000,5.7851,5.7851,5.7851,5.7851,25,0
CTS,D,20151123,000000,5.89,5.89,5.89,5.89,6,0
CTS,D,20151124,000000,5.9707,6.4548,5.89,5.89,49,0
CTS,D,20151125,000000,5.769,6.2934,5.769,6.1724,86,0
CTS,D,20151126,000000,5.8497,5.8497,5.8497,5.8497,8,0
CTS,D,20151127,000000,6.1724,6.6565,6.1724,6.6565,94,0
CTS,D,20151130,000000,6.0594,6.2531,5.8093,5.8093,306,0
CTS,D,20151201,000000,5.8093,5.8093,5.8093,5.8093,10,0
CTS,D,20151209,000000,5.8093,5.8093,5.8093,5.8093,62,0
CTS,D,20151210,000000,5.8093,5.8093,5.8093,5.8093,29,0
CTS,D,20160107,000000,6.011,6.011,6.011,6.011,496,0
CTS,D,20160108,000000,6.0191,6.4548,6.0191,6.4548,1487,0
CTS,D,20160111,000000,6.4548,6.4548,6.4548,6.4548,247,0
CTS,D,20160112,000000,6.4548,6.4548,6.4548,6.4548,497,0
CTS,D,20160203,000000,6.1321,6.1321,6.1321,6.1321,1,0
CTS,D,20160216,000000,6.0998,6.0998,5.8093,5.8093,247,0
CTS,D,20160308,000000,5.6479,5.6479,5.6479,5.6479,1,0
CTS,D,20160413,000000,5.8417,5.8417,5.8417,5.8417,198,0
CTS,D,20160414,000000,5.8417,6.2693,5.8417,6.2693,885,0
CTS,D,20160415,000000,6.4548,7.2616,6.4548,7.2616,546,0
CTS,D,20160418,000000,7.9878,8.8757,7.9878,8.8757,192,0
CTS,D,20160419,000000,8.8757,9.2947,7.544,8.8757,775,0
CTS,D,20160420,000000,9.682,10.57,8.0688,8.7136,2064,0
CTS,D,20160425,000000,7.9798,7.9798,7.9798,7.9798,110,0
CTS,D,20160426,000000,7.9474,8.5287,7.9474,8.5287,137,0
CTS,D,20160428,000000,6.7049,6.7049,6.7049,6.7049,202,0
CTS,D,20160429,000000,7.2616,7.2616,6.7049,7.2616,146,0
CTS,D,20160502,000000,7.665,8.488,7.665,8.488,50,0
CTS,D,20160504,000000,8.488,8.488,8.488,8.488,25,0
CTS,D,20160505,000000,8.8757,9.682,8.8757,8.8757,874,0
CTS,D,20160506,000000,8.0688,8.8757,8.0688,8.8757,384,0
CTS,D,20160510,000000,7.6731,7.6731,7.6731,7.6731,12,0
CTS,D,20160511,000000,7.2535,7.2535,7.2535,7.2535,12,0
CTS,D,20160517,000000,7.2535,7.2535,7.2535,7.2535,1,0
CTS,D,20160518,000000,7.2535,7.2535,6.5517,7.2535,16,0
CTS,D,20160519,000000,7.2535,7.2535,6.5436,6.5436,37,0
CTS,D,20160520,000000,6.8582,6.8582,6.8582,6.8582,82,0
CTS,D,20160523,000000,7.2535,7.2535,7.2535,7.2535,12,0
CTS,D,20160530,000000,7.6184,7.6184,7.6184,7.6184,1,0
CTS,D,20160601,000000,7.6015,7.6015,7.6015,7.6015,15,0
CTS,D,20160602,000000,7.6099,7.6099,7.6099,7.6099,1,0
CTS,D,20160606,000000,6.8549,6.8549,6.8549,6.8549,29,0
CTS,D,20160607,000000,6.1762,6.1762,5.2684,5.2769,17780,0
CTS,D,20160608,000000,5.5059,5.5229,5.2769,5.5229,46,0
CTS,D,20160609,000000,5.5399,6.0828,5.5399,6.0828,1535,0
CTS,D,20160610,000000,6.3713,6.5918,6.1252,6.1507,21919,0
CTS,D,20160613,000000,6.5325,6.8379,6.1083,6.1083,12283,0
CTS,D,20160614,000000,6.261,6.2779,6.261,6.2779,253,0
CTS,D,20160615,000000,6.3882,6.3967,6.1931,6.1931,480,0
CTS,D,20160616,000000,6.5579,6.5579,6.1167,6.1167,14201,0
CTS,D,20160617,000000,6.5325,6.5325,6.2779,6.2779,1779,0
