<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DBC,D,19941124,000000,6.6574,6.6574,6.6574,6.6574,150859,0
DBC,D,19941125,000000,6.6574,6.6574,6.6574,6.6574,306939,0
DBC,D,19941128,000000,7.3154,7.3154,7.3154,7.3154,0,0
DBC,D,19941129,000000,8.0207,8.0207,8.0207,8.0207,219359,0
DBC,D,19941130,000000,8.7789,8.7789,8.7789,8.7789,210388,0
DBC,D,19941201,000000,9.634,9.634,9.634,9.634,131875,0
DBC,D,19941202,000000,9.788,9.788,9.788,9.788,278810,0
DBC,D,19941205,000000,9.0823,9.0823,9.0823,9.0823,217887,0
DBC,D,19941206,000000,9.3304,9.3304,9.3304,9.3304,193120,0
DBC,D,19941207,000000,8.928,8.928,8.928,8.928,238758,0
DBC,D,19941208,000000,8.0741,8.0741,8.0741,8.0741,537448,0
DBC,D,19941209,000000,8.3229,8.3229,8.3229,8.3229,110217,0
DBC,D,19941212,000000,9.1306,9.1306,9.1306,9.1306,185369,0
DBC,D,19941213,000000,8.8265,8.8265,8.8265,8.8265,124518,0
DBC,D,19941214,000000,8.3771,8.3771,8.3771,8.3771,58662,0
DBC,D,19941215,000000,8.4781,8.4781,8.4781,8.4781,53593,0
DBC,D,19941216,000000,9.0292,9.0292,9.0292,9.0292,72967,0
DBC,D,19941219,000000,9.0292,9.0292,9.0292,9.0292,74028,0
DBC,D,19941220,000000,8.6792,8.6792,8.6792,8.6792,40734,0
DBC,D,19941221,000000,8.7789,8.7789,8.7789,8.7789,27277,0
DBC,D,19941222,000000,8.8265,8.8265,8.8265,8.8265,42194,0
DBC,D,19941223,000000,8.981,8.981,8.981,8.981,46743,0
DBC,D,19941227,000000,8.981,8.981,8.981,8.981,53777,0
DBC,D,19941228,000000,8.6253,8.6253,8.6253,8.6253,29619,0
DBC,D,19941229,000000,8.8265,8.8265,8.8265,8.8265,41014,0
DBC,D,19950102,000000,9.3304,9.3304,9.3304,9.3304,87598,0
DBC,D,19950103,000000,9.586,9.586,9.586,9.586,124105,0
DBC,D,19950104,000000,9.3304,9.3304,9.3304,9.3304,53256,0
DBC,D,19950105,000000,9.3304,9.3304,9.3304,9.3304,42754,0
DBC,D,19950106,000000,8.8813,8.8813,8.8813,8.8813,68478,0
DBC,D,19950109,000000,9.0823,9.0823,9.0823,9.0823,44549,0
DBC,D,19950110,000000,9.0823,9.0823,9.0823,9.0823,61832,0
DBC,D,19950111,000000,9.0292,9.0292,9.0292,9.0292,75417,0
DBC,D,19950112,000000,8.7789,8.7789,8.7789,8.7789,46026,0
DBC,D,19950113,000000,9.0823,9.0823,9.0823,9.0823,41739,0
DBC,D,19950116,000000,9.285,9.285,9.285,9.285,120502,0
DBC,D,19950117,000000,9.0823,9.0823,9.0823,9.0823,75219,0
DBC,D,19950118,000000,9.0292,9.0292,9.0292,9.0292,81229,0
DBC,D,19950119,000000,9.0292,9.0292,9.0292,9.0292,16444,0
DBC,D,19950120,000000,8.928,8.928,8.928,8.928,38975,0
DBC,D,19950123,000000,8.6253,8.6253,8.6253,8.6253,75640,0
DBC,D,19950124,000000,8.5786,8.5786,8.5786,8.5786,114393,0
DBC,D,19950125,000000,8.5786,8.5786,8.5786,8.5786,34399,0
DBC,D,19950126,000000,8.2766,8.2766,8.2766,8.2766,65999,0
DBC,D,19950127,000000,7.867,7.867,7.867,7.867,23636,0
DBC,D,19950130,000000,7.867,7.867,7.867,7.867,43839,0
DBC,D,19950131,000000,7.5165,7.5165,7.5165,7.5165,41974,0
DBC,D,19950201,000000,8.0741,8.0741,8.0741,8.0741,64427,0
DBC,D,19950202,000000,7.867,7.867,7.867,7.867,69764,0
DBC,D,19950203,000000,7.5646,7.5646,7.5646,7.5646,100703,0
DBC,D,19950206,000000,8.1218,8.1218,8.1218,8.1218,15452,0
DBC,D,19950207,000000,8.5786,8.5786,8.5786,8.5786,74630,0
DBC,D,19950208,000000,8.5786,8.5786,8.5786,8.5786,161268,0
DBC,D,19950209,000000,8.6253,8.6253,8.6253,8.6253,72105,0
DBC,D,19950210,000000,8.5786,8.5786,8.5786,8.5786,109786,0
DBC,D,19950213,000000,8.3229,8.3229,8.3229,8.3229,23850,0
DBC,D,19950214,000000,8.5786,8.5786,8.5786,8.5786,56669,0
DBC,D,19950215,000000,8.5786,8.5786,8.5786,8.5786,51132,0
