<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DCR,D,20050621,000000,11.344,11.392,11.012,11.204,290536,0
DCR,D,20050622,000000,11.109,11.157,11.012,11.109,25277,0
DCR,D,20050623,000000,11.109,11.157,11.061,11.109,30276,0
DCR,D,20050624,000000,10.729,11.061,10.729,10.918,11552,0
DCR,D,20050627,000000,10.869,11.109,10.869,11.109,14367,0
DCR,D,20050628,000000,11.012,11.157,11.012,11.157,35140,0
DCR,D,20050629,000000,11.012,11.157,11.012,11.061,5304,0
DCR,D,20050630,000000,11.157,11.204,11.157,11.157,7595,0
DCR,D,20050701,000000,10.965,11.157,10.965,11.157,1301,0
DCR,D,20050704,000000,11.012,11.204,11.012,11.204,10207,0
DCR,D,20050705,000000,11.157,11.253,11.157,11.253,13747,0
DCR,D,20050706,000000,11.253,11.253,11.157,11.157,3601,0
DCR,D,20050707,000000,11.157,11.157,10.303,11.157,9529,0
DCR,D,20050708,000000,10.918,11.157,10.918,11.157,592,0
DCR,D,20050711,000000,10.918,11.204,10.918,11.204,8184,0
DCR,D,20050712,000000,10.918,11.157,10.918,11.157,4335,0
DCR,D,20050713,000000,11.253,11.253,11.253,11.253,14005,0
DCR,D,20050714,000000,11.204,11.253,11.157,11.157,13790,0
DCR,D,20050715,000000,11.157,11.157,11.157,11.157,115,0
DCR,D,20050718,000000,10.918,10.918,10.918,10.918,1543,0
DCR,D,20050719,000000,10.918,11.012,10.918,11.012,105558,0
DCR,D,20050720,000000,11.109,11.109,10.918,11.109,107430,0
DCR,D,20050721,000000,10.918,11.157,10.918,10.918,4324,0
DCR,D,20050725,000000,10.825,10.869,10.825,10.869,2072,0
DCR,D,20050726,000000,11.012,11.012,10.965,11.012,54346,0
DCR,D,20050727,000000,11.157,11.157,10.825,10.825,2204,0
DCR,D,20050728,000000,10.825,10.918,10.825,10.918,2269,0
DCR,D,20050729,000000,10.918,10.918,10.918,10.918,421,0
DCR,D,20050801,000000,10.825,10.825,10.825,10.825,180,0
DCR,D,20050802,000000,10.825,10.965,10.158,10.965,4839,0
DCR,D,20050803,000000,10.965,10.965,10.965,10.965,2065,0
DCR,D,20050804,000000,11.012,11.109,11.012,11.109,2242,0
DCR,D,20050805,000000,10.729,11.344,10.729,11.344,25515,0
DCR,D,20050808,000000,11.344,11.77,11.344,11.392,36669,0
DCR,D,20050809,000000,11.439,11.727,11.344,11.727,14323,0
DCR,D,20050810,000000,11.584,11.631,11.487,11.487,5503,0
DCR,D,20050811,000000,11.392,11.392,11.392,11.392,156,0
DCR,D,20050812,000000,11.295,11.392,11.295,11.392,998,0
DCR,D,20050816,000000,11.392,11.584,11.204,11.584,8506,0
DCR,D,20050817,000000,11.584,12.107,11.584,11.867,23177,0
