<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DEL,D,20090918,000000,8.5027,9.2239,8.2125,8.5115,247696,0
DEL,D,20090921,000000,8.6167,8.9974,8.3651,8.479,59456,0
DEL,D,20090922,000000,8.415,8.5684,8.1717,8.4956,47113,0
DEL,D,20090923,000000,8.4877,8.4877,8.3018,8.479,22578,0
DEL,D,20090924,000000,8.3344,8.3825,8.2202,8.3256,9282,0
DEL,D,20090925,000000,8.3256,8.3256,7.9698,8.091,22584,0
DEL,D,20090928,000000,8.0825,8.0825,7.8882,7.9698,8178,0
DEL,D,20090929,000000,7.7268,7.9368,7.7268,7.9294,10555,0
DEL,D,20090930,000000,7.8322,7.913,7.7268,7.7672,10980,0
DEL,D,20091001,000000,7.8809,7.8882,7.7754,7.8882,3221,0
DEL,D,20091002,000000,7.8809,7.8809,7.6053,7.8809,4451,0
DEL,D,20091005,000000,7.8077,7.8478,7.6621,7.8478,496,0
DEL,D,20091006,000000,7.6944,7.8239,7.6864,7.8239,674,0
DEL,D,20091007,000000,7.8478,7.8478,7.6944,7.8478,6524,0
DEL,D,20091008,000000,7.8478,7.8478,7.6621,7.7511,2951,0
DEL,D,20091009,000000,7.7511,7.8725,7.7268,7.7349,10700,0
DEL,D,20091012,000000,7.7592,7.7996,7.6216,7.7672,5831,0
DEL,D,20091013,000000,7.5972,7.7349,7.5972,7.6459,11250,0
DEL,D,20091014,000000,7.6864,7.6864,7.5649,7.6459,4000,0
DEL,D,20091015,000000,7.6459,7.743,7.6459,7.6459,1971,0
DEL,D,20091016,000000,7.6459,7.6783,7.5245,7.6783,5381,0
DEL,D,20091019,000000,7.4599,7.6378,7.4599,7.4922,5776,0
DEL,D,20091020,000000,7.6053,7.6053,7.3789,7.484,7766,0
DEL,D,20091021,000000,7.4437,7.484,7.2898,7.484,4508,0
DEL,D,20091022,000000,7.3141,7.476,7.3141,7.476,2253,0
DEL,D,20091023,000000,7.484,7.6378,7.4437,7.6378,4442,0
DEL,D,20091026,000000,7.4599,7.6297,7.4437,7.6216,2467,0
DEL,D,20091027,000000,7.5892,7.6216,7.3627,7.3627,126,0
DEL,D,20091028,000000,7.6378,7.6378,7.4437,7.5972,2581,0
DEL,D,20091029,000000,7.5972,7.6216,7.5892,7.6216,6015,0
DEL,D,20091030,000000,7.6053,7.6459,7.484,7.484,3724,0
DEL,D,20091102,000000,7.4518,7.6864,7.4518,7.6783,370,0
DEL,D,20091103,000000,7.6783,7.6783,7.484,7.6378,3439,0
DEL,D,20091104,000000,7.6378,7.6378,7.573,7.6053,1141,0
DEL,D,20091105,000000,7.6621,8.0825,7.5892,8.0741,10070,0
DEL,D,20091106,000000,8.0741,8.0741,7.8643,7.9294,3804,0
DEL,D,20091109,000000,7.945,8.2363,7.945,8.2125,7714,0
DEL,D,20091110,000000,8.2533,8.3983,8.1717,8.3983,10654,0
DEL,D,20091112,000000,8.3983,8.3983,8.2533,8.3825,2516,0
DEL,D,20091113,000000,8.3983,8.3983,8.2686,8.3502,8868,0
DEL,D,20091116,000000,8.3983,8.3983,8.0825,8.3344,6086,0
DEL,D,20091117,000000,8.3344,8.3983,7.8478,7.9294,13051,0
DEL,D,20091118,000000,8.0504,8.1641,7.8882,7.9698,4983,0
DEL,D,20091119,000000,7.9698,8.0504,7.8478,7.9294,5019,0
DEL,D,20091120,000000,8.1641,8.1641,7.8478,8.091,2642,0
DEL,D,20091123,000000,8.091,8.2533,7.8478,8.2533,4616,0
DEL,D,20091124,000000,8.2125,8.2125,7.9294,8.2125,1709,0
DEL,D,20091125,000000,8.204,8.204,8.091,8.1717,902,0
DEL,D,20091126,000000,8.1717,8.1717,7.9294,8.1233,1655,0
DEL,D,20091127,000000,7.8478,8.1556,7.8478,8.0102,1932,0
DEL,D,20091130,000000,8.131,8.131,7.8643,7.9937,299,0
DEL,D,20091201,000000,8.0825,8.2533,7.7026,8.2202,12698,0
DEL,D,20091202,000000,8.2125,8.2125,7.8478,7.9212,10671,0
DEL,D,20091203,000000,7.9212,8.0102,7.8404,7.9854,1448,0
DEL,D,20091204,000000,7.7672,7.9854,7.7672,7.9616,1947,0
DEL,D,20091207,000000,7.7835,7.913,7.7672,7.7754,4138,0
DEL,D,20091208,000000,7.7592,7.8404,7.5487,7.7187,4339,0
DEL,D,20091209,000000,7.7107,7.7187,7.5649,7.5649,3097,0
DEL,D,20091210,000000,7.6701,7.6864,7.6701,7.6783,3152,0
DEL,D,20091211,000000,7.4437,7.6701,7.4437,7.6701,5804,0
DEL,D,20091215,000000,7.8882,7.8882,7.4922,7.8478,649,0
DEL,D,20091217,000000,7.6783,7.6783,7.5245,7.6701,1606,0
DEL,D,20091218,000000,7.5245,7.6621,7.4437,7.6621,1027,0
DEL,D,20091221,000000,7.6621,8.415,7.6621,7.8478,2831,0
DEL,D,20091222,000000,7.6378,7.8478,7.3708,7.7511,1105,0
DEL,D,20091223,000000,7.8478,7.8478,7.4437,7.6621,2019,0
DEL,D,20091228,000000,7.6378,7.6459,7.5569,7.6053,8941,0
DEL,D,20091229,000000,7.6864,7.6864,7.4274,7.6053,831,0
DEL,D,20091230,000000,7.6053,7.6864,7.5245,7.6621,1984,0
DEL,D,20091231,000000,7.6621,7.6621,7.6621,7.6621,1310,0
DEL,D,20100104,000000,7.5245,7.6621,7.5245,7.654,1808,0
DEL,D,20100105,000000,7.6459,7.6459,7.484,7.6216,2103,0
DEL,D,20100106,000000,7.6783,7.6783,7.4437,7.6053,194,0
DEL,D,20100107,000000,7.6701,7.6701,7.2898,7.3222,2303,0
DEL,D,20100108,000000,7.6944,7.6944,7.4437,7.6621,1643,0
DEL,D,20100111,000000,7.6864,7.6864,7.6783,7.6783,196,0
DEL,D,20100112,000000,7.4032,7.6864,7.3869,7.6621,936,0
DEL,D,20100113,000000,7.4518,7.6378,7.4437,7.6053,1779,0
DEL,D,20100114,000000,7.6378,7.6378,7.4437,7.5892,420,0
DEL,D,20100115,000000,7.6378,7.6378,7.4518,7.5649,954,0
DEL,D,20100118,000000,7.5649,7.5649,7.5649,7.5649,259,0
DEL,D,20100119,000000,7.5569,7.5569,7.5569,7.5569,63,0
DEL,D,20100120,000000,7.5406,7.5406,7.5406,7.5406,123,0
DEL,D,20100121,000000,7.4518,7.5406,7.4437,7.5406,235,0
DEL,D,20100122,000000,7.484,7.5649,7.3627,7.4437,1978,0
DEL,D,20100125,000000,7.2818,7.5649,7.1848,7.4112,1600,0
DEL,D,20100126,000000,7.2818,7.5164,7.2009,7.4032,1199,0
DEL,D,20100127,000000,7.5083,7.8478,7.5003,7.6864,27337,0
DEL,D,20100128,000000,7.8077,7.8322,7.6134,7.6864,3793,0
DEL,D,20100129,000000,7.6864,7.9698,7.6864,7.8322,10631,0
DEL,D,20100201,000000,7.9781,7.9781,7.7268,7.8077,1983,0
DEL,D,20100202,000000,7.7268,7.8478,7.7268,7.8478,878,0
DEL,D,20100203,000000,7.8725,8.131,7.8725,7.945,10545,0
DEL,D,20100204,000000,7.9532,8.1717,7.9532,8.091,32414,0
DEL,D,20100205,000000,8.0265,8.091,7.6864,8.091,20464,0
DEL,D,20100208,000000,8.0504,8.3256,8.0504,8.1641,11761,0
DEL,D,20100209,000000,8.2363,8.2449,7.9532,8.1717,2833,0
DEL,D,20100210,000000,8.2287,8.2363,8.091,8.091,2655,0
DEL,D,20100211,000000,7.9616,8.5771,7.7672,8.5596,186861,0
DEL,D,20100212,000000,8.5684,8.5684,8.1395,8.4465,2917,0
DEL,D,20100215,000000,8.4465,8.536,8.415,8.5027,7458,0
DEL,D,20100216,000000,8.5684,8.5684,8.4545,8.5596,3513,0
DEL,D,20100217,000000,8.4956,8.8183,8.4956,8.8183,75075,0
DEL,D,20100218,000000,8.8183,8.8438,8.6983,8.8265,3265,0
DEL,D,20100219,000000,8.8602,8.8747,8.7138,8.8747,12481,0
DEL,D,20100222,000000,8.8992,9.1268,8.7375,9.0211,6462,0
DEL,D,20100223,000000,9.0611,9.0611,8.8356,8.8356,1989,0
DEL,D,20100224,000000,8.8602,9.1354,8.8602,9.0782,5388,0
DEL,D,20100225,000000,9.0782,9.0782,8.8992,9.0535,4675,0
DEL,D,20100226,000000,9.0782,9.2963,9.0782,9.2963,11150,0
DEL,D,20100301,000000,9.693,10.073,9.669,9.935,9315,0
DEL,D,20100302,000000,9.709,9.863,9.589,9.831,6751,0
DEL,D,20100303,000000,9.903,9.903,9.653,9.709,1031,0
DEL,D,20100304,000000,9.709,10.356,9.709,10.235,29276,0
DEL,D,20100305,000000,10.235,10.437,10.235,10.421,20068,0
DEL,D,20100308,000000,10.518,11.731,10.518,11.61,33889,0
DEL,D,20100309,000000,11.692,11.975,10.793,11.488,15554,0
DEL,D,20100310,000000,11.724,11.724,11.473,11.724,9355,0
DEL,D,20100311,000000,11.651,11.716,11.336,11.635,6820,0
DEL,D,20100312,000000,11.706,11.958,11.578,11.7,11512,0
DEL,D,20100315,000000,11.773,11.877,11.06,11.148,9470,0
DEL,D,20100316,000000,11.555,11.635,11.085,11.44,13672,0
DEL,D,20100317,000000,11.643,11.682,11.488,11.667,5310,0
DEL,D,20100318,000000,11.569,11.569,11.181,11.408,3460,0
DEL,D,20100319,000000,11.569,11.569,11.141,11.424,2876,0
DEL,D,20100322,000000,11.569,11.569,11.004,11.085,4801,0
DEL,D,20100323,000000,11.205,11.368,10.962,10.962,17709,0
DEL,D,20100324,000000,11.085,11.165,10.607,10.68,19668,0
DEL,D,20100325,000000,10.68,10.842,10.607,10.842,7030,0
DEL,D,20100326,000000,10.842,10.842,10.663,10.673,3900,0
DEL,D,20100329,000000,10.616,10.825,10.478,10.802,5598,0
DEL,D,20100330,000000,10.955,11.408,10.721,11.124,10920,0
DEL,D,20100331,000000,11.408,11.417,11.02,11.245,12319,0
DEL,D,20100401,000000,11.245,11.813,10.923,11.813,12382,0
DEL,D,20100406,000000,11.813,11.894,11.432,11.569,4209,0
DEL,D,20100407,000000,11.651,11.651,11.327,11.327,4487,0
DEL,D,20100408,000000,11.327,11.327,11.124,11.191,1692,0
DEL,D,20100409,000000,11.165,11.481,11.165,11.481,5352,0
DEL,D,20100412,000000,10.818,11.692,10.818,11.692,2281,0
DEL,D,20100413,000000,11.692,11.692,11.569,11.651,4599,0
DEL,D,20100414,000000,11.408,11.449,11.408,11.449,2358,0
DEL,D,20100415,000000,11.327,11.569,11.327,11.569,846,0
DEL,D,20100416,000000,11.488,11.488,10.923,11.488,941,0
DEL,D,20100419,000000,10.93,11.464,10.93,11.279,1310,0
DEL,D,20100420,000000,11.279,11.327,11.181,11.319,4947,0
DEL,D,20100421,000000,11.181,11.191,11.068,11.085,3114,0
DEL,D,20100422,000000,11.327,11.327,11.165,11.165,3551,0
DEL,D,20100423,000000,11.06,11.085,11.06,11.085,364,0
DEL,D,20100426,000000,11.245,11.312,10.842,11.165,2253,0
DEL,D,20100427,000000,11.408,11.408,11.085,11.085,161,0
DEL,D,20100428,000000,11.158,11.158,11.077,11.148,1581,0
DEL,D,20100429,000000,11.134,11.134,11.134,11.134,2471,0
DEL,D,20100430,000000,11.148,11.245,11.02,11.245,640,0
DEL,D,20100504,000000,11.255,11.262,11.134,11.134,2783,0
DEL,D,20100505,000000,11.134,11.134,10.639,10.68,4031,0
DEL,D,20100506,000000,10.599,10.761,10.559,10.761,7053,0
DEL,D,20100507,000000,10.576,10.761,10.576,10.68,26876,0
DEL,D,20100510,000000,10.68,11.068,10.68,11.06,1258,0
DEL,D,20100511,000000,10.784,11.044,10.761,11.044,6752,0
DEL,D,20100512,000000,11.085,11.085,10.962,11.077,2110,0
DEL,D,20100513,000000,11.004,11.004,10.778,10.987,1052,0
DEL,D,20100514,000000,10.962,10.962,10.882,10.882,494,0
DEL,D,20100517,000000,10.639,11.124,10.639,10.802,5122,0
DEL,D,20100518,000000,10.802,11.124,10.761,10.769,14315,0
DEL,D,20100519,000000,10.769,11.165,10.761,11.165,8033,0
DEL,D,20100520,000000,10.842,10.891,10.761,10.891,4435,0
DEL,D,20100521,000000,10.599,10.859,10.599,10.859,4335,0
DEL,D,20100524,000000,10.721,11.109,10.721,11.109,2089,0
DEL,D,20100525,000000,11.077,11.077,10.802,10.915,51305,0
DEL,D,20100527,000000,10.842,11.165,10.842,10.842,1535,0
DEL,D,20100528,000000,11.165,11.165,10.721,10.842,13932,0
DEL,D,20100531,000000,10.882,10.923,10.761,10.761,22505,0
DEL,D,20100601,000000,10.802,10.842,10.761,10.842,1440,0
DEL,D,20100602,000000,11.028,11.877,10.93,11.877,17749,0
DEL,D,20100604,000000,11.885,12.047,11.692,11.749,16605,0
DEL,D,20100607,000000,11.731,11.966,11.7,11.966,5996,0
DEL,D,20100608,000000,11.975,11.991,11.885,11.991,1809,0
DEL,D,20100609,000000,11.982,12.136,11.982,12.136,8273,0
DEL,D,20100610,000000,12.136,12.808,12.136,12.808,7889,0
DEL,D,20100611,000000,12.808,12.808,12.403,12.775,2264,0
DEL,D,20100614,000000,12.775,12.824,12.743,12.824,3365,0
DEL,D,20100615,000000,12.824,12.824,12.419,12.743,2006,0
