<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DRE,D,20080515,000000,43.025,43.272,41.29,41.29,4545,0
DRE,D,20080516,000000,40.465,42.694,40.465,42.694,865,0
DRE,D,20080519,000000,43.355,43.685,43.19,43.19,291,0
DRE,D,20080520,000000,43.19,43.52,43.19,43.19,145,0
DRE,D,20080521,000000,43.355,43.355,43.355,43.355,242,0
DRE,D,20080526,000000,42.612,42.612,42.612,42.612,375,0
DRE,D,20080527,000000,42.612,42.942,42.612,42.942,3669,0
DRE,D,20080528,000000,42.777,44.098,42.777,44.098,279,0
DRE,D,20080529,000000,42.859,43.355,42.694,42.694,1211,0
DRE,D,20080530,000000,42.116,42.116,42.116,42.116,124,0
DRE,D,20080602,000000,42.942,42.942,42.942,42.942,30,0
DRE,D,20080605,000000,42.529,42.529,41.703,41.703,87,0
DRE,D,20080606,000000,41.703,41.703,41.703,41.703,182,0
DRE,D,20080611,000000,42.281,42.281,42.281,42.281,24,0
DRE,D,20080613,000000,42.446,42.446,42.446,42.446,0,0
DRE,D,20080616,000000,42.364,42.364,42.364,42.364,0,0
DRE,D,20080617,000000,42.364,42.364,42.364,42.364,0,0
DRE,D,20080618,000000,40.547,41.703,39.721,41.703,159,0
DRE,D,20080619,000000,42.116,42.116,42.116,42.116,0,0
DRE,D,20080625,000000,41.29,41.703,41.29,41.703,9,0
DRE,D,20080626,000000,41.621,41.621,41.621,41.621,0,0
DRE,D,20080627,000000,41.29,41.29,41.29,41.29,0,0
DRE,D,20080630,000000,41.29,41.29,41.29,41.29,0,0
DRE,D,20080701,000000,41.29,41.29,41.29,41.29,0,0
DRE,D,20080702,000000,41.29,41.29,41.29,41.29,0,0
DRE,D,20080703,000000,41.29,41.29,41.29,41.29,0,0
DRE,D,20080704,000000,39.721,40.052,39.721,40.052,194,0
DRE,D,20080707,000000,40.052,40.052,40.052,40.052,0,0
DRE,D,20080708,000000,39.969,39.969,39.969,39.969,0,0
DRE,D,20080709,000000,40.052,41.29,39.639,41.29,437,0
DRE,D,20080710,000000,41.29,41.29,41.29,41.29,182,0
DRE,D,20080711,000000,39.639,41.29,39.474,39.639,438,0
DRE,D,20080714,000000,39.639,39.639,39.639,39.639,1,0
DRE,D,20080716,000000,37.822,39.639,37.822,39.639,299,0
DRE,D,20080717,000000,41.29,42.942,41.29,42.942,485,0
DRE,D,20080718,000000,42.446,42.446,42.446,42.446,0,0
DRE,D,20080721,000000,42.529,42.529,42.529,42.529,0,0
DRE,D,20080724,000000,42.446,42.446,42.446,42.446,1,0
DRE,D,20080725,000000,42.446,42.446,42.446,42.446,1,0
DRE,D,20080728,000000,42.446,42.446,42.446,42.446,0,0
DRE,D,20080729,000000,41.951,41.951,41.951,41.951,0,0
DRE,D,20080731,000000,42.116,42.116,42.116,42.116,0,0
DRE,D,20080801,000000,42.281,42.281,42.281,42.281,0,0
DRE,D,20080804,000000,42.281,42.281,42.281,42.281,0,0
DRE,D,20080805,000000,42.281,42.281,42.281,42.281,0,0
DRE,D,20080806,000000,42.281,42.281,42.281,42.281,0,0
DRE,D,20080807,000000,42.529,42.529,42.529,42.529,0,0
DRE,D,20080808,000000,41.29,42.529,41.29,42.529,384,0
DRE,D,20080811,000000,42.529,42.529,42.529,42.529,0,0
DRE,D,20080812,000000,42.529,42.529,42.529,42.529,1,0
DRE,D,20080813,000000,42.446,42.446,42.446,42.446,0,0
DRE,D,20080814,000000,42.446,42.446,42.446,42.446,0,0
DRE,D,20080818,000000,40.547,40.877,40.547,40.877,182,0
DRE,D,20080819,000000,40.877,40.877,40.877,40.877,0,0
DRE,D,20080910,000000,40.465,40.465,40.465,40.465,0,0
DRE,D,20080911,000000,38.978,38.978,38.978,38.978,170,0
DRE,D,20080912,000000,37.822,37.822,37.822,37.822,0,0
DRE,D,20080915,000000,37.409,37.409,37.409,37.409,206,0
DRE,D,20080916,000000,35.675,35.675,34.023,34.271,454,0
DRE,D,20080919,000000,34.271,34.271,34.271,34.271,12,0
DRE,D,20080925,000000,34.188,34.188,34.188,34.188,606,0
DRE,D,20080930,000000,32.702,34.271,32.702,34.271,13,0
DRE,D,20081006,000000,34.271,34.271,32.702,32.702,99,0
DRE,D,20081009,000000,32.702,32.702,32.702,32.702,242,0
DRE,D,20081015,000000,32.702,32.702,32.702,32.702,1,0
DRE,D,20081023,000000,31.133,31.133,31.133,31.133,242,0
DRE,D,20081029,000000,29.564,29.729,29.564,29.564,763,0
DRE,D,20081030,000000,29.729,29.729,29.729,29.729,388,0
DRE,D,20081031,000000,29.894,29.894,29.564,29.564,799,0
DRE,D,20081103,000000,28.325,28.325,28.325,28.325,254,0
DRE,D,20081107,000000,27.665,27.665,27.665,27.665,0,0
DRE,D,20081110,000000,27.665,27.665,27.665,27.665,48,0
DRE,D,20081113,000000,27.004,27.004,27.004,27.004,266,0
DRE,D,20081118,000000,25.765,25.765,25.765,25.765,61,0
DRE,D,20081124,000000,26.426,26.426,26.426,26.426,0,0
DRE,D,20081202,000000,25.765,25.765,25.765,25.765,10,0
DRE,D,20081203,000000,25.765,25.765,24.609,24.609,1258,0
DRE,D,20081209,000000,23.948,23.948,23.948,23.948,0,0
DRE,D,20081212,000000,23.453,23.453,23.453,23.453,309,0
DRE,D,20081217,000000,22.379,22.379,22.379,22.379,327,0
DRE,D,20081219,000000,22.379,22.379,22.379,22.379,0,0
DRE,D,20081222,000000,21.388,21.388,21.388,21.388,436,0
DRE,D,20081223,000000,21.388,21.388,21.388,21.388,0,0
DRE,D,20081229,000000,20.48,20.48,20.48,20.48,6,0
DRE,D,20081230,000000,21.471,21.471,18.415,18.415,1167,0
DRE,D,20090105,000000,17.59,17.59,16.516,16.516,822,0
DRE,D,20090107,000000,15.773,15.773,15.773,15.773,484,0
DRE,D,20090109,000000,14.617,14.617,14.617,14.617,521,0
DRE,D,20090112,000000,13.956,13.956,13.626,13.626,728,0
DRE,D,20090113,000000,13.048,13.048,12.387,12.387,121,0
DRE,D,20090114,000000,12.965,13.048,12.965,13.048,722,0
DRE,D,20090115,000000,13.461,13.461,13.461,13.461,12,0
DRE,D,20090116,000000,12.965,13.378,12.965,13.378,6839,0
DRE,D,20090205,000000,13.461,13.461,13.461,13.461,7,0
DRE,D,20090206,000000,13.378,13.378,13.378,13.378,121,0
DRE,D,20090212,000000,13.378,13.378,13.378,13.378,194,0
DRE,D,20090218,000000,12.883,12.883,12.883,12.883,623,0
DRE,D,20090219,000000,12.222,12.222,10.735,11.066,1792,0
