<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DVL,D,20070629,000000,4.7396,4.8688,4.3517,4.3517,17048947,0
DVL,D,20070702,000000,4.4236,4.4236,3.9066,4.1866,6970130,0
DVL,D,20070703,000000,4.3087,4.4092,4.2727,4.323,5700148,0
DVL,D,20070704,000000,4.3805,4.4667,4.3302,4.3805,2188997,0
DVL,D,20070705,000000,4.4308,4.4308,4.2727,4.3517,1746783,0
DVL,D,20070706,000000,4.3661,4.3733,4.2943,4.3015,650846,0
DVL,D,20070709,000000,4.3158,4.3158,4.1292,4.1578,1082203,0
DVL,D,20070710,000000,4.1435,4.165,3.9711,4.0071,2141723,0
DVL,D,20070711,000000,4.0215,4.0215,3.806,3.8849,1566695,0
DVL,D,20070712,000000,3.8347,3.9353,3.806,3.8706,1018905,0
DVL,D,20070713,000000,3.8706,4.0071,3.8347,3.9855,1051089,0
DVL,D,20070716,000000,3.9999,4.0789,3.6695,3.8778,572053,0
DVL,D,20070717,000000,3.8492,3.8492,3.6911,3.7844,776043,0
DVL,D,20070718,000000,3.806,3.806,3.6983,3.7198,1080736,0
DVL,D,20070719,000000,3.7342,4.1076,3.7342,4.0358,1856121,0
DVL,D,20070720,000000,4.0933,4.0933,3.9137,3.9281,780894,0
DVL,D,20070723,000000,3.9281,4.0071,3.806,3.8778,478439,0
DVL,D,20070724,000000,3.964,3.964,3.7126,3.727,1242770,0
DVL,D,20070725,000000,3.5906,3.7198,3.4325,3.6983,2046679,0
DVL,D,20070726,000000,3.6983,3.7198,3.5762,3.5762,1215599,0
DVL,D,20070727,000000,3.4541,3.6265,3.4398,3.447,1609614,0
DVL,D,20070730,000000,3.4828,3.5906,3.4828,3.5187,572709,0
DVL,D,20070731,000000,3.5833,3.6983,3.5833,3.6265,962626,0
DVL,D,20070801,000000,3.5906,3.5906,3.5044,3.5332,559587,0
DVL,D,20070802,000000,3.6336,3.6551,3.4757,3.4757,1678414,0
DVL,D,20070803,000000,3.5403,3.5403,3.4325,3.447,312889,0
DVL,D,20070806,000000,3.3751,3.3895,3.2315,3.3033,828974,0
DVL,D,20070807,000000,3.3751,3.4039,3.0376,3.0376,1346111,0
DVL,D,20070808,000000,3.095,3.2172,3.0376,3.052,1867562,0
DVL,D,20070809,000000,3.0879,3.0879,2.8078,2.8868,3491314,0
DVL,D,20070810,000000,2.7719,2.7863,2.578,2.6211,3105198,0
DVL,D,20070813,000000,2.6211,2.973,2.6211,2.9083,3044120,0
DVL,D,20070814,000000,2.9083,3.0017,2.8652,2.8652,3016497,0
DVL,D,20070816,000000,2.7216,2.7216,2.4559,2.5852,2163775,0
DVL,D,20070817,000000,2.578,2.8652,2.5421,2.8007,3359324,0
DVL,D,20070820,000000,2.9083,2.9801,2.8007,2.8509,1015146,0
DVL,D,20070821,000000,2.8796,2.8796,2.7216,2.8365,908146,0
DVL,D,20070822,000000,2.8724,2.9801,2.8078,2.9299,2791881,0
DVL,D,20070823,000000,2.973,3.0591,2.9155,2.9371,2666710,0
DVL,D,20070824,000000,2.9442,3.0663,2.8868,2.9874,1913759,0
DVL,D,20070827,000000,3.052,3.1597,3.052,3.0807,1376118,0
DVL,D,20070828,000000,3.0807,3.1382,3.0304,3.095,838494,0
DVL,D,20070829,000000,2.9155,3.1023,2.9083,3.0807,988164,0
DVL,D,20070830,000000,3.1597,3.2028,2.8581,2.9371,1871324,0
DVL,D,20070831,000000,2.9945,3.0879,2.9945,3.0161,554854,0
DVL,D,20070903,000000,3.0304,3.052,2.9442,3.0161,364464,0
DVL,D,20070904,000000,3.0161,3.0161,2.9227,2.9586,586863,0
DVL,D,20070905,000000,2.9658,2.973,2.7863,2.7863,1059195,0
DVL,D,20070906,000000,2.8222,2.8365,2.7144,2.7863,594188,0
DVL,D,20070907,000000,2.7575,2.815,2.6498,2.6857,834044,0
DVL,D,20070910,000000,2.6211,2.6857,2.5421,2.614,730237,0
DVL,D,20070911,000000,2.6355,2.7073,2.6282,2.6929,790351,0
DVL,D,20070912,000000,2.7216,2.736,2.657,2.6714,325158,0
DVL,D,20070913,000000,2.6498,2.8868,2.6211,2.8652,1305964,0
DVL,D,20070914,000000,2.8652,2.9658,2.7144,2.7432,1403460,0
DVL,D,20070917,000000,2.736,2.7432,2.6641,2.7216,517570,0
DVL,D,20070918,000000,2.7144,2.7216,2.657,2.7144,1081795,0
DVL,D,20070919,000000,2.815,2.8365,2.7575,2.7719,1089950,0
DVL,D,20070920,000000,2.7647,2.7863,2.7144,2.7144,694390,0
DVL,D,20070921,000000,2.7144,2.8438,2.7144,2.7289,1973603,0
DVL,D,20070924,000000,2.736,2.7863,2.6929,2.7073,537266,0
DVL,D,20070925,000000,2.6929,2.8365,2.6929,2.8222,1783792,0
DVL,D,20070926,000000,2.8365,3.4039,2.8007,3.2243,9335095,0
DVL,D,20070927,000000,3.2602,3.3392,3.052,3.0735,4243548,0
DVL,D,20070928,000000,3.0735,3.2172,2.9801,3.0161,2181328,0
DVL,D,20071001,000000,3.0089,3.0663,2.9155,2.973,1059035,0
DVL,D,20071002,000000,3.0232,3.0591,2.9442,2.9658,1568091,0
DVL,D,20071003,000000,2.9658,2.9801,2.8724,2.8868,974759,0
DVL,D,20071004,000000,2.8652,3.0376,2.8438,2.9658,4164073,0
DVL,D,20071005,000000,2.9874,3.0807,2.9515,3.052,3456965,0
DVL,D,20071008,000000,3.0735,3.0879,3.0017,3.0089,715976,0
DVL,D,20071009,000000,3.0089,3.1382,3.0089,3.052,1178297,0
DVL,D,20071010,000000,3.0879,3.0879,3.0089,3.0161,610385,0
DVL,D,20071011,000000,3.0232,3.052,2.9801,3.0161,678887,0
DVL,D,20071012,000000,3.0089,3.0735,2.9515,3.052,1584026,0
DVL,D,20071015,000000,3.0735,3.1597,3.052,3.1023,1079153,0
DVL,D,20071016,000000,3.0879,3.0879,3.0232,3.0304,389180,0
DVL,D,20071017,000000,3.0232,3.0879,3.0232,3.0807,363541,0
DVL,D,20071018,000000,3.0807,3.0807,2.9442,3.0089,702653,0
DVL,D,20071019,000000,2.9442,3.0161,2.9442,2.9945,1781355,0
DVL,D,20071022,000000,2.9227,2.973,2.8868,2.9442,2067958,0
DVL,D,20071023,000000,2.9442,3.0017,2.9371,2.9515,680092,0
DVL,D,20071024,000000,2.9586,2.973,2.9227,2.9442,1171610,0
DVL,D,20071025,000000,2.9586,2.9586,2.9227,2.9442,1132132,0
DVL,D,20071026,000000,2.9442,2.9658,2.9227,2.9371,499661,0
DVL,D,20071029,000000,2.9442,3.0304,2.9442,3.0089,753505,0
DVL,D,20071030,000000,3.0089,3.0089,2.9515,2.9658,148375,0
DVL,D,20071031,000000,2.9658,2.9658,2.9371,2.9586,163116,0
DVL,D,20071102,000000,2.9371,2.9371,2.8652,2.9012,700791,0
DVL,D,20071105,000000,2.8796,2.8868,2.8509,2.8652,312587,0
DVL,D,20071106,000000,2.8365,2.8724,2.8078,2.8509,177157,0
DVL,D,20071107,000000,2.8652,2.8796,2.5924,2.5924,956843,0
DVL,D,20071108,000000,2.5133,2.6929,2.4056,2.657,1474266,0
DVL,D,20071109,000000,2.6641,2.779,2.5852,2.657,770245,0
DVL,D,20071112,000000,2.5852,2.6929,2.5852,2.657,399364,0
DVL,D,20071113,000000,2.6786,2.6929,2.5852,2.6355,552566,0
DVL,D,20071114,000000,2.736,2.7935,2.6498,2.6929,1179513,0
DVL,D,20071115,000000,2.6641,2.7144,2.4488,2.535,1086982,0
DVL,D,20071116,000000,2.5133,2.5565,2.4056,2.4272,1371487,0
DVL,D,20071119,000000,2.4703,2.4703,2.3554,2.3554,630147,0
DVL,D,20071120,000000,2.341,2.341,2.1687,2.2261,1383999,0
DVL,D,20071121,000000,2.1543,2.1903,2.0538,2.1041,1545441,0
DVL,D,20071122,000000,2.0825,2.2261,1.9532,2.2118,2740967,0
DVL,D,20071123,000000,2.262,2.2907,2.1615,2.1831,3183849,0
DVL,D,20071126,000000,2.2261,2.2406,2.0681,2.1184,1292879,0
DVL,D,20071127,000000,2.0467,2.1903,2.0395,2.1399,1502972,0
DVL,D,20071128,000000,2.1687,2.262,2.1399,2.219,1164943,0
DVL,D,20071129,000000,2.262,2.2907,2.1903,2.2046,1064269,0
DVL,D,20071130,000000,2.219,2.341,2.219,2.2765,1091373,0
DVL,D,20071203,000000,2.2907,2.2907,2.2261,2.2692,554794,0
DVL,D,20071204,000000,2.262,2.2836,2.2261,2.2765,747024,0
DVL,D,20071205,000000,2.2836,2.4129,2.2836,2.4056,1143993,0
DVL,D,20071206,000000,2.4129,2.4416,2.3339,2.3554,820248,0
DVL,D,20071207,000000,2.3554,2.4056,2.341,2.3698,352563,0
DVL,D,20071210,000000,2.3339,2.3769,2.3052,2.341,289625,0
DVL,D,20071211,000000,2.3482,2.3482,2.2406,2.2836,657247,0
DVL,D,20071212,000000,2.2261,2.2692,2.2046,2.2477,1527764,0
DVL,D,20071213,000000,2.2261,2.2261,2.1543,2.1831,903244,0
DVL,D,20071214,000000,2.1831,2.2118,2.1256,2.1543,622661,0
DVL,D,20071217,000000,2.1399,2.1399,2.0467,2.0467,1291815,0
DVL,D,20071218,000000,2.018,2.1399,1.9031,2.1256,4789601,0
DVL,D,20071219,000000,2.1543,2.1543,2.0609,2.1112,1253076,0
DVL,D,20071220,000000,2.0825,2.1256,2.0681,2.1041,2946348,0
DVL,D,20071221,000000,2.1041,2.1256,2.0825,2.1112,2372576,0
DVL,D,20071227,000000,2.1256,2.2118,2.1256,2.1615,557785,0
DVL,D,20071228,000000,2.1687,2.2333,2.1543,2.1758,822301,0
DVL,D,20080102,000000,2.1974,2.1974,2.1615,2.1758,169046,0
DVL,D,20080103,000000,2.1615,2.2477,2.1256,2.2406,1398691,0
DVL,D,20080104,000000,2.262,2.3913,2.2261,2.2836,1401500,0
DVL,D,20080107,000000,2.219,2.2836,2.1903,2.1903,786707,0
DVL,D,20080108,000000,2.1903,2.2261,2.1472,2.1974,374459,0
DVL,D,20080109,000000,2.1543,2.1831,2.1328,2.1615,977823,0
DVL,D,20080110,000000,2.1758,2.1758,2.1112,2.1184,409508,0
DVL,D,20080111,000000,2.1256,2.1687,2.1256,2.1543,427886,0
DVL,D,20080114,000000,2.1399,2.1687,2.0681,2.1687,791852,0
DVL,D,20080115,000000,2.1543,2.2118,2.1256,2.1543,726015,0
DVL,D,20080116,000000,2.0467,2.1041,2.0107,2.0825,1028289,0
DVL,D,20080117,000000,2.1184,2.1472,2.018,2.0609,559806,0
DVL,D,20080118,000000,2.0467,2.1184,2.0323,2.0609,1211456,0
DVL,D,20080121,000000,2.018,2.0538,1.8958,1.8958,1881677,0
DVL,D,20080122,000000,1.7881,1.9318,1.7378,1.8814,3023351,0
DVL,D,20080123,000000,1.9173,1.9605,1.7953,1.8743,6897901,0
DVL,D,20080124,000000,1.9605,2.0107,1.9031,1.9964,2773870,0
DVL,D,20080125,000000,2.0395,2.0754,1.982,2.0035,785051,0
DVL,D,20080128,000000,1.9605,1.9605,1.9101,1.9101,348413,0
DVL,D,20080129,000000,1.9605,1.9892,1.9318,1.9605,370688,0
DVL,D,20080130,000000,1.9532,2.0609,1.9461,2.0107,581015,0
DVL,D,20080131,000000,2.018,2.0467,1.9892,2.0035,1465003,0
DVL,D,20080201,000000,2.0395,2.1184,2.0323,2.0754,474637,0
DVL,D,20080204,000000,2.1112,2.1256,2.0609,2.0825,1212033,0
DVL,D,20080205,000000,2.0825,2.0825,1.9605,1.982,1341817,0
DVL,D,20080206,000000,1.9318,1.9748,1.8958,1.9605,759623,0
DVL,D,20080207,000000,1.9676,1.982,1.8958,1.9246,305190,0
DVL,D,20080208,000000,1.9246,1.982,1.9173,1.982,462558,0
DVL,D,20080211,000000,2.0035,2.0609,1.9892,2.0538,2103921,0
DVL,D,20080212,000000,2.0825,2.0969,2.0681,2.0825,816424,0
DVL,D,20080213,000000,2.0897,2.0897,2.0107,2.0323,415732,0
DVL,D,20080214,000000,2.0681,2.0969,2.025,2.0395,225900,0
DVL,D,20080215,000000,2.025,2.0323,1.982,1.9892,231946,0
DVL,D,20080218,000000,2.0035,2.0323,1.9676,1.9676,484673,0
DVL,D,20080219,000000,1.9964,2.0609,1.9676,2.025,610558,0
DVL,D,20080220,000000,1.9964,2.0395,1.982,2.025,126047,0
DVL,D,20080221,000000,2.0323,2.0395,2.0035,2.0323,150670,0
DVL,D,20080222,000000,2.025,2.0323,1.9892,2.0035,439081,0
DVL,D,20080225,000000,2.018,2.025,1.9892,2.0035,125748,0
DVL,D,20080226,000000,1.9964,2.025,1.982,1.982,180701,0
DVL,D,20080227,000000,2.018,2.0467,1.9748,2.0107,423374,0
DVL,D,20080228,000000,2.018,2.0323,1.9389,1.9389,265561,0
DVL,D,20080229,000000,1.9461,1.9748,1.8886,1.9031,247929,0
DVL,D,20080303,000000,1.8598,1.8598,1.7594,1.8169,473024,0
DVL,D,20080304,000000,1.8312,1.8312,1.7809,1.7953,369007,0
DVL,D,20080305,000000,1.8097,1.8239,1.7953,1.8169,316321,0
DVL,D,20080306,000000,1.8312,1.8456,1.7881,1.7881,406000,0
DVL,D,20080307,000000,1.7665,1.7809,1.7307,1.7737,308160,0
DVL,D,20080310,000000,1.7665,1.8097,1.7163,1.7163,521732,0
DVL,D,20080311,000000,1.702,1.7665,1.702,1.7522,885626,0
DVL,D,20080312,000000,1.7953,1.7953,1.702,1.7522,641267,0
DVL,D,20080313,000000,1.7163,1.7378,1.6948,1.702,620405,0
DVL,D,20080314,000000,1.702,1.7235,1.6804,1.6804,521735,0
DVL,D,20080317,000000,1.6516,1.666,1.5512,1.5871,1091277,0
DVL,D,20080318,000000,1.5942,1.6588,1.5798,1.6516,555255,0
DVL,D,20080319,000000,1.6732,1.6875,1.6446,1.6516,308678,0
DVL,D,20080320,000000,1.6373,1.7522,1.6373,1.7522,689575,0
DVL,D,20080325,000000,1.8239,1.8456,1.7809,1.8384,762006,0
DVL,D,20080326,000000,1.8527,1.9246,1.8097,1.8598,1008378,0
