<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EAT,D,20050427,000000,2.45,2.45,2.31,2.4,4339840,0
EAT,D,20050428,000000,2.35,2.41,2.35,2.41,529160,0
EAT,D,20050429,000000,2.4,2.41,2.39,2.41,616670,0
EAT,D,20050502,000000,2.41,2.41,2.4,2.4,203240,0
EAT,D,20050504,000000,2.4,2.44,2.4,2.43,945760,0
EAT,D,20050505,000000,2.43,2.44,2.4,2.43,834070,0
EAT,D,20050506,000000,2.43,2.43,2.4,2.43,240510,0
EAT,D,20050509,000000,2.4,2.46,2.4,2.46,1476040,0
EAT,D,20050510,000000,2.46,2.46,2.44,2.46,203760,0
EAT,D,20050511,000000,2.45,2.46,2.42,2.46,1179340,0
EAT,D,20050512,000000,2.45,2.5,2.45,2.47,1595970,0
EAT,D,20050513,000000,2.47,2.48,2.47,2.48,162150,0
EAT,D,20050516,000000,2.47,2.48,2.46,2.46,251740,0
EAT,D,20050517,000000,2.43,2.47,2.43,2.45,238780,0
EAT,D,20050518,000000,2.44,2.46,2.44,2.46,230190,0
EAT,D,20050519,000000,2.46,2.49,2.43,2.49,415910,0
EAT,D,20050520,000000,2.48,2.54,2.48,2.52,470200,0
EAT,D,20050523,000000,2.52,2.54,2.52,2.53,276690,0
EAT,D,20050524,000000,2.53,2.54,2.49,2.52,308860,0
EAT,D,20050525,000000,2.5,2.51,2.48,2.5,174760,0
EAT,D,20050527,000000,2.5,2.5,2.47,2.47,122250,0
EAT,D,20050530,000000,2.46,2.49,2.43,2.49,9980,0
EAT,D,20050531,000000,2.49,2.51,2.46,2.5,544910,0
EAT,D,20050601,000000,2.5,2.53,2.5,2.52,757240,0
EAT,D,20050602,000000,2.53,2.58,2.53,2.58,447720,0
EAT,D,20050603,000000,2.58,2.61,2.55,2.61,669150,0
EAT,D,20050606,000000,2.6,2.61,2.6,2.61,305620,0
EAT,D,20050607,000000,2.61,2.61,2.58,2.61,421450,0
EAT,D,20050608,000000,2.59,2.6,2.59,2.6,33510,0
EAT,D,20050609,000000,2.59,2.59,2.57,2.59,473070,0
EAT,D,20050610,000000,2.6,2.61,2.59,2.61,529580,0
EAT,D,20050613,000000,2.61,2.61,2.56,2.61,68270,0
EAT,D,20050614,000000,2.6,2.6,2.54,2.59,7540,0
EAT,D,20050615,000000,2.6,2.6,2.54,2.59,2960,0
EAT,D,20050616,000000,2.59,2.59,2.59,2.59,6100,0
EAT,D,20050617,000000,2.59,2.59,2.56,2.59,81170,0
EAT,D,20050620,000000,2.59,2.59,2.52,2.55,68200,0
EAT,D,20050621,000000,2.55,2.55,2.52,2.55,2840,0
EAT,D,20050622,000000,2.53,2.53,2.45,2.52,162040,0
EAT,D,20050623,000000,2.52,2.53,2.5,2.53,67930,0
EAT,D,20050624,000000,2.53,2.53,2.5,2.5,70300,0
EAT,D,20050627,000000,2.49,2.51,2.49,2.5,197030,0
EAT,D,20050628,000000,2.49,2.5,2.44,2.5,302980,0
EAT,D,20050629,000000,2.5,2.57,2.5,2.55,492080,0
EAT,D,20050630,000000,2.58,2.58,2.51,2.57,513770,0
EAT,D,20050701,000000,2.57,2.6,2.57,2.6,463030,0
EAT,D,20050704,000000,2.63,2.65,2.57,2.6,1652170,0
EAT,D,20050705,000000,2.59,2.6,2.53,2.6,208820,0
EAT,D,20050706,000000,2.6,2.6,2.55,2.6,33490,0
EAT,D,20050707,000000,2.55,2.6,2.51,2.6,120060,0
EAT,D,20050708,000000,2.56,2.65,2.53,2.65,219590,0
EAT,D,20050711,000000,2.64,2.64,2.59,2.6,134140,0
EAT,D,20050712,000000,2.63,2.63,2.6,2.6,103050,0
EAT,D,20050713,000000,2.56,2.6,2.55,2.55,74130,0
EAT,D,20050714,000000,2.53,2.59,2.53,2.59,4470,0
EAT,D,20050715,000000,2.56,2.58,2.55,2.55,24860,0
EAT,D,20050718,000000,2.51,2.6,2.51,2.6,1254120,0
EAT,D,20050719,000000,2.57,2.57,2.55,2.55,141950,0
EAT,D,20050720,000000,2.53,2.55,2.52,2.52,434000,0
EAT,D,20050721,000000,2.53,2.55,2.52,2.55,27870,0
EAT,D,20050722,000000,2.54,2.63,2.54,2.61,783690,0
EAT,D,20050725,000000,2.6,2.8,2.6,2.8,1473140,0
EAT,D,20050726,000000,2.77,2.85,2.77,2.85,841830,0
EAT,D,20050727,000000,2.88,2.88,2.77,2.82,284030,0
EAT,D,20050728,000000,2.8,2.82,2.78,2.8,31430,0
EAT,D,20050729,000000,2.81,2.81,2.78,2.8,22220,0
EAT,D,20050801,000000,2.8,2.88,2.7,2.88,231360,0
EAT,D,20050802,000000,2.85,2.92,2.8,2.9,854430,0
EAT,D,20050803,000000,2.9,2.9,2.86,2.89,26920,0
EAT,D,20050804,000000,2.85,2.86,2.82,2.86,46970,0
EAT,D,20050805,000000,2.86,2.86,2.81,2.86,19200,0
