<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECH,D,19960305,000000,0.04241,0.04241,0.04241,0.04241,3720481,0
ECH,D,19960306,000000,0.04639,0.04639,0.04639,0.04639,8547176,0
ECH,D,19960307,000000,0.04733,0.04733,0.04733,0.04733,2751015,0
ECH,D,19960308,000000,0.04687,0.04687,0.04687,0.04687,2234612,0
ECH,D,19960311,000000,0.04428,0.04428,0.04428,0.04428,316159,0
ECH,D,19960312,000000,0.03984,0.03984,0.03984,0.03984,150397,0
ECH,D,19960313,000000,0.04171,0.04171,0.04171,0.04171,657410,0
ECH,D,19960314,000000,0.04288,0.04288,0.04288,0.04288,385127,0
ECH,D,19960315,000000,0.04311,0.04311,0.04311,0.04311,522548,0
ECH,D,19960318,000000,0.04382,0.04382,0.04382,0.04382,194268,0
ECH,D,19960319,000000,0.04687,0.04687,0.04687,0.04687,481065,0
ECH,D,19960320,000000,0.04428,0.04428,0.04428,0.04428,428997,0
ECH,D,19960321,000000,0.04428,0.04428,0.04428,0.04428,158078,0
ECH,D,19960322,000000,0.03984,0.03984,0.03984,0.03984,213389,0
ECH,D,19960325,000000,0.04382,0.04382,0.04382,0.04382,536375,0
ECH,D,19960326,000000,0.04053,0.04053,0.04053,0.04053,492502,0
ECH,D,19960327,000000,0.04311,0.04311,0.04311,0.04311,220559,0
ECH,D,19960328,000000,0.04078,0.04078,0.04078,0.04078,489599,0
ECH,D,19960329,000000,0.04171,0.04171,0.04171,0.04171,298572,0
ECH,D,19960401,000000,0.04078,0.04078,0.04078,0.04078,526134,0
ECH,D,19960402,000000,0.04078,0.04078,0.04078,0.04078,709819,0
ECH,D,19960403,000000,0.0403,0.0403,0.0403,0.0403,309671,0
ECH,D,19960404,000000,0.04171,0.04171,0.04171,0.04171,107716,0
ECH,D,19960405,000000,0.04078,0.04078,0.04078,0.04078,477481,0
ECH,D,19960409,000000,0.04171,0.04171,0.04171,0.04171,310864,0
ECH,D,19960410,000000,0.04078,0.04078,0.04078,0.04078,293795,0
ECH,D,19960411,000000,0.04078,0.04078,0.04078,0.04078,146642,0
ECH,D,19960412,000000,0.04147,0.04147,0.04147,0.04147,709305,0
ECH,D,19960415,000000,0.04053,0.04053,0.04053,0.04053,344495,0
ECH,D,19960416,000000,0.04171,0.04171,0.04171,0.04171,167469,0
ECH,D,19960417,000000,0.04147,0.04147,0.04147,0.04147,456653,0
ECH,D,19960418,000000,0.04171,0.04171,0.04171,0.04171,191366,0
ECH,D,19960419,000000,0.04171,0.04171,0.04171,0.04171,1852219,0
ECH,D,19960422,000000,0.04428,0.04428,0.04428,0.04428,824025,0
ECH,D,19960423,000000,0.04546,0.04546,0.04546,0.04546,2119210,0
ECH,D,19960424,000000,0.04428,0.04428,0.04428,0.04428,632143,0
ECH,D,19960425,000000,0.04428,0.04428,0.04428,0.04428,259650,0
ECH,D,19960426,000000,0.04335,0.04335,0.04335,0.04335,415681,0
