<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EDI,D,20101027,000000,4.8808,4.8808,4.5718,4.707,136310,0
EDI,D,20101028,000000,4.7135,4.7135,4.3144,4.3205,68846,0
EDI,D,20101029,000000,4.322,4.3817,3.9309,4.375,164150,0
EDI,D,20101102,000000,4.3785,4.3785,4.3013,4.3722,36486,0
EDI,D,20101103,000000,4.2627,4.3465,4.1339,4.1339,5516,0
EDI,D,20101104,000000,4.3465,4.3465,4.1853,4.34,2098,0
EDI,D,20101105,000000,4.1853,4.34,4.1274,4.2819,3649,0
EDI,D,20101108,000000,4.2239,4.2885,4.1853,4.2885,9027,0
EDI,D,20101109,000000,4.2885,4.3144,4.0888,4.2434,8801,0
EDI,D,20101110,000000,4.1853,4.2498,4.1211,4.2434,3263,0
EDI,D,20101112,000000,4.1274,4.2434,4.1211,4.2434,2002,0
EDI,D,20101115,000000,4.1274,4.2434,4.1274,4.2176,404,0
EDI,D,20101116,000000,4.1339,4.1467,4.0567,4.1211,6522,0
EDI,D,20101117,000000,4.1211,4.1211,3.9923,3.9923,4130,0
EDI,D,20101118,000000,3.9602,3.9602,3.7798,3.9472,33604,0
EDI,D,20101119,000000,3.9472,4.0567,3.9472,4.0567,16688,0
EDI,D,20101122,000000,3.915,4.0501,3.8893,3.8893,5825,0
EDI,D,20101123,000000,3.9923,3.9923,3.8248,3.9858,8187,0
EDI,D,20101124,000000,3.9923,4.0116,3.928,4.0116,21750,0
EDI,D,20101125,000000,3.928,3.9794,3.8313,3.8571,10025,0
EDI,D,20101126,000000,3.8571,3.928,3.8119,3.9085,13078,0
EDI,D,20101129,000000,3.902,3.902,3.902,3.902,2409,0
EDI,D,20101130,000000,3.8571,3.8957,3.767,3.8957,8703,0
EDI,D,20101201,000000,3.8957,3.8957,3.8957,3.8957,4338,0
EDI,D,20101202,000000,3.8634,3.8634,3.8571,3.8571,979,0
EDI,D,20101203,000000,3.8634,3.8634,3.6059,3.8634,22238,0
EDI,D,20101206,000000,3.8634,3.8634,3.7411,3.7991,7680,0
EDI,D,20101207,000000,3.8634,3.8634,3.8056,3.8634,4656,0
EDI,D,20101208,000000,3.7798,3.9666,3.7477,3.9666,19966,0
EDI,D,20101209,000000,3.9536,4.1211,3.9536,4.1211,8396,0
EDI,D,20101210,000000,4.1211,4.1211,3.9858,3.9923,7173,0
EDI,D,20101213,000000,3.928,3.9923,3.8764,3.9923,6209,0
EDI,D,20101214,000000,3.9923,4.166,3.9602,4.166,7004,0
EDI,D,20101215,000000,4.0631,4.1533,3.9923,4.1533,9607,0
EDI,D,20101216,000000,4.1791,4.2756,4.1402,4.2756,2548,0
EDI,D,20101217,000000,4.1918,4.3079,4.1533,4.3079,7710,0
EDI,D,20101220,000000,4.0952,4.1211,3.928,4.0631,8991,0
EDI,D,20101221,000000,4.0246,4.0246,3.9085,3.928,4196,0
EDI,D,20101222,000000,3.8957,4.1211,3.8957,4.0567,6216,0
EDI,D,20101223,000000,4.1211,4.1533,4.1211,4.1533,1320,0
EDI,D,20101227,000000,4.0373,4.1339,3.9987,4.1274,8664,0
EDI,D,20101228,000000,4.1211,4.1274,3.9407,3.9666,8705,0
EDI,D,20101229,000000,4.1082,4.2434,3.9666,4.1725,13930,0
EDI,D,20101230,000000,4.1211,4.2498,4.1211,4.2498,13775,0
EDI,D,20101231,000000,4.2159,4.2558,4.1299,4.2491,13038,0
EDI,D,20110103,000000,4.1274,4.1274,4.0567,4.0567,2241,0
EDI,D,20110104,000000,4.0567,4.0567,4.0567,4.0567,2654,0
EDI,D,20110105,000000,4.0567,4.0567,4.0309,4.0567,21243,0
EDI,D,20110107,000000,4.1211,4.1211,4.0888,4.0888,387,0
EDI,D,20110110,000000,4.0888,4.0888,4.0373,4.0373,1437,0
EDI,D,20110112,000000,4.1402,4.1533,4.0631,4.1533,2802,0
EDI,D,20110113,000000,4.1791,4.2047,4.1533,4.1791,3814,0
EDI,D,20110114,000000,4.1853,4.2047,4.0888,4.1533,7506,0
EDI,D,20110117,000000,4.0888,4.1725,4.0888,4.1725,207,0
EDI,D,20110118,000000,4.166,4.1985,4.166,4.1985,265,0
EDI,D,20110119,000000,4.1985,4.2047,4.0631,4.0631,688,0
EDI,D,20110120,000000,4.1985,4.1985,4.0246,4.1467,2238,0
EDI,D,20110121,000000,4.1402,4.1918,4.0567,4.1918,5178,0
EDI,D,20110124,000000,4.1853,4.1853,4.1211,4.1853,1511,0
EDI,D,20110125,000000,4.1853,4.1853,4.0888,4.1853,645,0
EDI,D,20110126,000000,4.166,4.166,4.0888,4.0888,437,0
EDI,D,20110127,000000,4.0888,4.1467,4.0888,4.1467,6964,0
EDI,D,20110128,000000,4.1467,4.1467,4.0631,4.1147,1099,0
EDI,D,20110131,000000,4.1165,4.1562,4.0569,4.1165,1703,0
EDI,D,20110201,000000,4.0309,4.1533,4.0246,4.1533,3219,0
EDI,D,20110202,000000,4.0309,4.1467,4.0309,4.1467,4993,0
EDI,D,20110203,000000,4.1211,4.1211,4.0631,4.1211,885,0
EDI,D,20110204,000000,4.1211,4.1211,4.0567,4.1211,513,0
EDI,D,20110207,000000,4.1147,4.2176,4.1147,4.2176,5755,0
EDI,D,20110208,000000,4.1853,4.1853,4.1147,4.1533,596,0
EDI,D,20110209,000000,4.1791,4.1791,4.1274,4.1533,673,0
EDI,D,20110210,000000,4.1533,4.1533,4.1017,4.1467,907,0
EDI,D,20110211,000000,4.1211,4.1467,4.1211,4.1467,171,0
EDI,D,20110214,000000,4.1533,4.1533,4.1017,4.1402,496,0
EDI,D,20110215,000000,4.1402,4.1402,4.1402,4.1402,15,0
EDI,D,20110216,000000,4.1211,4.1533,4.1211,4.1211,1035,0
EDI,D,20110217,000000,4.1211,4.1211,4.0567,4.0567,5274,0
EDI,D,20110218,000000,4.0567,4.1211,4.0567,4.1147,5763,0
EDI,D,20110221,000000,4.0888,4.1533,4.0888,4.1402,1061,0
EDI,D,20110222,000000,4.0888,4.1274,4.0567,4.0888,7435,0
EDI,D,20110223,000000,4.1211,4.1211,4.0631,4.1211,574,0
EDI,D,20110224,000000,4.0631,4.1082,4.0631,4.1082,10632,0
EDI,D,20110225,000000,4.0567,4.0888,4.0567,4.0888,2049,0
EDI,D,20110228,000000,4.09,4.1562,4.09,4.1562,7159,0
EDI,D,20110301,000000,4.1725,4.1725,4.0888,4.1725,2485,0
EDI,D,20110302,000000,4.1211,4.1211,4.1211,4.1211,1194,0
EDI,D,20110303,000000,4.1211,4.1211,4.0888,4.1211,1898,0
EDI,D,20110304,000000,4.1211,4.1211,4.1211,4.1211,7575,0
EDI,D,20110307,000000,4.1533,4.1533,4.1533,4.1533,516,0
EDI,D,20110308,000000,4.1533,4.1533,4.1533,4.1533,466,0
EDI,D,20110309,000000,4.1533,4.1598,4.1467,4.1533,2382,0
EDI,D,20110310,000000,4.1725,4.1725,4.0761,4.0761,2370,0
EDI,D,20110311,000000,4.1725,4.1725,4.0761,4.0761,3150,0
EDI,D,20110314,000000,4.1274,4.1274,4.0761,4.0761,466,0
EDI,D,20110315,000000,4.1211,4.1211,4.0695,4.1147,14228,0
EDI,D,20110316,000000,4.0695,4.1147,4.0695,4.1147,1960,0
EDI,D,20110317,000000,4.1082,4.1082,4.1082,4.1082,77,0
EDI,D,20110318,000000,4.1017,4.1017,4.1017,4.1017,48,0
EDI,D,20110321,000000,4.0888,4.0888,4.0888,4.0888,1033,0
EDI,D,20110322,000000,4.1082,4.1918,4.0695,4.1853,16005,0
EDI,D,20110323,000000,4.1985,4.3785,4.1985,4.3465,24271,0
EDI,D,20110324,000000,4.34,4.5138,4.34,4.4623,29701,0
EDI,D,20110325,000000,4.5074,4.5074,4.3592,4.4302,5230,0
EDI,D,20110328,000000,4.4236,4.4236,4.295,4.3785,6641,0
EDI,D,20110329,000000,4.3785,4.3785,4.3144,4.3785,2147,0
EDI,D,20110330,000000,4.3979,4.3979,4.2627,4.2627,2721,0
EDI,D,20110331,000000,4.375,4.375,4.2624,4.2624,2651,0
EDI,D,20110401,000000,4.2047,4.2498,4.1853,4.2498,2338,0
EDI,D,20110404,000000,4.2498,4.2819,4.2498,4.2819,892,0
EDI,D,20110405,000000,4.2756,4.2756,4.2756,4.2756,77,0
EDI,D,20110406,000000,4.2498,4.2627,4.2047,4.2563,2820,0
EDI,D,20110407,000000,4.2563,4.2563,4.2434,4.2434,628,0
EDI,D,20110408,000000,4.2434,4.2434,4.2434,4.2434,77,0
EDI,D,20110411,000000,4.2047,4.2047,4.1533,4.1533,596,0
EDI,D,20110412,000000,4.1533,4.1533,4.0888,4.0888,5312,0
EDI,D,20110413,000000,4.0952,4.1467,4.0567,4.1467,4293,0
EDI,D,20110414,000000,4.1211,4.2113,4.1211,4.2113,1661,0
EDI,D,20110415,000000,4.2176,4.2176,4.2176,4.2176,418,0
EDI,D,20110418,000000,4.2113,4.2113,4.0501,4.2113,2736,0
EDI,D,20110419,000000,4.1402,4.1598,4.0373,4.1533,7022,0
EDI,D,20110420,000000,4.1533,4.1533,4.0567,4.1467,677,0
EDI,D,20110421,000000,4.1533,4.1533,4.1533,4.1533,38,0
EDI,D,20110426,000000,4.1339,4.1339,4.1339,4.1339,30,0
EDI,D,20110427,000000,4.1339,4.1339,4.0246,4.1017,2056,0
EDI,D,20110428,000000,4.0888,4.0888,4.0246,4.0567,2638,0
EDI,D,20110429,000000,4.0569,4.0569,3.9574,4.0569,2868,0
EDI,D,20110502,000000,4.0246,4.0246,4.0246,4.0246,30,0
EDI,D,20110504,000000,3.9602,3.9923,3.928,3.9407,1519,0
EDI,D,20110505,000000,3.9536,3.9602,3.928,3.9602,2515,0
EDI,D,20110506,000000,3.9923,3.9923,3.7991,3.8893,8082,0
EDI,D,20110509,000000,3.7991,3.8506,3.7991,3.8506,4009,0
EDI,D,20110510,000000,3.8506,3.8506,3.767,3.8378,4140,0
EDI,D,20110511,000000,3.8634,3.8634,3.7411,3.7411,6873,0
EDI,D,20110512,000000,3.8571,3.8571,3.6381,3.6703,6624,0
EDI,D,20110513,000000,3.6703,3.6703,3.4771,3.5737,2829,0
EDI,D,20110516,000000,3.4771,3.5092,3.445,3.445,19130,0
EDI,D,20110517,000000,3.4899,3.4899,3.3933,3.3933,2849,0
EDI,D,20110518,000000,3.2711,3.2711,3.1552,3.1552,19055,0
EDI,D,20110519,000000,3.0971,3.2454,3.0971,3.226,13324,0
EDI,D,20110520,000000,3.226,3.226,3.1875,3.226,9038,0
EDI,D,20110523,000000,3.1615,3.2324,3.1615,3.2196,8720,0
EDI,D,20110524,000000,3.2324,3.2324,3.2196,3.2196,873,0
EDI,D,20110525,000000,3.2132,3.284,3.2132,3.284,3544,0
EDI,D,20110526,000000,3.181,3.284,3.181,3.284,4058,0
