<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EFK,D,19930422,000000,1.2979,1.2979,1.2979,1.2979,59928,0
EFK,D,19930429,000000,1.4232,1.4232,1.4232,1.4232,40877,0
EFK,D,19930506,000000,1.5585,1.5585,1.5585,1.5585,74091,0
EFK,D,19930513,000000,1.6839,1.6839,1.6839,1.6839,147524,0
EFK,D,19930520,000000,1.8214,1.8214,1.8214,1.8214,51545,0
EFK,D,19930527,000000,1.6396,1.6396,1.6396,1.6396,45134,0
EFK,D,19930603,000000,1.4798,1.4798,1.4798,1.4798,21466,0
EFK,D,19930609,000000,1.3323,1.3323,1.3323,1.3323,12849,0
EFK,D,19930617,000000,1.4577,1.4577,1.4577,1.4577,55437,0
EFK,D,19930624,000000,1.32,1.32,1.32,1.32,23792,0
EFK,D,19930701,000000,1.3643,1.3643,1.3643,1.3643,101202,0
EFK,D,19930708,000000,1.5019,1.5019,1.5019,1.5019,136881,0
EFK,D,19930715,000000,1.6494,1.6494,1.6494,1.6494,184183,0
EFK,D,19930722,000000,1.8093,1.8093,1.8093,1.8093,0,0
EFK,D,19930729,000000,1.9788,1.9788,1.9788,1.9788,0,0
EFK,D,19930805,000000,3.1635,3.1635,3.1635,3.1635,95635,0
EFK,D,19930812,000000,3.4584,3.4584,3.4584,3.4584,299485,0
EFK,D,19930819,000000,3.8004,3.8004,3.8004,3.8004,580192,0
EFK,D,19930826,000000,4.1643,4.1643,4.1643,4.1643,475260,0
EFK,D,19930902,000000,4.5747,4.5747,4.5747,4.5747,0,0
EFK,D,19930907,000000,5.0293,5.0293,5.0293,5.0293,0,0
EFK,D,19930909,000000,5.5309,5.5309,5.5309,5.5309,125606,0
EFK,D,19930914,000000,6.0766,6.0766,6.0766,6.0766,0,0
EFK,D,19930916,000000,9.1024,9.1024,9.1024,9.1024,270242,0
EFK,D,19930921,000000,8.1928,8.1928,8.1928,8.1928,162293,0
EFK,D,19930923,000000,7.374,7.374,7.374,7.374,109883,0
EFK,D,19930928,000000,6.6439,6.6439,6.6439,6.6439,444273,0
EFK,D,19930930,000000,7.2836,7.2836,7.2836,7.2836,244588,0
EFK,D,19931005,000000,7.5786,7.5786,7.5786,7.5786,185329,0
EFK,D,19931007,000000,7.487,7.487,7.487,7.487,112956,0
EFK,D,19931012,000000,8.2155,8.2155,8.2155,8.2155,195028,0
EFK,D,19931014,000000,8.6032,8.6032,8.6032,8.6032,135707,0
EFK,D,19931019,000000,9.1024,9.1024,9.1024,9.1024,198035,0
EFK,D,19931021,000000,8.739,8.739,8.739,8.739,139300,0
EFK,D,19931026,000000,7.874,7.874,7.874,7.874,87365,0
EFK,D,19931028,000000,8.6478,8.6478,8.6478,8.6478,174896,0
EFK,D,19931102,000000,8.9894,8.9894,8.9894,8.9894,84589,0
EFK,D,19931104,000000,9.1024,9.1024,9.1024,9.1024,175956,0
EFK,D,19931109,000000,8.8763,8.8763,8.8763,8.8763,310990,0
EFK,D,19931110,000000,9.1024,9.1024,9.1024,9.1024,158977,0
EFK,D,19931116,000000,10.014,10.014,10.014,10.014,290208,0
EFK,D,19931118,000000,9.3313,9.3313,9.3313,9.3313,109547,0
EFK,D,19931123,000000,9.2179,9.2179,9.2179,9.2179,64442,0
EFK,D,19931125,000000,8.3059,8.3059,8.3059,8.3059,100252,0
EFK,D,19931130,000000,9.1267,9.1267,9.1267,9.1267,246201,0
EFK,D,19931202,000000,9.3313,9.3313,9.3313,9.3313,94017,0
EFK,D,19931207,000000,9.899,9.899,9.899,9.899,181038,0
EFK,D,19931209,000000,9.786,9.786,9.786,9.786,76586,0
EFK,D,19931214,000000,10.106,10.106,10.106,10.106,152682,0
EFK,D,19931216,000000,10.902,10.902,10.902,10.902,224329,0
EFK,D,19931221,000000,11.31,11.31,11.31,11.31,190858,0
EFK,D,19931223,000000,12.404,12.404,12.404,12.404,291552,0
EFK,D,19931228,000000,12.859,12.859,12.859,12.859,171856,0
EFK,D,19931230,000000,12.745,12.745,12.745,12.745,86727,0
EFK,D,19940103,000000,13.2,13.2,13.2,13.2,47604,0
EFK,D,19940104,000000,12.517,12.517,12.517,12.517,43848,0
EFK,D,19940106,000000,12.517,12.517,12.517,12.517,89500,0
EFK,D,19940110,000000,13.768,13.768,13.768,13.768,266855,0
EFK,D,19940111,000000,15.134,15.134,15.134,15.134,120100,0
EFK,D,19940113,000000,16.615,16.615,16.615,16.615,0,0
EFK,D,19940117,000000,18.207,18.207,18.207,18.207,0,0
EFK,D,19940118,000000,20.026,20.026,20.026,20.026,284169,0
EFK,D,19940120,000000,21.961,21.961,21.961,21.961,206626,0
EFK,D,19940124,000000,24.124,24.124,24.124,24.124,276941,0
EFK,D,19940125,000000,26.514,26.514,26.514,26.514,167942,0
EFK,D,19940127,000000,29.131,29.131,29.131,29.131,283387,0
EFK,D,19940131,000000,26.285,26.285,26.285,26.285,162577,0
EFK,D,19940201,000000,23.669,23.669,23.669,23.669,132894,0
EFK,D,19940203,000000,15.931,15.931,15.931,15.931,340582,0
EFK,D,19940207,000000,17.411,17.411,17.411,17.411,178337,0
EFK,D,19940208,000000,18.662,18.662,18.662,18.662,141407,0
EFK,D,19940210,000000,16.84,16.84,16.84,16.84,161009,0
EFK,D,19940214,000000,18.207,18.207,18.207,18.207,151531,0
EFK,D,19940215,000000,18.662,18.662,18.662,18.662,143352,0
EFK,D,19940217,000000,18.207,18.207,18.207,18.207,73287,0
EFK,D,19940221,000000,16.499,16.499,16.499,16.499,96047,0
EFK,D,19940222,000000,16.954,16.954,16.954,16.954,82200,0
EFK,D,19940224,000000,17.069,17.069,17.069,17.069,74116,0
EFK,D,19940228,000000,17.069,17.069,17.069,17.069,75357,0
EFK,D,19940301,000000,17.069,17.069,17.069,17.069,59911,0
EFK,D,19940303,000000,17.069,17.069,17.069,17.069,63427,0
EFK,D,19940307,000000,15.703,15.703,15.703,15.703,43358,0
