<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EGS,D,20060612,000000,3.2741,3.4358,3.1529,3.2336,1485283,0
EGS,D,20060613,000000,3.1285,3.2499,2.9508,3.2499,255258,0
EGS,D,20060614,000000,3.2256,3.2418,3.1932,3.2336,61051,0
EGS,D,20060616,000000,3.3549,3.3549,3.2418,3.2499,170942,0
EGS,D,20060619,000000,3.2499,3.2499,3.1043,3.2336,44345,0
EGS,D,20060620,000000,3.2336,3.2336,3.1932,3.2256,21107,0
EGS,D,20060621,000000,3.2012,3.2175,3.1529,3.2094,27380,0
EGS,D,20060622,000000,3.2256,3.2256,3.0962,3.0962,26498,0
EGS,D,20060623,000000,3.1124,3.1932,2.9992,3.0235,22036,0
EGS,D,20060626,000000,3.0154,3.0477,2.9992,3.0477,10068,0
EGS,D,20060627,000000,3.072,3.1124,3.0477,3.0477,27476,0
EGS,D,20060628,000000,3.072,3.1529,2.991,3.1529,30500,0
EGS,D,20060629,000000,3.1932,3.2256,3.1529,3.1932,32584,0
EGS,D,20060630,000000,3.2175,3.2336,3.169,3.1932,28233,0
EGS,D,20060703,000000,3.1932,3.1932,3.161,3.1932,5599,0
EGS,D,20060704,000000,3.1932,3.2256,3.1932,3.2256,35092,0
EGS,D,20060705,000000,3.2336,3.2903,3.2336,3.266,71056,0
EGS,D,20060706,000000,3.2741,3.2821,3.2256,3.2821,31468,0
EGS,D,20060707,000000,3.2499,3.266,3.2336,3.266,14782,0
EGS,D,20060710,000000,3.2336,3.266,3.2336,3.2499,27515,0
EGS,D,20060711,000000,3.2499,3.2741,3.2418,3.2499,23025,0
EGS,D,20060712,000000,3.2821,3.2821,3.2336,3.2336,19095,0
EGS,D,20060713,000000,3.2336,3.2579,3.2256,3.2579,10357,0
EGS,D,20060714,000000,3.2336,3.2579,3.2012,3.2579,18763,0
EGS,D,20060717,000000,3.2336,3.266,3.2336,3.2579,88324,0
EGS,D,20060718,000000,3.2579,3.2579,3.2579,3.2579,123,0
EGS,D,20060719,000000,3.2499,3.2821,3.2336,3.2821,10828,0
EGS,D,20060720,000000,3.266,3.266,3.1771,3.2579,4333,0
EGS,D,20060721,000000,3.2741,3.2741,3.2256,3.2256,2058,0
EGS,D,20060724,000000,3.1932,3.2579,3.161,3.2499,2364,0
EGS,D,20060725,000000,3.266,3.266,3.2175,3.2175,11156,0
EGS,D,20060726,000000,3.2012,3.266,3.1529,3.2579,74624,0
EGS,D,20060727,000000,3.2336,3.2336,3.1529,3.2336,3463,0
EGS,D,20060728,000000,3.2336,3.2336,3.169,3.2256,1944,0
EGS,D,20060731,000000,3.2418,3.2499,3.2256,3.2418,48029,0
EGS,D,20060801,000000,3.266,3.3953,3.2579,3.2741,126583,0
EGS,D,20060802,000000,3.2336,3.2903,3.169,3.266,15905,0
EGS,D,20060803,000000,3.2983,3.5167,3.2983,3.4358,205222,0
EGS,D,20060804,000000,3.5167,3.8319,3.5167,3.8319,163615,0
EGS,D,20060807,000000,3.8723,3.8723,3.6945,3.8319,67710,0
EGS,D,20060808,000000,3.84,3.8723,3.7915,3.8238,54674,0
EGS,D,20060809,000000,3.7671,4.2847,3.7188,4.123,187726,0
EGS,D,20060810,000000,4.0826,4.1633,4.0017,4.123,71018,0
EGS,D,20060811,000000,4.2441,4.4058,4.0017,4.2847,128378,0
EGS,D,20060814,000000,4.3251,4.3655,4.0826,4.2847,68946,0
EGS,D,20060816,000000,4.2847,4.2847,4.2038,4.2847,15208,0
EGS,D,20060817,000000,4.2847,4.3655,4.2038,4.3251,32470,0
EGS,D,20060818,000000,4.3251,4.4058,4.2038,4.3251,294936,0
EGS,D,20060821,000000,4.2441,4.3251,4.2038,4.3251,32093,0
EGS,D,20060822,000000,4.3655,4.4868,4.2847,4.4058,49526,0
EGS,D,20060823,000000,4.4463,4.5271,4.4058,4.5271,29161,0
EGS,D,20060824,000000,4.5271,4.5271,4.2038,4.3655,53399,0
EGS,D,20060825,000000,4.2441,4.4463,4.2038,4.4058,40864,0
EGS,D,20060828,000000,4.4058,4.4463,4.2847,4.4463,21330,0
EGS,D,20060829,000000,4.4463,4.8506,4.3655,4.7697,92932,0
EGS,D,20060830,000000,4.7697,5.6185,4.7697,5.2547,83001,0
EGS,D,20060831,000000,5.4163,5.578,5.1335,5.2547,59470,0
EGS,D,20060901,000000,5.2547,5.2709,5.0203,5.1254,29749,0
EGS,D,20060904,000000,5.1496,5.279,5.0041,5.0687,24361,0
EGS,D,20060905,000000,5.0931,5.2304,5.0931,5.1819,26062,0
EGS,D,20060906,000000,5.2386,5.4084,5.2386,5.2628,173892,0
EGS,D,20060907,000000,5.2952,5.4003,5.1739,5.3355,34021,0
EGS,D,20060908,000000,5.4246,5.4568,5.1819,5.2628,36139,0
EGS,D,20060911,000000,5.1091,5.2386,5.1091,5.1819,33245,0
EGS,D,20060912,000000,5.3112,5.3112,5.0121,5.0931,24447,0
EGS,D,20060913,000000,4.9475,5.0121,4.9475,5.0121,16035,0
EGS,D,20060914,000000,5.0121,5.101,5.0121,5.101,15402,0
EGS,D,20060915,000000,5.0528,5.0528,4.9394,4.9394,13526,0
EGS,D,20060918,000000,4.9394,5.0931,4.7373,4.7535,44156,0
EGS,D,20060919,000000,4.7373,4.7453,4.4544,4.4785,46564,0
EGS,D,20060920,000000,4.4785,4.5676,4.4785,4.5191,28794,0
EGS,D,20060921,000000,4.5191,4.7697,4.5191,4.6889,16901,0
EGS,D,20060922,000000,4.6889,4.6889,4.5999,4.6889,13769,0
EGS,D,20060925,000000,4.6889,4.8506,4.5271,4.6889,36690,0
EGS,D,20060926,000000,4.9636,4.9636,4.6889,4.9152,40967,0
EGS,D,20060927,000000,5.0121,5.0121,4.7777,4.8424,19389,0
EGS,D,20060928,000000,4.8506,4.996,4.8506,4.9475,12300,0
EGS,D,20060929,000000,4.9556,4.9556,4.8586,4.8586,11348,0
EGS,D,20061002,000000,4.8586,4.9636,4.8586,4.907,4928,0
EGS,D,20061003,000000,4.907,4.907,4.705,4.8828,6746,0
EGS,D,20061004,000000,4.705,4.899,4.705,4.899,7076,0
EGS,D,20061005,000000,4.8506,4.891,4.7292,4.8828,19616,0
EGS,D,20061006,000000,4.8506,4.8506,4.7292,4.8424,17282,0
EGS,D,20061009,000000,4.8424,4.8586,4.7292,4.8424,14077,0
EGS,D,20061010,000000,4.7777,4.8506,4.7292,4.8424,7707,0
EGS,D,20061011,000000,4.8343,5.4163,4.8343,5.3194,114918,0
EGS,D,20061012,000000,5.2465,5.2465,5.1254,5.1739,23343,0
EGS,D,20061013,000000,5.1739,5.1739,4.8506,4.9718,46100,0
EGS,D,20061016,000000,4.9314,4.996,4.8506,4.996,40655,0
EGS,D,20061017,000000,4.9152,5.0768,4.9152,5.0365,5813,0
EGS,D,20061018,000000,5.0121,5.1416,4.9718,4.9798,9781,0
EGS,D,20061019,000000,4.9314,5.1335,4.9314,5.0121,6010,0
EGS,D,20061020,000000,5.0121,5.0931,4.891,4.996,11195,0
EGS,D,20061023,000000,4.996,5.085,4.8586,4.9556,15979,0
EGS,D,20061024,000000,4.9718,5.0284,4.891,4.9314,4576,0
EGS,D,20061025,000000,4.9394,5.0528,4.8828,5.0528,22829,0
EGS,D,20061026,000000,5.0768,5.1658,4.9798,5.1091,45030,0
