<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EHG,D,20111215,000000,2.5976,2.6872,2.4632,2.6872,7530,0
EHG,D,20111216,000000,2.8663,2.8663,2.6872,2.8663,3764,0
EHG,D,20111219,000000,2.732,2.7768,2.6424,2.7768,2233,0
EHG,D,20111220,000000,2.7499,2.7499,2.741,2.741,1463,0
EHG,D,20111221,000000,2.732,2.732,2.5976,2.6872,5726,0
EHG,D,20111222,000000,2.8126,2.8126,2.8126,2.8126,334,0
EHG,D,20111223,000000,2.8215,2.8215,2.732,2.732,2790,0
EHG,D,20111227,000000,2.7768,2.8215,2.7768,2.8215,1117,0
EHG,D,20111228,000000,2.8215,2.8215,2.7768,2.7768,2233,0
EHG,D,20111229,000000,2.732,2.732,2.5976,2.5976,3350,0
EHG,D,20111230,000000,2.5976,2.8842,2.3468,2.8842,36601,0
EHG,D,20120102,000000,3.1352,3.1352,3.1352,3.1352,11,0
EHG,D,20120103,000000,3.359,3.359,2.8663,2.8663,1239,0
EHG,D,20120104,000000,2.8663,2.8663,2.8663,2.8663,1356,0
EHG,D,20120105,000000,2.5976,2.5976,2.5976,2.5976,558,0
EHG,D,20120109,000000,2.4632,2.5976,2.4632,2.5976,1125,0
EHG,D,20120206,000000,2.2394,2.4632,2.2394,2.4632,7369,0
EHG,D,20120207,000000,2.4275,2.5886,2.3916,2.4543,4018,0
EHG,D,20120208,000000,2.3916,2.4543,2.2484,2.3111,6496,0
EHG,D,20120209,000000,2.1498,2.4902,2.1049,2.2394,7352,0
EHG,D,20120210,000000,2.1319,2.1319,2.1229,2.1229,2204,0
EHG,D,20120213,000000,2.1498,2.1498,2.1498,2.1498,1005,0
EHG,D,20120214,000000,1.9706,2.1229,1.9706,2.114,3573,0
EHG,D,20120220,000000,1.9616,2.0512,1.9616,2.0512,908,0
EHG,D,20120221,000000,1.89,2.0423,1.89,2.0423,2140,0
