<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMC,D,20050729,000000,7.8,8.6,7.8,8.15,53998,0
EMC,D,20050801,000000,8.3,9.9,8,9.75,30412,0
EMC,D,20050802,000000,10.2,10.3,9.25,9.35,50180,0
EMC,D,20050803,000000,9.35,9.35,9.1,9.1,5100,0
EMC,D,20050804,000000,8.8,9.1,8.6,8.85,3004,0
EMC,D,20050805,000000,8.8,9.35,8.8,8.9,6384,0
EMC,D,20050808,000000,9.1,9.2,9.05,9.05,2662,0
EMC,D,20050809,000000,9.15,9.2,9.1,9.2,1380,0
EMC,D,20050810,000000,9.05,9.05,8.8,8.85,1783,0
EMC,D,20050811,000000,8.65,8.65,8.5,8.5,260,0
EMC,D,20050812,000000,8.5,8.85,8.5,8.6,1882,0
EMC,D,20050816,000000,8.75,9.3,8.75,9.2,3067,0
EMC,D,20050817,000000,9.25,9.6,8.75,9.2,5371,0
EMC,D,20050818,000000,9.4,9.4,9.1,9.1,1352,0
EMC,D,20050819,000000,8.9,9.4,8.9,9.3,1451,0
EMC,D,20050822,000000,9.3,9.45,9.15,9.4,1167,0
EMC,D,20050823,000000,9.45,9.45,9.45,9.45,10,0
EMC,D,20050824,000000,9.4,10.3,9.4,10.1,5881,0
EMC,D,20050825,000000,10.1,10.1,9.45,9.6,8735,0
EMC,D,20050826,000000,9.6,10,9.6,9.85,3575,0
EMC,D,20050829,000000,9.65,9.8,9.55,9.55,3186,0
EMC,D,20050830,000000,9.55,9.6,9.55,9.6,2005,0
EMC,D,20050831,000000,9.55,9.55,9.55,9.55,200,0
EMC,D,20050901,000000,9.75,9.75,9.55,9.55,873,0
EMC,D,20050902,000000,9.55,9.6,8.8,9.6,316,0
EMC,D,20050905,000000,9.6,9.6,9.6,9.6,360,0
EMC,D,20050906,000000,9.55,9.55,9.55,9.55,21645,0
EMC,D,20050907,000000,9.35,9.6,9.35,9.4,912,0
EMC,D,20050908,000000,9.35,9.35,9.35,9.35,326,0
EMC,D,20050909,000000,9.4,9.4,9.2,9.4,128037,0
EMC,D,20050912,000000,9.2,9.4,9.2,9.4,377,0
EMC,D,20050913,000000,9.2,9.2,9.2,9.2,150,0
EMC,D,20050914,000000,9.2,9.2,9.2,9.2,501,0
EMC,D,20050915,000000,9.2,9.2,9.2,9.2,737,0
EMC,D,20050919,000000,9.4,9.4,9.2,9.2,1301,0
EMC,D,20050920,000000,9.35,9.35,9.2,9.2,2349,0
EMC,D,20050921,000000,9.2,9.25,9.2,9.2,7301,0
EMC,D,20050922,000000,9.3,9.3,9.25,9.3,566,0
EMC,D,20050923,000000,9.3,9.3,9.3,9.3,4648,0
EMC,D,20050927,000000,9.1,9.2,9.1,9.2,5946,0
EMC,D,20050928,000000,9.3,9.4,9.25,9.25,4161,0
EMC,D,20050929,000000,9.2,9.2,9.2,9.2,374,0
EMC,D,20050930,000000,9.2,9.2,9.2,9.2,551,0
EMC,D,20051003,000000,9.05,9.05,9.05,9.05,339,0
EMC,D,20051004,000000,9.05,9.25,9.05,9.1,2550,0
EMC,D,20051005,000000,9.3,9.4,9.25,9.4,817,0
EMC,D,20051006,000000,9.4,9.5,9.2,9.5,1081,0
EMC,D,20051007,000000,9.3,9.3,9.05,9.05,957,0
EMC,D,20051010,000000,9.05,9.25,9.05,9.25,1103,0
EMC,D,20051011,000000,9.05,9.05,9.05,9.05,1300,0
EMC,D,20051013,000000,9.1,9.3,9.1,9.3,550,0
EMC,D,20051014,000000,9.3,9.4,9.3,9.4,546,0
EMC,D,20051017,000000,9.4,9.4,9.35,9.4,1083,0
EMC,D,20051020,000000,9.4,10,9.4,9.5,8366,0
EMC,D,20051021,000000,9.7,9.95,9.4,9.95,3571,0
EMC,D,20051024,000000,9.75,10.6,9.55,10,3702,0
EMC,D,20051025,000000,9.8,10,9.8,10,500,0
EMC,D,20051026,000000,9.8,9.8,9.7,9.7,1188,0
EMC,D,20051027,000000,9.9,10.5,9.6,9.6,1617,0
EMC,D,20051028,000000,9.8,11.9,9.8,10.85,35916,0
EMC,D,20051031,000000,11,12.2,10.6,10.85,22506,0
EMC,D,20051102,000000,10.8,11.05,10.35,10.7,7150,0
EMC,D,20051103,000000,10.6,10.9,10.05,10.85,3456,0
EMC,D,20051104,000000,10.7,10.95,10,10.35,8040,0
EMC,D,20051107,000000,10.6,10.85,10.2,10.2,2146,0
EMC,D,20051108,000000,10.25,10.85,10.05,10.85,2912,0
