<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENA,D,20081117,000000,12.641,12.715,12.318,12.358,1210696,0
ENA,D,20081118,000000,12.358,12.358,11.296,11.345,815493,0
ENA,D,20081119,000000,11.459,11.58,11.273,11.378,341479,0
ENA,D,20081120,000000,11.183,11.192,10.795,11.021,114144,0
ENA,D,20081121,000000,11.021,11.491,11.021,11.345,76133,0
ENA,D,20081124,000000,11.508,12.147,11.508,11.67,200332,0
ENA,D,20081125,000000,11.913,11.936,11.67,11.75,65801,0
ENA,D,20081126,000000,11.815,11.815,11.588,11.588,45790,0
ENA,D,20081127,000000,11.67,11.806,11.588,11.629,16204,0
ENA,D,20081128,000000,11.67,11.879,11.629,11.848,24090,0
ENA,D,20081201,000000,11.839,11.953,11.839,11.897,17200,0
ENA,D,20081202,000000,11.897,12.455,11.897,12.277,42775,0
ENA,D,20081203,000000,12.318,12.398,12.318,12.375,17384,0
ENA,D,20081204,000000,12.398,12.529,12.375,12.415,48752,0
ENA,D,20081205,000000,12.455,12.463,12.18,12.358,43677,0
ENA,D,20081208,000000,12.407,12.439,12.236,12.277,13048,0
ENA,D,20081209,000000,12.277,12.439,12.18,12.236,89920,0
ENA,D,20081210,000000,12.236,12.269,12.156,12.156,36229,0
ENA,D,20081211,000000,12.156,12.196,12.115,12.156,78197,0
ENA,D,20081212,000000,12.156,12.236,12.156,12.204,11197,0
ENA,D,20081215,000000,12.156,12.269,12.156,12.156,22260,0
ENA,D,20081216,000000,12.156,12.156,12.075,12.156,28608,0
ENA,D,20081217,000000,12.132,12.132,11.548,11.548,11459,0
ENA,D,20081218,000000,11.702,11.702,11.151,11.24,8312,0
ENA,D,20081219,000000,11.24,11.451,11.183,11.265,7550,0
ENA,D,20081222,000000,11.345,11.345,11.143,11.151,9160,0
ENA,D,20081223,000000,11.143,11.183,11.021,11.183,26798,0
ENA,D,20081229,000000,11.265,11.265,11.038,11.175,16692,0
ENA,D,20081230,000000,11.208,11.265,11.11,11.256,41369,0
ENA,D,20081231,000000,11.426,11.508,11.265,11.345,24196,0
ENA,D,20090105,000000,11.515,11.515,11.345,11.41,7534,0
ENA,D,20090106,000000,11.508,11.548,11.426,11.531,79862,0
ENA,D,20090107,000000,11.645,11.645,11.337,11.337,36473,0
ENA,D,20090108,000000,11.426,11.426,11.118,11.28,17809,0
ENA,D,20090109,000000,11.199,11.305,11.183,11.183,40195,0
ENA,D,20090112,000000,11.265,11.265,10.981,10.981,102740,0
ENA,D,20090113,000000,11.021,11.021,10.827,10.859,21777,0
ENA,D,20090114,000000,10.835,10.94,10.746,10.859,391836,0
ENA,D,20090115,000000,10.859,10.859,10.544,10.616,168833,0
ENA,D,20090116,000000,10.706,10.706,10.544,10.592,11329,0
ENA,D,20090119,000000,10.559,10.559,10.161,10.259,53377,0
ENA,D,20090120,000000,10.381,10.404,10.049,10.113,47854,0
ENA,D,20090121,000000,9.4977,10.008,9.4741,9.968,42011,0
ENA,D,20090122,000000,10.082,10.082,9.717,9.814,5559,0
ENA,D,20090123,000000,9.927,9.927,9.36,9.603,42933,0
