<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENE,D,20110614,000000,4.8208,5.0373,4.7421,5.0078,216558,0
ENE,D,20110615,000000,4.9389,5.0275,4.9389,5.0078,151422,0
ENE,D,20110616,000000,4.9881,4.9881,4.9192,4.9488,14839,0
ENE,D,20110617,000000,4.9192,4.9488,4.9192,4.9488,44626,0
ENE,D,20110620,000000,4.9488,4.9488,4.8208,4.87,33607,0
ENE,D,20110621,000000,4.87,4.8799,4.8307,4.87,26171,0
ENE,D,20110622,000000,4.87,4.8799,4.8307,4.8406,11781,0
ENE,D,20110624,000000,4.8208,4.8799,4.8208,4.8504,29596,0
ENE,D,20110627,000000,4.6831,4.87,4.6831,4.8602,31499,0
ENE,D,20110628,000000,4.8208,4.87,4.8208,4.8602,9861,0
ENE,D,20110629,000000,4.7127,4.9192,4.7127,4.9192,25206,0
ENE,D,20110630,000000,4.87,4.9291,4.8307,4.9291,7777,0
ENE,D,20110701,000000,4.87,4.9094,4.8307,4.9094,2034,0
ENE,D,20110704,000000,4.7028,4.8898,4.7028,4.8799,3106,0
ENE,D,20110705,000000,4.87,4.8799,4.7323,4.87,7860,0
ENE,D,20110706,000000,4.7717,4.87,4.7717,4.87,3418,0
ENE,D,20110707,000000,4.87,4.87,4.8208,4.8602,10022,0
ENE,D,20110708,000000,4.87,4.87,4.8307,4.8307,1633,0
ENE,D,20110711,000000,4.7225,4.8208,4.7225,4.8208,5419,0
ENE,D,20110712,000000,4.7028,4.811,4.4273,4.811,13197,0
ENE,D,20110713,000000,4.8012,4.9192,4.8012,4.8208,23220,0
ENE,D,20110714,000000,4.8208,4.9192,4.8208,4.9192,2941,0
ENE,D,20110715,000000,4.7717,4.9192,4.7717,4.9192,8453,0
ENE,D,20110718,000000,4.9094,4.9192,4.5257,4.9192,40956,0
ENE,D,20110719,000000,4.7717,4.9192,4.7717,4.9192,12360,0
ENE,D,20110720,000000,4.7421,4.9192,4.7421,4.9192,19839,0
ENE,D,20110721,000000,4.9192,4.9192,4.9094,4.9192,11153,0
ENE,D,20110722,000000,4.9192,4.9192,4.9192,4.9192,44996,0
ENE,D,20110725,000000,4.9192,4.9192,4.87,4.87,9370,0
ENE,D,20110726,000000,4.9192,4.9192,4.8504,4.9192,29675,0
ENE,D,20110727,000000,4.7421,4.9192,4.7421,4.9192,849,0
ENE,D,20110728,000000,4.7717,4.9094,4.6733,4.9094,1462,0
ENE,D,20110729,000000,4.8208,4.9192,4.8012,4.9094,13910,0
ENE,D,20110801,000000,4.9192,4.9192,4.9192,4.9192,4892,0
ENE,D,20110802,000000,4.9192,4.9192,4.7914,4.8208,10358,0
ENE,D,20110803,000000,4.87,4.8996,4.7323,4.8208,11114,0
ENE,D,20110804,000000,4.8208,4.8996,4.7914,4.8208,17963,0
ENE,D,20110805,000000,4.6241,4.8012,4.6241,4.7225,16212,0
ENE,D,20110808,000000,4.5257,4.6241,4.5257,4.5257,16744,0
ENE,D,20110809,000000,4.4766,4.5257,4.2305,4.2305,24101,0
ENE,D,20110810,000000,4.4273,4.6437,4.2305,4.6437,3616,0
ENE,D,20110811,000000,4.6241,4.7225,4.2895,4.7225,20057,0
ENE,D,20110812,000000,4.7225,4.7225,4.4864,4.7127,4243,0
ENE,D,20110816,000000,4.7225,4.7225,4.5454,4.5454,7870,0
ENE,D,20110817,000000,4.5552,4.752,4.5552,4.7127,5292,0
ENE,D,20110818,000000,4.7127,4.7127,4.5257,4.5257,3840,0
ENE,D,20110819,000000,4.4273,4.5257,4.4273,4.5257,2420,0
ENE,D,20110822,000000,4.5257,4.6241,4.5257,4.6241,344,0
ENE,D,20110824,000000,4.5257,4.7225,4.4766,4.7225,5448,0
ENE,D,20110825,000000,4.6241,4.7225,4.6241,4.7225,1027,0
ENE,D,20110826,000000,4.7225,4.7225,4.5749,4.7225,6311,0
ENE,D,20110831,000000,4.4273,4.5356,4.4273,4.447,2617,0
ENE,D,20110901,000000,4.3387,4.3387,4.3387,4.3387,12,0
ENE,D,20110902,000000,4.3486,4.6929,4.0338,4.1322,22762,0
ENE,D,20110905,000000,4.1322,4.5257,4.0928,4.5257,1500,0
ENE,D,20110906,000000,4.0534,4.4766,4.0534,4.4175,202,0
ENE,D,20110907,000000,4.0534,4.4076,4.0534,4.1715,31599,0
ENE,D,20110908,000000,4.2305,4.3289,4.142,4.3289,2328,0
ENE,D,20110909,000000,4.3978,4.3978,4.142,4.142,575,0
ENE,D,20110912,000000,4.0436,4.142,3.7976,4.1026,8983,0
ENE,D,20110913,000000,4.1026,4.2305,3.8862,4.1322,52109,0
ENE,D,20110915,000000,4.0043,4.0043,3.837,3.837,7513,0
ENE,D,20110916,000000,3.8665,4.1322,3.7878,4.1322,1088,0
ENE,D,20110919,000000,3.7386,3.7386,3.6894,3.7386,1794,0
ENE,D,20110920,000000,3.7386,3.9354,3.6403,3.9354,25271,0
ENE,D,20110921,000000,3.7583,3.9354,3.7386,3.9255,41559,0
ENE,D,20110922,000000,3.8862,3.8862,3.8862,3.8862,1271,0
ENE,D,20110923,000000,3.7386,3.9354,3.6403,3.837,10793,0
ENE,D,20110926,000000,3.7386,3.9354,3.6599,3.9354,20424,0
ENE,D,20110927,000000,3.9354,4.083,3.9354,4.083,8464,0
ENE,D,20110928,000000,4.1322,4.1322,4.1322,4.1322,20328,0
ENE,D,20110929,000000,4.2305,4.2305,4.2305,4.2305,5540,0
ENE,D,20110930,000000,4.2305,4.3289,4.2305,4.3289,50821,0
ENE,D,20111003,000000,4.3289,4.3289,4.3289,4.3289,2312,0
ENE,D,20111006,000000,3.9846,4.3289,3.9157,4.3289,9764,0
ENE,D,20111007,000000,4.0043,4.2995,4.0043,4.2797,20406,0
ENE,D,20111011,000000,4.0141,4.0338,4.0141,4.0141,2203,0
ENE,D,20111012,000000,4.0043,4.2207,4.0043,4.2207,60119,0
ENE,D,20111013,000000,4.2797,4.2797,4.2797,4.2797,823,0
ENE,D,20111014,000000,4.2797,4.2797,4.2797,4.2797,190,0
ENE,D,20111017,000000,4.2797,4.2797,4.1322,4.2404,5201,0
ENE,D,20111018,000000,4.1814,4.2797,4.0534,4.2797,11518,0
ENE,D,20111019,000000,4.2699,4.2699,4.2699,4.2699,380,0
ENE,D,20111024,000000,4.0043,4.2503,4.0043,4.2503,5309,0
ENE,D,20111025,000000,4.2601,4.2601,4.2601,4.2601,254,0
ENE,D,20111027,000000,4.2207,4.3289,4.2207,4.3289,167460,0
ENE,D,20111028,000000,4.2601,4.4076,4.2601,4.4076,1988,0
ENE,D,20111031,000000,4.4076,4.4076,4.3289,4.3387,9578,0
ENE,D,20111102,000000,4.2305,4.2995,4.2207,4.2995,1343,0
ENE,D,20111103,000000,4.4273,4.4273,4.4273,4.4273,406,0
ENE,D,20111104,000000,4.4273,4.4273,4.4273,4.4273,45,0
ENE,D,20111107,000000,4.4175,4.4175,4.4175,4.4175,205,0
ENE,D,20111108,000000,4.0633,4.6241,4.0633,4.6241,2836,0
ENE,D,20111109,000000,4.5749,4.6733,4.5749,4.6733,102,0
ENE,D,20111110,000000,4.2109,4.6241,4.2109,4.6241,5234,0
ENE,D,20111114,000000,4.6339,4.6339,4.4273,4.4273,2100,0
ENE,D,20111115,000000,4.4273,4.4273,4.4273,4.4273,679,0
ENE,D,20111116,000000,4.5257,4.5257,4.5257,4.5257,188,0
ENE,D,20111117,000000,4.5257,4.5257,4.4766,4.5257,1333,0
ENE,D,20111118,000000,4.4273,4.4273,4.083,4.083,4519,0
ENE,D,20111122,000000,4.083,4.083,4.0141,4.0141,243,0
ENE,D,20111123,000000,4.0141,4.0141,3.9354,3.9944,1021,0
ENE,D,20111125,000000,3.9059,3.9059,3.6698,3.7878,890,0
ENE,D,20111128,000000,3.7878,3.8567,3.7878,3.7878,5305,0
ENE,D,20111129,000000,3.7878,3.7878,3.7878,3.7878,397,0
ENE,D,20111130,000000,3.9059,3.9747,3.7878,3.9747,862,0
ENE,D,20111201,000000,4.0732,4.388,3.9747,3.9747,7234,0
ENE,D,20111202,000000,4.3683,4.3683,4.2305,4.3289,4283,0
ENE,D,20111205,000000,4.3289,4.3289,4.3289,4.3289,25,0
ENE,D,20111206,000000,4.3289,4.4273,4.083,4.4175,6280,0
ENE,D,20111207,000000,4.4175,4.4175,4.3781,4.3781,18,0
ENE,D,20111208,000000,4.4076,4.4076,4.4076,4.4076,10,0
ENE,D,20111209,000000,4.3781,4.3781,4.201,4.3781,2981,0
ENE,D,20111212,000000,4.3781,4.4076,4.2305,4.4076,1462,0
ENE,D,20111213,000000,4.4076,4.4076,4.4076,4.4076,102,0
ENE,D,20111214,000000,4.4076,4.4076,4.1518,4.3093,12693,0
ENE,D,20111215,000000,4.3289,4.4076,4.0534,4.0534,1286,0
ENE,D,20111216,000000,4.1814,4.1814,3.8961,3.8961,14836,0
ENE,D,20111219,000000,4.0732,4.2995,4.0732,4.0732,6478,0
ENE,D,20111220,000000,4.2797,4.2797,4.1814,4.1814,131,0
ENE,D,20111221,000000,4.3781,4.3781,3.7878,3.9255,7431,0
ENE,D,20111222,000000,3.9255,3.9453,3.7386,3.7878,7527,0
ENE,D,20111223,000000,4.0732,4.0732,3.7386,3.7386,5949,0
ENE,D,20111227,000000,3.7386,3.7386,3.6894,3.7386,6119,0
ENE,D,20111228,000000,3.7484,3.7878,3.6107,3.6107,7502,0
ENE,D,20111229,000000,3.6107,3.6107,3.5419,3.5419,10194,0
ENE,D,20111230,000000,3.7284,3.7879,3.6689,3.6689,60,0
ENE,D,20120102,000000,3.837,3.837,3.5419,3.719,2032,0
ENE,D,20120103,000000,3.6403,3.6403,3.4828,3.6403,5098,0
ENE,D,20120104,000000,3.6698,3.6698,3.5419,3.5419,3607,0
ENE,D,20120105,000000,3.5419,3.5419,3.5222,3.5419,2479,0
ENE,D,20120109,000000,3.4828,3.4828,3.4435,3.4435,705,0
ENE,D,20120110,000000,3.5222,3.5222,3.1581,3.2959,6194,0
ENE,D,20120111,000000,3.2172,3.2959,3.2172,3.2172,2057,0
ENE,D,20120112,000000,3.2172,3.4632,3.2172,3.4632,175,0
ENE,D,20120113,000000,3.3156,3.4632,3.3156,3.3451,3324,0
ENE,D,20120116,000000,3.355,3.4435,3.355,3.4435,51674,0
ENE,D,20120117,000000,3.4533,3.4533,3.3254,3.4435,293678,0
ENE,D,20120118,000000,3.4435,3.4632,3.4435,3.4632,10188,0
ENE,D,20120119,000000,3.4632,3.5419,3.4632,3.5419,4742,0
ENE,D,20120120,000000,3.4435,3.837,3.4435,3.6993,1534,0
ENE,D,20120123,000000,3.6403,3.6501,3.5419,3.6501,6177,0
ENE,D,20120124,000000,3.6403,3.6894,3.6403,3.6501,2671,0
ENE,D,20120125,000000,3.6501,3.837,3.6501,3.7386,3957,0
ENE,D,20120126,000000,3.8272,3.8272,3.7386,3.8272,498,0
ENE,D,20120127,000000,3.8272,3.8469,3.8272,3.8469,3240,0
ENE,D,20120130,000000,3.9354,3.9354,3.8469,3.8469,5278,0
ENE,D,20120131,000000,3.8375,3.9366,3.7879,3.9366,5234,0
ENE,D,20120201,000000,3.6894,3.7878,3.6894,3.7386,1672,0
ENE,D,20120202,000000,3.9059,3.9059,3.8862,3.8862,585,0
ENE,D,20120203,000000,3.8862,3.8862,3.7386,3.7386,520,0
ENE,D,20120206,000000,3.778,3.778,3.778,3.778,20,0
ENE,D,20120207,000000,3.9255,3.9846,3.9059,3.9354,18644,0
ENE,D,20120208,000000,3.9354,4.0141,3.9354,4.0141,406,0
ENE,D,20120209,000000,4.0141,4.1814,4.0141,4.142,30153,0
ENE,D,20120210,000000,4.1814,4.4273,4.1814,4.3683,59460,0
ENE,D,20120213,000000,4.388,4.8799,4.388,4.8208,22604,0
ENE,D,20120214,000000,4.7914,4.8012,4.6831,4.7127,13039,0
ENE,D,20120215,000000,4.8996,4.9192,4.5749,4.87,16646,0
ENE,D,20120216,000000,4.8996,4.9192,4.7914,4.87,9499,0
ENE,D,20120217,000000,4.8208,4.9389,4.811,4.8307,5661,0
ENE,D,20120220,000000,4.8307,4.87,4.3683,4.5454,25526,0
ENE,D,20120221,000000,4.5257,4.5454,4.3978,4.4864,6131,0
ENE,D,20120222,000000,4.4864,4.4864,4.3486,4.3585,57299,0
ENE,D,20120223,000000,4.3486,4.3486,4.3486,4.3486,2402,0
ENE,D,20120224,000000,4.3585,4.388,4.3486,4.3486,1617,0
ENE,D,20120227,000000,4.3387,4.3387,4.3387,4.3387,620,0
