<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENG,D,20131211,000000,14.169,14.169,12.789,13.451,42070640,0
ENG,D,20131212,000000,13.291,13.584,13.19,13.216,8447569,0
ENG,D,20131213,000000,13.216,13.532,13.216,13.532,3602661,0
ENG,D,20131216,000000,13.457,13.776,13.457,13.625,2422593,0
ENG,D,20131217,000000,13.6,13.666,13.4,13.417,1338651,0
ENG,D,20131218,000000,13.542,13.542,13.391,13.492,974832,0
ENG,D,20131219,000000,13.492,13.492,13.375,13.417,2335762,0
ENG,D,20131220,000000,13.375,13.434,13.308,13.417,3882716,0
ENG,D,20131223,000000,13.516,13.516,13.358,13.375,1049576,0
ENG,D,20131227,000000,13.375,13.417,13.341,13.407,1447043,0
ENG,D,20131230,000000,13.332,13.358,13.3,13.316,1080544,0
ENG,D,20140102,000000,13.375,13.375,13.207,13.332,3270334,0
ENG,D,20140103,000000,13.341,13.375,13.166,13.291,1421072,0
ENG,D,20140107,000000,13.216,13.3,12.965,13.207,2199379,0
ENG,D,20140108,000000,13.09,13.207,13.04,13.207,2886486,0
ENG,D,20140109,000000,13.123,13.266,13.123,13.233,1162547,0
ENG,D,20140110,000000,13.166,13.25,13.056,13.25,2510389,0
ENG,D,20140113,000000,13.308,13.927,13.308,13.826,3275483,0
ENG,D,20140114,000000,13.7,13.875,13.617,13.784,939104,0
ENG,D,20140115,000000,13.717,13.776,13.608,13.733,482238,0
ENG,D,20140116,000000,13.727,13.835,13.71,13.75,666557,0
ENG,D,20140117,000000,13.86,14.076,13.793,13.968,2130849,0
ENG,D,20140120,000000,14.043,14.043,13.884,13.959,161385,0
ENG,D,20140121,000000,13.976,13.985,13.826,13.875,354507,0
ENG,D,20140122,000000,13.818,13.892,13.759,13.875,234417,0
ENG,D,20140123,000000,13.835,13.875,13.793,13.8,189579,0
ENG,D,20140124,000000,13.767,13.835,13.767,13.809,966971,0
ENG,D,20140127,000000,13.634,13.793,13.617,13.71,960933,0
ENG,D,20140128,000000,13.675,13.818,13.584,13.75,3827473,0
ENG,D,20140129,000000,13.675,13.727,13.4,13.499,3019373,0
ENG,D,20140130,000000,13.499,13.575,13.417,13.542,1267729,0
ENG,D,20140131,000000,13.516,13.542,13.358,13.457,821788,0
ENG,D,20140203,000000,13.4,13.549,13.4,13.532,1143860,0
ENG,D,20140204,000000,13.375,13.559,13.366,13.542,686351,0
ENG,D,20140205,000000,13.542,13.767,13.499,13.625,1211097,0
ENG,D,20140206,000000,13.625,13.835,13.584,13.835,3109336,0
ENG,D,20140207,000000,13.875,13.985,13.767,13.959,1407862,0
ENG,D,20140210,000000,13.959,14.143,13.884,14.102,2002021,0
ENG,D,20140211,000000,14.093,14.16,13.884,14.109,877415,0
ENG,D,20140212,000000,14.102,14.293,13.968,14.21,2576968,0
ENG,D,20140213,000000,14.21,14.378,14.109,14.378,2240252,0
ENG,D,20140214,000000,14.378,14.503,14.286,14.494,1815133,0
ENG,D,20140217,000000,14.435,14.596,14.385,14.537,475893,0
ENG,D,20140218,000000,14.537,14.552,14.277,14.503,1687230,0
ENG,D,20140219,000000,14.378,14.545,14.293,14.528,1008866,0
ENG,D,20140220,000000,14.378,14.503,14.345,14.453,785665,0
ENG,D,20140221,000000,14.385,14.503,14.385,14.47,369887,0
ENG,D,20140224,000000,14.461,14.503,14.385,14.418,346954,0
ENG,D,20140225,000000,14.418,14.569,14.418,14.528,1974079,0
ENG,D,20140226,000000,14.453,14.528,14.336,14.503,2452061,0
ENG,D,20140227,000000,14.461,14.645,14.445,14.628,2667997,0
ENG,D,20140228,000000,14.628,14.787,14.603,14.711,814481,0
ENG,D,20140303,000000,14.21,14.293,13.291,14.069,2325102,0
ENG,D,20140304,000000,14.085,14.418,14.085,14.352,681559,0
ENG,D,20140305,000000,14.378,14.402,14.352,14.378,640472,0
ENG,D,20140306,000000,14.352,14.569,14.352,14.545,883482,0
ENG,D,20140307,000000,14.461,14.596,14.395,14.545,1608997,0
ENG,D,20140310,000000,14.537,14.695,14.418,14.528,1911607,0
ENG,D,20140311,000000,14.461,14.528,14.378,14.47,2242120,0
ENG,D,20140312,000000,14.47,14.528,14.16,14.378,1108271,0
ENG,D,20140313,000000,14.327,14.378,14.253,14.345,547360,0
ENG,D,20140314,000000,14.244,14.244,14.06,14.109,2358026,0
ENG,D,20140317,000000,14.143,14.461,14.136,14.418,712911,0
ENG,D,20140318,000000,14.418,14.435,14.336,14.412,299973,0
ENG,D,20140319,000000,14.327,14.461,14.327,14.461,1013470,0
ENG,D,20140320,000000,14.336,14.688,14.336,14.688,1619937,0
ENG,D,20140321,000000,14.628,14.921,14.619,14.888,2372051,0
ENG,D,20140324,000000,14.812,14.921,14.711,14.879,3627910,0
ENG,D,20140325,000000,14.779,15.046,14.779,15.005,2508588,0
ENG,D,20140326,000000,15.005,15.171,14.978,15.038,2199796,0
ENG,D,20140327,000000,14.988,15.046,14.929,14.996,635892,0
ENG,D,20140328,000000,14.946,15.005,14.904,14.971,1435364,0
ENG,D,20140331,000000,14.946,14.955,14.754,14.921,719832,0
ENG,D,20140401,000000,14.921,14.946,14.888,14.946,552518,0
ENG,D,20140402,000000,14.854,15.005,14.845,15.005,577289,0
ENG,D,20140403,000000,14.895,15.005,14.895,14.955,632767,0
ENG,D,20140404,000000,14.921,15.088,14.921,15.088,641821,0
ENG,D,20140407,000000,15.038,15.13,15.022,15.046,425104,0
ENG,D,20140408,000000,15.03,15.298,15.03,15.298,2667429,0
ENG,D,20140409,000000,15.288,15.298,15.13,15.298,730536,0
ENG,D,20140410,000000,15.222,15.254,15.171,15.171,374635,0
ENG,D,20140411,000000,15.13,15.196,15.046,15.188,370909,0
ENG,D,20140414,000000,15.171,15.171,15.046,15.13,510968,0
ENG,D,20140415,000000,15.046,15.13,14.904,15.063,798939,0
ENG,D,20140416,000000,14.978,15.122,14.978,15.113,670490,0
ENG,D,20140417,000000,15.046,15.122,15.046,15.097,346836,0
ENG,D,20140422,000000,15.071,15.163,15.071,15.113,489688,0
ENG,D,20140423,000000,15.113,15.171,15.046,15.13,412765,0
ENG,D,20140424,000000,15.063,15.113,14.971,15.046,632457,0
ENG,D,20140425,000000,14.971,15.046,14.929,15.038,356260,0
ENG,D,20140428,000000,14.946,15.038,14.888,15.038,300034,0
ENG,D,20140429,000000,15.03,15.105,14.946,15.088,443535,0
ENG,D,20140430,000000,15.13,15.13,14.978,15.088,700916,0
ENG,D,20140502,000000,15.088,15.13,15.046,15.071,230040,0
ENG,D,20140505,000000,15.046,15.046,14.962,15.013,483611,0
ENG,D,20140506,000000,14.938,15.088,14.938,15.088,533296,0
ENG,D,20140507,000000,15.046,15.088,14.912,15.03,744908,0
ENG,D,20140508,000000,15.013,15.046,14.962,14.962,144075,0
ENG,D,20140509,000000,15.03,15.046,14.962,15.03,861502,0
ENG,D,20140512,000000,15.046,15.13,15.038,15.088,770831,0
ENG,D,20140513,000000,15.088,15.122,15.08,15.088,625371,0
ENG,D,20140514,000000,15.088,15.214,15.088,15.088,967900,0
