<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENP,D,19970820,000000,2.0413,2.0413,2.0413,2.0413,916148,0
ENP,D,19970821,000000,2.2437,2.2437,2.2437,2.2437,750938,0
ENP,D,19970822,000000,2.1172,2.1172,2.1172,2.1172,189859,0
ENP,D,19970825,000000,2.0413,2.0413,2.0413,2.0413,294952,0
ENP,D,19970826,000000,2.1003,2.1003,2.1003,2.1003,196445,0
ENP,D,19970827,000000,2.2943,2.2943,2.2943,2.2943,379151,0
ENP,D,19970828,000000,2.522,2.522,2.522,2.522,522674,0
ENP,D,19970829,000000,2.6318,2.6318,2.6318,2.6318,396237,0
ENP,D,19970901,000000,2.6318,2.6318,2.6318,2.6318,376586,0
ENP,D,19970902,000000,2.8848,2.8848,2.8848,2.8848,532802,0
ENP,D,19970903,000000,3.18,3.18,3.18,3.18,365782,0
ENP,D,19970904,000000,3.1295,3.1295,3.1295,3.1295,568153,0
ENP,D,19970905,000000,3.2475,3.2475,3.2475,3.2475,286780,0
ENP,D,19970908,000000,3.4752,3.4752,3.4752,3.4752,367474,0
ENP,D,19970909,000000,3.1295,3.1295,3.1295,3.1295,586349,0
ENP,D,19970910,000000,2.8173,2.8173,2.8173,2.8173,247239,0
ENP,D,19970911,000000,2.8005,2.8005,2.8005,2.8005,309513,0
ENP,D,19970912,000000,2.7667,2.7667,2.7667,2.7667,146179,0
ENP,D,19970915,000000,2.6908,2.6908,2.6908,2.6908,176225,0
ENP,D,19970916,000000,2.7077,2.7077,2.7077,2.7077,127387,0
ENP,D,19970917,000000,2.7077,2.7077,2.7077,2.7077,211376,0
ENP,D,19970918,000000,2.6232,2.6232,2.6232,2.6232,68223,0
ENP,D,19970919,000000,2.4714,2.4714,2.4714,2.4714,76820,0
ENP,D,19970922,000000,2.4968,2.4968,2.4968,2.4968,147939,0
ENP,D,19970923,000000,2.5138,2.5138,2.5138,2.5138,141605,0
ENP,D,19970924,000000,2.4968,2.4968,2.4968,2.4968,54537,0
ENP,D,19970925,000000,2.4124,2.4124,2.4124,2.4124,76766,0
ENP,D,19970926,000000,2.269,2.269,2.269,2.269,99643,0
ENP,D,19970929,000000,2.2605,2.2605,2.2605,2.2605,53743,0
ENP,D,19970930,000000,2.1594,2.1594,2.1594,2.1594,75960,0
ENP,D,19971001,000000,2.1172,2.1172,2.1172,2.1172,177284,0
ENP,D,19971002,000000,2.1932,2.1932,2.1932,2.1932,149896,0
ENP,D,19971003,000000,2.269,2.269,2.269,2.269,198945,0
ENP,D,19971006,000000,2.345,2.345,2.345,2.345,250241,0
ENP,D,19971007,000000,2.345,2.345,2.345,2.345,208308,0
ENP,D,19971008,000000,2.3702,2.3702,2.3702,2.3702,214113,0
ENP,D,19971009,000000,2.3702,2.3702,2.3702,2.3702,150412,0
ENP,D,19971010,000000,2.345,2.345,2.345,2.345,262433,0
ENP,D,19971013,000000,2.345,2.345,2.345,2.345,211706,0
ENP,D,19971014,000000,2.4968,2.4968,2.4968,2.4968,285616,0
ENP,D,19971015,000000,2.4883,2.4883,2.4883,2.4883,159735,0
ENP,D,19971016,000000,2.4968,2.4968,2.4968,2.4968,158253,0
ENP,D,19971017,000000,2.4462,2.4462,2.4462,2.4462,848294,0
ENP,D,19971020,000000,2.5305,2.5305,2.5305,2.5305,143706,0
ENP,D,19971021,000000,2.48,2.48,2.48,2.48,519579,0
ENP,D,19971022,000000,2.4968,2.4968,2.4968,2.4968,738559,0
ENP,D,19971023,000000,2.4968,2.4968,2.4968,2.4968,194924,0
ENP,D,19971024,000000,2.2437,2.2437,2.2437,2.2437,122695,0
ENP,D,19971027,000000,2.1678,2.1678,2.1678,2.1678,114058,0
ENP,D,19971028,000000,1.9569,1.9569,1.9569,1.9569,0,0
ENP,D,19971029,000000,2.1003,2.1003,2.1003,2.1003,110330,0
ENP,D,19971030,000000,1.9316,1.9316,1.9316,1.9316,122905,0
ENP,D,19971031,000000,1.9992,1.9992,1.9992,1.9992,118860,0
ENP,D,19971103,000000,1.9992,1.9992,1.9992,1.9992,48268,0
ENP,D,19971104,000000,2.0413,2.0413,2.0413,2.0413,145479,0
ENP,D,19971105,000000,2.0834,2.0834,2.0834,2.0834,94143,0
ENP,D,19971106,000000,2.0834,2.0834,2.0834,2.0834,44076,0
ENP,D,19971107,000000,2.0413,2.0413,2.0413,2.0413,27518,0
ENP,D,19971112,000000,1.9654,1.9654,1.9654,1.9654,39103,0
ENP,D,19971113,000000,1.9737,1.9737,1.9737,1.9737,72732,0
ENP,D,19971114,000000,1.9737,1.9737,1.9737,1.9737,86074,0
ENP,D,19971117,000000,2.0413,2.0413,2.0413,2.0413,34410,0
ENP,D,19971118,000000,2.0075,2.0075,2.0075,2.0075,75946,0
ENP,D,19971119,000000,1.8305,1.8305,1.8305,1.8305,32413,0
ENP,D,19971120,000000,1.8725,1.8725,1.8725,1.8725,39673,0
ENP,D,19971121,000000,1.9654,1.9654,1.9654,1.9654,129226,0
ENP,D,19971124,000000,1.9654,1.9654,1.9654,1.9654,86683,0
ENP,D,19971125,000000,1.9654,1.9654,1.9654,1.9654,102157,0
ENP,D,19971126,000000,2.0413,2.0413,2.0413,2.0413,66121,0
ENP,D,19971127,000000,2.0413,2.0413,2.0413,2.0413,97899,0
ENP,D,19971128,000000,2.1256,2.1256,2.1256,2.1256,116769,0
ENP,D,19971201,000000,2.0834,2.0834,2.0834,2.0834,43878,0
ENP,D,19971202,000000,2.0834,2.0834,2.0834,2.0834,277047,0
ENP,D,19971203,000000,2.1172,2.1172,2.1172,2.1172,91364,0
ENP,D,19971204,000000,2.1594,2.1594,2.1594,2.1594,98030,0
ENP,D,19971205,000000,2.1594,2.1594,2.1594,2.1594,23447,0
ENP,D,19971208,000000,2.0075,2.0075,2.0075,2.0075,13343,0
ENP,D,19971209,000000,2.0413,2.0413,2.0413,2.0413,34898,0
ENP,D,19971210,000000,2.0075,2.0075,2.0075,2.0075,30495,0
ENP,D,19971211,000000,1.8643,1.8643,1.8643,1.8643,16926,0
ENP,D,19971212,000000,1.8643,1.8643,1.8643,1.8643,47090,0
ENP,D,19971215,000000,1.8643,1.8643,1.8643,1.8643,39566,0
ENP,D,19971216,000000,1.8895,1.8895,1.8895,1.8895,32901,0
ENP,D,19971217,000000,1.8643,1.8643,1.8643,1.8643,22983,0
ENP,D,19971218,000000,1.7797,1.7797,1.7797,1.7797,21397,0
ENP,D,19971219,000000,1.6279,1.6279,1.6279,1.6279,20272,0
ENP,D,19971222,000000,1.4677,1.4677,1.4677,1.4677,40387,0
ENP,D,19971223,000000,1.5099,1.5099,1.5099,1.5099,37649,0
ENP,D,19971229,000000,1.4761,1.4761,1.4761,1.4761,8013,0
ENP,D,19971230,000000,1.5099,1.5099,1.5099,1.5099,140889,0
ENP,D,19971231,000000,1.5268,1.5268,1.5268,1.5268,95769,0
ENP,D,19980105,000000,1.6617,1.6617,1.6617,1.6617,67403,0
ENP,D,19980106,000000,1.6448,1.6448,1.6448,1.6448,49061,0
ENP,D,19980107,000000,1.5689,1.5689,1.5689,1.5689,59270,0
ENP,D,19980108,000000,1.552,1.552,1.552,1.552,38152,0
ENP,D,19980109,000000,1.4761,1.4761,1.4761,1.4761,39024,0
ENP,D,19980112,000000,1.3328,1.3328,1.3328,1.3328,90599,0
ENP,D,19980113,000000,1.358,1.358,1.358,1.358,356339,0
ENP,D,19980114,000000,1.4087,1.4087,1.4087,1.4087,153255,0
ENP,D,19980115,000000,1.4002,1.4002,1.4002,1.4002,356815,0
ENP,D,19980116,000000,1.4677,1.4677,1.4677,1.4677,94248,0
ENP,D,19980119,000000,1.5437,1.5437,1.5437,1.5437,134504,0
ENP,D,19980120,000000,1.5099,1.5099,1.5099,1.5099,116254,0
ENP,D,19980121,000000,1.5015,1.5015,1.5015,1.5015,71107,0
ENP,D,19980122,000000,1.493,1.493,1.493,1.493,71067,0
ENP,D,19980123,000000,1.5015,1.5015,1.5015,1.5015,55541,0
ENP,D,19980126,000000,1.4846,1.4846,1.4846,1.4846,4588,0
ENP,D,19980127,000000,1.4846,1.4846,1.4846,1.4846,30019,0
ENP,D,19980128,000000,1.4508,1.4508,1.4508,1.4508,106957,0
ENP,D,19980129,000000,1.434,1.434,1.434,1.434,91340,0
ENP,D,19980130,000000,1.4677,1.4677,1.4677,1.4677,99710,0
ENP,D,19980202,000000,1.5015,1.5015,1.5015,1.5015,78815,0
ENP,D,19980203,000000,1.5858,1.5858,1.5858,1.5858,197054,0
ENP,D,19980204,000000,1.5858,1.5858,1.5858,1.5858,201510,0
ENP,D,19980205,000000,1.6027,1.6027,1.6027,1.6027,506448,0
ENP,D,19980206,000000,1.6617,1.6617,1.6617,1.6617,137664,0
ENP,D,19980209,000000,1.7039,1.7039,1.7039,1.7039,78127,0
ENP,D,19980210,000000,1.7207,1.7207,1.7207,1.7207,168912,0
ENP,D,19980211,000000,1.7207,1.7207,1.7207,1.7207,167140,0
ENP,D,19980212,000000,1.6448,1.6448,1.6448,1.6448,76979,0
ENP,D,19980213,000000,1.5858,1.5858,1.5858,1.5858,104430,0
ENP,D,19980216,000000,1.5605,1.5605,1.5605,1.5605,33986,0
ENP,D,19980217,000000,1.552,1.552,1.552,1.552,36432,0
ENP,D,19980218,000000,1.552,1.552,1.552,1.552,33563,0
ENP,D,19980219,000000,1.4256,1.4256,1.4256,1.4256,97369,0
ENP,D,19980220,000000,1.4256,1.4256,1.4256,1.4256,77942,0
ENP,D,19980223,000000,1.4846,1.4846,1.4846,1.4846,179004,0
ENP,D,19980224,000000,1.4846,1.4846,1.4846,1.4846,82915,0
ENP,D,19980225,000000,1.4761,1.4761,1.4761,1.4761,20932,0
ENP,D,19980226,000000,1.552,1.552,1.552,1.552,30019,0
ENP,D,19980227,000000,1.5015,1.5015,1.5015,1.5015,23379,0
ENP,D,19980302,000000,1.5689,1.5689,1.5689,1.5689,77375,0
ENP,D,19980303,000000,1.552,1.552,1.552,1.552,19928,0
ENP,D,19980304,000000,1.552,1.552,1.552,1.552,70220,0
ENP,D,19980305,000000,1.493,1.493,1.493,1.493,30520,0
ENP,D,19980306,000000,1.5015,1.5015,1.5015,1.5015,8887,0
ENP,D,19980309,000000,1.4761,1.4761,1.4761,1.4761,7538,0
ENP,D,19980310,000000,1.5015,1.5015,1.5015,1.5015,51932,0
ENP,D,19980311,000000,1.5099,1.5099,1.5099,1.5099,34635,0
ENP,D,19980312,000000,1.493,1.493,1.493,1.493,81460,0
ENP,D,19980313,000000,1.5015,1.5015,1.5015,1.5015,49696,0
ENP,D,19980316,000000,1.4846,1.4846,1.4846,1.4846,24226,0
ENP,D,19980317,000000,1.4846,1.4846,1.4846,1.4846,53466,0
ENP,D,19980318,000000,1.5099,1.5099,1.5099,1.5099,89170,0
ENP,D,19980319,000000,1.5183,1.5183,1.5183,1.5183,110157,0
ENP,D,19980320,000000,1.5437,1.5437,1.5437,1.5437,53056,0
ENP,D,19980323,000000,1.6365,1.6365,1.6365,1.6365,70683,0
ENP,D,19980324,000000,1.611,1.611,1.611,1.611,119520,0
ENP,D,19980325,000000,1.7715,1.7715,1.7715,1.7715,260675,0
ENP,D,19980326,000000,1.8219,1.8219,1.8219,1.8219,435328,0
ENP,D,19980327,000000,1.7797,1.7797,1.7797,1.7797,121688,0
ENP,D,19980330,000000,1.7124,1.7124,1.7124,1.7124,57102,0
ENP,D,19980331,000000,1.7039,1.7039,1.7039,1.7039,82121,0
ENP,D,19980401,000000,1.7039,1.7039,1.7039,1.7039,131765,0
ENP,D,19980402,000000,1.7293,1.7293,1.7293,1.7293,80879,0
ENP,D,19980406,000000,1.8979,1.8979,1.8979,1.8979,337839,0
ENP,D,19980407,000000,1.8979,1.8979,1.8979,1.8979,245547,0
ENP,D,19980408,000000,1.8557,1.8557,1.8557,1.8557,56917,0
ENP,D,19980409,000000,1.7715,1.7715,1.7715,1.7715,151417,0
ENP,D,19980414,000000,1.8135,1.8135,1.8135,1.8135,73130,0
ENP,D,19980415,000000,1.8135,1.8135,1.8135,1.8135,56863,0
ENP,D,19980416,000000,1.7797,1.7797,1.7797,1.7797,74585,0
ENP,D,19980417,000000,1.7207,1.7207,1.7207,1.7207,108015,0
ENP,D,19980420,000000,1.6617,1.6617,1.6617,1.6617,155186,0
ENP,D,19980421,000000,1.6701,1.6701,1.6701,1.6701,117853,0
ENP,D,19980422,000000,1.6701,1.6701,1.6701,1.6701,140572,0
ENP,D,19980423,000000,1.7207,1.7207,1.7207,1.7207,144288,0
ENP,D,19980424,000000,1.7545,1.7545,1.7545,1.7545,118713,0
ENP,D,19980427,000000,1.7039,1.7039,1.7039,1.7039,74716,0
ENP,D,19980428,000000,1.5774,1.5774,1.5774,1.5774,453048,0
ENP,D,19980429,000000,1.5858,1.5858,1.5858,1.5858,221875,0
ENP,D,19980430,000000,1.611,1.611,1.611,1.611,137479,0
ENP,D,19980504,000000,1.5858,1.5858,1.5858,1.5858,196205,0
ENP,D,19980505,000000,1.5774,1.5774,1.5774,1.5774,353747,0
ENP,D,19980506,000000,1.5437,1.5437,1.5437,1.5437,191117,0
