<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENT,D,20151214,000000,14.895,14.988,12.568,12.866,45359,0
ENT,D,20151215,000000,12.941,13.174,12.753,13.117,1862,0
ENT,D,20151216,000000,13.126,13.156,13.034,13.034,74444,0
ENT,D,20151217,000000,12.988,13.117,12.988,13.117,9621,0
ENT,D,20151218,000000,13.117,13.117,13.034,13.034,469,0
ENT,D,20151221,000000,13.034,13.034,11.741,12.941,5375,0
ENT,D,20151222,000000,12.011,13.126,12.011,12.55,10842,0
ENT,D,20151223,000000,13.034,13.126,12.671,13.126,15985,0
ENT,D,20151228,000000,12.429,13.499,12.429,13.406,8272,0
ENT,D,20151229,000000,12.913,13.685,12.913,13.314,8793,0
ENT,D,20151230,000000,12.959,13.825,12.959,13.825,7978,0
ENT,D,20160104,000000,13.815,13.815,13.406,13.406,140,0
ENT,D,20160105,000000,13.034,13.499,13.034,13.499,176,0
ENT,D,20160107,000000,13.053,13.406,13.034,13.406,801,0
ENT,D,20160108,000000,13.406,13.406,13.109,13.126,319,0
ENT,D,20160111,000000,13.08,13.126,12.959,12.959,2241,0
ENT,D,20160112,000000,12.959,12.959,12.159,12.895,482,0
ENT,D,20160113,000000,12.848,12.848,12.848,12.848,743,0
ENT,D,20160114,000000,13.034,13.034,12.941,12.941,1020,0
ENT,D,20160118,000000,13.015,13.015,12.941,12.997,310,0
ENT,D,20160119,000000,12.941,12.941,12.941,12.941,278,0
ENT,D,20160120,000000,13.006,13.006,12.605,12.708,334,0
ENT,D,20160121,000000,12.708,12.708,12.298,12.605,127,0
ENT,D,20160122,000000,12.625,12.625,12.335,12.354,674,0
ENT,D,20160125,000000,12.55,12.55,12.104,12.457,97,0
ENT,D,20160126,000000,12.42,12.42,11.693,12.252,529,0
ENT,D,20160127,000000,12.094,12.104,11.963,11.963,1127,0
ENT,D,20160128,000000,12.001,12.104,11.638,11.749,7166,0
ENT,D,20160129,000000,12.094,12.094,11.638,11.786,11824,0
ENT,D,20160201,000000,11.786,11.805,11.638,11.786,1156,0
ENT,D,20160202,000000,11.805,12.001,11.638,12.001,547,0
ENT,D,20160203,000000,12.941,12.941,11.712,12.848,772,0
ENT,D,20160204,000000,12.848,12.848,12.848,12.848,1,0
ENT,D,20160205,000000,12.094,12.094,11.786,12.084,597,0
ENT,D,20160208,000000,12.075,12.075,12.037,12.037,1075,0
ENT,D,20160209,000000,12.094,12.094,11.777,11.777,802,0
ENT,D,20160210,000000,12.094,12.094,11.554,11.963,315,0
ENT,D,20160211,000000,11.963,11.963,11.963,11.963,1,0
ENT,D,20160212,000000,12.001,12.001,12.001,12.001,1,0
ENT,D,20160215,000000,11.861,12.094,11.61,11.638,34040,0
ENT,D,20160216,000000,11.638,12.001,11.544,12.001,240,0
ENT,D,20160217,000000,12.941,12.941,12.001,12.001,167,0
ENT,D,20160218,000000,12.931,12.931,12.011,12.317,443,0
ENT,D,20160219,000000,12.307,12.931,11.358,12.931,4562,0
ENT,D,20160222,000000,12.931,12.931,12.931,12.931,1,0
ENT,D,20160223,000000,12.931,12.931,12.931,12.931,1,0
ENT,D,20160224,000000,12.931,12.931,12.931,12.931,1,0
ENT,D,20160225,000000,12.895,12.895,12.895,12.895,1,0
ENT,D,20160226,000000,12.895,12.895,12.512,12.512,44,0
ENT,D,20160229,000000,12.895,12.895,12.895,12.895,1,0
ENT,D,20160301,000000,12.866,12.866,12.215,12.866,3,0
ENT,D,20160302,000000,12.866,12.866,12.065,12.568,40,0
ENT,D,20160303,000000,12.503,12.503,11.917,12.467,351,0
ENT,D,20160304,000000,12.522,12.522,12.382,12.382,31,0
ENT,D,20160307,000000,12.196,12.615,12.001,12.615,1678,0
ENT,D,20160308,000000,13.015,13.015,12.568,12.568,32,0
ENT,D,20160309,000000,12.848,12.848,12.793,12.793,15,0
ENT,D,20160310,000000,12.793,12.793,12.335,12.335,190,0
ENT,D,20160311,000000,12.753,12.753,12.169,12.169,696,0
ENT,D,20160314,000000,12.753,12.753,11.869,11.869,1296,0
