<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ERB,D,20070511,000000,60.381,76.537,59.483,74.66,1165835,0
ERB,D,20070514,000000,84.044,87.22,78.331,87.22,295709,0
ERB,D,20070515,000000,85.672,85.672,81.187,83.227,96110,0
ERB,D,20070516,000000,79.147,82.411,77.515,79.8,65301,0
ERB,D,20070517,000000,79.147,81.595,76.046,79.8,46765,0
ERB,D,20070518,000000,78.739,79.065,76.373,78.331,36687,0
ERB,D,20070521,000000,78.331,84.454,78.331,82.411,36735,0
ERB,D,20070522,000000,83.145,84.044,81.595,83.227,53785,0
ERB,D,20070523,000000,83.227,84.044,82.164,84.044,36795,0
ERB,D,20070524,000000,84.369,84.369,80.778,83.631,14726,0
ERB,D,20070525,000000,80.127,82.815,80.127,80.778,15347,0
ERB,D,20070528,000000,80.044,81.513,78.493,80.778,14709,0
ERB,D,20070529,000000,81.432,81.432,78.331,79.8,10571,0
ERB,D,20070530,000000,78.739,78.739,76.046,78.739,14995,0
ERB,D,20070531,000000,79.229,80.778,78.412,80.778,20442,0
ERB,D,20070601,000000,81.187,81.187,78.658,80.778,18618,0
ERB,D,20070604,000000,78.331,79.963,76.699,79.963,12701,0
ERB,D,20070605,000000,78.412,80.33,78.331,79.963,11817,0
ERB,D,20070606,000000,78.454,79.963,77.393,79.963,17120,0
ERB,D,20070608,000000,77.556,77.597,75.394,77.515,15610,0
ERB,D,20070611,000000,77.515,79.147,76.699,79.147,10269,0
ERB,D,20070612,000000,79.556,80.371,78.331,79.963,21101,0
ERB,D,20070613,000000,79.963,85.672,79.963,82.411,25416,0
ERB,D,20070614,000000,82.815,84.044,81.595,84.044,16026,0
ERB,D,20070615,000000,83.227,83.631,82.576,83.227,6415,0
ERB,D,20070618,000000,81.106,83.878,81.106,83.878,62928,0
ERB,D,20070619,000000,82.411,82.411,75.72,76.699,76621,0
ERB,D,20070620,000000,76.78,78.331,76.046,77.107,59151,0
ERB,D,20070621,000000,77.107,77.515,75.639,75.883,22093,0
ERB,D,20070622,000000,75.883,76.455,73.272,76.292,87680,0
ERB,D,20070625,000000,75.883,75.883,73.598,74.006,11831,0
ERB,D,20070626,000000,75.435,75.435,73.394,74.17,127857,0
ERB,D,20070627,000000,74.17,74.985,70.334,72.864,22743,0
ERB,D,20070628,000000,71.11,73.436,70.498,72.212,9891,0
ERB,D,20070629,000000,71.803,72.212,69.03,69.356,9452,0
ERB,D,20070702,000000,66.5,67.968,66.214,67.317,33736,0
ERB,D,20070703,000000,66.908,70.579,66.908,70.172,11863,0
ERB,D,20070704,000000,70.172,71.763,68.417,70.579,5061,0
ERB,D,20070705,000000,71.272,71.272,67.804,69.682,5224,0
ERB,D,20070706,000000,69.356,70.824,68.539,70.824,23886,0
ERB,D,20070709,000000,71.723,73.436,70.824,72.701,21719,0
ERB,D,20070710,000000,72.498,72.579,71.396,72.212,13604,0
ERB,D,20070711,000000,72.212,72.212,70.988,72.212,9779,0
ERB,D,20070712,000000,73.23,76.699,73.23,74.252,16459,0
ERB,D,20070713,000000,75.883,77.515,75.475,77.148,15553,0
ERB,D,20070716,000000,77.148,77.148,73.11,75.394,12237,0
ERB,D,20070717,000000,73.436,76.699,73.436,75.475,12445,0
ERB,D,20070718,000000,76.699,76.699,73.843,75.883,4337,0
ERB,D,20070719,000000,75.801,76.292,75.067,75.883,4923,0
ERB,D,20070720,000000,75.965,76.495,73.721,75.475,4698,0
ERB,D,20070723,000000,73.843,75.435,73.15,74.252,54330,0
ERB,D,20070724,000000,74.985,74.985,70.579,72.987,15309,0
ERB,D,20070725,000000,71.803,71.844,70.416,71.803,4264,0
ERB,D,20070726,000000,71.396,72.498,70.988,70.988,24202,0
ERB,D,20070727,000000,69.151,72.212,67.804,70.988,17887,0
ERB,D,20070730,000000,69.03,73.354,69.03,72.619,11179,0
ERB,D,20070731,000000,72.619,74.619,72.619,74.619,38965,0
ERB,D,20070801,000000,74.17,74.17,70.253,72.212,3954,0
ERB,D,20070802,000000,72.538,72.538,71.723,72.455,1816,0
ERB,D,20070803,000000,72.455,72.455,70.498,72.416,23537,0
ERB,D,20070806,000000,69.845,70.947,67.968,70.172,12747,0
ERB,D,20070807,000000,70.214,72.538,70.214,70.579,38935,0
ERB,D,20070808,000000,70.988,71.803,70.784,70.988,19610,0
ERB,D,20070809,000000,72.538,72.538,70.988,71.803,30984,0
ERB,D,20070810,000000,70.416,70.416,69.845,70.172,49927,0
ERB,D,20070813,000000,68.702,69.764,66.255,69.356,29854,0
ERB,D,20070814,000000,69.438,69.438,65.276,65.276,16571,0
ERB,D,20070816,000000,62.748,62.748,57.321,58.748,67514,0
ERB,D,20070817,000000,58.26,62.584,57.932,60.952,14283,0
ERB,D,20070820,000000,63.317,69.356,62.012,62.829,20428,0
ERB,D,20070821,000000,62.829,64.42,61.85,62.829,13212,0
ERB,D,20070822,000000,62.829,64.46,62.421,64.46,9590,0
ERB,D,20070823,000000,65.276,66.009,63.644,65.276,1564,0
ERB,D,20070824,000000,66.009,67.234,65.276,67.234,4003,0
ERB,D,20070827,000000,67.479,69.682,67.398,68.539,4035,0
ERB,D,20070828,000000,68.621,69.601,68.621,69.438,3377,0
ERB,D,20070829,000000,64.502,68.906,64.502,68.906,22525,0
ERB,D,20070830,000000,70.09,70.579,69.356,70.172,9198,0
ERB,D,20070831,000000,70.988,72.212,69.478,70.988,727,0
ERB,D,20070903,000000,70.988,72.538,70.253,71.803,1867,0
ERB,D,20070904,000000,72.212,74.089,71.069,74.006,36279,0
ERB,D,20070905,000000,74.66,75.394,74.414,75.067,7038,0
ERB,D,20070906,000000,74.414,75.067,74.374,74.66,36107,0
ERB,D,20070907,000000,74.334,74.74,71.885,73.436,2982,0
ERB,D,20070910,000000,71.885,72.335,70.294,72.212,21925,0
ERB,D,20070911,000000,73.354,73.354,72.212,72.701,2483,0
ERB,D,20070912,000000,73.436,74.252,73.436,74.17,3286,0
ERB,D,20070913,000000,74.17,74.252,73.639,74.252,1473,0
ERB,D,20070914,000000,71.151,73.843,71.151,73.598,1064,0
ERB,D,20070917,000000,74.252,74.252,73.436,73.436,20240,0
ERB,D,20070918,000000,73.436,74.252,73.436,74.252,41461,0
ERB,D,20070919,000000,74.252,75.475,74.252,75.067,7196,0
ERB,D,20070920,000000,75.067,75.067,73.557,75.067,2549,0
ERB,D,20070921,000000,75.067,75.148,74.293,75.148,3463,0
ERB,D,20070924,000000,74.334,74.334,73.557,73.598,422,0
ERB,D,20070925,000000,73.557,74.089,71.803,73.517,1455,0
ERB,D,20070926,000000,74.252,74.252,73.436,74.252,4843,0
ERB,D,20070927,000000,75.067,75.067,73.436,74.252,2823,0
ERB,D,20070928,000000,73.436,74.252,73.436,74.252,13043,0
ERB,D,20071001,000000,73.11,73.721,72.619,73.436,287,0
ERB,D,20071002,000000,72.619,74.252,72.293,74.252,926,0
ERB,D,20071003,000000,71.968,74.66,71.968,74.252,730,0
ERB,D,20071004,000000,73.517,75.067,73.436,75.067,1150,0
ERB,D,20071005,000000,74.252,74.538,73.436,74.538,217,0
ERB,D,20071008,000000,73.762,74.455,73.68,74.252,5656,0
ERB,D,20071009,000000,74.252,74.66,73.11,74.66,1506,0
ERB,D,20071010,000000,74.252,74.577,73.557,74.577,1178,0
ERB,D,20071011,000000,73.517,76.087,73.517,76.006,9537,0
ERB,D,20071012,000000,75.883,76.292,75.109,75.883,2498,0
ERB,D,20071015,000000,74.293,76.537,74.293,76.292,2466,0
ERB,D,20071016,000000,75.883,76.985,75.883,76.863,3289,0
ERB,D,20071017,000000,76.699,77.107,76.537,76.699,3347,0
ERB,D,20071018,000000,75.312,77.107,75.312,76.699,4025,0
ERB,D,20071019,000000,77.107,78.698,77.107,78.331,4501,0
ERB,D,20071022,000000,77.515,78.331,76.903,78.331,3620,0
ERB,D,20071023,000000,78.331,82,78.331,81.677,6669,0
ERB,D,20071024,000000,81.595,81.595,77.922,80.127,3744,0
