<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EST,D,20110322,000000,143.1,150,143,150,56767,0
EST,D,20110323,000000,154,154,145,145,142,0
EST,D,20110324,000000,131,153,131,153,52,0
EST,D,20110325,000000,153,153.1,153,153.1,11,0
EST,D,20110330,000000,160,160,160,160,3,0
EST,D,20110405,000000,174,174,174,174,140,0
EST,D,20110406,000000,174,174,174,174,56,0
EST,D,20110419,000000,173,174,165,174,301,0
EST,D,20110426,000000,182,186,182,182,186,0
EST,D,20110427,000000,184,186,184,186,75,0
EST,D,20110504,000000,177,177,176,176,200,0
EST,D,20110506,000000,174.1,174.1,174.1,174.1,7000,0
EST,D,20110509,000000,174.2,174.2,172.5,172.5,2500,0
EST,D,20110510,000000,178.1,178.1,178.1,178.1,3000,0
EST,D,20110516,000000,183,183,183,183,200,0
EST,D,20110517,000000,185,185,185,185,16,0
EST,D,20110518,000000,185,185,185,185,1,0
EST,D,20110527,000000,175,175,175,175,12,0
EST,D,20110530,000000,157,157,157,157,1,0
EST,D,20110531,000000,152,152,152,152,4,0
EST,D,20110601,000000,157,157,152,152,234,0
EST,D,20110603,000000,145,145,145,145,9,0
EST,D,20110608,000000,145,145,145,145,9,0
EST,D,20110825,000000,145,145,145,145,9,0
EST,D,20120928,000000,85.1,85.1,85.1,85.1,1,0
EST,D,20141229,000000,1.69,1.69,1.69,1.69,22,0
EST,D,20150318,000000,1.7,1.7,1.7,1.7,1,0
EST,D,20150319,000000,1.7,1.7,1.7,1.7,21,0
EST,D,20171010,000000,1.7,1.7,1.7,1.7,7,0
EST,D,20180227,000000,1.53,1.53,1.53,1.53,21,0
EST,D,20181203,000000,1.5,1.5,1.5,1.5,9,0
EST,D,20191209,000000,1.5,1.5,1.5,1.5,6,0
EST,D,20191227,000000,1.5,1.5,1.5,1.5,2,0
