<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EVE,D,20141126,000000,32.34,34.08,31.8,31.8,194,0
EVE,D,20141127,000000,33.9,33.9,33.3,33.36,134,0
EVE,D,20141128,000000,33.6,35.28,33.3,35.28,79,0
EVE,D,20141201,000000,35.34,36.9,35.34,36.9,89,0
EVE,D,20141202,000000,36.48,36.48,36.3,36.3,22,0
EVE,D,20141203,000000,35.88,35.88,35.4,35.4,23,0
EVE,D,20141204,000000,35.04,35.04,32.7,34.74,96,0
EVE,D,20141205,000000,34.14,34.14,34.14,34.14,1,0
EVE,D,20141208,000000,32.46,33.24,32.46,33.24,0,0
EVE,D,20141209,000000,33.24,33.24,32.58,32.58,1,0
EVE,D,20141210,000000,33.36,33.36,31.2,31.2,20,0
EVE,D,20141211,000000,32.28,32.28,31.62,31.62,2,0
EVE,D,20141212,000000,31.62,31.62,29.58,30.24,19,0
EVE,D,20141215,000000,31.02,31.02,31.02,31.02,0,0
EVE,D,20141216,000000,32.28,32.28,32.28,32.28,0,0
EVE,D,20141217,000000,30.66,30.66,30.06,30.06,50,0
EVE,D,20141218,000000,32.34,32.34,32.34,32.34,0,0
EVE,D,20141219,000000,31.56,31.56,31.56,31.56,0,0
EVE,D,20141222,000000,31.56,31.56,31.2,31.2,0,0
EVE,D,20141223,000000,31.56,31.56,29.94,31.5,1,0
EVE,D,20141229,000000,31.56,31.56,31.56,31.56,1,0
EVE,D,20141230,000000,31.5,31.5,28.86,31.5,129,0
EVE,D,20150105,000000,30.96,30.96,30.96,30.96,1,0
EVE,D,20150107,000000,32.52,35.7,32.52,35.7,439,0
EVE,D,20150108,000000,33,35.64,33,35.64,818,0
EVE,D,20150109,000000,36,39.42,36,36,500,0
EVE,D,20150112,000000,37.5,39.42,36.42,39.42,624,0
EVE,D,20150113,000000,39,39.9,36.96,39.9,596,0
EVE,D,20150114,000000,39.9,39.9,39.9,39.9,2,0
EVE,D,20150115,000000,39.9,39.9,39,39,66,0
EVE,D,20150116,000000,39.9,39.9,39.9,39.9,1,0
EVE,D,20150119,000000,43.5,43.5,39.84,42,120,0
EVE,D,20150120,000000,45.6,45.6,42,42,218,0
EVE,D,20150121,000000,45,45,42,42.78,357,0
EVE,D,20150122,000000,45,45,42.06,45,376,0
EVE,D,20150123,000000,45,45,42.06,43.56,488,0
EVE,D,20150126,000000,45,45,42.42,45,340,0
EVE,D,20150127,000000,45,45,42.42,43.74,239,0
EVE,D,20150128,000000,42,42,41.88,42,500,0
EVE,D,20150129,000000,42,42,39.96,42,956,0
EVE,D,20150130,000000,45,49.2,41.1,49.2,377,0
EVE,D,20150202,000000,49.2,49.2,46.86,46.86,1,0
EVE,D,20150203,000000,49.86,49.86,41.04,42.24,194,0
EVE,D,20150204,000000,41.52,42.3,40.08,42.3,327,0
EVE,D,20150205,000000,41.1,42,41.1,42,210,0
EVE,D,20150210,000000,40.5,40.74,38.94,40.56,324,0
EVE,D,20150211,000000,39.12,41.04,37.5,41.04,517,0
EVE,D,20150216,000000,40.08,42,40.08,42,267,0
EVE,D,20150217,000000,41.1,41.1,41.1,41.1,33,0
EVE,D,20150218,000000,42,42,42,42,0,0
EVE,D,20150219,000000,42,42,42,42,0,0
EVE,D,20150220,000000,42,42,42,42,0,0
EVE,D,20150223,000000,42,42,42,42,0,0
EVE,D,20150225,000000,42,42,42,42,0,0
EVE,D,20150226,000000,42,42,42,42,0,0
EVE,D,20150227,000000,42,42,42,42,1,0
EVE,D,20150302,000000,42,42,42,42,0,0
EVE,D,20150303,000000,42,42,42,42,1,0
EVE,D,20150304,000000,42,42,42,42,0,0
EVE,D,20150305,000000,42,43.8,39.6,43.8,834,0
EVE,D,20150306,000000,42,42,39.36,42,210,0
EVE,D,20150309,000000,42,42,42,42,1,0
EVE,D,20150310,000000,42,42,42,42,0,0
EVE,D,20150311,000000,42,42,42,42,0,0
EVE,D,20150312,000000,42,42,42,42,1,0
EVE,D,20150313,000000,42,42,42,42,0,0
EVE,D,20150323,000000,37.74,37.74,37.74,37.74,1,0
EVE,D,20150324,000000,37.74,37.74,37.74,37.74,1,0
EVE,D,20150325,000000,37.74,37.74,37.74,37.74,1,0
EVE,D,20150326,000000,37.74,37.74,34.02,34.02,220,0
