<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEE,D,20130510,000000,8.6036,8.7025,8.3069,8.4058,76508,0
FEE,D,20130513,000000,8.5541,8.8805,8.5541,8.8805,6161,0
FEE,D,20130514,000000,8.9003,8.9992,8.8014,8.9893,2296,0
FEE,D,20130515,000000,8.9992,9.2464,8.9497,9.2365,4389,0
FEE,D,20130516,000000,9.2365,9.2958,9.2365,9.2958,4795,0
FEE,D,20130517,000000,9.2958,9.2958,9.1969,9.1969,136,0
FEE,D,20130520,000000,9.1969,9.3651,9.1969,9.3651,2821,0
FEE,D,20130521,000000,9.3947,9.79,9.2958,9.593,3393,0
FEE,D,20130522,000000,9.771,10.661,9.771,10.384,7644,0
FEE,D,20130523,000000,10.384,10.928,10.285,10.483,3955,0
FEE,D,20130524,000000,10.68,10.977,10.581,10.779,16420,0
FEE,D,20130527,000000,10.779,10.779,10.443,10.68,2481,0
FEE,D,20130528,000000,10.769,10.779,9.701,9.79,4977,0
FEE,D,20130529,000000,10.374,10.374,9.899,10.235,3076,0
FEE,D,20130531,000000,10.384,10.384,10.384,10.384,1,0
FEE,D,20130605,000000,10.245,10.245,9.593,10.087,560,0
FEE,D,20130606,000000,10.077,10.255,10.077,10.186,2029,0
FEE,D,20130612,000000,9.504,10.077,9.504,10.077,55,0
FEE,D,20130613,000000,9.3947,9.889,9.3947,9.889,153,0
FEE,D,20130614,000000,9.889,9.889,9.869,9.889,1012,0
FEE,D,20130617,000000,9.889,9.889,9.4936,9.593,14845,0
FEE,D,20130618,000000,9.682,10.127,9.682,10.127,4342,0
FEE,D,20130619,000000,9.939,10.038,9.889,10.038,6588,0
FEE,D,20130620,000000,9.909,9.968,9.889,9.929,7538,0
FEE,D,20130621,000000,9.84,10.057,9.84,10.057,2357,0
FEE,D,20130624,000000,9.909,10.127,9.889,10.127,1588,0
FEE,D,20130625,000000,10.087,10.275,9.889,10.127,7164,0
FEE,D,20130626,000000,10.285,10.285,10.136,10.186,2023,0
FEE,D,20130627,000000,10.186,10.186,10.077,10.186,2558,0
FEE,D,20130628,000000,10.186,10.285,10.186,10.285,247,0
FEE,D,20130701,000000,10.285,10.532,10.285,10.483,802,0
FEE,D,20130702,000000,10.433,10.433,10.255,10.433,511,0
FEE,D,20130703,000000,10.433,10.433,10.285,10.433,434,0
FEE,D,20130704,000000,10.433,10.878,10.433,10.878,3272,0
FEE,D,20130705,000000,10.878,10.878,10.878,10.878,24,0
FEE,D,20130708,000000,10.581,10.581,10.581,10.581,22,0
FEE,D,20130709,000000,10.581,10.581,10.334,10.581,1496,0
FEE,D,20130710,000000,10.581,10.581,10.344,10.581,1237,0
FEE,D,20130711,000000,10.344,10.581,10.344,10.581,225,0
FEE,D,20130712,000000,10.68,10.779,10.581,10.779,2724,0
FEE,D,20130715,000000,10.68,10.779,10.68,10.779,1889,0
FEE,D,20130716,000000,10.779,11.373,10.779,11.175,2915,0
FEE,D,20130717,000000,11.165,12.203,11.165,11.274,661,0
FEE,D,20130718,000000,12.065,12.757,11.867,12.361,1660,0
FEE,D,20130719,000000,12.599,12.599,11.877,12.203,1763,0
FEE,D,20130722,000000,12.609,12.609,12.253,12.253,77,0
FEE,D,20130723,000000,12.549,12.549,12.253,12.253,18,0
FEE,D,20130724,000000,11.471,12.164,11.274,12.065,846,0
FEE,D,20130725,000000,11.284,12.213,11.274,11.867,795,0
FEE,D,20130726,000000,11.719,12.085,11.719,11.837,1051,0
FEE,D,20130729,000000,12.312,12.312,11.877,12.312,118,0
FEE,D,20130730,000000,12.609,12.609,11.788,11.867,2075,0
FEE,D,20130731,000000,11.916,12.263,11.867,12.263,1079,0
FEE,D,20130801,000000,12.253,12.253,11.768,11.837,851,0
FEE,D,20130802,000000,12.154,12.213,11.61,12.213,676,0
FEE,D,20130805,000000,12.213,12.213,11.867,12.164,533,0
FEE,D,20130806,000000,11.798,12.213,11.768,12.213,173,0
FEE,D,20130807,000000,11.818,12.213,11.818,11.818,570,0
FEE,D,20130808,000000,11.818,11.867,11.768,11.818,1137,0
FEE,D,20130809,000000,11.818,11.818,11.818,11.818,115,0
FEE,D,20130812,000000,11.867,12.609,11.867,12.559,2374,0
FEE,D,20130813,000000,12.559,14.933,12.46,14.933,8662,0
FEE,D,20130814,000000,14.933,15.922,14.834,15.13,5781,0
FEE,D,20130816,000000,15.427,16.802,15.328,16.802,2807,0
FEE,D,20130819,000000,16.841,17.998,15.872,16.762,3492,0
FEE,D,20130820,000000,15.872,16.812,15.872,16.812,626,0
FEE,D,20130821,000000,16.812,17.702,16.317,17.257,841,0
FEE,D,20130822,000000,17.257,17.257,16.634,16.812,708,0
FEE,D,20130823,000000,16.812,16.812,16.792,16.812,785,0
FEE,D,20130826,000000,16.812,16.812,16.268,16.604,2889,0
FEE,D,20130827,000000,16.614,16.614,16.327,16.327,2024,0
FEE,D,20130828,000000,16.317,16.317,15.674,16.268,2115,0
FEE,D,20130829,000000,16.268,16.268,16.119,16.119,208,0
FEE,D,20130830,000000,16.258,16.258,16.109,16.119,1300,0
FEE,D,20130902,000000,16.119,16.317,15.872,16.119,2558,0
FEE,D,20130903,000000,15.823,16.02,15.823,16.02,554,0
FEE,D,20130904,000000,16.317,16.515,15.724,16.011,1169,0
FEE,D,20130905,000000,15.744,16.258,14.537,15.279,10113,0
FEE,D,20130906,000000,15.773,16.614,15.328,16.614,4010,0
FEE,D,20130909,000000,16.614,17.949,16.317,17.949,3486,0
FEE,D,20130910,000000,17.801,19.581,17.801,18.691,7019,0
FEE,D,20130911,000000,18.888,19.284,17.603,18.641,3531,0
FEE,D,20130912,000000,19.086,19.086,18.058,19.076,1111,0
FEE,D,20130913,000000,19.165,19.165,18.325,18.987,81,0
FEE,D,20130916,000000,19.086,19.185,18.493,18.542,1170,0
FEE,D,20130917,000000,19.185,19.185,18.542,19.185,513,0
FEE,D,20130918,000000,19.185,19.185,19.136,19.136,79,0
FEE,D,20130919,000000,19.185,19.185,19.086,19.086,779,0
FEE,D,20130920,000000,18.552,18.987,18.552,18.987,231,0
FEE,D,20130923,000000,19.175,19.175,18.592,19.175,96,0
FEE,D,20130924,000000,19.175,19.175,18.789,18.918,207,0
FEE,D,20130925,000000,19.185,19.185,19.155,19.155,22,0
FEE,D,20130926,000000,18.789,19.086,18.513,18.789,1477,0
FEE,D,20130927,000000,19.165,19.165,19.086,19.086,2,0
FEE,D,20130930,000000,19.086,19.185,19.086,19.086,611,0
FEE,D,20131001,000000,19.086,19.581,18.799,19.581,1347,0
FEE,D,20131002,000000,19.581,19.581,19.531,19.531,27,0
FEE,D,20131003,000000,18.602,19.581,18.592,19.422,589,0
FEE,D,20131004,000000,19.571,19.571,19.571,19.571,1,0
FEE,D,20131007,000000,19.531,19.531,19.274,19.383,5537,0
FEE,D,20131008,000000,19.383,19.482,19.284,19.482,1621,0
FEE,D,20131009,000000,18.602,19.482,18.602,19.432,1396,0
FEE,D,20131010,000000,19.482,19.482,19.086,19.422,7695,0
FEE,D,20131011,000000,19.422,19.422,19.284,19.284,4,0
FEE,D,20131014,000000,19.67,19.749,19.284,19.749,432,0
FEE,D,20131015,000000,19.749,21.707,19.749,21.707,8572,0
FEE,D,20131016,000000,21.707,23.734,20.767,20.767,710,0
FEE,D,20131017,000000,21.657,23.734,21.657,23.734,348,0
FEE,D,20131018,000000,23.734,23.734,22.636,22.943,1008,0
FEE,D,20131021,000000,23.734,24.228,22.646,23.734,7646,0
FEE,D,20131022,000000,23.843,25.712,22.844,24.031,4860,0
FEE,D,20131023,000000,24.031,24.031,23.259,23.724,727,0
FEE,D,20131024,000000,24.031,24.031,22.943,23.23,1891,0
FEE,D,20131025,000000,23.19,23.536,23.19,23.24,1062,0
FEE,D,20131028,000000,23.734,23.734,22.844,23.487,1982,0
FEE,D,20131029,000000,23.467,23.724,23.24,23.714,1123,0
FEE,D,20131030,000000,23.714,23.714,23.23,23.427,282,0
FEE,D,20131031,000000,23.378,23.378,22.765,23.23,154,0
FEE,D,20131104,000000,23.23,23.23,22.755,23.18,551,0
FEE,D,20131105,000000,23.18,23.18,22.755,23.141,293,0
FEE,D,20131106,000000,23.131,23.427,23.042,23.17,856,0
FEE,D,20131107,000000,23.17,23.605,22.943,23.605,508,0
FEE,D,20131108,000000,23.348,23.734,22.864,23.734,1041,0
FEE,D,20131112,000000,23.734,24.426,23.734,24.327,5809,0
FEE,D,20131113,000000,24.327,24.327,23.843,24.12,777,0
FEE,D,20131114,000000,24.13,24.723,24.13,24.228,1576,0
FEE,D,20131115,000000,24.713,24.713,23.764,24.525,4703,0
FEE,D,20131118,000000,25.02,26.691,25.02,25.217,2098,0
FEE,D,20131119,000000,25.662,25.662,25.079,25.257,949,0
FEE,D,20131120,000000,25.257,25.316,25.257,25.316,2254,0
FEE,D,20131121,000000,25.316,25.316,24.436,25.267,4260,0
FEE,D,20131122,000000,25.257,25.257,24.525,25.148,376,0
FEE,D,20131125,000000,25.148,25.148,23.833,24.466,2059,0
FEE,D,20131126,000000,24.565,24.565,23.833,24.416,336,0
FEE,D,20131127,000000,24.179,24.179,23.685,23.932,1023,0
FEE,D,20131128,000000,23.932,24.674,22.745,24.664,2161,0
FEE,D,20131129,000000,24.575,25.158,23.734,24.911,1513,0
FEE,D,20131202,000000,24.525,25.069,24.525,25.069,418,0
FEE,D,20131203,000000,25.168,25.168,24.525,24.525,77,0
FEE,D,20131204,000000,25.158,25.158,23.754,24.426,1305,0
FEE,D,20131205,000000,25.158,25.168,24.327,24.921,1697,0
FEE,D,20131206,000000,25.168,25.168,25.119,25.119,608,0
FEE,D,20131209,000000,25.119,25.168,25.109,25.168,973,0
FEE,D,20131210,000000,25.178,26.196,25.178,25.712,2005,0
FEE,D,20131211,000000,25.712,26.206,25.316,26.206,448,0
FEE,D,20131212,000000,26.206,26.206,26.206,26.206,65,0
FEE,D,20131213,000000,26.206,26.206,25.376,26.009,165,0
