<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FER,D,19970627,000000,5.44,5.44,5.44,5.44,54476,0
FER,D,19970630,000000,5.99,5.99,5.99,5.99,181977,0
FER,D,19970701,000000,5.88,5.88,5.88,5.88,84518,0
FER,D,19970702,000000,5.82,5.82,5.82,5.82,73226,0
FER,D,19970703,000000,5.71,5.71,5.71,5.71,40961,0
FER,D,19970704,000000,6.26,6.26,6.26,6.26,61349,0
FER,D,19970707,000000,6.31,6.31,6.31,6.31,369284,0
FER,D,19970708,000000,6.42,6.42,6.42,6.42,94044,0
FER,D,19970709,000000,6.8,6.8,6.8,6.8,102375,0
FER,D,19970710,000000,7.02,7.02,7.02,7.02,71640,0
FER,D,19970711,000000,6.53,6.53,6.53,6.53,119273,0
FER,D,19970714,000000,6.48,6.48,6.48,6.48,150228,0
FER,D,19970715,000000,6.31,6.31,6.31,6.31,80779,0
FER,D,19970716,000000,6.26,6.26,6.26,6.26,92505,0
FER,D,19970717,000000,6.37,6.37,6.37,6.37,38348,0
FER,D,19970718,000000,6.2,6.2,6.2,6.2,59229,0
FER,D,19970721,000000,6.04,6.04,6.04,6.04,28801,0
FER,D,19970722,000000,6.04,6.04,6.04,6.04,16800,0
FER,D,19970723,000000,6.26,6.26,6.26,6.26,23885,0
FER,D,19970724,000000,6.04,6.04,6.04,6.04,22097,0
FER,D,19970725,000000,6.04,6.04,6.04,6.04,30705,0
FER,D,19970728,000000,5.99,5.99,5.99,5.99,20961,0
FER,D,19970729,000000,6.04,6.04,6.04,6.04,18621,0
FER,D,19970730,000000,6.04,6.04,6.04,6.04,11420,0
FER,D,19970731,000000,6.2,6.2,6.2,6.2,20548,0
FER,D,19970801,000000,5.99,5.99,5.99,5.99,22632,0
FER,D,19970804,000000,5.99,5.99,5.99,5.99,26224,0
FER,D,19970805,000000,5.93,5.93,5.93,5.93,16771,0
FER,D,19970806,000000,6.04,6.04,6.04,6.04,24414,0
FER,D,19970807,000000,6.04,6.04,6.04,6.04,22510,0
FER,D,19970808,000000,6.26,6.26,6.26,6.26,92984,0
FER,D,19970811,000000,6.53,6.53,6.53,6.53,167118,0
FER,D,19970812,000000,6.31,6.31,6.31,6.31,25801,0
FER,D,19970813,000000,6.53,6.53,6.53,6.53,58105,0
FER,D,19970814,000000,6.1,6.1,6.1,6.1,9269,0
FER,D,19970818,000000,6.04,6.04,6.04,6.04,25573,0
FER,D,19970819,000000,6.2,6.2,6.2,6.2,16359,0
FER,D,19970820,000000,6.37,6.37,6.37,6.37,49151,0
FER,D,19970821,000000,6.2,6.2,6.2,6.2,29413,0
FER,D,19970822,000000,6.15,6.15,6.15,6.15,17397,0
FER,D,19970825,000000,6.2,6.2,6.2,6.2,10265,0
FER,D,19970826,000000,6.1,6.1,6.1,6.1,90236,0
FER,D,19970827,000000,6.04,6.04,6.04,6.04,41506,0
FER,D,19970828,000000,6.15,6.15,6.15,6.15,41288,0
FER,D,19970829,000000,6.15,6.15,6.15,6.15,82653,0
FER,D,19970901,000000,5.71,5.71,5.71,5.71,48119,0
FER,D,19970902,000000,5.88,5.88,5.88,5.88,24693,0
FER,D,19970903,000000,5.99,5.99,5.99,5.99,50702,0
FER,D,19970904,000000,5.71,5.71,5.71,5.71,16037,0
FER,D,19970905,000000,5.99,5.99,5.99,5.99,15699,0
FER,D,19970908,000000,6.15,6.15,6.15,6.15,26314,0
FER,D,19970909,000000,6.04,6.04,6.04,6.04,30334,0
FER,D,19970910,000000,6.04,6.04,6.04,6.04,24177,0
FER,D,19970911,000000,5.93,5.93,5.93,5.93,18373,0
FER,D,19970912,000000,5.93,5.93,5.93,5.93,31047,0
FER,D,19970915,000000,5.99,5.99,5.99,5.99,16872,0
FER,D,19970916,000000,5.99,5.99,5.99,5.99,9697,0
FER,D,19970917,000000,5.99,5.99,5.99,5.99,37663,0
FER,D,19970918,000000,5.99,5.99,5.99,5.99,34065,0
FER,D,19970919,000000,6.04,6.04,6.04,6.04,53581,0
FER,D,19970922,000000,6.1,6.1,6.1,6.1,51049,0
FER,D,19970923,000000,6.2,6.2,6.2,6.2,67973,0
FER,D,19970924,000000,6.15,6.15,6.15,6.15,45455,0
FER,D,19970925,000000,6.1,6.1,6.1,6.1,28544,0
FER,D,19970926,000000,5.99,5.99,5.99,5.99,39840,0
FER,D,19970929,000000,5.88,5.88,5.88,5.88,26955,0
FER,D,19970930,000000,5.88,5.88,5.88,5.88,15692,0
FER,D,19971001,000000,5.93,5.93,5.93,5.93,16218,0
FER,D,19971002,000000,6.04,6.04,6.04,6.04,57388,0
FER,D,19971003,000000,6.04,6.04,6.04,6.04,45060,0
FER,D,19971006,000000,5.88,5.88,5.88,5.88,37433,0
FER,D,19971007,000000,5.88,5.88,5.88,5.88,26468,0
FER,D,19971008,000000,5.93,5.93,5.93,5.93,45482,0
FER,D,19971009,000000,6.04,6.04,6.04,6.04,78756,0
FER,D,19971010,000000,6.04,6.04,6.04,6.04,26992,0
FER,D,19971013,000000,6.1,6.1,6.1,6.1,28105,0
FER,D,19971014,000000,6.2,6.2,6.2,6.2,86897,0
FER,D,19971015,000000,6.1,6.1,6.1,6.1,60800,0
FER,D,19971016,000000,6.1,6.1,6.1,6.1,65866,0
FER,D,19971017,000000,6.15,6.15,6.15,6.15,49903,0
FER,D,19971020,000000,6.42,6.42,6.42,6.42,185315,0
FER,D,19971021,000000,6.53,6.53,6.53,6.53,162082,0
FER,D,19971022,000000,6.69,6.69,6.69,6.69,92134,0
FER,D,19971023,000000,6.59,6.59,6.59,6.59,59977,0
FER,D,19971024,000000,6.26,6.26,6.26,6.26,80788,0
FER,D,19971027,000000,5.66,5.66,5.66,5.66,83096,0
FER,D,19971028,000000,5.12,5.12,5.12,5.12,0,0
FER,D,19971029,000000,5.55,5.55,5.55,5.55,181218,0
FER,D,19971030,000000,5.42,5.42,5.42,5.42,61730,0
FER,D,19971031,000000,5.39,5.39,5.39,5.39,21851,0
FER,D,19971103,000000,5.82,5.82,5.82,5.82,38896,0
FER,D,19971104,000000,5.71,5.71,5.71,5.71,38673,0
FER,D,19971105,000000,5.71,5.71,5.71,5.71,44902,0
FER,D,19971106,000000,5.61,5.61,5.61,5.61,8752,0
FER,D,19971107,000000,5.44,5.44,5.44,5.44,12859,0
FER,D,19971112,000000,5.28,5.28,5.28,5.28,44494,0
FER,D,19971113,000000,5.17,5.17,5.17,5.17,52110,0
FER,D,19971114,000000,5.17,5.17,5.17,5.17,171318,0
FER,D,19971117,000000,5.39,5.39,5.39,5.39,35721,0
FER,D,19971118,000000,5.28,5.28,5.28,5.28,44082,0
FER,D,19971119,000000,5.17,5.17,5.17,5.17,18773,0
FER,D,19971120,000000,5.17,5.17,5.17,5.17,44505,0
FER,D,19971121,000000,5.33,5.33,5.33,5.33,24513,0
FER,D,19971124,000000,5.17,5.17,5.17,5.17,20091,0
FER,D,19971125,000000,5.03,5.03,5.03,5.03,57186,0
FER,D,19971126,000000,5.06,5.06,5.06,5.06,15264,0
FER,D,19971127,000000,5.01,5.01,5.01,5.01,27493,0
FER,D,19971128,000000,4.9,4.9,4.9,4.9,164006,0
FER,D,19971201,000000,5.17,5.17,5.17,5.17,42304,0
FER,D,19971202,000000,5.22,5.22,5.22,5.22,87494,0
FER,D,19971203,000000,5.2,5.2,5.2,5.2,28557,0
FER,D,19971204,000000,5.17,5.17,5.17,5.17,37687,0
FER,D,19971205,000000,5.22,5.22,5.22,5.22,22262,0
FER,D,19971208,000000,5.17,5.17,5.17,5.17,31724,0
FER,D,19971209,000000,5.12,5.12,5.12,5.12,17456,0
FER,D,19971210,000000,5.01,5.01,5.01,5.01,25893,0
FER,D,19971211,000000,4.9,4.9,4.9,4.9,41473,0
FER,D,19971212,000000,4.74,4.74,4.74,4.74,55294,0
FER,D,19971215,000000,4.79,4.79,4.79,4.79,17184,0
FER,D,19971216,000000,4.82,4.82,4.82,4.82,11321,0
FER,D,19971217,000000,4.79,4.79,4.79,4.79,26393,0
FER,D,19971218,000000,4.63,4.63,4.63,4.63,32610,0
FER,D,19971219,000000,4.3,4.3,4.3,4.3,32625,0
FER,D,19971222,000000,4.3,4.3,4.3,4.3,16061,0
FER,D,19971223,000000,4.19,4.19,4.19,4.19,24989,0
FER,D,19971229,000000,4.3,4.3,4.3,4.3,4427,0
FER,D,19971230,000000,4.54,4.54,4.54,4.54,17693,0
FER,D,19971231,000000,4.3,4.3,4.3,4.3,81931,0
FER,D,19980105,000000,4.49,4.49,4.49,4.49,33084,0
FER,D,19980106,000000,4.41,4.41,4.41,4.41,15043,0
FER,D,19980107,000000,4.3,4.3,4.3,4.3,52690,0
FER,D,19980108,000000,4.3,4.3,4.3,4.3,7169,0
FER,D,19980109,000000,4.14,4.14,4.14,4.14,18556,0
FER,D,19980112,000000,3.73,3.73,3.73,3.73,48698,0
FER,D,19980113,000000,3.92,3.92,3.92,3.92,9710,0
FER,D,19980114,000000,3.92,3.92,3.92,3.92,36211,0
FER,D,19980115,000000,3.86,3.86,3.86,3.86,20715,0
FER,D,19980116,000000,3.81,3.81,3.81,3.81,10908,0
FER,D,19980119,000000,4,4,4,4,20113,0
FER,D,19980120,000000,3.89,3.89,3.89,3.89,8813,0
FER,D,19980121,000000,3.89,3.89,3.89,3.89,10186,0
FER,D,19980122,000000,3.81,3.81,3.81,3.81,36130,0
FER,D,19980123,000000,3.81,3.81,3.81,3.81,257070,0
FER,D,19980126,000000,3.86,3.86,3.86,3.86,39524,0
FER,D,19980127,000000,3.81,3.81,3.81,3.81,20364,0
FER,D,19980128,000000,3.81,3.81,3.81,3.81,41086,0
FER,D,19980129,000000,3.95,3.95,3.95,3.95,148144,0
FER,D,19980130,000000,4.03,4.03,4.03,4.03,124261,0
FER,D,19980202,000000,4.19,4.19,4.19,4.19,221161,0
FER,D,19980203,000000,4.19,4.19,4.19,4.19,171877,0
FER,D,19980204,000000,4.14,4.14,4.14,4.14,79756,0
FER,D,19980205,000000,4.08,4.08,4.08,4.08,99838,0
FER,D,19980206,000000,4.14,4.14,4.14,4.14,155135,0
FER,D,19980209,000000,4.33,4.33,4.33,4.33,272472,0
FER,D,19980210,000000,4.3,4.3,4.3,4.3,64385,0
FER,D,19980211,000000,4.25,4.25,4.25,4.25,44531,0
FER,D,19980212,000000,4.08,4.08,4.08,4.08,107086,0
FER,D,19980213,000000,3.97,3.97,3.97,3.97,24774,0
FER,D,19980216,000000,4.03,4.03,4.03,4.03,23074,0
FER,D,19980217,000000,4.16,4.16,4.16,4.16,39485,0
FER,D,19980218,000000,4.22,4.22,4.22,4.22,80070,0
FER,D,19980219,000000,4.14,4.14,4.14,4.14,165937,0
FER,D,19980220,000000,4.05,4.05,4.05,4.05,64126,0
FER,D,19980223,000000,4.11,4.11,4.11,4.11,108769,0
FER,D,19980224,000000,4.03,4.03,4.03,4.03,74923,0
FER,D,19980225,000000,3.97,3.97,3.97,3.97,76979,0
FER,D,19980226,000000,4,4,4,4,32445,0
FER,D,19980227,000000,4.03,4.03,4.03,4.03,23769,0
FER,D,19980302,000000,3.97,3.97,3.97,3.97,66321,0
FER,D,19980303,000000,4.03,4.03,4.03,4.03,110330,0
FER,D,19980304,000000,4.03,4.03,4.03,4.03,76015,0
FER,D,19980305,000000,3.84,3.84,3.84,3.84,59573,0
