<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FGT,D,20141106,000000,39.7,39.7,35.49,37.05,2023,0
FGT,D,20141107,000000,37.1,39.45,37.04,37.1,1158,0
FGT,D,20141110,000000,37.3,38.98,37,37.1,581,0
FGT,D,20141112,000000,37.1,38.08,36.7,37.85,267,0
FGT,D,20141113,000000,38,38,37.79,37.79,195,0
FGT,D,20141114,000000,37.8,38.1,37.03,37.03,903,0
FGT,D,20141117,000000,38.39,38.39,36.8,38,64,0
FGT,D,20141118,000000,37,37,36.66,36.75,170,0
FGT,D,20141119,000000,36.7,36.8,36.65,36.8,111,0
FGT,D,20141120,000000,36.8,36.8,36.8,36.8,2,0
FGT,D,20141121,000000,36.6,36.6,36.1,36.1,182,0
FGT,D,20141124,000000,36.1,36.5,32.86,34,635,0
FGT,D,20141125,000000,33.94,33.94,27.7,27.7,615,0
FGT,D,20141126,000000,28.99,28.99,23,23.47,920,0
FGT,D,20141127,000000,23,23,20.8,21.5,1484,0
FGT,D,20141128,000000,20.9,25.26,20.9,25.26,734,0
FGT,D,20141201,000000,26.95,26.95,25.4,26.45,118,0
FGT,D,20141202,000000,26.45,26.75,25,25,174,0
FGT,D,20141203,000000,26.2,26.2,25.9,25.9,278,0
FGT,D,20141204,000000,28.1,28.1,26.5,27,480,0
FGT,D,20141205,000000,27.5,27.5,26.5,27.5,58,0
FGT,D,20141208,000000,27.5,27.5,27.35,27.35,2,0
FGT,D,20141209,000000,27.5,27.5,27.5,27.5,4,0
FGT,D,20141210,000000,27.4,27.4,25.1,25.1,51,0
FGT,D,20141211,000000,27.5,27.5,27,27,3,0
FGT,D,20141212,000000,27.5,27.5,27.5,27.5,10,0
FGT,D,20141215,000000,26.23,26.23,26.23,26.23,20,0
FGT,D,20141216,000000,27.2,27.2,25.81,25.81,48,0
FGT,D,20141217,000000,27.2,27.2,25.05,27.19,233,0
FGT,D,20141218,000000,27.19,27.19,27.19,27.19,1,0
FGT,D,20141219,000000,27.19,27.19,27.19,27.19,2,0
FGT,D,20141222,000000,27,27,27,27,1,0
FGT,D,20141223,000000,27.19,27.19,27.19,27.19,11,0
FGT,D,20141229,000000,27,27,25.26,25.26,8,0
FGT,D,20141230,000000,26.9,26.9,26.9,26.9,1,0
FGT,D,20150102,000000,28.4,28.4,28.4,28.4,1,0
FGT,D,20150105,000000,28.3,28.3,28.29,28.29,3,0
FGT,D,20150107,000000,28,28,28,28,2,0
FGT,D,20150108,000000,24.6,26.77,24.6,26.77,271,0
FGT,D,20150109,000000,26.8,26.8,26,26.8,24,0
FGT,D,20150112,000000,25,25,25,25,112,0
FGT,D,20150113,000000,25.5,25.5,25.49,25.49,2,0
FGT,D,20150114,000000,25.5,26,25.5,26,327,0
FGT,D,20150115,000000,26,26,25.34,25.34,44,0
FGT,D,20150116,000000,26,26,26,26,2,0
FGT,D,20150119,000000,26,26,26,26,1,0
FGT,D,20150120,000000,26,26,26,26,2,0
FGT,D,20150121,000000,26,26,26,26,1,0
FGT,D,20150122,000000,26,26,25.9,25.9,3,0
FGT,D,20150123,000000,25.9,25.9,25.9,25.9,3,0
FGT,D,20150126,000000,25.7,25.7,25.7,25.7,2,0
FGT,D,20150127,000000,25.7,25.7,25.7,25.7,1,0
FGT,D,20150128,000000,25,25,22.55,23.9,1252,0
FGT,D,20150129,000000,23.9,23.9,22,23.9,7,0
FGT,D,20150130,000000,24.8,24.8,24.8,24.8,1,0
FGT,D,20150202,000000,24.5,24.5,23.14,24.49,4,0
FGT,D,20150203,000000,24.49,24.5,24.49,24.5,2,0
FGT,D,20150204,000000,24.49,24.49,23.69,23.69,201,0
FGT,D,20150205,000000,24.49,24.49,23.4,23.4,17,0
FGT,D,20150206,000000,23,23,22.51,22.99,26,0
FGT,D,20150209,000000,22.99,22.99,20.8,22.9,261,0
FGT,D,20150210,000000,22.9,23.9,22.8,23.9,501,0
FGT,D,20150211,000000,23.8,23.8,22,23.8,18,0
FGT,D,20150212,000000,23.8,23.8,21.72,23.68,205,0
FGT,D,20150213,000000,23.8,23.8,22.25,23.1,166,0
FGT,D,20150216,000000,23.1,23.1,23.1,23.1,1,0
FGT,D,20150217,000000,23,23,23,23,10,0
FGT,D,20150218,000000,22.69,22.69,22.69,22.69,3,0
FGT,D,20150219,000000,22.69,23.1,22.1,23.1,443,0
FGT,D,20150220,000000,23.7,28,23.7,28,950,0
FGT,D,20150223,000000,28,32.15,28,32.15,739,0
FGT,D,20150224,000000,32.1,36,32.1,36,136,0
FGT,D,20150225,000000,36,36,35.44,35.9,485,0
FGT,D,20150226,000000,35.9,35.9,32.65,35.5,28,0
FGT,D,20150227,000000,35.5,35.5,35.5,35.5,282,0
FGT,D,20150302,000000,35,35,35,35,4,0
FGT,D,20150303,000000,35,35,31,31,115,0
