<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FRO,D,20100414,000000,8.106,8.3518,7.707,7.7188,204517,0
FRO,D,20100415,000000,7.9281,7.965,7.7188,7.7188,87671,0
FRO,D,20100416,000000,7.9102,7.9102,7.6153,7.8293,345,0
FRO,D,20100419,000000,7.6153,7.6153,7.1422,7.609,555,0
FRO,D,20100420,000000,7.8607,7.8913,7.443,7.7996,232336,0
FRO,D,20100421,000000,7.443,7.7996,7.443,7.7996,346,0
FRO,D,20100422,000000,7.7313,7.7377,7.7313,7.7313,982,0
FRO,D,20100423,000000,7.4307,7.6467,7.4307,7.4671,2215,0
FRO,D,20100426,000000,7.7377,7.8913,7.504,7.7377,2526,0
FRO,D,20100427,000000,7.6153,7.6153,7.5103,7.5103,815,0
FRO,D,20100428,000000,7.4307,7.4307,7.3693,7.4307,832,0
FRO,D,20100429,000000,7.805,7.8913,7.4922,7.4922,704,0
FRO,D,20100430,000000,7.3751,7.8293,7.3693,7.8293,1036,0
FRO,D,20100505,000000,7.6153,7.6153,7.308,7.308,217917,0
FRO,D,20100507,000000,7.2532,7.308,7.246,7.246,29143,0
FRO,D,20100510,000000,7.3693,7.3693,7.3693,7.3693,341,0
FRO,D,20100511,000000,7.3751,7.3751,7.1543,7.1543,17826,0
FRO,D,20100512,000000,7.4307,7.4307,7.3693,7.3693,775,0
FRO,D,20100513,000000,7.4061,7.4061,7.4061,7.4061,1651,0
FRO,D,20100514,000000,7.3693,7.5541,7.3693,7.5541,2974,0
FRO,D,20100517,000000,7.5541,7.5541,7.5541,7.5541,350,0
FRO,D,20100518,000000,7.5541,7.5541,7.5541,7.5541,5110,0
FRO,D,20100520,000000,7.5408,7.5478,7.0629,7.5408,1689,0
FRO,D,20100525,000000,6.8347,7.3693,6.8347,7.3384,532,0
FRO,D,20100526,000000,7.0629,7.277,7.0629,7.277,2225,0
FRO,D,20100527,000000,7.308,7.3693,7.308,7.3693,18513,0
FRO,D,20100528,000000,7.3693,7.4061,7.1847,7.4061,14871,0
FRO,D,20100531,000000,7.277,7.3816,7.277,7.3816,1373,0
FRO,D,20100601,000000,7.3693,7.3693,7.1241,7.1977,11121,0
FRO,D,20100604,000000,7.1543,7.1977,7.1356,7.1977,493,0
FRO,D,20100607,000000,7.1356,7.1356,7.1356,7.1356,304,0
FRO,D,20100608,000000,6.9705,7.1356,6.9705,7.1356,1884,0
FRO,D,20100609,000000,7.1241,7.1356,7.1241,7.1356,112,0
FRO,D,20100610,000000,7.0009,7.013,7.0009,7.013,68,0
FRO,D,20100611,000000,7.1977,7.1977,7.0685,7.0685,4045,0
FRO,D,20100614,000000,7.0685,7.0685,7.0685,7.0685,134,0
FRO,D,20100615,000000,6.915,6.915,6.915,6.915,162,0
FRO,D,20100616,000000,6.915,7.0629,6.915,7.0629,49809,0
FRO,D,20100617,000000,6.915,6.9705,6.7616,6.7616,37415,0
FRO,D,20100618,000000,6.7675,6.8229,6.7675,6.8229,1497,0
FRO,D,20100621,000000,6.7551,6.7551,6.7551,6.7551,474,0
FRO,D,20100623,000000,6.387,6.8781,6.387,6.6326,17289,0
FRO,D,20100624,000000,6.5707,6.5773,6.5707,6.5773,85,0
FRO,D,20100625,000000,7.0498,7.0629,7.0498,7.0563,555,0
FRO,D,20100628,000000,7.0629,7.246,6.8164,7.1847,6512,0
FRO,D,20100629,000000,7.2647,7.4307,7.1241,7.1241,4150,0
FRO,D,20100630,000000,6.9395,7.2158,6.9395,7.2158,241,0
FRO,D,20100701,000000,7.2158,7.2158,6.9395,7.2158,67,0
FRO,D,20100702,000000,7.2158,7.2158,7.2158,7.2158,408,0
FRO,D,20100705,000000,7.2158,7.3693,7.2158,7.3693,423,0
FRO,D,20100706,000000,7.3384,7.4734,6.9705,7.4734,2416,0
FRO,D,20100707,000000,7.4734,7.6757,7.308,7.4371,3897,0
FRO,D,20100708,000000,7.6757,7.707,7.6757,7.707,696,0
FRO,D,20100709,000000,7.707,7.707,7.6757,7.6757,800,0
FRO,D,20100712,000000,7.7377,7.7377,7.707,7.707,6347,0
FRO,D,20100713,000000,7.707,7.9532,7.707,7.9407,2564,0
FRO,D,20100714,000000,7.4004,7.947,7.4004,7.947,83061,0
FRO,D,20100715,000000,7.9219,7.9713,7.9219,7.9713,33,0
FRO,D,20100716,000000,7.8607,7.9102,7.8607,7.9102,139394,0
FRO,D,20100719,000000,7.9775,7.9775,7.7682,7.8913,16317,0
FRO,D,20100720,000000,7.7682,7.9713,7.7682,7.9713,17790,0
FRO,D,20100721,000000,7.9713,7.9713,7.9713,7.9713,17,0
FRO,D,20100722,000000,7.965,7.965,7.965,7.965,14,0
FRO,D,20100723,000000,7.9219,7.9219,7.7996,7.7996,1158,0
FRO,D,20100726,000000,7.9532,7.9532,7.7996,7.7996,379,0
FRO,D,20100727,000000,7.7996,7.7996,7.5541,7.7996,1572,0
FRO,D,20100728,000000,7.8544,7.8544,7.4616,7.8544,2786,0
FRO,D,20100729,000000,7.8293,7.8293,7.6467,7.6467,727,0
FRO,D,20100730,000000,7.5408,7.5408,7.5408,7.5408,1304,0
FRO,D,20100802,000000,7.6701,7.6701,7.6701,7.6701,5,0
FRO,D,20100803,000000,7.6153,7.6757,7.4985,7.5541,29681,0
FRO,D,20100804,000000,7.6153,7.6153,7.6153,7.6153,328,0
FRO,D,20100805,000000,7.6701,7.6701,7.3751,7.3751,842,0
FRO,D,20100806,000000,7.6521,7.6521,7.6521,7.6521,745,0
FRO,D,20100809,000000,7.6576,7.6576,7.3751,7.6153,2307,0
FRO,D,20100810,000000,7.8293,7.8293,7.8293,7.8293,162,0
FRO,D,20100812,000000,7.4985,7.6153,7.4985,7.6153,1290,0
FRO,D,20100813,000000,7.6757,7.7377,7.4922,7.6576,1721,0
FRO,D,20100816,000000,7.7377,7.7377,7.6576,7.7313,209,0
FRO,D,20100817,000000,7.4307,7.4307,7.4307,7.4307,12,0
FRO,D,20100818,000000,7.7925,7.7925,7.3693,7.4307,18531,0
FRO,D,20100819,000000,7.3693,7.3693,7.3693,7.3693,15,0
FRO,D,20100820,000000,7.308,7.7627,7.308,7.7627,88,0
FRO,D,20100823,000000,7.3751,7.8293,7.3751,7.7627,11187,0
FRO,D,20100824,000000,7.3939,7.6757,7.3939,7.6647,466,0
FRO,D,20100825,000000,7.4061,7.4119,7.4061,7.4119,83,0
FRO,D,20100826,000000,7.6701,7.6701,7.4307,7.4307,40888,0
FRO,D,20100827,000000,7.6701,7.6701,7.443,7.443,3305,0
FRO,D,20100830,000000,7.6701,7.6701,7.4922,7.4922,33462,0
FRO,D,20100831,000000,7.6576,7.6576,7.259,7.3693,5645,0
FRO,D,20100901,000000,7.6757,7.6757,7.4004,7.6576,324,0
