<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FSG,D,19970925,000000,3.0771,6.8378,3.0771,5.4704,2593,0
FSG,D,19970926,000000,6.1539,8.2051,5.5386,6.3591,4436,0
FSG,D,19970930,000000,4.7865,4.9233,4.513,4.9233,659,0
FSG,D,19971001,000000,4.1711,4.1711,4.1027,4.1027,386,0
FSG,D,19971002,000000,3.5557,3.5557,3.0087,3.0087,610,0
FSG,D,19971003,000000,3.2138,3.2138,3.2138,3.2138,138,0
FSG,D,19971006,000000,3.1453,3.6924,3.1453,3.6924,447,0
FSG,D,19971007,000000,3.624,4.4445,3.4189,4.4445,1336,0
FSG,D,19971009,000000,3.8976,4.4445,3.8976,4.4445,264,0
FSG,D,19971010,000000,3.966,4.0344,3.966,4.0344,276,0
FSG,D,19971013,000000,3.7609,4.1711,3.7609,4.1711,1915,0
FSG,D,19971014,000000,4.1027,4.513,4.1027,4.2394,2008,0
FSG,D,19971015,000000,4.3762,4.3762,4.3762,4.3762,685,0
FSG,D,19971016,000000,4.3762,4.4445,4.3762,4.4445,1283,0
FSG,D,19971017,000000,4.7865,4.7865,4.6497,4.7523,1643,0
FSG,D,19971020,000000,4.8206,5.1283,4.2394,5.1283,3402,0
FSG,D,19971021,000000,4.3762,5.4018,4.3762,5.4018,2255,0
FSG,D,19971022,000000,4.6497,5.4362,4.6497,5.3335,1060,0
FSG,D,19971023,000000,5.3335,5.4018,5.06,5.4018,2109,0
FSG,D,19971024,000000,4.9917,5.4704,4.9917,5.4704,2822,0
FSG,D,19971027,000000,4.4788,4.718,3.8291,3.8976,1712,0
FSG,D,19971028,000000,4.1027,4.1711,4.1027,4.1027,731,0
FSG,D,19971029,000000,4.1027,4.1027,4.1027,4.1027,138,0
FSG,D,19971103,000000,3.8291,3.8291,3.8291,3.8291,293,0
FSG,D,19971104,000000,4.718,5.06,4.718,4.7865,1959,0
FSG,D,19971105,000000,4.7865,6.0171,4.7865,6.0171,6050,0
